"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2009 10:04:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Personal consumption expenditures","DPCERG3",10.513,10.068,8.991,7.93,7.649,7.995,8.19,8.265,8.566,8.372,8.291,8.361,8.879,9.984,10.902,11.529,11.989,12.825,14.126,14.925,14.811,14.989,16.009,16.337,16.555,16.697,16.764,17.1,17.62,18.035,18.305,18.606,18.801,19.023,19.245,19.527,19.81,20.313,20.824,21.636,22.616,23.674,24.68,25.525,26.901,29.703,32.184,33.95,36.155,38.687,42.118,46.641,50.81,53.615,55.923,58.038,59.938,61.399,63.589,66.121,68.994,72.147,74.755,76.954,78.643,80.265,82.041,83.826,85.395,86.207,87.596,89.777,91.488,92.736,94.622,97.098,100,102.746,105.502,109.031
"9","2","Goods","DGDSRG3",16.29,15.424,13.3,11.461,11.368,12.489,12.816,12.865,13.328,12.791,12.599,12.71,13.751,16.023,17.863,19.052,19.922,21.443,24.024,25.443,24.853,24.933,26.944,27.204,27.08,26.979,26.821,27.277,28.13,28.77,28.917,29.144,29.253,29.404,29.648,29.971,30.286,30.953,31.499,32.597,33.86,35.152,36.208,37.135,39.35,44.261,47.837,49.709,52.363,55.576,60.832,67.644,72.669,74.65,75.997,77.435,78.677,78.309,80.827,82.958,86.15,89.678,91.87,92.978,93.786,94.74,95.625,96.676,96.563,95.106,95.603,97.52,97.429,96.43,96.38,97.867,100,101.508,102.789,106.15
"10","3","  Durable goods","DDURRG3",28.502,26.834,23.96,21.111,20.598,21.835,21.712,21.836,22.736,22.719,22.444,22.67,24.348,28.503,31.091,34.951,36.969,38.496,41.87,44.011,44.312,44.538,47.522,47.818,47.443,46.403,46.224,47.338,49.08,49.971,50.765,50.573,50.701,50.919,51.114,51.344,50.923,50.812,51.628,53.282,54.785,55.966,57.899,58.537,59.404,63.304,68.969,72.741,76,80.255,85.574,93,99.219,103.089,105.177,106.732,107.862,109.048,112.185,114.036,116.114,117.268,118.986,119.808,120.987,123.356,124.255,123.001,120.314,116.909,113.741,111.693,109.479,106.672,102.907,101.005,100,98.488,96.714,95.537
"11","4","    Motor vehicles and parts","DMOTRG3",11.946,11.508,10.735,10.074,9.444,9.891,9.745,9.791,10.037,10.435,10.196,10.212,11.101,14.221,14.978,16.087,16.347,20.462,22.484,24.221,25.069,25.139,26.425,27.513,26.993,26.059,26.361,27.558,29.295,30.403,31.911,31.314,31.491,32.004,32.256,32.519,32.253,32.035,32.472,33.591,34.267,35.302,37.009,37.101,37.271,39.566,43.476,46.8,49.534,52.968,56.961,61.183,65.916,69.041,71.187,73.222,74.918,76.984,80.506,81.771,84.187,84.458,86.834,88.473,91.957,96.226,100.038,102.043,102.428,101.314,101.618,101.994,102.394,101.855,99.074,98.399,100,100.126,99.483,98.523
"12","5","      New motor vehicles (55)","DNMVRG3",18.129,17.608,16.802,15.761,14.24,15.077,14.838,14.957,15.239,15.999,15.597,15.637,16.805,19.998,21.255,23.89,18.637,21.844,24.75,27.065,29.647,29.845,31.118,33.977,34.261,34.813,31.477,33.147,35.055,36.325,37.903,37.413,37.421,37.269,37.046,36.95,36.123,35.457,35.784,36.796,37.371,38.436,40.036,39.744,39.756,41.974,45.749,48.596,51.158,55.019,59.269,63.909,67.702,70.349,72.153,74.253,76.742,80.066,82.432,83.751,85.644,87.484,90.896,93.243,95.952,99.462,101.936,103.924,104.61,104.08,104.012,103.888,103.323,101.639,100.176,99.509,100,99.356,98.313,96.842
"13","6","      Net purchases of used motor vehicles (56)","DNPVRG3",0.429,0.447,0.552,0.658,0.627,0.567,0.458,0.394,0.418,0.535,0.51,0.773,1.499,2.725,2.935,3.121,3.4,6.932,7.443,8.023,6.456,6.156,6.345,5.273,4.106,1.433,7.607,7.795,8.908,9.555,10.737,10.333,11.043,12.545,13.495,14.504,14.943,15.451,15.857,16.868,17.406,17.736,19.476,20.516,21.979,23.818,27.418,31.535,33.929,36.136,37.547,37.763,45.315,50.555,57.565,63.485,63.629,62.766,71.792,72.851,77.224,73.018,73.765,74.41,81.864,90.099,98.35,101.446,101.722,99.476,100.733,102.036,103.562,104.564,97.368,96.195,100,100.096,98.501,95.731
"14","7","      Motor vehicle parts and accessories (58)","DMVPRG3",37.451,34.846,29.788,27.435,27.994,28.814,29.052,29.191,30.719,30.114,29.719,28.146,28.552,32.718,33.682,36.044,36.099,36.947,38.283,39.043,38.949,40.026,45.222,45.14,44.523,43.56,43.671,44.223,44.606,44.735,44.446,43.091,41.831,41.922,42.603,42.631,44.249,45.169,46.275,47.973,49.526,51.892,53.801,54.159,52.756,56.32,61.423,65.78,70.215,73.483,80.648,89.637,94.182,96.482,93.747,90.135,90.088,89.819,90.544,91.953,93.906,94.234,95.081,95.704,94.143,93.61,93.935,93.779,93.277,92.494,92.046,92.371,94.641,96.287,97.225,97.716,100,104.051,107.587,113.224
"15","8","    Furnishings and durable household equipment","DFDHRG3",24.634,23.688,21.038,18.156,18.208,19.678,19.803,19.938,21.271,20.888,20.732,20.933,22.501,26.014,29.744,34.169,37.074,37.213,39.831,41.508,40.524,41.234,45.442,44.986,45.064,44.851,44.519,44.886,45.641,45.546,45.574,45.976,46.131,46.076,46.098,46.149,45.852,46.232,47.272,49.128,50.883,51.99,52.93,53.683,54.948,59.426,65.334,68.145,70.658,74.233,78.864,85.271,91.573,96.293,98.536,99.73,100.824,101.886,103.496,104.972,105.285,106.35,106.956,108.223,108.797,110.477,110.305,110.618,110.454,110.362,108.927,108.138,106.285,104.102,101.176,99.938,100,99.483,98.665,98.049
