"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 03, 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:30:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"          Gross domestic product"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Gross domestic product","A191RC1",103.6,91.2,76.5,58.7,56.4,66,73.3,83.8,91.9,86.1,92.2,101.4,126.7,161.9,198.6,219.8,223,222.2,244.1,269.1,267.2,293.7,339.3,358.3,379.3,380.4,414.7,437.4,461.1,467.2,506.6,526.4,544.8,585.7,617.8,663.6,719.1,787.7,832.4,909.8,984.4,1038.3,1126.8,1237.9,1382.3,1499.5,1637.7,1824.6,2030.1,2293.8,2562.2,2788.1,3126.8,3253.2,3534.6,3930.9,4217.5,4460.1,4736.4,5100.4,5482.1,5800.5,5992.1,6342.3,6667.4,7085.2,7414.7,7838.5,8332.4,8793.5,9353.5,9951.5,10286.2,10642.3,11142.1,11867.8,12638.4,13398.9,14077.6,14441.4
"10","2","    Imputations (133-134+141+147+148+150+152+153 +158+160+161+165-166+167+170+179+181)","A2023C1",9.6,9.1,8.1,7,6.4,6.4,6.8,7.1,7.5,7.5,7.6,7.8,9,11.9,16.4,20.4,22.7,24.1,23.6,24.1,24,24.5,27.9,31,34.3,37,39.6,43,46.3,49.1,52.7,56.4,59.9,64,67.6,71.9,76.6,82,88.1,95.3,105.7,116.2,126.6,137.5,149.7,168.7,192.9,211.1,234.1,265.1,295.6,333.7,375.7,418,471.9,506.1,558.7,608.3,647.1,697,742.7,804.5,864.5,934.2,988.4,1041,1073.3,1119.4,1172.9,1242.2,1342.6,1445.9,1530.3,1598,1656.1,1764.8,1887.7,1980.3,2096.5,2224.8
"11","3","    Excluding imputations (1-2)","A2026C1",94,82.2,68.3,51.8,50,59.6,66.5,76.7,84.4,78.6,84.5,93.6,117.7,150,182.2,199.4,200.3,198.1,220.5,245,243.3,269.3,311.4,327.3,345,343.3,375.1,394.4,414.7,418.1,454,470.1,484.9,521.7,550.2,591.7,642.6,705.7,744.3,814.5,878.7,922.1,1000.2,1100.4,1232.6,1330.8,1444.8,1613.5,1796,2028.7,2266.7,2454.4,2751.2,2835.2,3062.7,3424.8,3658.8,3851.8,4089.3,4403.4,4739.4,4996,5127.6,5408.1,5678.9,6044.2,6341.3,6719.1,7159.4,7551.3,8010.9,8505.6,8755.9,9044.3,9486.1,10103,10750.6,11418.6,11981.1,12216.6
"12","4","  Personal consumption expenditures","DPCERC1",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.7,120,144.3,162,175,178.5,192.2,208.5,219.5,233.1,240,258.8,271.7,286.9,296.2,317.7,331.8,342.2,363.3,382.7,411.5,443.8,480.9,507.8,558,605.1,648.3,701.6,770.2,852,932.9,1033.8,1151.3,1277.8,1427.6,1591.2,1755.8,1939.5,2075.5,2288.6,2501.1,2717.6,2896.7,3097,3350.1,3594.5,3835.5,3980.1,4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804,8285.1,8819,9322.7,9826.4,10129.9
"13","5","    Imputations (133-134+141+147+152+160+167+171 +172+173+174-177-178)","A2042C1",6,6.2,5.8,5.4,5,4.6,4.7,4.6,4.7,4.6,4.1,3.8,4.1,6.7,8.9,10.1,10.5,4.5,1.4,-0.2,1.3,-2.7,1.5,3.7,5.3,5.4,3.9,7.4,11.2,14.1,12,16.4,20.2,22,22.5,24.5,27.3,32.9,36.9,38.6,44.3,53.8,51.6,50.3,54.5,74.5,92,89.1,84,96,119.2,165,199.7,242.3,249.4,255.2,291.8,300.7,320.3,352.4,392,456.2,515.5,544.8,569.1,583.7,620,629.5,655.4,675.9,736.8,807.2,861,886,873.9,869.5,884.2,968.4,1187.8,1430.4
"14","6","    Excluding imputations (4-5)","A2086C1",71.4,64,54.9,43.3,41,46.9,51.2,57.6,62.1,59.7,63.1,67.5,77,82.3,91,98.6,109.5,139.8,160.6,175.3,177.2,194.9,207,215.9,227.7,234.6,254.9,264.3,275.7,282.1,305.7,315.3,322,341.3,360.2,387,416.5,448,470.9,519.4,560.8,594.5,650,720,797.5,858.4,941.7,1062.2,1193.9,1331.6,1472,1590.8,1739.8,1833.2,2039.2,2245.8,2425.8,2596,2776.6,2997.6,3202.5,3379.2,3464.6,3692.1,3914.5,4167.1,4367.3,4644.1,4915.2,5242.6,5606,6023.2,6287.8,6553.1,6930.1,7415.6,7934.8,8354.3,8638.6,8699.5
"15","7","  Gross private domestic investment","A006RC1",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,438,492.9,479.3,572.4,517.2,564.3,735.6,736.2,746.5,785,821.6,874.9,861,802.9,864.8,953.3,1097.3,1144,1240.2,1388.7,1510.8,1641.5,1772.2,1661.9,1647,1729.7,1968.6,2172.2,2327.2,2288.5,2136.1
