"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254"
"24","16","    Goods","B253RG3",24.548,26.888,28.602,29.472,29.659,29.452,29.009,28.446,27.833,27.193,26.665,26.303,25.804,25.842,26.107,26.656,28.479,29.635,30.551,31.033,30.076,29.852,29.685,29.557,29.656,29.558,29.439,29.309,29.167,29.074,29.023,29.019,29.101,29.237,29.407,29.637,29.944,30.283,30.637,30.972,31.323,31.494,31.527,31.457,31.149,31.035,31.06,31.182,31.434,31.263,31.302,31.634,31.604,31.56,31.718,31.594,31.868,32.356,32.201,32.457,32.326,31.871,31.826,31.853,31.989,31.918,31.786,31.771,31.944,31.824,32.085,32.475,33.349,33.214,33.217,33.013,33.713,34,34.457,35.158,35.939,35.771,35.619,35.756,35.925,36.834,36.158,36.384,37.015,36.909,37.425,38.464,38.691,39.511,39.169,39.199,40.381,40.327,39.895,40.15,40.705,41.003,41.084,42.231,43.926,46.168,49.252,52.19,56.191,58.318,62.074,65.811,67.941,67.401,66.878,67.187,68.052,68.792,69.081,70.374,71.204,72.188,71.457,71.51,72.958,74.892,76.062,78.956,81.715,85.349,87.248,88.542,90.984,91.959,94.706,98.173,100.637,100.723,100.493,100.493,100.888,100.243,98.832,97.78,97.858,98.21,98.744,100.033,100.476,100.987,99.343,97.466,95.955,95.307,93.858,93.231,92.195,91.497,90.673,91.585,91.973,93.648,93.864,95.927,97.275,99.872,101.456,100.983,101.942,101.848,100.844,100.153,99.717,99.846,100.262,101.125,101.233,100.594,99.355,99.348,98.941,98.783,98.389,97.992,98.022,98.134,97.963,97.76,98.342,98.701,99.129,99.889,101.211,101.903,101.531,100.822,100.13,99.683,98.426,96.757,96.542,96.291,95.958,95.294,94.174,93.45,92.439,91.907,91.588,91.513,91.674,92.158,92.447,92.936,93.03,93.175,93.148,92.724,92.153,91.259,91.005,91.384,92.162,92.325,93.143,93.391,93.302,94.251,95.539,96.864,97.168,98.134,99.148,99.781,100.196,100.876,101.541,102.915,104.306,104.548,105.359,106.454,107.24,109.007,111.203,114.43,116.01,107.82,103.588,104.076,105.308
"25","17","    Services","B646RG3",16.207,15.503,15.142,15.02,15.141,15.234,15.357,15.468,15.533,15.62,15.671,15.726,15.681,15.75,15.823,15.914,16.172,16.438,16.773,17.104,17.175,17.467,17.721,17.921,18.042,18.133,18.132,18.074,18,17.906,17.851,17.842,17.911,17.959,18.003,18.055,17.99,18.096,18.264,18.522,18.988,19.317,19.539,19.599,19.416,19.304,19.173,19.026,18.189,18.559,19.083,19.284,19.436,19.392,19.466,19.453,19.296,19.436,19.583,19.698,20.088,20.162,20.197,20.255,20.117,20.129,20.189,20.32,20.177,20.394,20.542,20.672,20.866,20.839,20.92,21.014,21.057,21.226,21.371,21.533,21.604,21.784,21.967,22.196,22.515,22.683,22.812,23.032,23.25,23.581,23.89,24.112,23.623,23.971,24.383,24.677,25.309,25.627,25.951,26.115,27.944,28.231,28.503,28.763,28.57,29.292,30.133,30.729,32.061,32.72,33.56,34.1,34.533,35.097,35.638,36.068,36.807,37.206,37.651,38.208,38.597,39.305,39.836,40.577,41.291,42.099,42.899,43.495,43.89,45.034,46.28,47.792,49.552,50.853,51.966,53.152,54.474,55.46,56.312,57.136,57.876,58.917,59.804,60.333,61.192,61.422,61.8,61.798,61.292,61.925,62.421,63.287,63.43,63.704,63.889,64.689,65.335,65.7,66.289,66.703,67.021,67.382,67.831,68.115,68.473,68.833,69.039,69.403,70.105,70.669,70.919,71.438,72.596,73.083,74.835,77.142,77.789,77.598,78.292,78.846,79.308,79.87,80.589,80.751,80.809,81.17,81.193,81.394,81.506,81.856,82.457,82.738,83.159,84.035,84.094,84.2,85.093,85.049,85.608,86.213,85.945,86.38,86.369,86.644,86.168,86.298,86.246,86.428,86.639,87.278,87.546,87.792,89.014,89.704,90.423,90.538,90.594,90.235,90.037,89.301,89.226,90.145,90.602,90.834,91.907,92.015,92.96,93.25,94.212,95.039,95.911,97.231,98.432,99.274,100.674,101.62,102.485,103.606,104.596,104.186,105.349,106.66,107.75,109.46,111.063,112.686,114.813,111.22,108.91,107.997,109.2
"26","18","  Imports","B021RG3",14.707,15.742,16.585,17.151,17.551,17.611,17.437,17.157,16.771,16.597,16.525,16.59,16.901,17.26,17.815,18.643,20.194,21.28,21.896,21.983,21.087,20.745,20.382,20.047,19.872,19.678,19.588,19.591,19.815,19.906,20.032,20.048,19.799,19.812,19.852,19.912,19.969,20.124,20.245,20.436,20.525,20.539,20.417,20.212,19.729,19.524,19.497,19.55,19.585,19.681,19.775,19.968,19.909,19.903,20.002,19.948,19.969,19.948,19.928,19.919,19.691,19.723,19.653,19.756,19.936,20.023,20.141,20.252,20.433,20.536,20.507,20.57,20.736,20.648,20.792,21.011,21.111,21.334,21.277,21.403,21.397,21.344,21.351,21.364,21.506,21.669,21.713,21.868,21.959,22.055,22.215,22.787,23.028,23.291,23.861,24.101,24.708,24.793,25.097,25.471,25.903,26.574,27.002,27.6,28.412,30.649,32.109,34.523,39.999,44.584,46.872,48.371,49.133,49.261,48.164,48.238,49.026,49.777,50.67,51.189,52.984,54.451,55.172,55.735,56.669,58.042,59.008,60.043,62.387,65.63,70.525,75.194,81.465,84.418,86.785,88.294,90.557,91.101,88.723,88.909,88.645,87.089,86.051,85.39,83.595,83.595,83.754,83.22,83.469,83.933,82.443,81.435,79.487,79.832,79.762,81.318,81.469,78.946,79.493,80.48,82.558,84.722,85.588,86.922,88.153,89.719,88.726,89.446,90.876,91.875,90.303,90.772,92.175,90.55,93.178,98.351,95.341,92.715,91.324,91.75,92.184,92.547,93.724,92.969,92.405,92.726,91.905,91.54,91.495,92.36,93.912,94.269,95.05,96.416,95.812,94.95,94.747,94.254,93.301,93.261,92.549,90.622,90.025,89.313,87.108,86.047,84.938,84.899,84.67,85.682,86.715,87.931,89.542,89.522,90.154,90.633,90.225,88.51,87.127,85.185,85.013,86.843,87.367,87.914,90.41,89.114,89.546,90.114,92.123,93.415,94.385,96.654,97.47,98.831,100.863,102.836,103.243,104.322,105.121,103.889,104.711,106.332,107.937,113.088,117.234,123.069,125.203,112.73,103.746,104.821,107.674
"27","19","    Goods","B255RG3",14.367,15.752,16.868,17.613,17.991,18.048,17.822,17.475,17.052,16.852,16.769,16.859,17.33,17.78,18.463,19.475,21.389,22.804,23.663,23.852,22.394,22.006,21.582,21.204,21.021,20.827,20.772,20.831,21.091,21.238,21.441,21.472,21.183,21.216,21.272,21.34,21.406,21.591,21.716,21.967,22.004,22.018,21.851,21.579,20.941,20.66,20.621,20.663,20.589,20.77,20.923,21.205,21.144,21.107,21.137,20.987,20.954,20.882,20.875,20.862,20.514,20.472,20.307,20.282,20.413,20.502,20.644,20.768,21.079,21.194,21.113,21.162,21.236,21.058,21.218,21.453,21.476,21.796,21.714,21.895,21.813,21.729,21.729,21.735,21.883,22.049,22.03,22.211,22.345,22.432,22.56,23.322,23.59,23.827,24.56,24.842,25.284,25.219,25.492,25.786,26.432,27.239,27.664,28.245,29.108,31.461,32.896,35.694,42.296,47.917,50.694,52.369,53.246,53.193,51.577,51.451,52.451,53.406,54.36,54.849,56.964,58.642,59.352,59.811,60.847,62.311,63.099,64.17,66.882,70.574,76.234,81.609,88.788,92.306,94.859,96.667,99.511,100.104,96.901,96.849,96.414,94.64,93.616,92.806,90.488,90.51,90.691,90.008,90.248,90.86,89.511,88.589,86.265,86.239,85.557,87.011,86.418,82.945,83.4,84.581,87.579,90.187,91.037,92.598,93.67,95.492,94.308,95.146,97.243,98.596,96.525,96.847,98.141,95.681,98.4,104.138,100.174,97.365,95.465,95.862,96.192,96.471,97.359,96.716,96.042,96.234,95.349,94.793,94.704,95.739,97.24,97.521,98.714,99.806,98.989,97.963,97.602,96.886,95.583,95.376,94.619,92.259,91.712,90.936,88.652,87.201,85.825,85.527,85.268,86.223,87.297,88.71,90.581,90.662,91.339,91.929,91.377,89.407,87.674,85.47,85.198,87.065,87.394,88.065,90.696,88.591,88.975,89.64,91.821,93.148,94.04,96.477,97.293,98.672,100.837,103.198,103.394,104.419,105.238,103.779,104.644,106.219,107.803,113.517,118.114,124.224,126.362,112.592,102.402,103.777,106.964
"28","20","    Services","B656RG3",15.812,15.717,15.722,15.814,16.289,16.371,16.363,16.272,15.992,15.878,15.818,15.799,15.652,15.772,15.968,16.222,16.684,16.859,16.931,16.894,17.182,16.993,16.787,16.55,16.388,16.197,16.052,15.967,16.114,16.109,16.107,16.095,15.933,15.915,15.923,15.965,16.006,16.101,16.203,16.287,16.453,16.463,16.416,16.331,16.128,16.048,16.033,16.093,16.304,16.26,16.256,16.284,16.233,16.279,16.482,16.583,16.687,16.746,16.706,16.701,16.684,16.835,16.938,17.257,17.513,17.592,17.657,17.735,17.663,17.735,17.805,17.89,18.225,18.325,18.427,18.596,18.854,18.855,18.854,18.856,19.011,19.025,19.045,19.071,19.186,19.33,19.522,19.599,19.588,19.697,19.925,20.009,20.173,20.48,20.636,20.755,21.705,22.159,22.524,23.084,22.923,23.186,23.603,24.218,24.832,26.601,28.073,29.146,30.818,32.028,32.722,33.643,34.059,34.688,35.13,35.809,35.942,36.037,36.709,37.31,37.973,38.676,39.412,40.315,40.876,41.904,43.461,44.339,45.347,46.959,49.103,51.232,54.212,55.164,56.844,57.347,57.658,58.011,58.345,59.259,59.515,58.699,57.693,57.533,57.402,57.361,57.446,57.406,57.651,57.617,55.793,54.615,53.941,55.356,57.155,58.948,61.429,62.136,62.97,63.263,62.267,62.933,63.799,64.355,65.997,66.684,66.347,66.668,65.936,65.778,65.841,66.731,68.379,69.384,71.572,74.74,74.775,72.878,73.146,73.649,74.408,75.041,77.186,76.058,75.912,76.697,76.142,76.502,76.633,76.825,78.551,79.215,78.237,80.739,81.056,80.907,81.388,81.878,82.478,83.194,82.695,82.771,81.942,81.523,79.685,80.454,80.593,81.783,81.722,83.029,83.877,84.114,84.411,83.892,84.3,84.233,84.562,84.111,84.421,83.784,84.117,85.772,87.283,87.181,88.966,91.839,92.507,92.566,93.702,94.813,96.188,97.589,98.408,99.679,101.007,100.906,102.446,103.817,104.505,104.455,105.04,106.894,108.616,110.901,112.797,117.278,119.415,113.238,109.655,109.471,110.91
"29","21","Government consumption expenditures and gross investment","B822RG3",8.905,8.923,8.784,8.887,9.037,9.117,9.325,9.394,9.571,9.501,9.383,9.474,9.417,9.37,9.515,9.65,10.11,10.029,10.103,10.23,10.121,10.269,10.39,10.504,10.428,10.447,10.397,10.446,10.512,10.609,10.696,10.782,10.849,11.038,11.176,11.311,11.506,11.688,11.807,11.865,12.091,12.202,12.284,12.358,12.443,12.569,12.67,12.725,12.707,12.669,12.605,12.63,12.68,12.727,12.862,12.969,12.978,13.048,13.074,13.162,13.301,13.35,13.41,13.531,13.612,13.654,13.639,13.857,13.946,14.007,14.148,14.178,14.272,14.336,14.48,14.688,14.791,14.916,15.181,15.285,15.387,15.559,15.743,15.993,16.189,16.388,16.617,16.886,17.025,17.32,17.727,17.998,18.491,18.797,19.111,19.382,19.927,20.296,20.578,20.882,21.582,21.798,22.067,22.511,22.965,23.384,23.78,24.249,24.793,25.499,26.372,27.246,27.814,28.318,28.797,29.414,29.825,30.236,30.609,31.207,31.83,32.325,32.7,33.478,33.902,34.377,34.874,35.525,36.231,36.954,38.002,39.111,40.044,41.085,42.012,43.536,44.625,45.43,45.971,47.046,47.787,48.472,49.06,49.781,50.103,50.534,50.968,51.263,52.645,53.157,53.585,53.889,54.577,54.814,54.995,55.512,55.591,55.741,56.046,56.532,57.007,57.351,57.805,58.001,58.502,58.984,59.242,59.568,60.326,60.753,61.13,61.488,62.384,62.979,63.622,64.636,65.131,65.332,65.802,66.161,66.621,67.149,67.563,67.773,68.312,68.773,69.175,69.536,70.069,70.624,71.014,71.57,72.158,72.53,72.817,73.508,74.323,74.132,74.505,74.993,75.509,75.663,75.875,76.371,76.444,76.634,77.013,77.427,78.185,78.993,79.722,80.448,81.576,81.986,82.864,83.625,84.268,84.656,84.98,85.15,86.064,86.647,87.153,88.147,90.122,90.361,90.844,91.272,92.767,93.889,95.041,96.425,98.167,99.248,100.686,101.898,103.232,104.644,105.437,106.055,107.888,109.129,109.854,111.336,113.038,114.772,115.963,114.233,113.924,114.051,114.323
"30","22","  Federal","B823RG3",10.413,10.347,9.963,9.949,9.991,10.002,10.142,10.163,10.561,10.547,10.34,10.565,10.528,10.378,10.421,10.442,11.036,10.79,10.814,10.952,10.785,10.957,11.05,11.226,11.065,11.106,11.034,11.117,11.234,11.265,11.373,11.477,11.633,11.925,12.044,12.188,12.359,12.571,12.649,12.671,12.981,13.056,13.162,13.299,13.472,13.62,13.749,13.811,13.677,13.594,13.478,13.506,13.505,13.543,13.75,13.91,13.874,13.908,13.885,13.964,14.084,14.129,14.218,14.377,14.439,14.458,14.405,14.724,14.842,14.9,15.117,15.12,15.177,15.228,15.401,15.709,15.73,15.746,16.077,16.104,16.081,16.271,16.437,16.757,16.91,17.12,17.437,17.681,17.71,17.971,18.498,18.724,19.326,19.551,19.859,20.06,20.792,21.212,21.528,22.001,23.098,23.284,23.458,24.044,24.43,24.804,25.287,25.799,26.181,26.743,27.624,28.71,29.35,29.765,30.333,31.184,31.546,31.913,32.411,33.338,34.06,34.491,34.637,35.78,36.127,36.497,36.992,37.935,38.482,39.067,39.856,41.502,42.259,43.238,43.94,46.164,46.952,47.671,48.194,49.845,50.531,51.156,51.587,52.464,52.758,53.089,53.458,53.566,55.719,56.241,56.657,56.814,57.553,57.532,57.446,58.01,57.867,57.856,57.953,58.077,58.473,58.574,58.755,58.765,59.46,59.917,59.997,60.161,61.184,61.38,61.753,61.699,62.619,63.198,63.638,64.738,65.599,65.718,66.254,66.709,67.526,68.009,68.469,68.4,69.047,69.52,70.191,70.561,70.978,71.814,71.798,72.309,73.157,73.252,73.521,74.938,75.968,75.335,75.63,76.118,76.846,76.924,77.012,77.407,77.683,77.822,78.042,78.177,79.179,79.636,80.089,80.642,82.08,81.833,82.901,83.283,83.661,83.895,84.378,84.871,86.909,87.094,87.129,88.14,90.63,90.869,91.144,91.454,93.996,95.18,95.755,96.408,99.173,99.68,100.42,100.728,103.101,104.187,104.502,104.637,106.808,107.737,107.896,108.577,110.077,111.265,111.784,110.628,111.084,111.214,111.599
"31","23","    National defense","B824RG3",10.464,10.462,9.604,9.619,9.8,9.898,10.091,10.154,10.392,10.334,10.223,10.341,10.302,10.165,10.316,10.471,10.85,10.629,10.658,10.811,10.565,10.736,10.821,10.995,10.811,10.852,10.779,10.857,11.015,11.024,11.156,11.262,11.382,11.683,11.852,12.012,12.203,12.41,12.466,12.51,12.838,12.886,12.994,13.11,13.27,13.387,13.54,13.602,13.433,13.361,13.266,13.301,13.285,13.326,13.49,13.661,13.59,13.642,13.608,13.692,13.779,13.833,13.934,14.041,14.154,14.161,14.082,14.439,14.509,14.516,14.726,14.73,14.788,14.866,15.059,15.381,15.349,15.351,15.724,15.715,15.673,15.867,16.042,16.393,16.476,16.674,16.98,17.205,17.233,17.518,18.032,18.246,18.757,18.937,19.27,19.499,20.215,20.611,20.937,21.476,22.821,23.007,23.182,23.826,24.174,24.614,25.199,25.66,26.12,26.597,27.578,28.597,29.153,29.486,30.03,30.852,31.277,31.676,32.187,33.09,33.793,34.209,34.33,35.61,36.088,36.502,37.061,37.982,38.547,39.164,40.027,41.673,42.47,43.57,44.206,46.47,47.193,48.034,48.607,50.333,51.024,51.713,52.153,52.921,53.204,53.613,54.026,54.256,56.976,57.514,57.907,58.016,58.709,58.549,58.49,59.037,58.744,58.558,58.591,58.673,59.126,59.195,59.346,59.279,59.91,60.316,60.395,60.682,61.663,61.784,62.156,61.923,63.028,63.477,64.057,65.106,65.668,65.732,66.408,67.081,68.037,68.552,69.021,68.477,68.956,69.453,70.046,70.392,70.698,71.489,71.566,71.998,72.657,72.851,73.165,73.972,75.388,75.1,75.398,75.84,76.462,76.445,76.443,76.716,77.098,77.217,77.365,77.63,78.645,79.043,79.397,79.815,81.421,81.361,82.141,82.361,83.037,83.175,83.677,84.046,85.848,86.244,86.471,87.932,90.201,90.473,90.796,91.165,93.453,94.651,95.316,96.159,99.135,99.669,100.397,100.799,103.336,104.499,104.883,104.965,107.089,108.172,108.493,109.389,110.857,112.402,113.059,111.334,111.584,111.664,112.189
"32","24","    Nondefense","B825RG3",9.69,9.343,10.635,10.54,10.023,9.774,9.774,9.689,10.488,10.594,10.161,10.658,10.647,10.491,10.199,9.709,11.179,10.736,10.669,10.645,11.125,11.305,11.455,11.614,11.648,11.685,11.621,11.73,11.562,11.737,11.667,11.751,12.119,12.323,12.125,12.155,12.184,12.4,12.613,12.488,12.653,12.903,12.976,13.238,13.475,13.827,13.787,13.867,13.975,13.845,13.645,13.635,13.701,13.718,14.133,14.233,14.376,14.312,14.351,14.397,14.679,14.672,14.705,15.074,14.916,14.985,15.042,15.203,15.502,15.743,15.976,15.973,16.019,15.98,16.083,16.334,16.535,16.6,16.764,16.934,16.992,17.153,17.27,17.444,17.888,18.136,18.486,18.798,18.83,18.981,19.534,19.792,20.728,21.115,21.32,21.41,22.171,22.663,22.943,23.207,23.566,23.745,23.915,24.342,24.823,25.016,25.226,25.859,26.04,26.821,27.442,28.677,29.512,30.119,30.738,31.651,31.859,32.148,32.607,33.584,34.34,34.8,35,35.831,35.891,36.16,36.512,37.493,37.998,38.507,39.128,40.765,41.424,42.139,42.97,45.09,46.014,46.46,46.865,48.329,48.997,49.454,49.851,50.999,51.311,51.447,51.721,51.526,52.065,52.584,53.085,53.383,54.237,54.595,54.426,55.039,55.332,55.835,56.124,56.37,56.605,56.803,57.078,57.327,58.225,58.852,58.933,58.705,59.869,60.293,60.675,61.151,61.54,62.47,62.518,63.745,65.421,65.682,65.843,65.744,66.239,66.657,67.097,68.142,69.166,69.579,70.42,70.843,71.507,72.438,72.219,72.902,74.149,74.042,74.217,76.913,77.13,75.773,76.067,76.654,77.601,77.87,78.136,78.771,78.838,79.013,79.378,79.252,80.236,80.807,81.449,82.26,83.379,82.785,84.387,85.075,84.897,85.311,85.758,86.481,88.956,88.754,88.435,88.611,91.508,91.68,91.858,92.05,95.108,96.264,96.651,96.915,99.255,99.702,100.466,100.577,102.622,103.551,103.728,103.972,106.243,106.858,106.678,106.908,108.469,108.922,109.149,109.198,110.085,110.32,110.408
"33","25","  State and local","B829RG3",7.233,7.357,7.515,7.759,8.039,8.206,8.503,8.635,8.541,8.404,8.39,8.336,8.261,8.322,8.569,8.823,9.13,9.289,9.46,9.582,9.589,9.703,9.898,9.884,9.987,9.956,9.954,9.936,9.909,10.137,10.194,10.251,10.173,10.212,10.384,10.511,10.75,10.898,11.083,11.194,11.308,11.475,11.525,11.514,11.487,11.588,11.656,11.702,11.832,11.85,11.851,11.872,11.985,12.042,12.096,12.141,12.203,12.318,12.402,12.504,12.669,12.726,12.75,12.828,12.934,13.006,13.035,13.139,13.198,13.264,13.325,13.383,13.517,13.596,13.711,13.821,14.009,14.247,14.447,14.633,14.874,15.029,15.235,15.412,15.657,15.847,15.987,16.286,16.537,16.869,17.164,17.483,17.88,18.263,18.585,18.916,19.304,19.632,19.886,20.06,20.461,20.702,21.041,21.382,21.881,22.33,22.665,23.103,23.755,24.556,25.42,26.149,26.666,27.226,27.643,28.105,28.546,28.983,29.274,29.655,30.209,30.744,31.268,31.801,32.275,32.815,33.311,33.768,34.574,35.384,36.598,37.349,38.393,39.473,40.555,41.587,42.887,43.752,44.309,44.953,45.735,46.465,47.172,47.773,48.117,48.63,49.117,49.563,50.332,50.836,51.273,51.695,52.346,52.793,53.193,53.674,53.933,54.213,54.689,55.474,56.014,56.558,57.238,57.588,57.933,58.435,58.831,59.284,59.841,60.447,60.827,61.501,62.381,62.989,63.786,64.74,64.961,65.225,65.647,65.938,66.145,66.705,67.085,67.491,67.953,68.406,68.63,68.986,69.597,69.977,70.623,71.207,71.633,72.171,72.469,72.735,73.425,73.493,73.911,74.397,74.795,74.99,75.269,75.821,75.785,76.003,76.466,77.025,77.659,78.644,79.514,80.328,81.299,82.038,82.821,83.771,84.548,85.013,85.256,85.259,85.602,86.385,87.133,88.12,89.822,90.061,90.661,91.155,92.053,93.139,94.624,96.432,97.578,98.993,100.842,102.588,103.307,104.916,105.99,106.892,108.527,109.949,111.009,112.975,114.803,116.877,118.493,116.396,115.587,115.713,115.909
