"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 03, 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:26:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",535089,565422,615931,669131,747398,845564,874621,931569,960146,992988,1023912
"9",NA,"          By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",535089,565422,615931,669131,747398,845564,874621,931569,960146,992988,1023912
"11","3","  Private industries","B4903C0",362229,381193,424680,464047,526052,592060,598176,631247,642179,655110,669678
"12","4","    Agriculture, forestry, fishing, and hunting","N4904C0",1513,2596,1996,2632,2669,2654,4061,3220,4279,4212,4232
"13","5","    Mining","N4905C0",3709,3702,3801,3777,3092,4424,5365,4777,6526,5841,6057
"14","6","    Utilities","N4906C0",3426,6611,6629,9142,11708,11528,12644,11837,13952,13171,13603
"15","7","    Construction","N4907C0",22175,24490,28391,29628,28402,31211,33860,36770,36345,37104,37773
"16","8","    Manufacturing","N4908C0",88245,93949,101273,105364,126508,153537,134261,134557,130261,138192,141660
"17","9","      Durable goods","N4909C0",60205,62391,68499,66866,78329,101975,85019,86445,80835,87573,89750
"18","10","      Nondurable goods","N4910C0",28040,31558,32774,38498,48179,51562,49242,48111,49427,50619,51910
"19","11","    Wholesale trade","N4911C0",32986,24319,25845,25681,28365,28755,29924,33896,33644,34550,35444
"20","12","    Retail trade","N4912C0",35118,31571,31200,32969,39606,47299,46302,50386,50072,50946,51648
"21","13","    Transportation and warehousing","N4913C0",18623,21218,22838,23980,23711,27144,29415,32451,31127,31944,32620
"22","14","    Information","N4914C0",15925,15895,14926,17812,21404,29510,30083,28821,27621,30713,30495
"23","15","    Finance, insurance, real estate, rental, and leasing","N4915C0",36824,40342,45060,52031,62916,57031,60321,69010,71489,70477,73561
"24","16","    Professional and business services \1\","N4916C0",43170,41372,64135,74625,78839,85599,82820,92021,100624,97668,100975
"25","17","    Educational services, health care, and social assistance","N4918C0",40236,49612,50267,55333,65798,77198,87834,92892,98702,98618,100571
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N4919C0",9230,14223,14976,16680,17515,20659,23376,22427,20570,23022,22436
"27","19","    Other services, except government","N4929C0",11050,11292,13343,14392,15516,15510,17912,18184,16964,18651,18603
"28","20","  Government","B4918C0",172859,184229,191251,205084,221346,253504,276445,300322,317967,337878,354234
"29","21","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"          By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22","Employer contributions for employee pension and insurance funds","B040RC0",535089,565422,615931,669131,747398,845564,874621,931569,960146,992988,1023912
"32","23","  Pension and profit-sharing","B4934C0",212173,210279,221860,240846,288395,342968,335040,352596,373264,389150,409950
"33","24","    Private pension and profit-sharing","B4921C0",104749,102518,112742,129929,168769,204120,184940,190096,198473,197574,205694
"34","25","      Defined benefit pension and profit-sharing","W350RC0",33464,28581,32446,47537,83541,117156,92722,89767,88409,83104,88921
"35","26","      Defined contribution pension and profit-sharing","W351RC0",71285,73937,80296,82392,85228,86964,92218,100329,110064,114470,116773
"36","27","    Publicly administered government employee retirement plans","B4935C0",107424,107761,109118,110917,119626,138848,150100,162500,174791,191576,204256
"37","28","      Federal civilian \2\","B4945C0",39079,39984,41252,42329,43876,41242,47548,48589,52267,54332,56855
"38","29","      Federal military \3\","B1583C0",26298,26587,28221,29403,33700,41170,46754,52057,55333,60465,65978
"39","30","      State and local","S251100",42047,41190,39645,39185,42050,56436,55798,61854,67191,76779,81423
"40","31","  Private insurance funds","B4936C0",322916,355143,394071,428285,459003,502596,539580,578973,586882,603838,613962
"41","32","    Group insurance","B4922C0",280251,311791,348429,378542,404390,442108,476463,511677,523771,544003,557560
"42","33","      Group health insurance","B4923C0",268809,300228,336066,365498,392074,430680,463868,498499,507777,526297,544575
"43","34","      Group life insurance","B4924C0",11442,11563,12363,13044,12316,11428,12595,13178,15994,17706,12985
"44","35","    Workers' compensation","B4925C0",40585,41412,43799,47992,52915,58756,61350,65573,61414,58148,54717
"45","36","    Supplemental unemployment","B4926C0",2080,1940,1843,1751,1698,1732,1767,1723,1697,1687,1685
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","  Benefits paid by pension and insurance funds","B4928C0",764023,822275,890455,955726,1025090,1100449,1186348,1265117,1357983,1426587,1488570
"48","38","    Pension and profit-sharing","B4937C0",397168,423870,454351,486355,521391,550687,597593,635706,711349,749459,779749
"49","39","      Private pension and profit-sharing","B4929C0",236428,253320,271003,290020,310672,322520,354502,376381,433486,450825,461645
"50","40","      Publicly administered government employee retirement plans","B4938C0",160740,170550,183348,196335,210719,228167,243091,259325,277863,298634,318104
"51","41","        Federal civilian \2\","B4946C0",45871,47274,49779,51675,53028,54665,58285,62187,67270,71901,74425
"52","42","        Federal military \3\","B1593C0",31457,32189,33226,34650,36418,40926,43139,46150,48528,52181,55404
"53","43","        State and local","S121000",83412,91087,100343,110010,121273,132576,141667,150988,162065,174552,188275
"54","44","    Private insurance funds","B4939C0",366855,398405,436104,469371,503699,549762,588755,629411,646634,677128,708821
"55","45","      Group insurance","B4940C0",330893,360154,396983,427785,461815,506827,545359,586679,604600,633804,664474
"56","46","        Group health insurance","B4930C0",312625,340010,379965,410920,444037,488376,527588,567180,584574,613038,642940
"57","47","        Group life insurance","B4931C0",18268,20144,17018,16865,17778,18451,17771,19499,20026,20766,21534
"58","48","      Workers' compensation","B4932C0",33933,36368,37355,39744,40005,41112,41646,41061,40394,41709,42752
"59","49","      Supplemental unemployment","B4933C0",2029,1883,1766,1842,1879,1823,1750,1671,1640,1615,1595
"60","50","  Employee contributions for publicly administered government employee retirement plans","B4941C0",32245,34536,36650,38578,41973,45086,47502,49577,52445,55321,57914
"61","51","    Federal civilian","B4947C0",9547,10254,10934,11526,13457,15010,16625,17748,19073,19911,20307
"62","52","    State and local","S251200",22698,24282,25716,27052,28516,30076,30877,31829,33372,35410,37607
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Consists of civil service, foreign service, Public Health Service officers, Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Valley Authority, Thrift Savings Fund, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Includes the Coast Guard.  Beginning with October 2002, includes the Uniformed Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
