"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1951 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 7, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:24:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"Opening balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Produced assets","K160011",987.4,1084.1,1130,1164.2,1209.3,1305,1414.4,1480.2,1525.9,1581.4,1630.3,1688.3,1763.6,1822.7,1934.6,2066.1,2240.9,2406.2,2635.5,2872.2,3115.1,3433,3779.5,4313.4,5126,5514.9,6006.1,6710.8,7622.1,8798,10003.9,10995.4,11551.5,11924.3,12595.3,13215.5,13970.6,14794.2,15709.3,16589.9,17357.3,17721.8,18460.5,19390.5,20576.8,21581.8,22600.6,23784,25074.3,26704.6,28485.2,30012.3,31492.8,33240.6,36691.9,40347,43568.7,45456.8
"10","2","  Fixed assets","K160021",873,956.7,1011.1,1047.2,1094.2,1189.1,1289.8,1352.4,1394.4,1448.3,1493.9,1548.5,1616.2,1672.8,1780.1,1896.7,2055.3,2211.5,2427.5,2644.8,2879.4,3179.4,3495.9,3961.8,4720.4,5106.4,5566.6,6228.8,7051.2,8130.4,9264.9,10216.3,10777.7,11127.4,11726.3,12339.5,13112.6,13869.9,14709.6,15545.6,16275.3,16664.6,17377.9,18274.5,19382.2,20324.6,21315.9,22456.6,23732.7,25272,26961.2,28565,30003.6,31694.9,35010.4,38542.4,41651.6,43386.3
"11","3","    Private","K160031",662.7,720.6,758.2,788.5,820.1,893.3,961.1,1009.6,1033.6,1077.3,1109.2,1144.5,1186,1221.9,1307,1393.3,1511.4,1623.8,1789.4,1942.4,2097.8,2332.9,2573.2,2924,3445.1,3766.4,4150,4723.4,5404.6,6255.7,7118.5,7858.2,8288.5,8579.1,9077.6,9575.7,10178.7,10780.8,11461.1,12120.2,12677.5,12945.1,13495.6,14211.6,15088.8,15820.5,16635.4,17552.7,18627.9,19866.7,21240.5,22585.5,23749.9,25180.6,27746.8,30600.9,32870.9,33928.9
"12","4","    Government","K160041",210.2,236.1,252.9,258.7,274.1,295.8,328.7,342.7,360.8,371.1,384.6,404,430.1,450.9,473.2,503.4,543.9,587.7,638.1,702.4,781.6,846.4,922.7,1037.9,1275.3,1340,1416.5,1505.5,1646.6,1874.7,2146.5,2358.1,2489.2,2548.3,2648.7,2763.8,2933.9,3089.2,3248.4,3425.5,3597.8,3719.6,3882.3,4062.9,4293.4,4504.1,4680.5,4903.9,5104.8,5405.2,5720.7,5979.5,6253.7,6514.3,7263.6,7941.4,8780.8,9457.4
"13","5","  Private inventories \1\","K160051",114.4,127.3,118.9,117,115,115.9,124.7,127.8,131.5,133.1,136.4,139.8,147.4,149.9,154.5,169.4,185.6,194.8,208.1,227.4,235.7,253.7,283.6,351.5,405.6,408.5,439.6,482,570.9,667.6,739,779.1,773.9,796.9,869,875.9,858,924.2,999.7,1044.3,1082,1057.2,1082.6,1116,1194.5,1257.2,1284.7,1327.3,1341.6,1432.7,1524,1447.3,1489.1,1545.7,1681.5,1804.6,1917.1,2070.6
"14",NA,"Accumulation of produced assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
