"","Table 6#10B# Employer Contributions for Government Social Insura","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:26:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Employer contributions for social insurance","B039RC0",3004,3349,3373,4094,4143,4210,4612,5174,5668,6368,6349,7855,9250,9610,11182,12405,12632,13093,16846,18019,19950,22754,23839,26446,31157,39783,44694,46724,54398,61104,71528,82587,88940,103610,109769,119882,139038,147734,157869,166260
"9","2","Domestic industries","B4802C0",3004,3350,3370,4094,4143,4208,4608,5169,5668,6368,6349,7855,9250,9610,11182,12405,12632,13093,16846,18019,19950,22754,23839,26446,31157,39783,44694,46724,54398,61104,71528,82587,88940,103610,109775,119883,139038,147734,157869,166260
"10","3","  Private industries","B4803C0",2464,2485,3225,3867,3906,3999,4331,4792,5306,5835,5649,7093,8391,8670,10179,11236,11384,11808,15118,15908,17481,19818,20461,22473,26698,34561,38682,39528,46371,52601,62211,72029,77325,89953,95166,103482,121078,128042,136370,143484
"11","4","    Agriculture, forestry, and fishing","B4804C0",5,5,8,19,21,22,28,42,45,50,63,73,89,96,107,124,130,137,167,180,193,216,228,257,288,375,445,481,562,597,639,709,809,890,906,946,1114,1195,1284,1409
"12","5","    Mining","B4805C0",72,64,82,97,97,93,97,110,123,129,113,131,146,142,155,167,160,166,210,213,225,254,268,287,325,422,529,631,693,806,992,1205,1434,1914,2238,2064,2411,2377,2097,1983
"13","6","    Construction","B4806C0",212,210,282,351,358,373,419,448,503,542,496,616,703,739,865,969,1008,1072,1328,1353,1493,1709,1765,1963,2322,3043,3228,3119,3560,3998,4913,5840,6056,6686,6642,7154,8639,9495,10215,10701
"14","7","    Manufacturing","B4807C0",1020,992,1347,1676,1678,1735,1815,2039,2205,2405,2289,2976,3505,3559,4214,4588,4610,4716,6187,6365,6908,7760,7621,8094,9667,12573,14031,13628,16074,18506,21719,24549,25404,29182,29735,32153,37606,38713,39845,40311
"15","8","      Durable goods","J4808C0",583,549,728,963,983,1024,1056,1211,1331,1455,1353,1821,2155,2147,2573,2803,2832,2900,3885,3966,4301,4835,4648,4876,5961,7895,8841,8458,10029,11814,14030,15940,16186,18629,18662,20167,24038,24948,25444,25418
"16","9","      Nondurable goods","J4809C0",437,443,619,713,695,711,759,828,874,950,936,1155,1350,1412,1641,1785,1778,1816,2302,2399,2607,2925,2973,3218,3706,4678,5190,5170,6045,6692,7688,8608,9217,10553,11073,11986,13568,13766,14401,14894
"17","10","    Transportation and public utilities","B4810C0",479,479,543,602,617,612,616,676,768,826,759,920,1037,1024,1146,1213,1225,1272,1569,1672,1852,2034,2167,2328,2709,3472,4350,4439,4992,5647,6465,7435,7951,9257,9895,10400,11805,12263,13028,13526
"18","11","      Transportation","J4811C0",413,402,443,487,499,498,487,540,617,655,587,713,794,770,855,889,908,944,1128,1202,1333,1436,1518,1596,1798,2320,2926,2927,3346,3830,4349,4931,5145,5848,5994,6227,7220,7511,8036,8358
"19","12","      Communication","J4812C0",41,47,60,67,70,67,77,82,93,105,101,119,139,144,167,185,184,194,259,279,306,360,397,448,553,682,856,913,992,1089,1276,1525,1702,2063,2379,2505,2693,2748,2845,2929
"20","13","      Electric, gas, and sanitary services","J4813C0",25,30,40,48,48,47,52,54,58,66,71,88,104,110,124,139,133,134,182,191,213,238,252,284,358,470,568,599,654,728,840,978,1104,1346,1523,1669,1893,2004,2148,2239
"21","14","    Wholesale trade","J4814C0",155,161,214,256,258,249,294,319,360,409,413,512,615,647,748,834,833,855,1128,1199,1320,1490,1564,1754,2074,2665,2549,2590,3767,4204,4964,5856,6412,7529,8132,8690,10263,10812,11426,11972
"22","15","    Retail trade","J4815C0",292,319,411,447,450,464,520,568,635,706,723,888,1073,1127,1339,1502,1528,1591,1945,2064,2252,2564,2728,3091,3663,4617,5162,5488,6355,7127,8348,9476,10049,11427,11865,13098,15232,16094,17198,18035
"23","16","    Finance, insurance, and real estate","J4816C0",72,83,120,142,143,146,178,195,220,253,256,315,389,427,512,576,581,603,765,826,941,1094,1188,1351,1623,2093,2408,2579,2891,3261,3876,4601,5188,6150,6763,7706,8961,9836,11289,12312
"24","17","    Services","J4817C0",157,172,218,277,284,305,364,395,447,515,537,662,834,909,1093,1263,1309,1396,1819,2036,2297,2697,2932,3348,4027,5301,5980,6573,7477,8455,10295,12358,14022,16918,18989,21270,25048,27256,29988,33234
"25","18","  Government","B4818C0",540,865,145,227,237,209,277,377,362,533,700,762,859,940,1003,1169,1248,1285,1728,2111,2469,2936,3378,3973,4459,5222,6012,7196,8027,8503,9317,10558,11615,13657,14609,16401,17960,19692,21499,22776
"26","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
