"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 24, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:05:30 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","A191RX1",977,892.8,834.9,725.8,716.4,794.4,865,977.9,1028,992.6,1072.8,1166.9,1366.1,1618.2,1883.1,2035.2,2012.4,1792.2,1776.1,1854.2,1844.7,2006,2161.1,2243.9,2347.2,2332.4,2500.3,2549.7,2601.1,2577.6,2762.5,2830.9,2896.9,3072.4,3206.7,3392.3,3610.1,3845.3,3942.5,4133.4,4261.8,4269.9,4413.3,4647.7,4917,4889.9,4879.5,5141.3,5377.7,5677.6,5855,5839,5987.2,5870.9,6136.2,6577.1,6849.3,7086.5,7313.3,7613.9,7885.9,8033.9,8015.1,8287.1,8523.4,8870.7,9093.7,9433.9,9854.3,10283.5,10779.8,11226,11347.2,11553,11840.7,12263.8,12638.4,12976.2,13254.1,13312.2
"9","2","Business \1\","A195RX1",655.4,589.4,545.6,462.5,452.7,506.2,556.9,633.3,675.3,642,702.4,770.3,905.6,1049.1,1162.6,1227.8,1206.3,1196,1223.9,1290.3,1277.8,1402.1,1492.7,1538.6,1613.7,1593.5,1722.5,1750.5,1780.3,1748.5,1892,1928.1,1965.8,2092.6,2189.2,2328,2492.3,2661,2712,2846.8,2934,2933.3,3046,3242.1,3469.4,3417.5,3385.6,3609.2,3810.1,4050.1,4184.6,4137.4,4252.5,4123.7,4345.8,4723.2,4942.5,5126.9,5295.7,5522.7,5727.3,5815.3,5764.3,5991.8,6185,6488.2,6670.8,6974.6,7335.7,7702.4,8132.8,8500.9,8569.1,8736.6,9005.9,9379.9,9695.5,9991.7,10215.3,10214.8
"10","3","  Nonfarm \2\","A358RX1",606.1,542.6,489,409,401.5,464.4,504.3,590.7,621.2,589,643.1,718.5,848,988.1,1109.6,1179.5,1157.3,1144.8,1188.1,1241,1233,1357.6,1459.8,1502.3,1575.4,1551.2,1682.1,1710.8,1744.9,1709.1,1857.1,1889.6,1927.3,2058.9,2155.2,2299.7,2462.6,2638.6,2684.1,2824.8,2910.9,2907.7,3018.2,3218.8,3454.8,3404.1,3348.6,3583.4,3783,4032.5,4159.7,4114.9,4202.5,4066.9,4328.5,4684.5,4886.4,5076.1,5245.2,5484.5,5678.1,5759.9,5707,5921.3,6128.2,6414.2,6617.8,6909.4,7261.4,7633.5,8060.6,8417.8,8491.9,8655.9,8914.8,9282,9593.5,9892.3,10123.7,10109.2
"11","4","  Farm","B359RX1",17.2,16.2,19.6,19.1,18.2,14.2,17.8,15.3,18.7,18.2,20.3,17.8,19.9,21.6,21,20.8,20.7,20.9,18.8,21.6,20.7,21.8,20.6,21.7,22.8,23.6,24.1,24.1,23.2,24,23.8,25.1,25.4,24.9,25.7,24.9,26.5,25.5,27.6,26.6,27.5,28.3,29.8,29.8,29.5,28.8,34.3,32.7,34.5,33.3,36.3,35.2,46.5,48.8,31.9,43.3,52.9,50.8,51.3,45.6,52.3,56,56.9,66.2,57.8,70.5,56.4,65.3,72.5,69.4,72.8,83.5,77.7,81.2,91.6,97.9,102,99.1,91.6,103.4
"12","5","Households and institutions","A193RX1",117.6,115.1,111.2,106.8,105.8,107.2,108.1,109.5,111,110.8,113.1,117.2,121.3,127.7,129.9,135.4,139.8,142.1,150.8,160.4,170.2,183.7,195.9,207.9,220.2,232.9,251.8,267.5,281.6,297.7,314.5,335.6,349.6,368.9,384,399.9,419.7,438.9,457.1,480.1,501.2,510.2,531.7,554.8,574.6,597.7,617.9,628.2,637.5,666.4,695.3,730.9,754.1,778.9,801,826.8,841.2,863.4,895.8,937.2,974.8,1009.6,1038.5,1071.4,1106.9,1140,1175.5,1199.8,1240.5,1280.2,1325.5,1376.2,1407,1417.3,1417.8,1457.4,1506.4,1539.8,1573.8,1598.6
"13","6","  Households","B701RX1",69.4,67.2,64.3,61.1,60.7,61.9,62.4,63,64,63.6,65.1,66.8,69.1,73.6,75.1,78.7,82,81.9,87.1,90.8,96.7,105.5,113.5,121.2,128.7,136.6,148.5,158.1,166.7,176.1,186.2,197.3,206.5,217.9,226.9,236,246.9,256.8,267.1,274.6,285.9,292.6,305.9,319.1,330.6,345,354.2,360.9,365,387.4,405,430.6,444.1,452.1,460.5,476.4,487.4,493.7,506.8,525.7,542,555.7,572,589,603.5,631.9,651.3,665.4,687.6,703.7,740.3,774.1,793.1,789.9,787.1,821.7,864.4,898,919.5,931.3
"14","7","  Nonprofit institutions serving households \3\","B702RX1",45.2,46.5,47,46.9,46.1,45.6,46.2,47.2,47.5,48.2,48.7,52.2,54.1,54.6,55,56.3,56.4,60.5,63.9,71.8,75.6,79.3,82.4,85.9,90.3,94.7,100.7,106.1,111.3,117.9,124.1,135.2,139.2,146.6,152.6,159.4,168.6,178.5,186.6,204.9,214.9,216.7,224.5,234.4,242.7,251,262.5,265.8,271.3,276.7,287.8,297.1,306.8,324.3,338.5,348.3,351.2,368,388,411.1,432.9,454.9,467.4,483.5,504.9,508.7,524.8,535,553.5,577.8,585.3,601.8,613.4,627.7,631.1,635.9,642,642,654.5,667.4
"15","8","General government \4\","A765RX1",172.3,180.4,183.6,181.2,191.2,215.8,230.1,269.4,256.9,277.1,282.3,295.7,363.4,555.7,912.4,1105.7,1109.5,601.5,473.9,453.9,452.2,458.5,548,594.1,605.3,606.1,608.4,619.9,632.9,639.3,648.1,670.5,694.2,721.3,742.8,768.4,794.2,843.9,888.7,923.6,947.2,950.8,952.4,950.6,954.9,974.4,990.1,998.7,1009.2,1028.5,1039.5,1054.4,1060.2,1071,1077.9,1091.3,1122.5,1150.1,1175.3,1205.8,1234.6,1266.2,1279.4,1283.7,1286.5,1286.8,1287.7,1289.8,1299.6,1314.3,1326.3,1349.4,1373.7,1401.4,1418.2,1426.8,1436.5,1445,1465.5,1497.5
"16","9","  Federal","A766RX1",38.2,41,39.2,37.5,46.3,61.6,68.3,112.8,97.8,110.4,112.6,123.2,187.5,378.8,734.3,929.1,929.6,435.6,307.4,283.9,271.2,271.2,357.1,398,400,390.3,381.4,377.6,376.4,365.9,362.8,369.8,377.6,393.2,396.7,400.7,403.4,429.9,457.9,465.7,467.1,447.1,426.5,405.8,390.7,389.4,387.3,387.9,389,393.9,393.5,399.7,405.9,412.5,422,431.6,443.9,451.8,463.6,469.3,475.1,483.8,486.7,476.5,467.4,452.2,435.1,423.2,415.2,410.4,407.1,410.5,412.1,420.2,431.5,435.8,438.7,438.4,441.8,459.2
