"","Table 7#20# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 16, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:31:01 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,"2007","2008"
"8","1","Revenue of nonprofit institutions, IRS \1\","W430RC1",682.1,728.1,764.5,849.1,917.8,987.3,997.1,1079,1149.8,1155.4,1214.4,1393.3,1495.6,1614.9,1778.5,".....","....."
"9","2","Less: Nonprofit revenue recorded by the IRS not included in nonprofit institution income and receipts from sales","W431RC1",251.2,264.8,275.3,324.7,359,386.1,361.2,394.3,406.9,342.4,344.3,476.6,518.5,559.6,615.7,".....","....."
"10","3","      Capital gains or losses","W432RC1",18.6,22.1,20.3,36.8,52,72.8,60.7,83.9,56.1,-0.8,-13.1,39.3,61.9,83.5,101.9,".....","....."
"11","4","      Adjustment for different accounting periods","W433RC1",8.1,4.6,4.8,1.6,8,2,7.7,12.2,13.1,8,4.2,15.3,17.1,23,14.8,".....","....."
"12","5","      Nonresident institutions","W434RC1",10.5,9.9,12.2,11.9,11.2,11.4,9.9,10.8,11.6,10.9,8.4,11.6,11.4,9.4,14.4,".....","....."
"13","6","      Government hospitals and schools \2\","W435RC1",51,55.9,63.3,68.2,64.8,64.2,66.9,60,77,79.6,88.2,116,124.4,129.4,137.9,".....","....."
"14","7","      Other out-of-scope activity \3\","W436RC1",137.5,145.3,148.4,178.3,190.5,201.4,173.8,179.9,194.1,185.4,196.3,231.9,239.8,245.5,268.2,".....","....."
"15","8","      Transfer receipts from nonprofit institutions \4\","W426RC1",25.4,26.9,26.3,28,32.5,34.3,42.2,47.5,55.1,59.3,60.3,62.6,63.9,68.8,78.5,"90.0","92.7"
"16","9","Plus: Nonprofit institution income not recorded by the IRS","W438RC1",29.3,30.2,33.9,34.8,36.7,36.4,40.7,42.1,47,51.5,51.7,50.7,54.2,56.6,58.5,".....","....."
"17","10","      Religious organizations \5\","W439RC1",27.6,29,32.7,33.5,35.1,35,38.7,40,45,48.8,49.7,49.4,54,56.8,59.2,".....","....."
"18","11","      Other organizations","W440RC1",1.5,1.5,1.6,1.7,1.8,1.9,1.9,1.9,1.8,1.7,1.7,2.3,2.1,2.2,2.4,".....","....."
"19","12","      Other accounting differences \6\","W428RC1",0.2,-0.2,-0.4,-0.4,-0.2,-0.5,0.1,0.2,0.3,1,0.3,-0.9,-1.9,-2.3,-3.2,".....","....."
"20","13","Equals: IRS-derived nonprofit institution income and receipts from sales","W441RC1",460.2,493.6,523.1,559.2,595.5,637.6,676.7,726.8,789.9,864.5,921.7,967.4,1031.3,1112,1221.3,".....","....."
"21","14","Nonprofit institution income, NIPAs \7\","W400RC1",131.7,135.3,142.9,151.3,170.9,188.8,196.7,221.8,248.7,241,240.8,243,270.6,294.7,305.9,"303.6","306.7"
"22","15","Plus: Receipts from sales of goods and services by nonprofit institutions, NIPAs \8\","DNPSRC1",308.5,328.7,342.3,356.2,373.1,397,419.6,439.9,466.6,501.8,544.7,574,617.7,660.6,693.3,"734.0","770.7"
