"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 24, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:16:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Government consumption expenditures \1\","A955RC1",6.5,6.8,6.9,6.6,6.7,7.8,8.1,9,9,9.6,10.3,10.7,15.7,34.2,55.8,68.7,68.9,36.1,31.7,33.5,36.9,36.9,50.4,61.3,66.5,63.6,65.5,68.5,75.3,79.5,80.7,83.3,88.2,96.8,102.7,108.6,115.9,131.8,149.5,165.7,178.2,190.1,204.7,220.8,234.8,261.7,294.6,316.6,346.6,376.5,412.3,465.9,520.6,568.1,610.5,657.6,720.1,776.1,815.1,852.8,902.9,966,1015.8,1050.4,1075.4,1108.9,1141.4,1176.7,1222.1,1263.2,1343.9,1426.6,1524.4,1639.9,1756.8,1860.4,1977.9,2093.3,2214.9,2386.9
"9","2","        Gross output of general government","W101RC1",7.1,7.5,7.6,7.2,7.8,9.7,10.1,12.1,11.5,12.9,13.3,13.3,18.2,36.4,58,71.5,73.6,40.9,33.7,35.4,38.9,39.2,53.3,64,69.4,66.7,69.4,72.2,79.7,84.4,85.9,88.7,93.9,103.2,109.8,116.3,124.6,141.9,160.2,177.8,191.6,204.9,221.3,240,256.4,285.8,320.4,344.9,378.1,412.5,454.1,512.9,574,627.7,676.2,728.6,797.6,860.2,906,952.3,1013.9,1088.3,1151.8,1200.3,1238.8,1285.3,1327.7,1372,1426.5,1477.8,1567.8,1669.5,1786.5,1913.5,2044,2164.5,2299.4,2431.3,2575.2,2772.5
"10","3","          Value added","W102RC1",5.2,5.4,5.5,5.2,5.5,6.5,6.9,8.4,8.1,8.8,8.9,9.1,11.2,18.4,31.6,40.8,45.1,32.8,27.8,27.2,28.3,28.6,35.8,40.4,42.2,43.5,45.8,49.1,52.4,55.8,58.3,62,66,70.7,75.5,81.1,86.6,96.8,107,118.8,130,143.5,156.4,169.4,183.2,201.3,224.5,243.5,264.6,287.5,313,348.5,385.3,419,445.4,485.1,523.4,556.3,591.5,630.6,672.2,722.7,767.6,801.9,831.2,859.9,884.8,911.3,940.3,972.5,1021.6,1078.8,1139.6,1211.4,1292.2,1359.3,1436.5,1512,1601.8,1688.4
"11","4","            Compensation of general government employees","A194RC1",4.4,4.6,4.7,4.5,4.7,5.6,6,7.3,6.9,7.7,7.6,7.8,9.5,15.2,25.6,32.3,35.3,22.4,17.6,18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.6,499.5,532.3,567.1,609.7,647.5,677.3,700.7,724.1,743.5,766.8,792.2,820.7,863.1,912,967.1,1034.1,1109.4,1165.9,1227.8,1287.3,1359.4,1428.9
"12","5","            Consumption of general government fixed capital \2\","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,5.9,8.6,9.8,10.4,10.2,9.1,8.2,7.4,8,8.9,9.7,10.4,11,11.9,12.7,12.9,13.4,13.9,14.4,15.2,16.1,16.7,17.4,18.3,19.6,21,22.5,24.1,25.5,26.3,27.8,31.6,34.9,37.1,39.6,42.8,46.9,53,60.1,66.2,70.1,74.7,79.7,85.6,92,98.3,105.1,112.9,120.1,124.7,130.5,135.8,141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,242.4,259.5
"13","6","          Intermediate goods and services purchased \3\","W104RC1",2,2.1,2.1,2,2.3,3.2,3.1,3.7,3.5,4,4.4,4.1,7,18,26.4,30.7,28.5,8,5.8,8.1,10.6,10.6,17.5,23.6,27.2,23.3,23.7,23,27.3,28.6,27.6,26.7,27.9,32.5,34.3,35.3,38,45.2,53.2,59,61.6,61.3,64.9,70.6,73.1,84.5,95.9,101.4,113.5,125.1,141.1,164.4,188.7,208.8,230.9,243.5,274.2,303.9,314.5,321.7,341.7,365.7,384.2,398.4,407.6,425.4,443,460.7,486.2,505.2,546.2,590.7,646.8,702.1,751.8,805.2,863,919.4,973.5,1084.1
"14","7","            Durable goods","W105RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.4,0.4,0.4,1.8,7.4,13.3,13.6,13.8,0.7,0.5,1,1.2,2,4.7,8.3,9.4,7.2,6.3,6.4,7.1,7.5,5.6,4.9,4.2,5.3,5.6,5,5.3,7.5,7.5,8.9,8.1,7.9,6.7,8.1,8.2,8.3,9.5,9.8,12.3,14.4,16.8,18.8,22.9,26.8,33.1,35.8,38.6,42.1,44.7,45.1,44.7,45.1,45.3,43.3,41.8,39,38.1,38.5,39.5,41.1,43.9,45,46.4,47.8,49.5,53.1,54.6,58.7,63,71.2
"15","8","            Nondurable goods","W106RC1",0.9,1,1,1,1.1,1.5,1.5,1.7,1.6,1.8,2.1,2,2.4,7.5,9.8,11.8,8.7,2.4,2.2,3.2,4.8,3.7,4.6,5.4,8.7,7.6,6.6,4.9,5.5,5.9,8.7,6.9,6.9,8.8,8.4,8.9,9.7,10.9,14.7,17.3,18.4,16.4,16.7,18.1,18.6,23.3,26.7,29.3,33.2,36,41.5,51.2,60.2,59,61.8,59.6,65.1,68.3,66.5,62.3,74.3,80.5,83,85.4,89.5,91.9,99.4,106.1,111.6,114.4,123.2,144.9,155.4,159.7,171.2,189.3,217.6,233.7,252.5,296.5
