"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 24, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2009 10:03:20 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Personal consumption expenditures","DPCERL1",-5.4,-3.1,-9,-2.2,7.1,6.1,10.2,3.7,-1.6,5.6,5.2,7.1,-2.4,2.8,2.8,6.2,12.4,1.9,2.3,2.8,6.4,1.6,3.2,4.8,2.1,7.4,2.9,2.5,0.9,5.7,2.7,2.1,4.9,4.1,6,6.3,5.7,3,5.8,3.7,2.3,3.8,6.2,5,-0.8,2.3,5.6,4.2,4.4,2.4,-0.4,1.5,1.4,5.7,5.3,5.2,4.1,3.1,4,2.8,2,0.1,3.4,3.6,3.8,2.7,3.5,3.7,5.2,5.5,5.1,2.7,2.7,2.8,3.5,3.4,2.9,2.6,-0.2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Goods","DGDSRZ2",-4.45,-1.95,-6.04,-0.37,4.85,4.55,7.5,1.72,-1.27,3.87,3.5,4.57,-4.59,-0.56,0.42,3.82,10.46,1.75,1.24,1.83,4.67,-0.73,1.34,3.01,0.61,5.18,0.85,0.96,-0.57,3.41,0.95,0.34,2.68,2.07,3.08,3.65,3.28,1.01,3.15,1.55,0.4,2.05,3.18,2.52,-1.8,0.33,3.3,2.03,1.93,0.75,-1.18,0.53,0.31,2.72,3.04,2.22,2.31,0.74,1.5,1,0.25,-0.77,1.18,1.52,1.92,1.09,1.62,1.72,2.41,2.83,1.9,1.12,1.42,1.58,1.54,1.4,1.13,1.08,-0.71
"12","3","  Durable goods","DDURRZ2",-2.17,-1.48,-2.34,-0.21,1.19,1.84,2.17,0.57,-1.92,1.76,1.54,1.8,-4.72,-0.88,-0.6,0.8,6.03,2.04,0.88,1.14,3.16,-1.4,-0.33,1.64,-0.06,2.99,-0.59,0.14,-1.11,1.57,0.28,-0.46,1.47,1.25,1.32,1.77,1.23,0.22,1.61,0.56,-0.39,1.39,1.79,1.55,-0.96,0.03,1.71,1.28,0.78,-0.07,-1.12,0.13,-0.02,1.72,1.82,1.35,1.33,0.28,0.81,0.31,-0.06,-0.69,0.68,0.89,0.98,0.5,0.94,1.03,1.54,1.68,1.16,0.72,0.99,0.78,0.84,0.65,0.5,0.51,-0.52
"13","4","    Motor vehicles and parts","DMOTRZ2",-1.31,-0.72,-1,0.38,0.58,1.04,0.81,0.06,-1.37,0.94,0.86,0.55,-3.76,0.02,-0.06,0.17,2.15,1.27,0.53,1.3,1.72,-1.1,-0.59,1.24,-0.27,1.98,-1.03,0.27,-1.06,0.99,0.36,-0.59,0.97,0.73,0.35,0.98,0.11,-0.15,0.91,0.23,-0.64,1.04,0.84,0.6,-1.03,-0.03,1.04,0.62,0.28,-0.37,-0.72,0.11,0.13,0.92,0.88,0.76,0.46,-0.26,0.35,-0.01,-0.09,-0.64,0.38,0.27,0.32,-0.08,0.25,0.35,0.54,0.49,0.17,0.27,0.28,0.15,0.08,-0.02,-0.15,0.06,-0.54
"14","5","    Furnishings and durable household equipment","DFDHRZ2",-0.84,-0.11,-0.74,-0.24,0.33,0.53,0.98,0.16,-0.46,0.53,0.45,0.79,-0.93,-1,-0.45,0.31,2.53,0.85,0.34,-0.13,0.86,-0.31,-0.02,0.17,0,0.66,0.26,-0.1,-0.06,0.32,-0.07,0.03,0.25,0.29,0.52,0.31,0.4,0.11,0.28,0.1,-0.01,0.19,0.44,0.46,-0.02,-0.23,0.25,0.37,0.22,0.17,-0.16,-0.07,-0.16,0.29,0.35,0.19,0.28,0.15,0.13,0.17,-0.05,-0.07,0.1,0.15,0.16,0.13,0.13,0.13,0.24,0.33,0.29,0.15,0.22,0.19,0.24,0.17,0.16,0.06,-0.08
"15","6","    Recreational goods and vehicles","DREQRZ2",0.11,-0.33,-0.37,-0.13,0.12,0.12,0.27,0.16,-0.1,0.2,0.14,0.25,-0.15,-0.23,-0.06,0.14,1.02,0.02,-0.02,0.01,0.5,-0.05,0.17,0.2,0.15,0.25,0.11,-0.05,-0.01,0.22,-0.01,0.08,0.13,0.17,0.34,0.35,0.52,0.25,0.29,0.18,0.19,0.09,0.43,0.3,0.01,0.2,0.26,0.2,0.19,0.15,-0.11,0.07,0.01,0.38,0.43,0.3,0.42,0.34,0.28,0.13,0.07,0.09,0.17,0.39,0.43,0.41,0.46,0.47,0.61,0.66,0.56,0.33,0.39,0.37,0.45,0.42,0.43,0.38,0.18
"16","7","    Other durable goods","DODGRZ2",-0.12,-0.33,-0.23,-0.22,0.16,0.15,0.11,0.18,0.01,0.09,0.09,0.21,0.12,0.33,-0.04,0.19,0.35,-0.11,0.03,-0.04,0.07,0.05,0.11,0.04,0.06,0.1,0.07,0.01,0.01,0.04,0.01,0.03,0.12,0.05,0.11,0.14,0.2,0.01,0.14,0.06,0.07,0.07,0.08,0.19,0.07,0.09,0.16,0.09,0.09,-0.02,-0.14,0.02,0,0.13,0.17,0.11,0.17,0.06,0.06,0.02,0.01,-0.07,0.03,0.08,0.07,0.04,0.1,0.08,0.15,0.19,0.14,-0.03,0.1,0.08,0.08,0.08,0.05,0.01,-0.07
"17","8","  Nondurable goods","DNDGRZ2",-2.28,-0.47,-3.71,-0.16,3.66,2.71,5.33,1.15,0.65,2.11,1.96,2.77,0.13,0.31,1.03,3.02,4.43,-0.29,0.36,0.68,1.51,0.68,1.67,1.37,0.68,2.19,1.44,0.82,0.55,1.84,0.67,0.8,1.21,0.83,1.76,1.87,2.05,0.79,1.54,0.99,0.79,0.66,1.38,0.97,-0.84,0.3,1.59,0.75,1.15,0.82,-0.06,0.41,0.33,1,1.22,0.87,0.97,0.46,0.69,0.7,0.3,-0.08,0.49,0.63,0.94,0.59,0.68,0.69,0.87,1.15,0.74,0.41,0.44,0.8,0.7,0.74,0.63,0.57,-0.19
"18","9","    Food and beverages purchased for off-premises consumption","DFXARZ2",-0.52,-0.11,-1.38,0.84,2.09,1.23,3.24,0.67,0.49,0.3,0.95,0.76,-0.11,-0.64,1.04,1.29,2.87,0,-0.2,0.11,0.47,0.12,0.6,0.83,0.56,1,0.66,0.47,0.08,0.82,0.14,0.26,0.12,0.15,0.59,0.85,0.66,0.38,0.72,0.44,0.44,0.19,0.31,-0.27,-0.31,0.28,0.73,0.21,-0.06,0.19,0.14,-0.05,0.25,0.32,0.24,0.34,0.23,-0.07,0.28,0.13,0.21,-0.01,-0.04,0.08,0.26,0.05,0.09,0.08,0.1,0.32,0.18,0.09,0.02,0.17,0.21,0.3,0.24,0.16,0
"19","10","    Clothing and footwear","DCLORZ2",-1.17,-0.14,-1.18,-1.03,0.58,0.84,0.9,-0.11,0.14,0.81,0.33,0.77,0.46,1.07,-0.43,0.44,0.26,-0.55,0.11,0.07,0.26,-0.05,0.5,0.09,0.01,0.43,0.23,-0.06,0.08,0.41,0.07,0.14,0.35,0.14,0.57,0.31,0.49,0.05,0.3,0.14,-0.08,0.29,0.49,0.49,-0.13,0.17,0.29,0.33,0.64,0.35,0.18,0.36,0.1,0.38,0.45,0.24,0.4,0.2,0.16,0.28,-0.04,0,0.26,0.21,0.27,0.19,0.22,0.15,0.27,0.28,0.2,0.04,0.12,0.2,0.18,0.22,0.18,0.15,-0.01
