"","Table 2#5#6 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2009 10:05:54 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Personal consumption expenditures","DPCERX1",6079,6291.2,6523.4,6865.5,7240.9,7608.1,7813.9,8021.9,8247.6,8532.7,8819,9073.5,9313.9,9290.9
"9","2","Household consumption expenditures \1\","DPHCRX1",5938.5,6142.4,6383.8,6712.8,7077.3,7431.6,7623.4,7813,8028.2,8314.5,8604.9,8838.2,9069.2,9025
"10","3","  Food and beverages purchased for off-premises consumption","DFXARX1",548.5,554,558.9,565.5,587.4,600.6,607.6,609,622.4,639.2,665,686.2,700.7,700.7
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRX1",481.9,484.6,487.1,491.4,509.9,519.1,524.5,525.6,537,549.3,569.5,583.9,594.5,593.5
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRX1",66.3,69,71.4,73.8,77.1,81.1,82.8,83.1,85.1,89.6,95.1,101.9,105.8,106.9
"13","6","    Food produced and consumed on farms","DFFDRX1",0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4
"14","7","  Clothing, footwear, and related services","DCAFRX1",216.9,226.9,234.8,248.8,264.6,276.8,278.6,286.1,300.1,313.6,331.8,348,362.5,360.9
"15","8","    Clothing","DCLTRX1",181.3,189.3,196.1,207.5,220.1,230.3,232.2,239.3,251.7,263.6,280.3,294.1,307.3,306.3
"16","9","      Garments","DGARRX1",163,170.7,176.4,186.8,198.4,208.1,210.3,217.5,230.3,242.4,259,272.2,284.8,284.5
"17","10","        Women's and girls' clothing","DWGCRX1",91.2,95.7,97.9,105,113.7,121,122.7,127.5,134.7,141.7,151.9,159,165.9,167.2
"18","11","        Men's and boys' clothing","DMBCRX1",63.7,66.9,70,72.6,75,76.9,76.8,78.6,83.7,88,93.6,99.1,103.9,102.2
"19","12","        Children's and infants' clothing","DCICRX1",8,8.1,8.4,9.2,9.7,10.2,10.7,11.3,11.9,12.7,13.5,14.2,15,15.1
"20","13","      Other clothing materials","DOCMRX1",3,3.1,3.1,3.5,3.9,4.2,4.4,4.8,5.2,5.3,5.6,5.9,6.3,6.4
"21","14","      Cleaning, repair, and rental of clothing","DCRCRX1",16,16.1,17.4,18,18.5,18.7,17.9,17.3,16.3,15.9,15.8,16,16.2,15.5
"22","15","        Laundry and dry cleaning services","DDRYRX1",7.9,8.1,8.8,9.2,9.4,9.6,9.2,8.9,8.2,8.3,8.4,8.8,8.8,8.5
"23","16","        Clothing repair, rental, and alterations","DLGRRX1",8.1,8,8.6,8.9,9.1,9.1,8.7,8.4,8.1,7.6,7.4,7.3,7.4,7
"24","17","    Footwear \2\","DFTWRX1",35.6,37.7,38.9,41.4,44.6,46.6,46.5,46.8,48.5,50.1,51.5,53.8,55.3,54.6
"25","18","  Housing, utilities, and fuels","DHUFRX1",1262.1,1288.5,1316,1355.5,1398.6,1438.5,1476.4,1487.5,1505.3,1536.9,1603.9,1636.2,1651.5,1662
"26","19","    Housing","DHSGRX1",1017.3,1037.1,1066,1100.6,1138.7,1174.2,1213.7,1219.4,1233,1264.1,1328.9,1367.1,1377.5,1397.2
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRX1",253.5,253.8,257.3,261.8,266.2,267.9,272.6,270.4,261,261.3,264.7,273.7,288.9,295.4
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRX1",752,771.3,796.3,825.9,859.2,890.7,925.7,933.5,956.3,984.8,1044.5,1073.7,1068.9,1082.2
"29","22","      Rental value of farm dwellings","DFARRX1",11.5,11.6,11.9,12.3,12.6,14.8,14.7,14.6,14.9,17.2,18.8,18.8,18.8,18.7
"30","23","      Group housing","DGRHRX1",1,1.1,1,1.1,1.1,1.1,1.1,1,1,0.9,0.9,0.9,0.9,0.9
"31","24","    Household utilities and fuels","DUTFRX1",247.1,253.9,252.1,256.7,261.3,265.4,262.9,268.8,273.1,273,275,269.3,274.1,265.8
"32","25","      Water supply and sanitation","DWRSRX1",55.4,57.2,58.5,59.4,61.3,61.9,62.5,63.1,63.9,63.4,63.6,65.6,66.1,66
"33","26","      Electricity, gas, and other fuels","DEGFRX1",191.8,196.7,193.6,197.3,199.9,203.4,200.2,205.6,209.1,209.7,211.4,203.8,208,199.9
"34","27","        Electricity","DELCRX1",101.9,103.5,103.2,110.6,111.7,115.5,113.3,118.6,120.6,123,128.7,125.8,127.7,126.7
"35","28","        Natural gas","DGHERX1",64.4,69.5,67.6,60.9,61.5,63.5,62.7,61.3,63.4,62.5,61.6,58.5,60.7,57.7
"36","29","        Fuel oil and other fuels","DFULRX1",32.1,31.1,28.8,28.4,29.8,26.2,26,26.9,26.2,24.6,21,19.5,19.7,16
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRX1",249.9,259.5,272.2,290,312.6,332.4,340.7,356,377,403.5,423.9,443.5,455.9,446.6
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRX1",73.1,76.5,81.2,87.4,96.5,106.2,110.1,117.1,123.5,133.9,143,150.7,154.7,149.6
"39","32","    Household textiles","DTEXRX1",20.5,22.3,23.8,25.2,27,28.5,29.3,30.9,34,37.3,40.2,44.2,47.5,48.4
"40","33","    Household appliances \6\","DHAPRX1",27.5,28,28.2,30.6,34,36.7,38.3,40.3,42.6,46.4,47.6,48.6,48,46.8
"41","34","    Glassware, tableware, and household utensils \7\","DUTERX1",20.6,21.7,22.7,24.5,28.2,31.5,34.1,38.1,41.1,43.1,45.4,49.6,51.9,50.3
"42","35","    Tools and equipment for house and garden","DTOORX1",12.8,13.2,13.8,15.1,16.4,17.1,17.7,18.4,19.9,21.4,22.3,23.2,23.2,23.1
"43","36","    Other household goods and services \8\","DOGSRX1",99.8,101.6,106.3,110.9,113.1,114,112.1,111.5,116,121.5,125.4,127.5,131.1,129
"44","37","  Health","DHLTRX1",1089.6,1119.3,1163.2,1215.1,1251.2,1305.4,1374.5,1455.8,1498.4,1547.3,1601.5,1636.1,1680.1,1717.9
"45","38","    Medical products, appliances, and equipment","DMPARX1",141.7,151.9,165.9,185.6,205.8,224,239.2,253.6,269,278.6,285.5,296.1,304.6,301.3
"46","39","      Pharmaceutical and other medical products \9\","DPHMRX1",117.1,125.3,137.1,154.6,173.3,189.6,206.1,218.3,232.8,241.6,247.3,256.8,263.1,258.9
"47","40","        Pharmaceutical products","DPNPRX1",115.6,123.9,135.8,153,171.5,187.6,204,216.1,230.5,239.2,244.7,254.1,260.2,255.7
"48","41","        Other medical products","DOMPRX1",1.5,1.4,1.4,1.6,1.8,2,2.1,2.2,2.3,2.4,2.5,2.7,2.9,3.1
"49","42","      Therapeutic appliances and equipment","DTAERX1",24,25.9,28,30.4,32.1,34.1,33.1,35.3,36.1,37,38.2,39.3,41.5,42.5
"50","43","    Outpatient services","DOUTRX1",423,434.7,445,459.2,468.1,490.2,518,552.4,580.3,608.5,636.5,652.9,669.6,691.8
"51","44","      Physician services \10\","DPHYRX1",209.1,214.2,219.9,227.9,234.1,248.7,263,284.1,302.6,316.9,332.4,343.5,347.9,359.5
"52","45","      Dental services","DDENRX1",71,71.5,72.8,74.9,76.6,79.7,83.5,87.1,86.5,88.6,89,88.9,89.8,89
"53","46","      Paramedical services","DPMSRX1",144.1,150,153.2,157.3,158.3,162.6,172.2,181.7,191.3,203,215.1,220.5,232.1,243.7
"54","47","        Home health care","DHHCRX1",52.1,54.6,53.4,51.6,48.8,46.6,48.2,48.8,51.9,56.7,61.2,63.7,69.2,74.8
"55","48","        Medical laboratories","DMLBRX1",11,11.6,13,15,16.6,18.9,21.3,22.3,24,25.7,26.7,28,28.3,29.7
"56","49","        Other professional medical services \11\","DOMDRX1",80.8,83.5,86.4,90.4,92.8,97,102.7,110.6,115.4,120.6,127.1,128.8,134.7,139.3
"57","50","    Hospital and nursing home services","DHPNRX1",526.4,534.1,554.2,572.4,579.5,592.8,618.7,650.9,649.4,660.2,679.5,687.2,705.9,724.7
"58","51","      Hospitals \12\","DHSPRX1",425.3,430.5,446.9,462.4,471.1,484.3,510.1,540.9,537.6,548.9,567,575.8,592.2,611.3
"59","52","      Nursing homes","DNRSRX1",101,103.8,107.4,110.1,108.3,108.3,108.6,110.1,111.8,111.2,112.5,111.4,113.7,113.4
"60","53","  Transportation","DTRNRX1",685.3,721.7,766.5,820.5,876.1,901,920.9,938.4,958.6,976.7,979.3,960.6,971.6,897.7
"61","54","    Motor vehicles","DMTRRX1",218.9,228.9,245.2,274.1,301.1,311.4,330.9,350.7,360.7,365.1,361.6,348,353.6,300.6
"62","55","      New motor vehicles","DNMVRX1",144.7,147.2,155.1,172.3,192.3,202.8,222.6,239.6,251.2,253.7,248.9,234.6,237.3,190.5
"63","56","      Net purchases of used motor vehicles","DNPVRX1",74.1,81.7,90.2,101.9,108.8,108.5,108.2,111.1,109.5,111.4,112.7,113.4,116.3,110.1
"64","57","    Motor vehicle operation","DMVORX1",429.6,453.3,479.5,495.5,516.8,524.9,523.8,516.1,523.3,533.2,541,536.4,540.4,517.7
"65","58","      Motor vehicle parts and accessories","DMVPRX1",37.6,40.1,42,42.7,44.6,45.2,43.6,43.3,44.5,46.2,48,48.6,48.8,46.3
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRX1",233.8,238.8,246.1,256.1,263.5,261.3,263.6,267.5,276.3,282.1,283.8,278.9,280.9,271.7
"67","60","      Motor vehicle maintenance and repair","DVMRRX1",124.6,130.1,134.7,139.5,144.3,148.7,150.9,148.8,151.7,153.3,154.9,150.6,150.4,140.3
"68","61","      Other motor vehicle services","DOVSRX1",37.7,44.9,54.2,55.4,60.6,63.7,60.9,54.7,50.9,51.8,54.2,58.6,60.5,59.2
"69","62","    Public transportation","DPUBRX1",53,57,59.7,63.9,67.7,72.7,71,71.9,74.2,78.2,76.8,75.9,77.6,74.5
"70","63","      Ground transportation \13\","DGRDRX1",23,22.4,22.8,24.6,25.7,26.4,27,26.7,25.5,26.2,26.4,27.1,26.9,27.8
"71","64","      Air transportation","DAITRX1",30.3,34,35.9,38.3,40.9,44.6,42.2,43.2,46.3,49.3,47.7,46,47.7,43.7
"72","65","      Water transportation","DWATRX1",0.8,1.1,1.3,1.4,1.5,1.8,2,2.1,2.4,2.6,2.7,2.8,3,3.1
"73","66","  Communication","DCMCRX1",90.3,98.4,108.4,118.8,134.7,155.7,166.6,171.8,176.7,185.9,192.8,208.5,225.4,232.3
"74","67","    Telephone and facsimile equipment","DTCERX1",1.6,1.7,1.8,2,2.6,3.3,3.9,4.6,5.3,6.5,7.5,9,10.3,11.2
"75","68","    Postal and delivery services","DPSSRX1",11.6,12,12.2,12.3,12,11.9,11.1,10.3,9.4,9.3,9.3,9,8.9,8.2
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRX1",9.3,9.6,9.8,9.8,9.5,9.3,8.7,8.1,7.3,7.4,7.3,7,7,6.5
"77","70","      Other delivery services (by non-USPS facilities)","DODSRX1",2.3,2.3,2.3,2.4,2.4,2.5,2.4,2.2,2.1,2,2,2,1.9,1.7
"78","71","    Telecommunication services","DTCSRX1",77.2,83.9,92.9,101.2,111.9,125.3,134.7,136.1,137.1,142.1,146.1,156.8,158.1,161.3
"79","72","    Internet access","DINTRX1",1.7,2.8,3.6,5.2,9.7,16.3,17.8,21.2,25.1,28,29.9,33.8,50.4,55
"80","73","  Recreation","DRRLRX1",390.3,420.5,452.1,495.1,551.3,600.6,623.6,657.8,699.1,756.1,807.4,866.7,926.7,949.2
"81","74","    Video and audio equipment, computers, and related services","DVPIRX1",55.6,65.1,75.9,92.9,114.1,134,149.3,166.6,184.6,212,239.4,272.7,307.8,333.4
"82","75","      Video and audio equipment","DVAARX1",31,33.3,34.9,41.2,49.9,59.1,66.3,74.9,81.2,93.5,107.8,125.8,143.7,159.1
"83","76","      Information processing equipment \14\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","77","      Services related to video and audio goods and computers","DSVCRX1",53.2,54.5,55.5,58.3,63.4,66.9,68.2,66.3,68.6,74.1,75.7,78.3,83.6,85.6
"85","78","    Sports and recreational goods and related services","DODRRX1",86.1,91.3,97.3,107.7,121.9,135.6,142,151.6,162.8,175.3,188.4,201.1,214.4,216.1
"86","79","      Sports and recreational vehicles","DWHLRX1",24,25.5,27.8,30.5,33.1,35.7,35.6,37,41.4,45.7,47.7,48.5,50.3,47.7
