"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Index numbers, 2000=100; quarters and months are seasonally adjusted]                                                                                                                                                                                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2006      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/24/2006 4:13:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","P1TDGG B Durable goods","P1TDGG3",45.662,45.444,45.551,45.755,45.915,46.142,45.721,45.517,46.228,47.749,49.067,50.148,51.975,52.531,53.301,56.676,61.844,65.278,68.129,72.038,76.83,83.277,88.879,92.358,94.181,95.55,96.62,97.685,100.465,101.921,103.717,104.561,106.08,106.756,107.84,109.978,110.672,109.507,107.068,104.152,101.626,100,98.114,95.766,92.371,90.631,90.168
"9","2","P1TAPG B   Motor vehicles and parts","P1TAPG3",31.24,30.669,30.836,31.326,31.572,31.825,31.567,31.364,31.803,32.9,33.581,34.506,36.304,36.445,36.672,39.029,42.909,46.14,48.862,52.237,56.153,60.367,65.008,68.075,70.144,72.16,73.833,75.784,79.128,80.403,82.766,83.09,85.386,86.981,90.263,94.307,97.953,99.834,100.153,99.156,99.557,100,100.505,100.062,97.639,96.668,98.702
"10","3","P1NEWG B     New autos (70)","P1NEWG3",38.383,37.887,37.895,37.742,37.516,37.418,36.583,35.906,36.244,37.265,37.85,38.926,40.558,40.254,40.266,42.503,46.322,49.207,51.8,55.722,60.02,64.702,68.495,71.188,72.958,74.923,77.223,80.524,83.272,84.765,86.374,87.519,90.618,92.681,94.883,97.912,99.949,101.497,101.595,100.817,99.99,100,99.525,98.365,96.52,95.987,96.88
"11","4","P1NDCG D       New domestic autos","P1NDCG3",38.369,37.871,37.88,37.727,37.501,37.405,36.573,35.892,36.226,37.251,37.833,38.888,40.538,40.246,40.254,42.477,46.332,49.182,51.784,55.708,59.991,64.686,68.446,71.172,72.955,74.914,77.206,80.51,83.262,84.754,86.367,87.514,90.618,92.683,94.897,97.912,99.955,101.484,101.599,100.815,99.993,100,99.521,98.364,96.521,95.989,96.877
"12","5","P1NFCG D       New foreign autos","P1NFCG3",38.372,37.902,37.888,37.728,37.502,37.392,36.509,35.9,36.269,37.261,37.861,39.08,40.605,40.235,40.262,42.561,46.241,49.265,51.817,55.731,60.07,64.723,68.576,71.211,72.959,74.933,77.247,80.544,83.286,84.778,86.383,87.524,90.613,92.673,94.854,97.909,99.934,101.526,101.587,100.822,99.984,100,99.531,98.367,96.519,95.986,96.879
"13","6","P1NPUG B     Net purchases of used autos (71)","P1NPUG3",9.722,9.363,10.016,11.389,12.275,13.207,13.625,14.119,14.503,15.448,15.95,16.246,17.883,18.89,20.307,22.036,25.437,29.365,31.639,33.567,34.799,34.911,41.794,46.477,53.166,58.495,58.622,58.33,68.346,68.895,73.97,69.129,70.014,71.931,79.324,87.603,95.644,98.841,99.438,97.228,98.73,100,101.619,103.935,97.499,95.492,102.645
"14","7","P1NETG D       Net transactions in used autos","P1NETG3",20.698,19.034,19.9,21.867,22.141,23.061,22.875,22.359,23.118,23.889,23.777,24.006,25.328,25.255,26.782,27.62,32.682,36.718,39.174,39.635,42.418,43.457,53.258,61.112,67.242,76.029,76.099,72.397,75.132,77.879,79.462,77.379,77.698,80.857,87.713,92.696,102.205,102.407,98.682,97.162,97.51,100,101.938,97.561,91.794,85.654,89.493
"15","8","P1MARG D       Used auto margin","P1MARG3",5.143,5.109,5.524,6.356,7.104,7.765,8.221,8.874,9.08,9.911,10.588,10.935,12.405,13.604,14.736,16.685,18.804,22.07,23.966,26.501,26.765,26.488,30.424,32.528,38.341,40.637,40.953,43.957,59.602,58.083,66.385,59.488,60.99,61.341,69.002,80.836,86.541,93.307,99.908,97.09,100.513,100,100.788,113.047,106.006,110.203,121.902
"16","9","P1REEG D       Employee reimbursement","P1REEG3",13.985,14.271,14.639,14.781,14.991,15.19,15.464,15.764,16.388,17.265,18.373,19.752,21.153,22.123,23.31,25.726,28.934,31.115,33.404,35.658,39.129,43.209,47.244,51.069,53.689,56.069,58.267,63.037,67.266,68.809,72.407,75.677,76.589,77.74,81.791,84.854,87.002,88.195,91.267,94.658,97.087,100,96.064,101.388,100.313,97.54,99.016
"17","10","P1OAUG C     Other motor vehicles (72)","P1OAUG3",29.725,29.525,29.47,29.448,29.355,29.367,28.875,28.637,29.027,29.953,30.696,30.537,33.254,33.627,34.166,36.891,40.46,42.831,45.285,48.645,52.263,56.428,60.979,64.037,66.148,69.161,71.64,73.52,74.858,76.173,78.326,80.264,82.989,84.26,88.112,92.489,96.385,98.604,99.246,98.607,99.568,100,100.173,98.797,96.401,95.186,96.426
"18","11","P1TRUG D       Trucks, new and net used","P1TRUG3",32.408,31.991,31.976,31.865,31.667,31.582,30.834,30.304,30.574,31.483,31.962,32.896,34.165,33.96,33.976,35.921,39.16,41.596,43.787,47.179,50.812,54.572,59.241,62.375,64.754,67.806,70.328,72.524,74.047,75.239,77.369,79.288,82.129,83.364,87.536,92.231,96.312,98.738,99.534,98.824,99.66,100,100.087,98.675,96.208,94.891,96.081
