"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2006      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/24/2006 4:53:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","B     Nonfarm industries","XNF0",49058,42301,71537,78942,-53153,19312,33659,105848,74646
"9","2","D Mining, utilities, and construction","XCMU0",1303,4494,1635,3573,3938,694,8079,10682,14996
"10","3","D Manufacturing industries","X300",13365,5415,13967,17311,-28555,-6523,1842,31303,21056
"11",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","D     Durable goods industries","X30D0",8878,9384,5671,9895,-22376,-8085,-3125,19844,12200
"13","5","D       Wood product manufacturing","X3210",618,245,616,41,-666,210,89,238,750
"14","6","D       Nonmetallic mineral product manufacturing","X3270",205,34,402,521,-358,200,-23,358,466
"15","7","D       Primary metal manufacturing","X3310",388,-425,4,-111,-2696,13,-1082,4786,935
"16","8","D       Fabricated metal product manufacturing","X3320",1298,451,583,1287,-1939,-155,-295,4430,1055
"17","9","D       Machinery manufacturing","X3330",1415,1236,320,3113,-4616,-1947,-497,4282,3038
"18","10","D       Computer and electronic product manufacturing","X3340",2985,-2980,2773,10196,-8427,-4813,-792,1475,696
"19","11","D       Electrical equipment, appliance, and component manufacturing","X3350",498,-22,-4,993,-1018,-542,-476,502,736
"20","12","D       Transportation equipment manufacturing","X3360",1030,10605,-223,-7581,-2012,-1096,-1168,1625,3740
"21","13","D         Motor vehicle and parts manufacturing","X336MV0",252,468,1337,182,-2630,1019,602,1246,948
"22","14","D         Other transportation equipment manufacturing","X336OT0",778,10137,-1560,-7763,618,-2115,-1770,379,2792
"23","15","D       Furniture and related product manufacturing","X3370",166,73,384,279,-497,313,18,1009,250
"24","16","D       Miscellaneous durable goods manufacturing","X3390",275,167,816,1157,-147,-268,1101,1139,534
"25","17","D     Nondurable goods industries","X30N0",4487,-3969,8296,7416,-6179,1562,4967,11459,8856
"26","18","D       Food manufacturing","X3110",672,-725,1232,1233,-16,730,1271,561,1184
"27","19","D       Beverage and tobacco product manufacturing","X3120",886,107,-127,164,525,149,-82,49,851
"28","20","D       Textile mills","X3130",-42,45,-35,-405,-832,-397,-106,-197,-182
"29","21","D       Textile product mills","X3140",267,-307,195,480,-49,-1054,132,75,164
"30","22","D       Apparel manufacturing","X3150",418,-157,340,-283,-1807,-259,-21,66,224
"31","23","D       Leather and allied product manufacturing","X3160",41,-53,9,-41,-156,-110,-33,-11,15
"32","24","D       Paper manufacturing","X3220",148,-352,344,173,-256,255,-323,424,80
"33","25","D       Printing and related support activities","X3230",223,-408,182,52,-399,-31,-91,680,-236
"34","26","D       Petroleum and coal product manufacturing","X3240",-517,-2392,2273,1465,-360,1649,2289,3208,4495
"35","27","D       Chemical manufacturing","X3250",1985,253,2863,3818,-1572,370,1483,4108,810
"36","28","D       Plastics and rubber product manufacturing","X3260",406,20,1020,760,-1257,260,448,2496,1451
"37",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","D     Materials and supplies","X30M0",7033,-569,6898,8317,-11573,-3299,-277,12716,6896
"39","30","D       Durable goods industries","X30DM0",5972,1373,4218,8077,-9733,-3685,-2012,10199,3074
"40","31","D       Nondurable goods industries","X30NM0",1061,-1942,2680,240,-1840,386,1735,2517,3822
"41","32","D     Work-in-process","X30W0",591,3678,462,-1680,-10091,-338,563,5098,5058
"42","33","D       Durable goods industries","X30DW0",-1064,5056,-1135,-2924,-8592,-1192,-258,4462,4970
"43","34","D       Nondurable goods industries","X30NW0",1655,-1378,1597,1244,-1499,854,821,636,88
"44","35","D     Finished goods","X30F0",5741,2306,6607,10674,-6891,-2886,1556,13489,9102
"45","36","D       Durable goods industries","X30DF0",3970,2955,2588,4742,-4051,-3208,-855,5183,4156
"46","37","D       Nondurable goods industries","X30NF0",1771,-649,4019,5932,-2840,322,2411,8306,4946
"47","38","D Wholesale trade industries","XWT0",19129,13613,19048,21393,-16042,3408,7244,37782,25038
"48",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","D     Durable goods industries","XWTD0",12240,10868,11499,11351,-19803,-1503,2544,29547,15849
"50","40","D     Nondurable goods industries","XWTN0",6889,2745,7549,10042,3761,4911,4700,8235,9189
"51",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","D     Merchant wholesale industries","X42W0",17787,12944,16934,17704,-12989,3702,6399,32733,21494
"53","42","D       Durable goods industries","X42WD0",11390,9755,10409,9125,-17541,-688,2693,27172,14109
