"","Table 3BU# Real Inventory-Sales Ratios for Manufacturing and Tra","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Ratio, based on chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2006      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2006 1:37:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","A       Manufacturing and trade industries","RMT3",1.391,1.396,1.396,1.407,1.375,1.383,1.368,1.338,1.312
"9","2","A Manufacturing industries","R303",1.329,1.339,1.347,1.354,1.367,1.364,1.338,1.287,1.273
"10","3","A   Durable goods manufacturing industries","R30D3",1.498,1.519,1.487,1.497,1.521,1.503,1.46,1.391,1.365
"11","4","A     Wood product manufacturing","R3213",1.211,1.211,1.248,1.293,1.315,1.341,1.295,1.209,1.278
"12","5","A     Nonmetallic mineral product manufacturing","R3273",1.281,1.221,1.244,1.268,1.252,1.363,1.353,1.331,1.25
"13","6","A     Primary metal manufacturing","R3313",1.517,1.593,1.646,1.678,1.684,1.684,1.582,1.629,1.643
"14","7","A     Fabricated metal product manufacturing","R3323",1.486,1.495,1.526,1.509,1.556,1.555,1.567,1.533,1.513
"15","8","A     Machinery manufacturing","R3333",1.582,1.597,1.654,1.689,1.666,1.665,1.648,1.529,1.526
"16","9","A     Computer and electronic product manufacturing","R3343",1.623,1.525,1.496,1.585,1.618,1.619,1.477,1.311,1.198
"17","10","A     Electrical equipment, appliance, and component manufacturing","R3353",1.417,1.416,1.384,1.397,1.434,1.537,1.505,1.455,1.451
"18","11","A     Transportation equipment manufacturing","R3363",1.44,1.581,1.43,1.357,1.408,1.315,1.3,1.256,1.291
"19","12","D       Motor vehicle and parts manufacturing","R336MV3",0.648,0.653,0.615,0.65,0.643,0.63,0.651,0.641,0.662
"20","13","D       Other transportation equipment manufacturing","R336OT3",3.546,3.87,3.662,3.331,3.329,3.174,3.063,2.917,2.851
"21","14","A     Furniture and related product manufacturing","R3373",1.295,1.234,1.255,1.275,1.271,1.379,1.359,1.384,1.311
"22","15","A     Miscellaneous durable goods manufacturing","R3393",1.709,1.685,1.732,1.733,1.746,1.683,1.676,1.607,1.497
"23","16","A   Nondurable goods manufacturing industries","R30N3",1.128,1.116,1.167,1.169,1.179,1.195,1.187,1.151,1.147
"24","17","A     Food manufacturing","R3113",0.936,0.901,0.938,0.944,0.93,0.935,0.937,0.922,0.886
"25","18","A     Beverage and tobacco product manufacturing","R3123",1.219,1.204,1.277,1.269,1.329,1.478,1.481,1.45,1.496
"26","19","A     Textile mills","R3133",1.421,1.471,1.555,1.519,1.557,1.543,1.662,1.558,1.516
"27","20","A     Textile product mills","R3143",1.449,1.369,1.425,1.552,1.712,1.216,1.263,1.199,1.213
"28","21","A     Apparel manufacturing","R3153",1.485,1.553,1.744,1.751,1.574,1.582,1.616,1.517,1.668
"29","22","A     Leather and allied product manufacturing","R3163",1.819,1.956,2.077,1.988,1.992,1.612,1.485,1.531,1.48
"30","23","A     Paper manufacturing","R3223",1.179,1.14,1.199,1.182,1.24,1.358,1.244,1.162,1.144
"31","24","A     Printing and related support activities","R3233",0.79,0.724,0.798,0.753,0.758,0.834,0.826,0.882,0.831
"32","25","A     Petroleum and coal product manufacturing","R3243",0.851,0.808,0.782,0.777,0.831,0.799,0.864,0.787,0.86
"33","26","A     Chemical manufacturing","R3253",1.323,1.36,1.442,1.467,1.482,1.529,1.469,1.439,1.419
"34","27","A     Plastics and rubber product manufacturing","R3263",1.239,1.247,1.256,1.238,1.26,1.231,1.208,1.204,1.196
"35","28","A Merchant wholesale industries","R42W3",1.336,1.35,1.334,1.342,1.306,1.29,1.281,1.281,1.282
"36","29","A   Durable goods merchant wholesale industries","R42WD3",1.665,1.683,1.631,1.625,1.539,1.538,1.52,1.5,1.493
"37","30","D     Motor vehicles, parts, and supplies wholesalers","R42113",1.619,1.574,1.544,1.563,1.404,1.463,1.502,1.46,1.491
"38","31","D     Furniture and home furnishings wholesalers","R42123",1.542,1.54,1.539,1.534,1.472,1.571,1.621,1.556,1.54
"39","32","D     Lumber and other construction materials wholesalers","R42133",1.106,1.02,1.008,1.078,1.05,1.071,1.093,1.161,1.227
"40","33","D     Professional and commercial equipment wholesalers","R42143",1.411,1.225,1.147,1.127,1.012,1.005,0.994,1.052,1.039
"41","34","D       Computers and software wholesalers","R42433",1.495,1.259,1.111,1.011,0.93,0.927,0.989,1.028,1.009
"42","35","D       Other professional and commercial equipment wholesalers","R424X3",1.281,1.162,1.192,1.275,1.109,1.103,1.038,1.124,1.126
"43","36","D     Metal and mineral (except petroleum) wholesalers","R42153",1.688,1.85,1.826,1.797,1.774,1.91,1.984,2.111,1.992
