"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199"
"41","30","Q1PCR1 C Personal care","Q1PCR10",68670,69081,68885,68259,68160,68150,68524,68863,68584,68314,68625,68133,67852,67976,68825,68010,68286,68247,68100,68163,68175,68256,68487,68698,70184,70135,69729,69976,70659,70756,70573,71271,71383,71994,71653,71534,71745,72143,71488,71933,72123,71931,72040,72050,72841,72820,72966,73537,73192,73264,74134,74070,74282,74946,75199,75893,76134,76376,76518,77160,78136,77637,78532,78797,78919,79421,79584,79514,80331,79716,79996,80600,79686,80644,81497,81924,82235,82840,83056,82760,83304,84615,85129,85914,85687,86983,87629,86840,86901,88114,89043,89087,89129,88801,88843,88888,89148,88880,88918,89265,89248,89785,90190,90928,90379,90537,91429,91573,91110,91435,91355,91114,91476,90999,90792,90916,91461,91461,91980,94904,92592,92731,93259,92960,93635,93417,93438,93076,94013,94184,93873,93286,93055,92539,91870,92347,93546,92578,92557,92768,91378,92882,92837,93554,93775,94337,94243,95239,94205,93586,93674,93807,94082,94255,93534,93570,93632,93759,93603,93444,93822,94941,95587,96552,96431,96477,97147,97359,97421,96691,98671,97641,97837,98619,98636,99305,99589,99479,99641,99576,101497,100846,101342,101282,101522,102173,102046,102083,102505,102825,104556,103973,104971,105286,105356,105351
"42","31","Q1HOS1 B Housing","Q1HOS10",794567,796338,797214,798170,800193,801803,802608,804239,806252,807097,808406,809181,809664,811888,813186,816830,817625,819185,822144,823623,825223,825777,828223,827337,829259,828967,830880,830538,830930,832712,833758,833597,833617,835469,836305,836808,837764,836989,836184,837311,837251,839223,841055,843390,844869,846550,848392,852196,855447,860771,863268,864274,864797,867313,869860,872839,876835,877791,879270,879492,881786,882430,884131,884715,885772,887090,887704,888721,890492,891327,893129,893169,893803,894468,897215,897628,898262,899842,901322,902912,904140,906374,907823,909484,912111,914124,915482,917324,919237,921451,923121,926040,927117,928727,931123,933840,937423,939839,940845,943029,945495,948766,950890,952651,953728,955892,957784,959777,966248,969459,972398,973042,975427,977027,979976,981697,983690,985834,988159,989668,992778,995174,999280,1000840,1003749,1005329,1007342,1009526,1012817,1014498,1017306,1018835,1022167,1024401,1026756,1028950,1031396,1033349,1035925,1038300,1035200,1039760,1042618,1046000,1044721,1044711,1043755,1044611,1043514,1042950,1042467,1041330,1039136,1039719,1038270,1039870,1039699,1041712,1042477,1043504,1043735,1046171,1048425,1050901,1051092,1054273,1057745,1061217,1064720,1067155,1070869,1072097,1074593,1076968,1079635,1082031,1084154,1087214,1089297,1092115,1094994,1095487,1096242,1099130,1101677,1103307,1104555,1105854,1109437,1107877,1112345,1112919,1115204,1115556,1118022,1119702
"43","32","Q1HHO1 C Household operation","Q1HHO10",475572,481772,486254,487325,487397,486771,486663,492468,490195,483894,478910,482297,481147,472292,482672,485728,496546,489037,491720,487850,488009,482578,491101,479931,486930,485110,497374,500380,497884,499165,500589,499344,510968,508738,516125,513219,506365,525109,518643,517168,515391,528166,530338,533381,537243,536207,531021,542336,541091,544911,544580,543285,549233,564274,551161,558390,558512,561699,558440,561814,559131,562137,553190,564640,571776,572668,580781,583975,576070,571315,588190,589319,581148,593469,594613,595152,600345,598051,592189,597957,596317,604122,608588,607840,610149,608581,604618,616522,613868,612170,622291,622190,627642,642445,632742,642020,629706,640366,646358,638474,649026,659758,655572,657363,660556,654090,654075,660736,664649,663886,679085,675949,681732,688795,693132,696275,699066,698023,691248,704331,702584,704835,702634,707137,718566,725946,718163,724112,725974,725816,729571,746006,729319,726787,732916,719149,723788,720896,724291,725047,716854,727837,714056,724838,725694,734217,736253,739655,746093,740727,738763,739842,737735,749020,748279,749603,754753,754149,742223,747495,761003,759313,764722,772656,765125,776252,781539,786631,797845,792019,779064,787581,796341,792889,800729,800190,800262,805038,811475,815474,814165,816301,823746,808447,820128,829680,826098,833816,833859,831529,833765,840404,818423,840225,840850,828076
"44","33","Q1MED1 C Medical care","Q1MED10",886453,888621,891728,896407,901109,906762,912769,914377,914401,917910,920371,919847,918641,923941,922589,927340,923442,928644,931410,934736,936539,941278,944714,951427,956507,957117,963549,966254,969434,971627,973601,976841,980204,980277,979181,983079,983689,988172,984432,985041,984822,986332,989573,988915,988233,990816,993228,993070,994507,996664,997639,998881,1003304,1000185,1003377,1004461,1007312,1007970,1010626,1012551,1017802,1018972,1023090,1023175,1027244,1027817,1028243,1032410,1033909,1036625,1036199,1040695,1040110,1035809,1045044,1048748,1048870,1054949,1053305,1055705,1058958,1063916,1065451,1072981,1065062,1072055,1073480,1077281,1077257,1082935,1089855,1090756,1095983,1095691,1102501,1105973,1117072,1120216,1120252,1121739,1124102,1129414,1131254,1134678,1134470,1136395,1143730,1143559,1147994,1148579,1148420,1154013,1158496,1158167,1158204,1167841,1171240,1178745,1188492,1196374,1185409,1186749,1199164,1211567,1215015,1215819,1221436,1225907,1231621,1237201,1238992,1251212,1245120,1253222,1255586,1256646,1270632,1270998,1283498,1291234,1294694,1306354,1308242,1319220,1323947,1327870,1333925,1339213,1340455,1353613,1356464,1358889,1368148,1373143,1380003,1383183,1389664,1392198,1400775,1402920,1400520,1416321,1414628,1422011,1424168,1430893,1444136,1445123,1444684,1440591,1454626,1461960,1467540,1470525,1479773,1484524,1492650,1497902,1500241,1508501,1510694,1518016,1519515,1527008,1530894,1536974,1544077,1548560,1554542,1559525,1565056,1573609,1577350,1583734,1591336,1597416
"45","34","Q1PBU1 C Personal business","Q1PBU10",328753,326149,326607,327874,329637,329917,330311,331658,330359,332004,332467,334349,333340,342705,345788,352381,349573,348856,350069,353142,350279,352144,354241,355594,360538,357999,355422,355718,355966,356117,358053,358187,359384,360285,362252,366894,369056,375460,375094,376619,377153,381390,380991,384409,383293,391358,388161,389029,393132,389811,388215,383698,383304,379811,377805,380641,379617,377972,377951,379584,378059,379439,382269,384539,385978,387094,388733,388426,391245,389466,391838,396447,396755,398733,402906,399062,402237,402464,399898,400065,405612,403844,406873,409504,413299,417849,417089,416000,424788,421240,429710,433796,433203,437969,435478,435737,434378,441311,443699,447726,449139,457716,455505,459306,463646,459608,465274,469721,478557,478034,480185,489107,491959,490320,496326,499054,498331,501620,517362,522898,527966,539438,542209,535012,528607,531664,539184,542537,544182,546036,542807,549540,544688,536602,536774,538101,535384,530586,526488,526823,526537,529416,532063,531033,524052,524618,524348,522968,526160,525168,537540,529502,522898,526440,531216,524709,523933,522650,525782,526758,539297,541109,538597,537680,543750,543254,548678,550274,552575,550085,549093,551109,549686,547039,553341,555228,556053,556689,563816,571692,568263,570544,571207,572819,574603,577083,576075,580889,583892,583034,586878,587094,589865,593051,597003,598102
"46","35","Q1TRN1 C Transportation","Q1TRN10",633380,599823,595019,598850,588481,591067,592569,587090,586698,577361,570551,560890,530124,540911,568707,543856,542029,549719,556281,547218,559166,543147,545844,560736,567427,571558,567794,563032,577549,586032,584257,584282,591485,591588,584530,603689,594037,587850,586706,602759,611575,604654,610995,607308,613325,619264,624786,628328,636222,644185,634814,652036,629941,636538,639644,643434,640523,652249,655117,653914,644645,640557,651294,636410,644372,664744,646950,662499,665409,653828,664633,679883,665947,677656,684244,690073,688938,680165,685311,693393,690099,695672,698608,695237,716180,714003,723861,710402,706348,717101,729715,745538,729365,731183,749608,756009,740579,742815,748892,762760,784138,770697,764100,781586,796504,814187,811542,833663,801685,812370,813752,831418,838254,845730,843673,842828,836231,832468,832784,847445,859880,881352,868926,846285,847386,833338,836624,846490,859684,853761,850381,857047,852284,878877,866656,849101,848683,862654,859214,866622,837827,959398,917060,866076,877111,895604,882095,901587,865188,888470,914892,926336,881472,866810,876948,913996,895212,886814,899573,905974,903891,909225,913236,948278,926985,903584,921096,933659,917700,919731,928026,906195,938182,907032,937567,925628,923341,926430,928760,948918,929119,927147,941229,951256,921924,945504,1024711,932404,894444,877589,898344,934299,930160,922078,919731,929340
"47","36","Q1USE1 C   User-operated transportation","Q1USE10",589347,555072,552087,555929,545269,548094,549460,543895,543054,533219,526218,517328,486966,498237,527075,500325,498856,506786,512914,504294,516772,500436,504000,516248,525035,529131,525353,521344,536220,543006,538728,540307,547610,550412,542530,560493,551793,545443,544649,560057,568875,561604,568177,564073,569161,575535,580195,583497,591760,599118,588752,606461,583179,589791,592379,596404,592943,604103,606080,605238,595689,592419,603690,588418,596205,616883,599412,614089,617018,604881,615018,629909,616042,626091,632743,638442,636545,629361,633314,641442,637553,643086,647904,640696,662954,660676,669621,656810,653357,663351,675702,692300,675519,678234,696507,701714,686108,687593,693244,706826,727940,714652,707945,725432,740006,757453,754690,776869,743959,754627,756254,773987,780583,787712,785441,784330,777702,773170,773400,790156,800888,822336,808699,786203,786727,773225,776654,787291,799626,794332,790101,799213,793101,819653,808350,789958,790085,804349,801150,808667,788640,906897,863930,813525,822114,839315,825083,845506,808532,831464,857969,868613,825987,809953,821201,854714,836656,828655,841156,848023,845506,850388,853539,888624,867851,844332,861993,872915,857596,858469,866375,844070,876091,844855,875360,863652,860683,863049,864882,885568,864684,862501,875852,886767,856794,881052,959508,868772,829734,813811,833592,870574,865438,857635,855635,864422
"48","37","Q1PLT1 C   Purchased local transportation","Q1PLT10",10575,10734,10906,10473,10751,10705,10692,10790,11021,11564,11540,11159,10742,10916,10928,10815,10811,10908,10832,10832,10834,10747,10711,10643,10750,10747,10758,10750,10818,10712,10642,10523,10563,10581,10553,10582,10537,10475,10479,10617,10636,10692,10788,10923,10866,11005,11049,11241,10835,11131,11133,11283,11287,11354,11303,11111,11300,11288,11338,11382,11356,11338,11420,11317,11379,11269,11136,11165,11209,11047,11053,11133,10973,11097,10943,10986,10957,11038,11148,10914,10954,10898,10765,10840,10828,10884,10812,10962,10750,10943,11004,11024,11043,10966,11067,11161,11451,11678,11719,11661,11740,11436,11834,11974,11977,12067,12148,12147,12138,12009,11971,12007,12230,12088,11986,12090,12082,12294,12116,12110,12383,11970,12205,12328,12221,12211,12299,12164,12214,12229,12205,12295,12210,12203,12075,12272,12171,12140,12223,12085,11991,11930,11933,12056,12083,11834,11623,11729,11726,11684,11558,11695,11607,11681,11788,11594,11676,11518,11854,11654,11631,11646,11696,11527,11750,11456,11502,11665,11433,11651,11723,11598,11709,11793,11707,11853,12001,12081,12145,12083,11962,11840,11834,11752,11672,11593,11630,11668,11706,11642,11579,11367,11300,11235,11169,11105
"49","38","Q1PIT1 C   Purchased intercity transportation","Q1PIT10",33418,33823,32007,32387,32335,32184,32317,32280,32490,32446,32600,32185,32116,31503,30651,32426,32096,31798,32289,31834,31395,31689,30927,33514,31492,31540,31499,30779,30456,32214,34688,33284,33146,30593,31361,32532,31661,31832,31513,32061,32082,32312,32054,32278,33215,32712,33493,33547,33608,33905,34800,34255,35314,35246,35820,35776,36140,36714,37564,37139,37503,36668,36008,36536,36648,36476,36269,37114,37074,37759,38422,38696,38800,40394,40471,40539,41394,39645,40773,40963,41546,41627,39848,43742,42344,42390,43400,42566,42182,42746,42962,42148,42718,41914,41996,43082,42922,43413,43799,44181,44416,44555,44216,44125,44497,44683,44702,44674,45545,45698,45507,45443,45453,45954,46260,46413,46455,47011,47275,45162,46582,47014,48001,47739,48426,47896,47661,47032,47853,47223,48092,45580,47064,47100,46319,47020,46571,46248,45933,45971,36574,39790,40678,40073,42638,44282,45405,44099,44947,45251,45124,45796,43636,45245,43734,47817,47017,46815,46597,46255,46805,47279,48168,48162,47392,48019,47720,49310,48971,50029,50340,51273,50780,51087,50967,50580,51235,52017,52520,51712,53493,53968,54731,53559,54864,53869,53715,52764,54734,53775,54822,53440,54804,54644,54321,55324
"50","39","Q1RCR1 C Recreation","Q1RCR10",273598,274330,276034,277299,275642,275015,276515,276134,277586,278254,280357,277721,274957,278102,279437,277212,279525,280743,283356,282477,284170,283649,282752,284305,291087,290923,288399,290255,291567,293781,296868,298022,300488,303510,304488,309894,315336,311909,313163,317637,321216,320420,325017,325925,329211,329188,331654,334442,333692,336855,342062,343631,346695,350853,352616,355258,356663,362251,364225,366093,369028,367072,373093,372390,378663,384356,384005,389006,393798,393593,397523,400328,398612,399555,404346,408587,409987,415949,419680,419141,420114,425034,426621,432935,430082,436970,440291,442236,444304,446248,450172,451110,453359,456399,460182,462349,468534,472131,472699,476711,481010,485309,492045,496215,498769,503747,505891,510975,512779,521618,526573,529390,533666,538878,542065,547951,555788,557036,558951,566553,567057,574314,582819,582760,581536,581471,587592,589115,594878,593982,596864,596155,603494,601796,605122,605913,609984,610476,615214,617739,603664,617862,626659,628709,636927,637085,637542,644201,645279,643920,647141,648266,653789,656079,659078,664900,665158,662475,666189,673446,677025,687216,688791,700547,703534,706785,708676,713784,719717,724614,728965,724983,731935,733710,741125,743743,746502,749600,752165,758397,766574,776924,777796,781674,784520,793605,794272,798940,791994,799192,811041,810666,837141,827851,829116,835208
"51","40","Q1TED1 C Education and research","Q1TED10",124820,125072,125211,125124,125399,125506,125976,126320,126058,125891,125891,125865,125652,125910,126366,126680,126882,127026,127316,127466,127763,127897,128277,128454,129296,129690,129949,130028,129992,130385,130902,131375,131466,131100,130920,131015,131238,131538,131669,131726,131701,132309,132836,133295,133644,133465,133495,133712,133850,133922,133814,133952,134174,134513,134928,135267,135083,135288,136059,136546,136818,137150,137530,137749,138087,138244,138273,138726,139137,139546,139910,140312,140904,141275,141618,142093,142427,142712,143283,143974,143881,143460,143519,143619,143388,143483,143835,144382,144883,145380,145895,146361,146942,147361,147867,148354,149425,150109,150730,150987,151265,151852,152124,152163,152189,153193,154284,154475,154742,155412,155846,156411,156685,157133,157682,158036,158100,158278,159122,159975,161013,161632,162115,162480,163013,163542,164176,164555,164989,165484,165993,166257,167107,167819,168530,169156,170002,170379,170265,170281,170746,171727,172081,172249,172046,172398,172662,172672,172641,173330,174279,174893,174680,174257,174107,174126,174649,174898,174501,173998,173466,173438,173522,173422,173171,172959,172970,173142,173494,174151,174369,172911,172665,172217,172772,172901,172905,172682,172970,173343,173694,173769,173799,173751,173907,174370,174591,174953,175133,175060,175253,175353,175725,175983,176015,176232
"52","41","Q1RAW1 C Religious and welfare activities","Q1RAW10",115725,116952,118530,119594,120744,121655,122916,124093,124458,123591,123633,122866,122234,122173,121863,121834,122044,122553,122845,123044,123106,123409,123982,124077,125073,127121,128209,129907,130083,130938,132271,134195,134912,135050,134452,133861,132500,131625,132018,132481,132908,133374,133742,134185,134471,134406,134366,135028,136135,136678,137333,138015,139168,140396,141531,142408,143475,144345,144839,144110,142339,141493,141595,141872,141878,142191,142138,142315,142634,143039,143552,144086,145323,146886,148073,148242,149033,150209,150860,151377,151779,152532,152859,151748,149589,148364,148188,148598,148845,148855,149446,149610,149820,150183,150550,150943,151818,152971,154205,155205,156213,157600,159140,160017,161030,161403,161957,161697,160781,160214,160512,160386,160820,161570,162030,162379,162803,163608,164623,165358,166959,168120,169445,170503,171211,171636,172389,173400,174500,175707,177087,176452,176410,176493,177821,178552,179587,180548,181730,183067,183887,184792,185591,186248,185722,185929,186129,187305,187995,189104,190121,190732,190937,191077,191480,191016,190143,188835,188858,189316,189102,188832,188985,188687,188441,188951,189373,189828,191711,192731,193422,192789,192564,193177,194402,195244,196647,197522,197215,195699,193844,193251,192979,192803,193473,194083,193797,193773,193752,193782,193783,193770,193744,195039,196011,197079
"53","42","Q1FTO1 C Foreign travel and other, net","Q1FTO10",-9108,-10121,-10715,-10390,-10775,-11240,-11767,-12415,-14320,-16478,-19766,-20502,-18525,-16187,-16379,-17978,-20516,-22494,-22661,-23046,-23841,-24685,-25534,-25576,-27145,-28555,-26244,-30474,-27537,-26609,-27088,-30625,-28021,-28942,-26625,-25374,-27241,-30290,-27500,-29222,-30403,-29217,-29043,-28019,-25748,-28837,-19704,-27334,-20215,-21214,-30190,-23716,-23276,-26771,-26718,-23441,-24009,-24579,-29401,-28899,-31207,-23536,-22703,-30666,-30820,-20433,-33124,-32302,-36197,-33012,-34917,-36863,-31884,-27414,-34411,-31059,-37853,-36275,-25223,-27239,-27636,-40701,-41032,-36850,-33376,-29996,-30515,-31512,-29974,-28210,-26621,-28047,-29345,-28415,-24612,-22789,-22681,-20612,-18050,-22353,-20302,-16659,-13527,-14565,-13213,-15082,-15797,-20055,-19584,-18871,-16741,-16463,-17736,-18334,-16809,-16307,-17478,-17948,-18334,-17251,-19018,-16651,-12496,-17282,-13236,-12931,-11104,-10732,-9958,-10095,-10742,-12030,-12869,-12210,-14162,-1909,-2513,-5789,-5987,-7239,-4366,-6516,-7627,-7902,-3750,-3295,-5574,-4312,-6271,-4721,-7593,-14059,-9347,-11248,-14531,-10949,-3680,-5607,-4125,-3550,-8523,-6072,-3901,-4077,-7675,-9948,-11069,-10341,-5325,-8333,-8710,-8367,-3913,-3442,-5465,-6069,-7096,-8368,-11088,-11281,-10058,-11843,-13350,-14226,-13521,-10882,-10237,-12903,-16043,-16015,-12438,-13236,-15577,-12714,-12003,-13506
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","  Business annually (NIPA table 2.5.6 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
