"","Table 5#4#5BU# Private Fixed Investment in Structures by Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 31, 2006    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/30/2006 2:50:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Private fixed investment in structures","A349RC0",577611,583663,600227,611200,623683,649615,663648,681033,685017,696679,702255,716241,736380,751877,756801,765850,772069,785927,806016,774040,771812,774194,769919,786204,800828,822296,855882,887059,909134,961825,983407,1000875,1025603,1061676,1101441,1141093
"10","2","Nonresidential","B009RC0",243085,243160,255172,259954,264154,277530,277494,281766,278291,282009,281642,286947,295201,310416,321081,326037,323865,325697,335793,305178,292244,280851,272089,271708,268385,277094,278954,283008,285349,296281,302111,309801,315878,325593,340151,358971
"11","3","  Commercial and health care","W001RC0",103641,100114,106828,106633,109296,115772,115423,121302,121621,123871,125374,126384,129128,136088,141329,143657,143824,139373,131485,125016,122852,117887,114135,112191,110086,110942,113273,115236,115883,123210,124905,123794,126163,128403,131793,134385
"12","4","    Office\1\","W031RC0",35812,34462,39252,41314,43127,46347,45720,50495,51910,51888,52463,50840,53545,59611,62647,65109,65095,60947,54250,48384,44359,41285,39259,37351,34487,33669,34970,37444,37576,39060,38233,37345,38753,39388,39679,40880
"13","5","    Health care","W032RC0",19712,19078,19887,19616,19364,20319,20119,20049,20473,20291,20959,21038,20403,21670,22405,23091,22791,21828,21415,21780,23586,25084,25854,26504,26827,27334,27007,27844,28352,30495,30811,30523,31224,31437,33996,33117
"14","6","      Hospitals and special care","C311RC0",15483,15009,15220,14676,14793,15654,15673,15518,15096,15164,15125,15404,14931,15848,16699,17420,17322,16977,16395,16366,18299,19573,20373,20748,20312,20627,20385,20532,20484,21683,21811,21717,22114,22746,25299,25496
"15","7","        Hospitals","W033RC0",11781,11299,11227,10651,10627,10689,10688,10704,10959,10693,10606,10548,10361,10944,11960,12663,13286,12976,12432,12331,14209,15428,16418,16982,16697,17324,17239,17450,17529,18812,19034,19003,19602,20318,22588,22962
