"","Table 5#8#4B# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2004 12:30:25 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","      Gross government fixed investment \1\","B782RG3",95.336,95.886,97.547,100,101.46,102.602,103.691
"9","2","        Federal","B787RG3",99.897,98.78,99.688,100,99.337,98.506,98.411
"10","3","          National defense","B788RG3",99.599,98.703,100.16,100,98.763,97.989,98.039
"11","4","          Nondefense","B798RG3",100.298,98.848,98.965,100,100.272,99.344,98.993
"12","5","        State and local","B799RG3",93.616,94.813,96.763,100,102.199,104.033,105.558
"13","6","Structures \2\","B760RG3",89.567,92.262,95.623,100,103.449,106.389,108.812
"14","7","  Federal","B801RG3",89.843,92.451,95.852,100,103.742,106.191,108.869
"15","8","    National defense","B808RG3",89.931,92.46,96.057,100,103.91,106.538,109.206
"16","9","      New","B814RG3",89.931,92.46,96.057,100,103.909,106.537,109.205
"17","10","        Residential","B816RG3",89.105,91.46,95.576,100,104.825,107.657,111.511
"18","11","        Industrial","B817RG3",88.563,92.129,95.696,100,103.084,106.315,108.258
"19","12","        Military facilities \3\","B818RG3",90.376,92.872,96.266,100,103.595,106.027,108.175
"20","13","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RG3",89.777,92.427,95.735,100,103.647,106.008,108.692
"22","15","      New","B831RG3",89.92,92.574,95.924,100,103.388,105.735,108.447
"23","16","        Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RG3",88.645,91.411,95.976,100,102.951,105.717,108.255
"25","18","        Commercial","W183RG3",88.641,91.867,95.705,100,104.009,106.106,108.28
"26","19","        Health care","W184RG3",88.694,91.876,95.646,100,104.403,106.442,108.622
"27","20","        Educational","W185RG3",88.574,92.221,96.006,100,103.626,107.203,109.746
"28","21","        Public safety","W186RG3",88.672,91.862,95.813,100,104.308,106.389,108.585
"29","22","        Amusement and recreation","W187RG3",88.757,91.959,95.823,100,104.268,106.617,108.61
"30","23","        Transportation","W188RG3",90.255,92.026,95.154,100,103.645,106.468,109.198
"31","24","        Power","W189RG3",93.204,95.132,96.158,100,103.092,106.2,109.431
"32","25","        Highways and streets","W190RG3",90.042,91.907,95.259,100,103.606,106.412,109.237
"33","26","        Conservation and development","W191RG3",93.729,95.401,96.769,100,102.022,103.591,106.89
"34","27","        Other \4\","W192RG3",91.312,92.917,95.1,100,103.945,107.004,109.857
"35","28","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA
"36","29","  State and local","B842RG3",89.541,92.245,95.602,100,103.428,106.402,108.806
"37","30","    New","B843RG3",89.549,92.252,95.596,100,103.407,106.382,108.747
"38","31","      Residential","W147RG3",89.008,91.46,95.562,100,105.085,107.868,113.257
"39","32","      Office","W193RG3",88.614,91.426,96.053,100,103.018,105.49,108.537
"40","33","      Commercial","W194RG3",88.625,91.875,95.75,100,104.333,106.422,109.332
"41","34","      Health care","W195RG3",88.502,91.897,95.724,100,104.394,106.45,109.338
"42","35","      Educational","W148RG3",88.63,92.31,96.068,100,103.748,106.81,109.247
"43","36","      Public safety","W196RG3",88.319,91.984,95.714,100,104.337,106.399,109.345
"44","37","      Amusement and recreation","W197RG3",88.416,91.956,95.784,100,104.322,106.415,109.309
"45","38","      Transportation","W198RG3",88.497,92.616,95.672,100,100.601,105.592,108.352
"46","39","      Power","W199RG3",93.171,95.19,96.073,100,103.064,106.106,108.193
"47","40","      Highways and streets","W149RG3",90.084,91.915,95.123,100,103.561,106.335,108.161
"48","41","      Sewer systems","W150RG3",91.179,92.915,95.026,100,103.918,106.979,108.541
"49","42","      Water systems","W168RG3",91.258,92.919,95.013,100,103.911,106.999,108.518
"50","43","      Conservation and development","W169RG3",93.675,95.384,96.728,100,101.986,103.459,106.978
"51","44","      Other \5\","W200RG3",89.731,92.035,95.652,100,104.548,107.86,112.493
"52","45","    Net purchases of used structures","B870RG3",89.216,91.971,95.83,100,105.589,108.596,112.826
"53","46","Equipment and software \2\","A871RG3",105.17,101.905,100.716,100,98.195,96.409,95.389
"54","47","  Federal","B872RG3",102.505,100.298,100.544,100,98.501,97.085,96.501
"55","48","    National defense","B873RG3",100.862,99.456,100.638,100,98.231,97.161,96.995
"56","49","      Aircraft","B874RG3",91.651,90.654,105.413,100,93.76,90.679,90.459
"57","50","      Missiles","B875RG3",101.913,103.195,99.918,100,97.393,96.399,98.23
"58","51","      Ships","B876RG3",98.958,98.52,97.649,100,99.895,100.494,101.715
"59","52","      Vehicles","B877RG3",102.616,101.177,101.98,100,98.407,97.727,97.973
"60","53","      Electronics and software","B878RG3",110.326,104.349,100.812,100,97.581,94.912,92.043
"61","54","      Other equipment","B879RG3",99.314,99.492,99.5,100,100.616,100.882,101.242
"62","55","    Nondefense","B880RG3",105.828,101.936,100.357,100,99.047,96.888,95.345
"63","56","  State and local","B881RG3",109.052,104.202,100.955,100,97.782,95.485,93.832
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA
