"","Table 6#17C# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2004 12:36:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Corporate profits before tax","A053RC0",317605,386072,383746,409524,422991,461074,517098,577063,674300,733035,798155,718270,775876,773398
"9","2","Domestic industries","E561RC0",269593,329088,316617,333436,346522,387984,440167,499988,581490,631155,687238,615320,654363,627695
"10","3","  Agriculture, forestry, and fishing","A3003C0",1865,1811,1677,1638,1155,1960,1924,1385,1828,2938,3044,3021,4532,4593
"11","4","    Farms","B3004C0",868,971,1219,1065,688,1227,1207,391,545,1346,1591,322,1250,1213
"12","5","    Agricultural services, forestry, and fishing","B3005C0",997,840,458,573,467,733,717,994,1283,1592,1453,2699,3282,3380
"13","6","  Mining","A3006C0",-1633,869,1171,2732,1291,2348,1740,3614,4723,8382,11241,1344,53,10719
"14","7","    Metal mining","B3007C0",-526,629,57,187,46,71,-330,668,563,-823,-293,-632,-807,-575
"15","8","    Coal mining","B3008C0",449,841,867,633,372,541,46,517,214,617,334,-187,-208,-180
"16","9","    Oil and gas extraction","B3009C0",-2575,-1627,-568,1279,406,1172,1790,1536,2997,7680,10004,85,2261,11223
"17","10","    Nonmetallic minerals, except fuels","B3010C0",1019,1026,815,633,467,564,234,893,949,908,1196,2078,-1193,251
"18","11","  Construction","B3011C0",11322,12637,11965,10985,8415,8047,10223,13682,17293,21960,25748,32640,38269,39173
"19","12","  Manufacturing","E563RC0",93794,132504,117120,117453,92214,98702,114894,152146,180151,183398,202218,163130,172728,175304
"20","13","    Durable goods","E565RC0",43896,60747,54402,44480,32068,39430,54820,76307,80674,84800,97565,80299,76467,67934
"21","14","      Lumber and wood products","B3014C0",5029,4328,4351,2483,1665,3366,4550,4893,5961,3137,3182,3645,5525,3003
"22","15","      Furniture and fixtures","B3015C0",1769,1366,1067,910,1018,1497,2049,2086,2295,3005,3579,3603,3717,3053
"23","16","      Stone, clay, and glass products","B3016C0",2784,2018,1776,1918,794,1864,2056,4076,5130,4729,7243,6787,7787,5738
"24","17","      Primary metal industries","B3017C0",3654,7520,6247,3403,498,-93,270,3605,7787,5091,6401,5157,2253,1645
"25","18","      Fabricated metal products","B3018C0",6036,7443,6756,6203,5106,6262,7574,11778,12628,14324,17045,16024,15941,15993
"26","19","      Industrial machinery and equipment","B3019C0",5165,11787,12626,11506,4952,6001,5746,8007,12951,13822,15282,18444,11694,16646
"27","20","      Electronic and other electric equipment","B3020C0",6163,8860,9646,8185,9295,9499,14680,22082,20465,18604,22205,6404,4142,4437
"28","21","      Motor vehicles and equipment","B3021C0",3933,6436,2992,-1535,-5441,-1024,6130,8049,285,4307,4622,5652,7055,-1173
"29","22","      Other transportation equipment","B3022C0",6433,6011,4601,5573,7734,5591,5680,4064,4504,7096,7315,6358,10277,9244
"30","23","      Instruments and related products","B3023C0",1377,2900,2259,3466,3961,3780,2833,3975,4809,7155,6204,4305,3055,4737
"31","24","      Miscellaneous manufacturing industries","B3024C0",1553,2078,2081,2368,2486,2687,3252,3692,3859,3530,4487,3920,5021,4611
"32","25","    Nondurable goods","E564RC0",49898,71757,62718,72973,60146,59272,60074,75839,99477,98598,104653,82831,96261,107370
"33","26","      Food and kindred products","B3026C0",11830,13713,11032,14403,17991,18138,17207,20125,28403,22666,24456,21185,27825,26704
"34","27","      Tobacco products","B3027C0",1130,2310,2202,3213,2360,2486,1795,1769,2035,1992,1935,1116,3281,1474
"35","28","      Textile mill products","B3028C0",2215,1632,1285,1218,1460,3195,2784,2489,1947,2194,2345,2428,2057,1079
"36","29","      Apparel and other textile products","B3029C0",1888,1873,2135,1950,2352,3108,2976,3108,2572,2523,2624,2355,1962,2528
"37","30","      Paper and allied products","B3030C0",6416,9525,8899,6835,4477,3557,4012,6226,13728,8738,6083,5405,7220,9242
"38","31","      Printing and publishing","B3031C0",8426,8088,7466,6756,7874,10280,9790,12123,9481,12132,12063,12821,16792,14837
"39","32","      Chemicals and allied products","B3032C0",15183,20120,18641,17487,15884,16261,16041,24142,29242,26666,32279,25749,25366,17582
"40","33","      Petroleum and coal products","B3033C0",-121,11715,8157,18620,4958,-1030,1794,1583,7485,16226,16606,5291,5537,30570
"41","34","      Rubber and miscellaneous plastics products","B3034C0",2370,2176,2340,1866,2068,2638,3281,4193,4118,5175,5804,6084,5932,3038
"42","35","      Leather and leather products","B3035C0",561,605,561,625,722,639,394,81,466,286,458,397,289,316
