"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 30, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2004 12:16:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","      Government consumption expenditures \1\","A955RX1",1277.2,1293.6,1299.4,1295.5,1299.2,1301.9,1306.7,1329.9,1351.2,1393.1,1417.1,1461,1519.4,1563.7
"9","2","        Gross output of general government","W101RX1",1456.8,1479.4,1491.1,1493.8,1505.7,1512.2,1520.9,1549.1,1580.2,1625.8,1662.4,1721.7,1795.7,1851.3
"10","3","          Value added","W102RX1",1003.9,1014.3,1017.7,1019.8,1019.9,1020.6,1022.1,1030,1041,1051.4,1069.6,1089.3,1107.4,1120.1
"11","4","            Compensation of general government employees","A194RX1",874.8,879.1,877.6,876.2,873.9,872.4,871.5,876.3,883.8,889.7,903.2,918.4,932.5,940.9
"12","5","            Consumption of general government fixed capital \2\","A265RX1",132,137.3,141.5,144.7,146.8,148.7,151,153.9,157.3,161.7,166.4,170.9,175,179.4
"13","6","          Intermediate goods and services purchased \3\","W104RX1",454.7,466.3,474.4,474.9,486.4,492.1,499.1,519.1,539.1,574.4,592.8,632.6,689.3,733.4
"14","7","            Durable goods","W105RX1",47.7,46.7,44,41.8,38.7,37.6,38.1,39.4,40.8,43.1,44.1,45.7,47.4,49.7
"15","8","            Nondurable goods","W106RX1",95.7,100.2,103.7,107,110.7,113.5,116.6,122.1,130.5,138,145.3,155.5,167.4,172.2
"16","9","            Services","W107RX1",308.6,317,324.9,324.8,336.4,340.7,344.2,357.4,367.7,393.1,403.4,431.4,474.3,510.9
"17","10","        Less: Own-account investment \4\","W108RX1",16.7,17.3,17.2,17,16.7,16.8,16.7,17.6,17.9,18,18.1,20.2,20.8,20.6
"18","11","              Sales to other sectors","W109RX1",162.4,168.2,174.6,181.5,190,193.7,197.6,201.6,211.2,214.7,227.2,240.5,255.4,266.9
"19","12","Federal consumption expenditures \1\","A957RX1",562.5,564.1,552.2,533.5,517.9,502.9,493.4,494.6,484.7,492.8,499.3,519.8,557.2,594.5
"20","13","      Gross output of general government","W110RX1",577.1,579.5,566.9,546.9,533.5,515.4,506,504.6,495.2,501.5,509.2,528.7,565.8,602.6
