"","Table 5#8#5B# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2004 12:30:42 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","      Gross government fixed investment \1\","A782RC1",252.2,262.4,286.8,304.5,324,347.4,358.5
"9","2","        Federal","A787RC1",73.2,75.8,80.7,79.5,81,88.1,93.6
"10","3","          National defense","A788RC1",44.9,45,47.7,48.8,50.2,55.4,60.4
"11","4","          Nondefense","A798RC1",28.3,30.8,33,30.7,30.8,32.7,33.2
"12","5","        State and local","A799RC1",178.9,186.5,206,225,243,259.3,264.9
"13","6","Structures \2\","A760RC1",155,159.3,175.3,189.3,205.3,222.6,228.9
"14","7","  Federal","A801RC1",15.5,15.7,15.6,13.3,12.9,14.3,15.5
"15","8","    National defense","A808RC1",5.7,5.1,5,5,4.6,4.4,5.3
"16","9","      New","A814RC1",5.7,5.1,5,5,4.6,4.4,5.3
"17","10","        Residential","B816RC1",1.4,1.4,1.3,1.3,1.5,1.5,1.6
"18","11","        Industrial","B817RC1",0.5,0.2,0.2,0.3,0.4,0.3,0.8
"19","12","        Military facilities \3\","B818RC1",3.9,3.5,3.4,3.4,2.7,2.6,2.9
"20","13","      Net purchases of used structures","B819RC1",0,0,0,0,0,0,0
"21","14","    Nondefense","A830RC1",9.8,10.6,10.6,8.3,8.3,9.9,10.2
"22","15","      New","A831RC1",10.2,9.9,9.8,9.5,9.2,9.9,10.4
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RC1",1.9,1.9,1.8,1.6,1.5,1.4,1.8
"25","18","        Commercial","W183RC1",0.7,0.8,0.9,0.8,0.7,0.5,0.6
"26","19","        Health care","W184RC1",1.3,1,0.9,0.8,0.7,0.9,0.7
"27","20","        Educational","W185RC1",0.4,0.3,0.3,0.4,0.5,0.8,0.8
"28","21","        Public safety","W186RC1",2,2,1.9,1.7,1.2,1.3,0.8
"29","22","        Amusement and recreation","W187RC1",0.6,0.6,0.6,0.6,0.4,0.4,0.6
"30","23","        Transportation","W188RC1",0.4,0.4,0.4,0.4,0.4,0.6,0.3
"31","24","        Power","W189RC1",0.1,0.1,0.1,0.1,0.2,0.3,1.2
"32","25","        Highways and streets","W190RC1",0.5,0.5,0.4,0.6,0.5,0.6,0.5
"33","26","        Conservation and development","W191RC1",1.7,1.8,2,2,2.3,2.5,2.3
"34","27","        Other \4\","W192RC1",0.6,0.6,0.6,0.7,0.7,0.7,0.8
"35","28","      Net purchases of used structures","B841RC1",-0.4,0.7,0.8,-1.2,-0.9,0,-0.2
"36","29","  State and local","A842RC1",139.5,143.6,159.7,176,192.4,208.2,213.4
"37","30","    New","A843RC1",136.6,140,155.7,172,191.3,203.7,208.8
"38","31","      Residential","W147RC1",4.3,4.3,4.6,4.2,5.1,5.2,5.3
"39","32","      Office","W193RC1",11,12.1,13.6,15.4,17.7,19.8,20.2
"40","33","      Commercial","W194RC1",0.2,0.2,0.3,0.2,0.3,0.4,0.4
"41","34","      Health care","W195RC1",3.2,3.2,3,3,3.3,4.1,4.6
"42","35","      Educational","W148RC1",33.8,35,41.1,45.7,51.1,57.6,59.4
"43","36","      Public safety","W196RC1",3.9,4.2,4.5,4.6,4.6,4.6,4.6
"44","37","      Amusement and recreation","W197RC1",4.6,4.7,5,6.2,7.1,7.3,7
"45","38","      Transportation","W198RC1",10.3,10.1,11.4,15.1,16.3,15.8,16.1
"46","39","      Power","W199RC1",3.1,2.4,3.2,3.9,4.1,3.1,3.8
"47","40","      Highways and streets","W149RC1",43,44.8,49.2,53.1,58.8,60.6,62
"48","41","      Sewer systems","W150RC1",9.5,8.8,9,8.9,10.6,12.2,12.4
