"","Table 6#3B# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2004 12:32:05 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Wage and salary accruals","A034RC0",135550,134733,147253,171607,185636,198989,197263,212151,229026,239951,241317,259842,272855,280519,299358,314851,337788,363757,400321,429009,471972,518333,551560,584549,638785,708762,772282,814838,899745,994158,1121206,1255797,1377641,1517512,1593723,1684579,1855098,1995472,2114822,2270746
"9","2","Domestic industries","A4102C0",135464,134675,147175,171593,185634,198996,197320,212221,229108,240029,241389,259923,273010,280663,299453,314914,337842,363752,400297,428979,471960,518311,551537,584528,638786,708775,772304,814881,899782,994220,1121305,1255868,1377739,1517668,1593915,1684752,1855309,1995687,2116604,2272102
"10","3","  Private industries","A4103C0",116444,113848,124542,142364,152256,164658,162415,175625,190306,199016,197267,213869,223828,228192,243106,254888,272917,293842,321908,342496,375271,412711,434305,457748,500899,559976,611792,638641,710876,791632,901287,1018732,1116278,1231819,1286378,1359957,1507171,1621824,1719645,1849474
"11","4","    Agriculture, forestry, and fishing","J4104C0",3304,3127,3165,3310,3281,3176,3056,3029,3067,3164,3301,3373,3528,3713,3858,3982,4099,4291,4403,4474,4724,5086,5371,5461,5767,6833,7844,8336,9426,10051,11236,12630,13604,14060,15461,15633,16530,17581,17869,19161
"12","5","      Farms","B4105C0",2990,2806,2811,2910,2846,2724,2579,2557,2566,2658,2770,2841,2964,3090,3170,3244,3284,3380,3414,3412,3537,3763,3942,3912,4025,4698,5473,5844,6532,6870,7229,7903,8218,8044,9138,8809,8792,8921,8336,8389
"13","6","      Agricultural services, forestry, and fishing","J4106C0",314,321,354,400,435,452,477,472,501,506,531,532,564,623,688,738,815,911,989,1062,1187,1323,1429,1549,1742,2135,2371,2492,2894,3181,4007,4726,5385,6014,6323,6824,7738,8660,9533,10773
"14","7","    Mining","J4107C0",3372,2967,3202,3644,3717,3814,3495,3767,4213,4361,3897,3957,3962,3876,3901,3940,4100,4308,4504,4634,4862,5376,5816,6043,6647,7325,8871,10884,12243,14076,16483,19702,23946,29901,31344,27732,29502,29304,25437,23913
"15","8","      Metal mining","B4108C0",334,323,348,421,473,530,475,531,602,620,504,488,581,561,548,537,565,610,651,613,678,781,864,859,918,1012,1196,1317,1459,1554,1769,2135,2372,2754,2100,1704,1684,1484,1357,1441
"16","9","      Coal mining","J4109C0",1806,1388,1522,1659,1476,1389,1057,1113,1268,1297,1034,1002,950,841,826,839,875,916,959,1014,1014,1164,1400,1498,1789,1949,2390,3360,3829,4317,4659,5621,6076,6375,6897,5819,6469,6312,6041,5734
"17","10","      Oil and gas extraction","J4110C0",949,964,1007,1181,1350,1442,1502,1620,1774,1865,1777,1846,1800,1837,1864,1882,1941,1999,2065,2162,2291,2496,2566,2645,2838,3144,3932,4794,5431,6523,8138,9766,13175,18354,19983,17800,18701,18723,15172,13647
"18","11","      Nonmetallic minerals, except fuels","B4111C0",283,292,325,383,418,453,461,503,569,579,582,621,631,637,663,682,719,783,829,845,879,935,986,1041,1102,1220,1353,1413,1524,1682,1917,2180,2323,2418,2364,2409,2648,2785,2867,3091
"19","12","    Construction","J4112C0",7252,7085,8143,10069,10962,11507,11707,12596,14019,14341,14349,15603,16129,16491,17627,18704,20455,22294,24496,25543,28479,32231,34147,37052,40182,45126,47892,46285,49988,55219,64754,74841,78599,82950,82070,83624,94657,104860,112780,120104
"20","13","    Manufacturing","J4113C0",47145,44638,50316,59357,64182,71253,67574,73889,79489,82515,78719,86937,89776,89912,96793,100740,107298,115678,128206,134313,146047,157718,158392,160665,175488,196573,211844,211607,238046,266707,300084,335175,356175,387622,385727,400670,445427,468494,480739,496922
"21","14","      Durable goods","J4114C0",26385,24281,28163,35104,38746,44031,40462,44941,48637,50672,47047,52785,54496,53878,58872,61688,66024,72032,81125,84702,92101,99639,98079,98253,108583,124336,134336,132083,148699,168660,192288,217285,228801,249329,242580,249502,283007,299346,304710,311706
"22","15","        Lumber and wood products","J4115C0",1945,1733,2056,2358,2363,2370,2246,2514,2613,2397,2342,2650,2578,2463,2620,2767,3043,3209,3399,3484,3932,4315,4477,4971,5469,6113,6213,5827,7029,8122,9277,10215,9879,10179,9514,11039,12287,12655,13265,14440
"23","16","        Furniture and fixtures","J4116C0",926,881,1082,1139,1213,1286,1218,1377,1464,1496,1448,1603,1617,1574,1715,1790,1953,2114,2363,2400,2660,2871,2811,2944,3376,3802,3901,3578,4108,4596,5223,5693,5862,6316,6242,6891,7866,8340,8828,9528
"24","17","        Stone, clay, and glass products","J4117C0",1630,1559,1786,2108,2096,2293,2258,2533,2735,2788,2760,3119,3221,3158,3343,3508,3756,3960,4237,4295,4634,5103,5292,5579,6162,6909,7333,7227,8074,9035,10325,11404,11680,12275,11749,12302,13557,13939,14443,14904
"25","18","        Primary metal industries","J4118C0",4190,3692,4378,5354,5369,6143,5391,6554,7109,7409,6459,7155,7386,7117,7571,7839,8585,9343,10027,9873,10634,11614,11558,11517,12872,14983,16959,16201,18124,20441,23081,26018,25838,27997,23363,21635,23443,22717,21721,21895
"26","19","        Fabricated metal products","J4119C0",3557,3311,3911,4741,5182,5930,5474,6035,6506,6871,6282,6921,7144,7038,7655,7992,8624,9408,10561,11254,12342,13402,13115,13097,14466,16482,17709,17437,19512,21810,24566,27361,28401,30565,29085,29270,32776,34692,34794,34975
