"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 27, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2007 9:57:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","Price per unit of real gross value added of nonfinancial corporate business \1\","A455RD3",0.166,0.158,0.137,0.117,0.116,0.129,0.132,0.132,0.139,0.132,0.13,0.133,0.144,0.16,0.171,0.174,0.176,0.19,0.216,0.23,0.225,0.227,0.246,0.248,0.247,0.246,0.248,0.257,0.264,0.269,0.271,0.273,0.274,0.276,0.278,0.28,0.284,0.291,0.299,0.31,0.324,0.338,0.351,0.363,0.384,0.421,0.462,0.483,0.509,0.543,0.585,0.642,0.701,0.743,0.759,0.782,0.795,0.806,0.82,0.84,0.866,0.894,0.918,0.93,0.95,0.966,0.975,0.979,0.985,0.985,0.988,1,1.013,1.019,1.032,1.054,1.088,1.113
"9","2","Compensation of employees (unit labor cost)","A460RD3",0.106,0.102,0.092,0.08,0.078,0.081,0.082,0.082,0.088,0.085,0.083,0.081,0.087,0.098,0.107,0.11,0.114,0.128,0.141,0.145,0.142,0.14,0.154,0.159,0.162,0.161,0.157,0.166,0.172,0.176,0.174,0.178,0.179,0.178,0.177,0.178,0.178,0.185,0.193,0.201,0.214,0.228,0.233,0.24,0.257,0.287,0.303,0.318,0.334,0.361,0.397,0.438,0.466,0.495,0.498,0.507,0.519,0.534,0.541,0.549,0.57,0.591,0.607,0.619,0.628,0.627,0.631,0.627,0.629,0.645,0.652,0.672,0.688,0.685,0.687,0.684,0.702,0.718
"10","3","Unit nonlabor cost","A467RD3",0.03,0.034,0.036,0.04,0.043,0.04,0.037,0.032,0.032,0.035,0.031,0.029,0.027,0.025,0.023,0.026,0.029,0.033,0.037,0.039,0.043,0.04,0.042,0.044,0.044,0.044,0.043,0.046,0.049,0.054,0.051,0.053,0.054,0.053,0.053,0.053,0.053,0.053,0.057,0.059,0.065,0.073,0.077,0.078,0.081,0.093,0.106,0.106,0.11,0.117,0.127,0.148,0.167,0.186,0.185,0.185,0.19,0.196,0.195,0.197,0.213,0.222,0.234,0.228,0.228,0.23,0.23,0.228,0.228,0.226,0.229,0.237,0.257,0.253,0.253,0.25,0.257,0.26
