"","Table 5#8#6A# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Billions of chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 12, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2007 10:21:32 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","      Gross government fixed investment \1\","A782RX1",253,254.1,256.4,246.5,243.3,248.8,258.6,264.5
"9","2","        Federal","A787RX1",95.4,93.3,93.4,85.9,78.9,77.6,79.9,73.3
"10","3","          National defense","A788RX1",72.9,68.7,66.1,57.7,53.8,50.9,51.3,45.1
"11","4","          Nondefense","A798RX1",23.1,25,27.6,28.2,25.2,26.7,28.6,28.2
"12","5","        State and local","A799RX1",154.6,158.2,160.3,158.7,163.2,170.4,178,191.1
"13","6","Structures \2\","A760RX1",151.2,154.7,157.2,154.5,154.7,159.5,166.7,173.1
"14","7","  Federal","A801RX1",19,18.2,20.2,20.5,19.7,20,20.3,17.3
"15","8","    National defense","A808RX1",8.6,6.4,7,6.4,7.1,7.4,7.7,6.4
"16","9","      New","A814RX1",8.6,6.4,7,6.4,7.1,7.4,7.7,6.4
"17","10","        Buildings","B815RX1",3.5,3,2.7,2.4,2.5,2.3,2.3,2.1
"18","11","          Residential","B816RX1",2.4,1.6,1.5,1.5,1.7,1.6,1.6,1.6
"19","12","          Industrial","B817RX1",1.1,1.4,1.2,0.9,0.8,0.7,0.7,0.5
"20","13","        Military facilities \3\","B818RX1",5.1,3.4,4.3,4,4.6,5.1,5.4,4.3
"21","14","      Net purchases of used structures","B819RX1",0,0,0,0,0,0,0,0
"22","15","    Nondefense","A830RX1",10.6,11.8,13.2,14.1,12.7,12.6,12.7,10.9
"23","16","      New","A831RX1",10.8,12.3,13.5,13.6,13.2,13.2,12.8,11.3
"24","17","        Buildings","B832RX1",4.5,5.7,6,5.7,4.6,5.3,5.4,5.2
"25","18","          Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RX1",0.7,0.9,1.1,1.2,1,1,0.8,0.5
"27","20","          Educational \4\","B835RX1",0,0,0,0,0,0,0,0
"28","21","          Hospital","B836RX1",0.9,0.7,0.7,0.9,0.8,0.9,1,1.2
"29","22","          Other \5\","B837RX1",2.9,4.1,4.1,3.6,2.9,3.4,3.5,3.5
"30","23","        Highways and streets \6\","B838RX1",0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.3
"31","24","        Conservation and development","B839RX1",4.8,4.6,5.7,5.2,5.2,4.8,4.3,3.7
"32","25","        Other \7\","B840RX1",1.2,1.7,1.5,2.3,2.8,2.7,2.7,2.1
