"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"21","2","Less: Exports of goods and services","A020RX1","145,249.0","177,816.0","173,552.0","179,527.0","180,929.0","188,882.0","188,317.0","190,055.0","190,769.0","190,434.0","198,323.0","181,711.0","201,408.0","195,548.0","207,357.0","216,149.0","231,989.0","243,177.0","243,989.0","255,965.0","259,237.0","271,846.0","257,187.0","263,908.0","265,769.0","258,034.0","253,687.0","268,031.0","266,175.0","268,856.0","276,668.0","279,479.0","274,989.0","282,402.0","284,589.0","275,456.0","281,945.0","311,328.0","314,742.0","327,238.0","327,507.0","328,370.0","340,193.0","361,599.0","371,687.0","378,697.0","377,896.0","375,620.0","382,708.0","384,795.0","376,614.0","378,359.0","361,953.0","364,127.0","347,991.0","332,056.0","337,422.0","338,441.0","343,538.0","350,460.0","357,784.0","366,678.0","374,772.0","382,381.0","383,370.0","382,542.0","376,977.0","388,259.0","400,476.0","404,815.0","414,077.0","429,511.0","429,824.0","447,480.0","466,872.0","484,281.0","511,191.0","525,527.0","535,887.0","552,240.0","568,722.0","593,614.0","599,672.0","608,748.0","635,186.0","643,087.0","647,955.0","653,660.0","657,653.0","681,631.0","697,767.0","713,479.0","726,377.0","726,729.0","742,144.0","745,886.0","747,581.0","756,541.0","754,526.0","778,859.0","786,511.0","813,069.0","843,501.0","862,969.0","879,584.0","891,915.0","930,517.0","943,813.0","955,193.0","970,735.0","978,594.0","1,039,609.0","1,059,367.0","1,101,722.0","1,127,242.0","1,125,670.0","1,130,936.0","1,118,454.0","1,113,262.0","1,154,471.0","1,126,437.0","1,137,911.0","1,171,342.0","1,200,895.0","1,219,158.0","1,254,745.0","1,285,516.0","1,274,312.0","1,254,496.0","1,213,044.0","1,154,073.0","1,117,993.0","1,140,855.0","1,172,095.0","1,180,452.0","1,164,472.0","1,157,558.0","1,156,225.0","1,187,033.0","1,239,236.0","1,276,616.0","1,293,076.0","1,300,553.0","1,332,074.0","1,352,648.0","1,377,637.0","1,379,208.0","1,418,128.0","1,470,959.0","1,498,504.0","1,495,517.0","1,562,099.0","1,587,671.0","1,615,651.0","1,665,560.0","1,716,692.0","1,737,937.0","1,790,015.0","1,766,117.0","1,669,231.0","1,535,344.0","1,539,374.0","1,593,341.0","1,682,902.0","1,708,162.0","1,748,067.0","1,797,508.0","1,852,641.0","1,862,301.0","1,890,682.0","1,910,595.0","1,929,669.0","1,935,988.0","1,958,862.0","1,969,127.0","1,976,463.0","1,972,302.0","2,002,764.0","2,027,684.0","2,076,516.0","2,026,902.0","2,080,726.0","2,103,965.0","2,127,139.0","2,095,264.0"
"22","3","Plus: Imports of goods and services","A021RX1","213,907.0","256,109.0","252,791.0","250,014.0","249,195.0","254,120.0","253,537.0","257,469.0","254,434.0","273,627.0","279,676.0","260,719.0","298,823.0","288,206.0","294,205.0","307,457.0","321,664.0","312,393.0","303,763.0","306,031.0","295,652.0","311,316.0","305,874.0","302,838.0","272,449.0","250,647.0","271,484.0","285,975.0","303,893.0","317,055.0","329,991.0","340,913.0","357,052.0","360,344.0","355,321.0","360,362.0","384,539.0","385,756.0","390,794.0","396,154.0","395,069.0","397,203.0","391,145.0","399,691.0","399,987.0","370,960.0","344,280.0","362,754.0","378,305.0","378,876.0","374,553.0","385,294.0","374,310.0","368,193.0","385,277.0","370,154.0","378,630.0","407,739.0","439,499.0","461,058.0","498,126.0","518,994.0","532,427.0","548,027.0","535,931.0","562,267.0","556,844.0","578,666.0","578,132.0","602,749.0","619,447.0","624,217.0","620,490.0","635,965.0","648,334.0","663,238.0","660,132.0","652,541.0","667,944.0","688,292.0","691,488.0","694,762.0","693,816.0","706,369.0","728,771.0","727,550.0","724,613.0","705,180.0","697,143.0","709,534.0","729,501.0","745,616.0","751,033.0","763,380.0","775,414.0","793,976.0","811,166.0","827,925.0","838,828.0","872,527.0","892,855.0","926,123.0","952,166.0","978,956.0","1,000,435.0","1,009,936.0","1,013,407.0","1,026,361.0","1,059,727.0","1,083,443.0","1,118,570.0","1,140,628.0","1,189,343.0","1,229,267.0","1,274,579.0","1,302,109.0","1,350,982.0","1,381,933.0","1,400,525.0","1,445,749.0","1,466,883.0","1,509,024.0","1,565,243.0","1,603,779.0","1,668,146.0","1,719,607.0","1,779,038.0","1,778,071.0","1,748,467.0","1,696,812.0","1,662,797.0","1,639,787.0","1,686,901.0","1,739,799.0","1,765,579.0","1,802,902.0","1,777,883.0","1,805,929.0","1,829,111.0","1,894,600.0","1,952,748.0","2,033,040.0","2,053,575.0","2,101,999.0","2,126,795.0","2,151,177.0","2,156,887.0","2,222,003.0","2,269,940.0","2,297,607.0","2,315,226.0","2,321,390.0","2,358,684.0","2,369,376.0","2,368,712.0","2,339,274.0","2,361,633.0","2,340,397.0","2,293,036.0","2,199,514.0","1,986,668.0","1,905,707.0","1,976,984.0","2,063,350.0","2,116,938.0","2,217,774.0","2,295,953.0","2,310,735.0","2,328,482.0","2,345,931.0","2,364,918.0","2,391,348.0","2,401,737.0","2,425,543.0","2,422,148.0","2,400,973.0","2,399,453.0","2,448,788.0","2,452,329.0","2,460,468.0","2,474,130.0","2,541,149.0","2,535,316.0","2,598,519.0","2,643,268.0"
"23","4","Equals: Gross domestic purchases","A712RX1","4,806,109.0","4,815,767.0","4,848,899.0","4,816,335.0","4,804,958.0","4,806,863.0","4,849,883.0","4,801,281.0","4,926,204.0","4,974,068.0","5,007,820.0","5,026,763.0","5,127,272.0","5,243,211.0","5,281,009.0","5,370,039.0","5,494,536.0","5,530,271.0","5,488,680.0","5,523,185.0","5,456,764.0","5,471,950.0","5,435,540.0","5,398,263.0","5,284,812.0","5,307,383.0","5,434,808.0","5,505,414.0","5,659,200.0","5,716,313.0","5,750,859.0","5,805,002.0","5,903,148.0","6,010,402.0","6,104,731.0","6,127,484.0","6,173,201.0","6,363,443.0","6,426,786.0","6,499,527.0","6,510,033.0","6,519,641.0","6,537,017.0","6,532,562.0","6,537,927.0","6,344,872.0","6,289,530.0","6,443,146.0","6,591,701.0","6,541,242.0","6,622,067.0","6,560,073.0","6,459,081.0","6,481,086.0","6,509,845.0","6,517,888.0","6,607,719.0","6,798,919.0","6,968,996.0","7,130,786.0","7,311,329.0","7,452,799.0","7,531,018.0","7,599,923.0","7,656,178.0","7,760,547.0","7,878,822.0","7,949,401.0","8,003,579.0","8,065,305.0","8,152,974.0","8,179,464.0","8,229,718.0","8,316,227.0","8,380,068.0","8,511,118.0","8,517,554.0","8,597,947.0","8,653,331.0","8,770,816.0","8,839,797.0","8,879,253.0","8,935,334.0","8,958,401.0","9,049,917.0","9,072,764.0","9,065,166.0","8,956,334.0","8,899,528.0","8,953,961.0","9,001,669.0","9,041,280.0","9,138,432.0","9,253,577.0","9,339,022.0","9,450,265.0","9,486,467.0","9,551,796.0","9,613,390.0","9,751,369.0","9,860,830.0","10,001,587.0","10,054,542.0","10,175,892.0","10,215,859.0","10,247,685.0","10,292,592.0","10,364,686.0","10,457,796.0","10,647,889.0","10,776,442.0","10,844,440.0","10,958,674.0","11,118,713.0","11,279,568.0","11,397,321.0","11,554,320.0","11,710,241.0","11,885,310.0","12,078,420.0","12,224,142.0","12,353,129.0","12,526,043.0","12,745,194.0","12,828,133.0","13,077,612.0","13,121,485.0","13,204,173.0","13,158,310.0","13,216,792.0","13,204,128.0","13,254,747.0","13,395,037.0","13,485,823.0","13,565,828.0","13,626,874.0","13,676,871.0","13,827,503.0","14,040,581.0","14,208,911.0","14,306,303.0","14,469,266.0","14,607,335.0","14,743,748.0","14,896,879.0","14,969,578.0","15,093,001.0","15,201,574.0","15,369,062.0","15,412,462.0","15,446,705.0","15,498,341.0","15,519,117.0","15,614,245.0","15,662,120.0","15,631,704.0","15,532,960.0","15,527,234.0","15,426,955.0","15,112,443.0","14,827,779.0","14,722,712.0","14,784,989.0","14,921,220.0","15,013,626.0","15,218,385.0","15,347,892.0","15,399,832.0","15,351,602.0","15,448,346.0","15,479,463.0","15,656,093.0","15,744,748.0","15,807,622.0","15,887,167.0","15,859,008.0","15,966,038.0","16,054,527.0","16,205,036.0","16,298,595.0","16,280,411.0","16,473,164.0","16,637,661.0","16,768,250.0","16,838,196.0"
"24","5","Less: Change in private inventories","A014RX1","40,124.0","33,530.0","38,746.0","20,985.0","3,820.0","17,783.0","17,873.0","-14,853.0","42,097.0","35,825.0","34,050.0","-1,967.0","12,299.0","40,281.0","43,105.0","17,313.0","28,392.0","55,489.0","26,456.0","61,393.0","29,940.0","39,262.0","12,562.0","46,331.0","-18,668.0","-32,740.0","-5,234.0","342.0","34,594.0","52,040.0","47,017.0","17,177.0","29,257.0","43,655.0","76,626.0","40,304.0","48,170.0","47,177.0","48,080.0","57,173.0","43,289.0","48,976.0","18,045.0","12,975.0","14,343.0","12,244.0","-52,882.0","-15,002.0","61,111.0","15,315.0","63,057.0","32,057.0","-30,124.0","-5,918.0","6,578.0","-57,453.0","-53,534.0","-8,420.0","-2,911.0","30,417.0","96,864.0","91,064.0","95,072.0","59,866.0","18,503.0","27,121.0","22,801.0","41,940.0","37,203.0","18,101.0","-10,395.0","-8,806.0","40,108.0","22,490.0","-1,938.0","84,489.0","18,574.0","25,770.0","21,441.0","29,454.0","58,217.0","44,586.0","12,321.0","17,880.0","16,403.0","41,086.0","26,899.0","-12,641.0","-19,973.0","-23,695.0","1,000.0","34,815.0","2,635.0","25,316.0","23,219.0","26,636.0","45,979.0","31,024.0","2,055.0","17,251.0","54,664.0","98,684.0","61,617.0","86,588.0","72,412.0","41,319.0","9,398.0","15,113.0","2,036.0","29,649.0","65,483.0","38,168.0","51,406.0","112,885.0","80,890.0","94,042.0","127,889.0","49,642.0","67,367.0","71,056.0","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","25,066.0","57,519.0","-13,027.0","80,816.0","70,912.0","78,887.0","71,151.0","7,243.0","33,443.0","43,351.0","95,564.0","81,796.0","35,244.0","84,772.0","82,217.0","79,984.0","99,513.0"
"25","6","Equals: Final sales to domestic purchasers","A713RX1","4,781,997.0","4,800,775.0","4,828,537.0","4,818,818.0","4,827,348.0","4,811,792.0","4,855,150.0","4,847,677.0","4,902,499.0","4,956,249.0","4,993,720.0","5,057,372.0","5,139,024.0","5,220,017.0","5,254,695.0","5,377,700.0","5,483,418.0","5,483,475.0","5,477,135.0","5,466,837.0","5,440,889.0","5,448,366.0","5,448,166.0","5,355,151.0","5,345,506.0","5,382,186.0","5,469,546.0","5,533,921.0","5,640,233.0","5,674,508.0","5,715,953.0","5,807,198.0","5,892,969.0","5,978,388.0","6,029,713.0","6,101,253.0","6,134,329.0","6,324,926.0","6,384,020.0","6,453,836.0","6,473,509.0","6,476,928.0","6,539,443.0","6,546,363.0","6,543,659.0","6,355,829.0","6,392,012.0","6,487,998.0","6,537,498.0","6,550,725.0","6,561,782.0","6,542,492.0","6,528,010.0","6,513,337.0","6,525,070.0","6,621,428.0","6,700,686.0","6,840,378.0","7,003,913.0","7,115,958.0","7,210,017.0","7,357,063.0","7,430,874.0","7,544,317.0","7,653,717.0","7,751,986.0","7,874,623.0","7,919,187.0","7,978,049.0","8,066,454.0","8,187,667.0","8,221,181.0","8,207,608.0","8,315,420.0","8,404,092.0","8,435,352.0","8,517,496.0","8,591,285.0","8,645,347.0","8,757,660.0","8,788,194.0","8,845,024.0","8,941,563.0","8,956,388.0","9,050,776.0","9,043,263.0","9,052,916.0","8,989,284.0","8,939,895.0","8,998,503.0","9,021,275.0","9,018,521.0","9,156,816.0","9,239,868.0","9,330,280.0","9,439,135.0","9,451,300.0","9,534,335.0","9,629,734.0","9,749,289.0","9,817,068.0","9,909,038.0","10,003,508.0","10,094,557.0","10,151,159.0","10,218,825.0","10,297,963.0","10,361,093.0","10,471,093.0","10,630,896.0","10,715,548.0","10,813,371.0","10,920,694.0","11,009,793.0","11,203,361.0","11,307,173.0","11,428,794.0","11,668,399.0","11,825,059.0","12,014,605.0","12,133,699.0","12,313,359.0","12,480,204.0","12,640,528.0","12,810,062.0","12,969,289.0","13,055,058.0","13,141,624.0","13,198,248.0","13,233,442.0","13,243,605.0","13,354,046.0","13,402,065.0","13,464,234.0","13,536,992.0","13,595,039.0","13,642,071.0","13,829,241.0","14,034,011.0","14,164,362.0","14,251,796.0","14,388,091.0","14,536,987.0","14,668,152.0","14,787,287.0","14,936,291.0","15,073,921.0","15,105,515.0","15,292,658.0","15,330,113.0","15,365,248.0","15,456,015.0","15,497,317.0","15,561,988.0","15,610,482.0","15,610,984.0","15,553,616.0","15,557,362.0","15,446,696.0","15,185,462.0","14,980,050.0","14,912,964.0","14,987,542.0","14,966,423.0","15,000,608.0","15,167,097.0","15,227,322.0","15,339,441.0","15,325,785.0","15,383,659.0","15,493,333.0","15,567,349.0","15,665,754.0","15,719,551.0","15,807,143.0","15,848,073.0","15,927,468.0","16,003,781.0","16,096,663.0","16,203,643.0","16,231,651.0","16,369,131.0","16,535,412.0","16,670,254.0","16,721,775.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RX1","4,667,178.0","4,691,158.0","4,715,353.0","4,717,041.0","4,728,132.0","4,719,456.0","4,761,545.0","4,752,809.0","4,810,347.0","4,843,568.0","4,885,235.0","4,943,270.0","5,012,915.0","5,094,543.0","5,138,711.0","5,257,768.0","5,368,673.0","5,394,795.0","5,399,881.0","5,406,385.0","5,400,989.0","5,407,532.0","5,390,821.0","5,314,072.0","5,352,589.0","5,407,409.0","5,455,664.0","5,522,580.0","5,599,488.0","5,619,216.0","5,654,781.0","5,734,201.0","5,788,517.0","5,880,695.0","5,942,585.0","5,991,711.0","5,999,947.0","6,235,246.0","6,292,360.0","6,374,473.0","6,396,357.0","6,397,965.0","6,489,401.0","6,517,668.0","6,530,603.0","6,403,857.0","6,487,108.0","6,546,861.0","6,581,143.0","6,597,098.0","6,602,198.0","6,567,468.0","6,544,480.0","6,542,875.0","6,502,118.0","6,597,173.0","6,671,536.0","6,769,771.0","6,894,727.0","6,986,303.0","7,038,767.0","7,169,748.0","7,236,836.0","7,339,829.0","7,466,408.0","7,528,605.0","7,650,217.0","7,681,632.0","7,757,848.0","7,820,138.0","7,932,285.0","7,980,246.0","7,972,003.0","8,083,094.0","8,181,339.0","8,215,968.0","8,338,629.0","8,442,264.0","8,489,681.0","8,597,049.0","8,645,439.0","8,731,317.0","8,837,320.0","8,847,741.0","8,947,540.0","8,951,722.0","8,971,227.0","8,940,124.0","8,905,758.0","8,978,741.0","8,996,629.0","8,993,410.0","9,141,126.0","9,209,542.0","9,304,195.0","9,395,088.0","9,388,511.0","9,462,270.0","9,542,305.0","9,651,003.0","9,703,906.0","9,788,300.0","9,888,115.0","9,970,609.0","10,021,616.0","10,092,757.0","10,213,754.0","10,277,246.0","10,361,544.0","10,511,895.0","10,565,324.0","10,707,487.0","10,782,377.0","10,874,758.0","11,047,241.0","11,119,664.0","11,195,349.0","11,388,324.0","11,519,564.0","11,706,118.0","11,773,626.0","11,921,752.0","12,066,254.0","12,217,956.0","12,339,985.0","12,483,424.0","12,540,311.0","12,615,817.0","12,681,907.0","12,725,717.0","12,708,153.0","12,802,570.0","12,828,095.0","12,870,412.0","12,925,950.0","12,931,200.0","12,995,405.0","13,152,635.0","13,364,627.0","13,483,229.0","13,551,101.0","13,624,289.0","13,759,628.0","13,873,947.0","13,988,771.0","14,138,457.0","14,271,716.0","14,276,420.0","14,468,780.0","14,506,320.0","14,520,284.0","14,673,683.0","14,703,271.0","14,785,496.0","14,885,864.0","14,970,130.0","14,909,363.0","14,992,852.0","14,910,653.0","14,649,979.0","14,527,355.0","14,545,833.0","14,605,147.0","14,586,898.0","14,591,530.0","14,694,310.0","14,724,465.0","14,878,339.0","14,855,331.0","14,924,472.0","15,035,147.0","15,100,985.0","15,195,618.0","15,248,185.0","15,350,878.0","15,422,620.0","15,499,590.0","15,555,513.0","15,671,026.0","15,820,728.0","15,782,550.0","15,905,876.0","16,102,819.0","16,196,219.0","16,170,840.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
