"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","1,056,555.0","966,654.0","904,836.0","788,205.0","778,281.0","862,206.0","939,014.0","1,060,497.0","1,114,566.0","1,077,658.0","1,163,620.0","1,266,115.0","1,490,250.0","1,771,770.0","2,073,742.0","2,239,390.0","2,217,790.0","1,960,925.0","1,939,443.0","2,019,967.0","2,008,940.0","2,183,987.0","2,359,993.0","2,456,103.0","2,571,384.0","2,556,850.0","2,739,027.0","2,797,432.0","2,856,269.0","2,835,335.0","3,030,971.0","3,108,707.0","3,188,123.0","3,383,085.0","3,530,412.0","3,734,043.0","3,976,660.0","4,238,931.0","4,355,242.0","4,569,047.0","4,712,483.0"
"20","2","Less: Exports of goods and services","A020RX1","40,492.0","33,466.0","27,812.0","21,795.0","21,929.0","24,375.0","25,701.0","27,000.0","34,008.0","33,635.0","35,505.0","40,391.0","41,410.0","27,342.0","23,046.0","24,754.0","34,688.0","74,932.0","85,439.0","67,293.0","66,670.0","58,379.0","71,537.0","68,443.0","63,857.0","66,949.0","74,098.0","86,330.0","93,857.0","81,168.0","89,534.0","105,064.0","105,622.0","110,950.0","118,883.0","132,886.0","136,603.0","146,047.0","149,386.0","161,175.0","169,036.0"
"21","3","Plus: Imports of goods and services","A021RX1","52,654.0","45,801.0","39,952.0","33,148.0","34,534.0","35,282.0","46,226.0","45,694.0","51,419.0","39,966.0","41,972.0","42,988.0","52,856.0","47,992.0","60,513.0","63,331.0","67,340.0","55,812.0","52,992.0","61,833.0","59,647.0","70,500.0","73,270.0","79,718.0","87,211.0","82,912.0","92,902.0","100,444.0","104,661.0","109,633.0","121,170.0","122,782.0","121,959.0","135,799.0","139,460.0","146,870.0","162,503.0","186,653.0","200,252.0","230,094.0","243,205.0"
"22","4","Equals: Gross domestic purchases","A712RX1","1,076,771.0","987,984.0","926,830.0","809,009.0","799,724.0","883,439.0","969,904.0","1,092,618.0","1,143,268.0","1,095,277.0","1,182,710.0","1,281,652.0","1,520,359.0","1,828,509.0","2,160,864.0","2,331,505.0","2,293,907.0","1,944,909.0","1,901,737.0","2,026,545.0","2,013,696.0","2,218,507.0","2,379,824.0","2,491,289.0","2,625,654.0","2,600,607.0","2,787,173.0","2,836,634.0","2,889,832.0","2,893,702.0","3,093,530.0","3,151,324.0","3,230,753.0","3,436,814.0","3,579,492.0","3,774,770.0","4,033,758.0","4,313,354.0","4,441,555.0","4,673,320.0","4,821,778.0"
"23","5","Plus: Exports of goods and services, command basis \1\","C020RX1","61,424.0","47,935.0","34,738.0","26,721.0","27,661.0","34,026.0","36,076.0","38,657.0","49,990.0","48,099.0","50,619.0","61,973.0","65,203.0","48,137.0","42,375.0","50,129.0","67,886.0","125,081.0","149,006.0","116,891.0","108,771.0","91,579.0","118,478.0","111,791.0","102,857.0","105,171.0","115,800.0","134,886.0","147,231.0","123,331.0","134,480.0","157,891.0","159,494.0","165,997.0","175,317.0","194,474.0","202,749.0","217,317.0","224,683.0","237,586.0","245,504.0"
"24","6","Less: Imports of goods and services, command basis \1\","C021RX1","57,463.0","44,451.0","34,726.0","26,139.0","26,854.0","29,748.0","38,851.0","40,547.0","49,024.0","35,907.0","39,996.0","43,357.0","52,916.0","50,909.0","65,969.0","70,921.0","75,555.0","61,621.0","63,077.0","75,636.0","69,458.0","86,107.0","101,065.0","103,885.0","107,565.0","102,488.0","112,669.0","119,923.0","122,250.0","120,102.0","132,131.0","133,349.0","131,102.0","142,575.0","147,453.0","156,076.0","172,088.0","196,803.0","206,306.0","230,893.0","238,740.0"
"25","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","1,081,416.0","994,166.0","925,310.0","805,478.0","795,856.0","887,688.0","967,491.0","1,090,864.0","1,151,428.0","1,102,983.0","1,192,141.0","1,302,797.0","1,538,558.0","1,826,365.0","2,133,789.0","2,306,678.0","2,284,265.0","2,012,909.0","1,987,365.0","2,066,153.0","2,048,886.0","2,226,041.0","2,406,401.0","2,497,694.0","2,617,859.0","2,597,725.0","2,791,823.0","2,852,686.0","2,910,981.0","2,891,578.0","3,091,740.0","3,171,763.0","3,255,024.0","3,455,842.0","3,602,815.0","3,808,420.0","4,059,373.0","4,328,483.0","4,454,329.0","4,674,174.0","4,822,329.0"
"26","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","11,791.0","11,229.0","9,169.0","7,144.0","6,097.0","5,819.0","6,801.0","7,328.0","9,010.0","8,078.0","8,711.0","7,720.0","8,695.0","7,790.0","7,343.0","7,787.0","7,568.0","9,649.0","12,698.0","15,270.0","14,599.0","16,210.0","19,096.0","19,405.0","19,096.0","20,181.0","22,974.0","24,925.0","26,164.0","23,209.0","25,263.0","28,537.0","30,665.0","33,925.0","36,842.0","40,200.0","43,016.0","42,865.0","44,879.0","50,100.0","55,695.0"
"27","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","3,868.0","3,581.0","3,012.0","2,219.0","1,921.0","2,112.0","2,358.0","3,960.0","4,443.0","3,294.0","3,954.0","4,176.0","3,747.0","3,268.0","3,866.0","4,458.0","4,916.0","3,888.0","3,872.0","4,323.0","4,985.0","5,532.0","5,987.0","5,921.0","6,339.0","6,269.0","6,932.0","7,207.0","7,438.0","7,441.0","8,925.0","10,364.0","10,332.0","10,547.0","11,584.0","12,878.0","14,202.0","15,939.0","17,000.0","19,922.0","26,781.0"
"28","10","Equals: Command-basis gross national product \1,3\","CB22RX1","1,089,338.0","1,001,814.0","931,466.0","810,403.0","800,033.0","891,395.0","971,933.0","1,094,233.0","1,155,995.0","1,107,767.0","1,196,898.0","1,306,340.0","1,543,505.0","1,830,887.0","2,137,266.0","2,310,006.0","2,286,918.0","2,018,670.0","1,996,191.0","2,077,100.0","2,058,501.0","2,236,719.0","2,419,511.0","2,511,178.0","2,630,616.0","2,611,637.0","2,807,865.0","2,870,404.0","2,929,707.0","2,907,346.0","3,108,078.0","3,189,935.0","3,275,356.0","3,479,220.0","3,628,072.0","3,835,741.0","4,088,187.0","4,355,408.0","4,482,209.0","4,704,352.0","4,851,243.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Command-basis net domestic product \4\","C362RX1","988,424.0","897,328.0","827,230.0","707,563.0","700,430.0","796,428.0","877,652.0","1,002,017.0","1,060,450.0","1,008,355.0","1,098,677.0","1,209,685.0","1,445,411.0","1,726,133.0","2,017,621.0","2,165,079.0","2,121,748.0","1,838,935.0","1,815,819.0","1,897,075.0","1,876,412.0","2,055,384.0","2,233,004.0","2,314,167.0","2,422,619.0","2,385,738.0","2,573,284.0","2,621,616.0","2,666,609.0","2,628,553.0","2,824,787.0","2,895,656.0","2,966,643.0","3,157,638.0","3,289,787.0","3,481,440.0","3,716,304.0","3,965,587.0","4,065,180.0","4,262,826.0","4,385,847.0"
"31","12","  Net domestic product","A362RX1","963,930.0","870,370.0","807,534.0","691,305.0","683,815.0","771,436.0","849,408.0","971,582.0","1,023,304.0","983,213.0","1,070,077.0","1,172,472.0","1,395,802.0","1,669,761.0","1,955,597.0","2,096,084.0","2,054,265.0","1,787,160.0","1,767,864.0","1,850,619.0","1,836,423.0","2,013,000.0","2,185,979.0","2,272,249.0","2,375,738.0","2,345,002.0","2,520,117.0","2,566,027.0","2,611,772.0","2,572,550.0","2,763,939.0","2,832,555.0","2,899,752.0","3,084,663.0","3,217,364.0","3,407,140.0","3,633,436.0","3,875,747.0","3,965,909.0","4,157,548.0","4,276,100.0"
"32","13","  Command-basis net national product \4\","C027RX1","996,463.0","905,089.0","833,503.0","712,592.0","704,703.0","800,232.0","882,200.0","1,005,468.0","1,065,148.0","1,013,295.0","1,103,591.0","1,213,352.0","1,450,537.0","1,730,828.0","2,021,229.0","2,168,532.0","2,124,491.0","1,844,870.0","1,824,949.0","1,908,422.0","1,886,401.0","2,066,479.0","2,246,653.0","2,328,211.0","2,435,907.0","2,400,217.0","2,589,986.0","2,640,124.0","2,686,193.0","2,645,018.0","2,841,851.0","2,914,616.0","2,987,830.0","3,181,980.0","3,316,059.0","3,509,825.0","3,746,222.0","3,993,522.0","4,094,098.0","4,294,110.0","4,415,812.0"
"33","14","  Net national product","A027RX1","974,362.0","880,182.0","815,686.0","697,920.0","689,554.0","776,751.0","855,603.0","977,177.0","1,030,445.0","990,529.0","1,077,829.0","1,179,347.0","1,404,736.0","1,679,190.0","1,965,074.0","2,106,087.0","2,063,225.0","1,797,574.0","1,781,114.0","1,866,155.0","1,850,828.0","2,028,904.0","2,205,141.0","2,292,041.0","2,394,941.0","2,365,219.0","2,542,577.0","2,590,387.0","2,637,342.0","2,594,875.0","2,787,040.0","2,857,611.0","2,927,090.0","3,115,206.0","3,249,953.0","3,442,207.0","3,670,192.0","3,910,938.0","4,002,143.0","4,196,348.0","4,314,043.0"
"34",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","    Trading gains index \5\","W368RG3","102.384","102.664","102.528","102.810","102.956","103.058","103.092","102.949","102.761","102.865","102.652","102.797","102.944","103.139","103.156","103.277","103.180","102.528","102.596","102.474","102.300","101.934","101.681","101.857","102.029","101.918","101.974","102.039","102.153","102.274","102.243","102.262","102.330","102.382","102.281","102.221","102.309","102.340","102.504","102.530","102.566"
"36","16","    Terms of trade index \6\","W369RG3","139.835","148.470","144.556","156.418","163.197","166.564","168.024","162.327","155.115","160.104","150.484","153.019","158.185","166.864","169.574","181.817","175.404","152.056","147.371","142.828","140.923","129.194","120.774","126.075","131.361","127.834","129.621","131.634","135.088","139.515","138.542","139.160","141.275","143.317","140.271","138.506","140.952","141.906","146.771","147.729","148.849"
"37","17","      Terms of trade, goods \7\","W370RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","165.667","166.003","166.467"
"38","18","      Terms of trade, nonpetroleum goods \8\","W371RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","115.772","115.795","115.836"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
