"","Table 7#2#5A# Auto Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","      Auto output","A133RC1","6,664.0","7,144.0","6,803.0","8,145.0","8,551.0","7,680.0","8,918.0","10,011.0","10,081.0","12,534.0","13,574.0","11,335.0","13,353.0","15,057.0","17,075.0","16,123.0","15,456.0","13,693.0","11,842.0","12,137.0","11,369.0","11,659.0","9,695.0","15,141.0","15,829.0","16,297.0","16,859.0","15,469.0","14,405.0","14,701.0","14,138.0","15,565.0","19,963.0","21,592.0","22,360.0","20,925.0","17,622.0","17,192.0","14,602.0","18,144.0","20,151.0","19,834.0","20,634.0","16,877.0","14,838.0","13,101.0","13,976.0","15,877.0","19,945.0","20,749.0","21,230.0","15,627.0","23,781.0","21,048.0","21,602.0","19,037.0","13,980.0","17,334.0","18,564.0","20,825.0","21,135.0","21,280.0","23,442.0","23,809.0","24,103.0","24,417.0","25,359.0","26,354.0","26,524.0","26,710.0","26,932.0","23,492.0","32,664.0","31,262.0","30,481.0","30,774.0","32,729.0","29,936.0","28,425.0","30,096.0"
"21","2","Final sales","A134RC1","6,523.0","7,092.0","6,717.0","7,896.0","8,533.0","7,732.0","8,584.0","9,364.0","9,792.0","12,212.0","12,550.0","12,510.0","13,520.0","14,141.0","17,073.0","15,983.0","15,758.0","13,383.0","12,138.0","11,376.0","11,767.0","12,159.0","9,639.0","14,149.0","15,950.0","15,910.0","15,811.0","14,777.0","14,238.0","14,799.0","14,389.0","15,803.0","18,628.0","20,604.0","21,563.0","19,635.0","17,489.0","16,518.0","16,232.0","17,950.0","19,534.0","19,165.0","18,188.0","18,397.0","15,322.0","14,743.0","14,474.0","15,572.0","18,464.0","19,797.0","20,855.0","17,856.0","20,277.0","20,593.0","21,034.0","19,512.0","17,140.0","17,915.0","18,616.0","20,277.0","21,255.0","22,242.0","22,154.0","23,676.0","24,140.0","24,611.0","24,544.0","25,432.0","25,992.0","26,129.0","27,605.0","24,419.0","31,258.0","29,859.0","30,296.0","30,115.0","31,734.0","28,274.0","28,980.0","28,920.0"
"22","3","  Personal consumption expenditures","A135RC1","4,425.0","4,774.0","4,542.0","5,420.0","6,016.0","5,566.0","6,290.0","6,961.0","7,341.0","9,316.0","9,612.0","9,598.0","10,400.0","10,893.0","13,183.0","12,308.0","12,145.0","10,290.0","9,303.0","8,824.0","9,199.0","9,526.0","7,624.0","11,052.0","12,548.0","12,347.0","11,992.0","11,201.0","10,709.0","11,328.0","10,599.0","11,714.0","14,233.0","15,954.0","16,760.0","15,470.0","13,711.0","13,014.0","12,924.0","14,256.0","15,626.0","15,326.0","14,466.0","14,671.0","12,595.0","12,215.0","12,181.0","12,920.0","15,262.0","16,420.0","17,089.0","14,782.0","16,351.0","16,873.0","17,117.0","15,942.0","13,581.0","14,202.0","14,827.0","16,298.0","17,012.0","17,932.0","17,666.0","19,098.0","19,789.0","20,505.0","20,570.0","21,012.0","21,636.0","21,803.0","22,930.0","20,532.0","25,519.0","24,656.0","25,331.0","25,258.0","26,847.0","23,905.0","24,647.0","24,509.0"
"23","4","    New autos","A136RC1","3,718.0","4,106.0","3,810.0","4,474.0","4,938.0","4,478.0","5,034.0","5,550.0","6,074.0","7,866.0","8,366.0","8,514.0","9,278.0","9,686.0","11,590.0","10,662.0","10,445.0","8,709.0","7,961.0","7,337.0","7,580.0","8,092.0","6,060.0","10,128.0","11,227.0","11,207.0","11,387.0","10,575.0","9,907.0","11,463.0","10,495.0","11,495.0","12,670.0","14,181.0","15,147.0","13,270.0","11,937.0","11,364.0","10,830.0","12,081.0","13,324.0","12,716.0","12,216.0","12,096.0","9,840.0","9,316.0","9,431.0","10,317.0","12,908.0","13,601.0","14,494.0","11,710.0","14,179.0","14,118.0","14,572.0","13,199.0","10,805.0","11,674.0","12,176.0","13,681.0","14,231.0","15,043.0","14,429.0","16,357.0","16,709.0","17,410.0","16,946.0","17,855.0","18,105.0","18,456.0","19,614.0","16,933.0","22,115.0","20,888.0","21,146.0","21,267.0","22,717.0","19,879.0","20,907.0","20,613.0"
"24","5","    Net purchases of used autos","A137RC1","707.0","668.0","732.0","946.0","1,078.0","1,088.0","1,256.0","1,411.0","1,267.0","1,450.0","1,246.0","1,084.0","1,122.0","1,207.0","1,593.0","1,646.0","1,700.0","1,581.0","1,342.0","1,487.0","1,619.0","1,434.0","1,564.0","924.0","1,321.0","1,140.0","605.0","626.0","802.0","-135.0","104.0","219.0","1,563.0","1,773.0","1,613.0","2,200.0","1,774.0","1,650.0","2,094.0","2,175.0","2,302.0","2,610.0","2,250.0","2,575.0","2,755.0","2,899.0","2,750.0","2,603.0","2,354.0","2,819.0","2,595.0","3,072.0","2,172.0","2,755.0","2,545.0","2,743.0","2,776.0","2,528.0","2,651.0","2,617.0","2,781.0","2,889.0","3,237.0","2,741.0","3,080.0","3,095.0","3,624.0","3,157.0","3,531.0","3,347.0","3,316.0","3,599.0","3,404.0","3,768.0","4,185.0","3,991.0","4,130.0","4,026.0","3,740.0","3,896.0"
"25","6","  Private fixed investment","A138RC1","1,687.0","1,854.0","1,724.0","2,023.0","2,131.0","1,829.0","1,963.0","2,065.0","2,129.0","2,603.0","2,649.0","2,651.0","2,882.0","3,004.0","3,616.0","3,334.0","3,183.0","2,606.0","2,335.0","2,128.0","2,159.0","2,250.0","1,684.0","2,752.0","3,030.0","3,178.0","3,383.0","3,163.0","3,113.0","3,035.0","3,381.0","3,647.0","3,897.0","4,149.0","4,285.0","3,694.0","3,275.0","3,078.0","2,954.0","3,309.0","3,609.0","3,577.0","3,548.0","3,582.0","2,624.0","2,444.0","2,384.0","2,772.0","3,407.0","3,678.0","4,132.0","3,426.0","4,173.0","3,832.0","3,873.0","3,406.0","3,314.0","3,467.0","3,583.0","3,823.0","4,102.0","4,117.0","4,338.0","4,446.0","4,233.0","3,881.0","3,802.0","4,120.0","4,131.0","4,191.0","4,551.0","3,842.0","5,451.0","5,088.0","4,895.0","4,881.0","5,145.0","4,590.0","4,502.0","4,835.0"
"26","7","    New autos","B139RC1","1,748.0","1,924.0","1,796.0","2,148.0","2,326.0","2,046.0","2,242.0","2,398.0","2,510.0","3,094.0","3,182.0","3,190.0","3,414.0","3,518.0","4,274.0","4,026.0","3,999.0","3,391.0","3,139.0","2,915.0","3,020.0","3,184.0","2,344.0","3,780.0","4,009.0","4,097.0","4,285.0","4,077.0","3,909.0","3,797.0","4,237.0","4,569.0","4,682.0","4,939.0","5,117.0","4,458.0","4,044.0","3,880.0","3,780.0","4,248.0","4,608.0","4,524.0","4,444.0","4,464.0","3,609.0","3,420.0","3,438.0","3,813.0","4,508.0","4,812.0","5,155.0","4,188.0","5,125.0","4,788.0","4,779.0","4,340.0","4,185.0","4,575.0","4,662.0","4,965.0","5,246.0","5,355.0","5,566.0","5,740.0","5,553.0","5,248.0","5,065.0","5,554.0","5,509.0","5,618.0","5,972.0","5,032.0","7,040.0","6,597.0","6,328.0","6,478.0","6,880.0","6,277.0","6,161.0","6,882.0"
"27","8","    Net purchases of used autos","B140RC1","-61.0","-70.0","-72.0","-125.0","-195.0","-217.0","-279.0","-333.0","-381.0","-491.0","-533.0","-539.0","-532.0","-514.0","-658.0","-692.0","-816.0","-785.0","-804.0","-787.0","-861.0","-934.0","-660.0","-1,028.0","-979.0","-919.0","-902.0","-914.0","-796.0","-762.0","-856.0","-922.0","-785.0","-790.0","-832.0","-764.0","-769.0","-802.0","-826.0","-939.0","-999.0","-947.0","-896.0","-882.0","-985.0","-976.0","-1,054.0","-1,041.0","-1,101.0","-1,134.0","-1,023.0","-762.0","-952.0","-956.0","-906.0","-934.0","-871.0","-1,108.0","-1,079.0","-1,142.0","-1,144.0","-1,238.0","-1,228.0","-1,294.0","-1,320.0","-1,367.0","-1,263.0","-1,434.0","-1,378.0","-1,427.0","-1,421.0","-1,190.0","-1,589.0","-1,509.0","-1,433.0","-1,597.0","-1,735.0","-1,687.0","-1,659.0","-2,047.0"
"28","9","  Net exports","A141RC1","316.0","369.0","356.0","359.0","297.0","247.0","242.0","246.0","234.0","202.0","202.0","170.0","134.0","136.0","169.0","225.0","300.0","351.0","361.0","272.0","247.0","222.0","168.0","183.0","207.0","224.0","272.0","253.0","250.0","275.0","246.0","273.0","326.0","328.0","337.0","281.0","310.0","221.0","142.0","171.0","80.0","42.0","-45.0","-77.0","-125.0","-148.0","-321.0","-354.0","-436.0","-532.0","-594.0","-586.0","-491.0","-373.0","-227.0","-113.0","-44.0","-50.0","-90.0","-144.0","-163.0","-118.0","-166.0","-197.0","-231.0","-148.0","-215.0","-94.0","-162.0","-246.0","-234.0","-302.0","-68.0","-264.0","-316.0","-420.0","-660.0","-632.0","-568.0","-816.0"
"29","10","    Exports","B142RC1","318.0","371.0","358.0","361.0","317.0","275.0","278.0","286.0","250.0","206.0","210.0","178.0","146.0","152.0","193.0","257.0","328.0","379.0","389.0","296.0","275.0","262.0","220.0","243.0","267.0","272.0","308.0","281.0","290.0","323.0","294.0","321.0","390.0","384.0","413.0","365.0","398.0","337.0","282.0","343.0","300.0","314.0","299.0","319.0","291.0","272.0","259.0","246.0","248.0","244.0","246.0","182.0","273.0","243.0","209.0","247.0","240.0","226.0","238.0","240.0","253.0","282.0","286.0","267.0","205.0","308.0","285.0","382.0","358.0","358.0","374.0","338.0","412.0","392.0","328.0","480.0","468.0","416.0","632.0","784.0"
"30","11","    Imports","B143RC1","2.0","2.0","2.0","2.0","20.0","28.0","36.0","40.0","16.0","4.0","8.0","8.0","12.0","16.0","24.0","32.0","28.0","28.0","28.0","24.0","28.0","40.0","52.0","60.0","60.0","48.0","36.0","28.0","40.0","48.0","48.0","48.0","64.0","56.0","76.0","84.0","88.0","116.0","140.0","172.0","220.0","272.0","344.0","396.0","416.0","420.0","580.0","600.0","684.0","776.0","840.0","768.0","764.0","616.0","436.0","360.0","284.0","276.0","328.0","384.0","416.0","400.0","452.0","464.0","436.0","456.0","500.0","476.0","520.0","604.0","608.0","640.0","480.0","656.0","644.0","900.0","1,128.0","1,048.0","1,200.0","1,600.0"
"31","12","  Gross government investment","B144RC1","95.0","95.0","95.0","94.0","89.0","90.0","89.0","92.0","88.0","91.0","87.0","91.0","104.0","108.0","105.0","116.0","130.0","136.0","139.0","152.0","162.0","161.0","163.0","162.0","165.0","161.0","164.0","160.0","166.0","161.0","163.0","169.0","172.0","173.0","181.0","190.0","193.0","205.0","212.0","214.0","219.0","220.0","219.0","221.0","228.0","232.0","230.0","234.0","231.0","231.0","228.0","234.0","244.0","261.0","271.0","277.0","289.0","296.0","296.0","300.0","304.0","311.0","316.0","329.0","349.0","373.0","387.0","394.0","387.0","381.0","358.0","347.0","356.0","379.0","386.0","396.0","402.0","411.0","399.0","392.0"
"32","13","Change in private inventories of new and used autos","A145RC1","141.0","52.0","86.0","249.0","18.0","-52.0","334.0","647.0","289.0","322.0","1,024.0","-1,175.0","-167.0","916.0","2.0","140.0","-302.0","310.0","-296.0","761.0","-398.0","-500.0","56.0","992.0","-121.0","387.0","1,048.0","692.0","167.0","-98.0","-251.0","-238.0","1,335.0","988.0","797.0","1,290.0","133.0","674.0","-1,630.0","194.0","617.0","669.0","2,446.0","-1,520.0","-484.0","-1,642.0","-498.0","305.0","1,481.0","952.0","375.0","-2,229.0","3,504.0","455.0","568.0","-475.0","-3,160.0","-581.0","-52.0","548.0","-120.0","-962.0","1,288.0","133.0","-37.0","-194.0","815.0","922.0","532.0","581.0","-673.0","-927.0","1,406.0","1,403.0","185.0","659.0","995.0","1,662.0","-555.0","1,176.0"
"33","14","  New","B146RC1","100.0","20.0","52.0","208.0","-28.0","-84.0","300.0","600.0","224.0","256.0","984.0","-1,208.0","-232.0","844.0","-92.0","48.0","-424.0","156.0","-468.0","616.0","-576.0","-700.0","76.0","920.0","-12.0","428.0","912.0","384.0","-148.0","-228.0","-452.0","-340.0","1,340.0","836.0","492.0","916.0","-240.0","436.0","-1,712.0","204.0","628.0","708.0","2,580.0","-1,324.0","-320.0","-1,400.0","-152.0","808.0","888.0","938.0","153.0","-1,659.0","2,900.0","488.0","480.0","-200.0","-2,528.0","-320.0","156.0","380.0","-8.0","-892.0","1,652.0","-364.0","-32.0","-332.0","1,284.0","700.0","560.0","392.0","-944.0","-420.0","952.0","1,452.0","540.0","580.0","1,020.0","1,848.0","-548.0","648.0"
"34","15","  Used","B147RC1","41.0","32.0","34.0","41.0","46.0","32.0","34.0","47.0","65.0","66.0","40.0","33.0","65.0","72.0","94.0","92.0","122.0","154.0","172.0","145.0","178.0","200.0","-20.0","72.0","-109.0","-41.0","136.0","308.0","315.0","130.0","201.0","102.0","-5.0","152.0","305.0","374.0","373.0","238.0","82.0","-10.0","-11.0","-39.0","-134.0","-196.0","-164.0","-242.0","-346.0","-503.0","593.0","14.0","222.0","-570.0","604.0","-33.0","88.0","-275.0","-632.0","-261.0","-208.0","168.0","-112.0","-70.0","-364.0","497.0","-5.0","138.0","-469.0","222.0","-28.0","189.0","271.0","-507.0","454.0","-49.0","-355.0","79.0","-25.0","-186.0","-7.0","528.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16","  Domestic output of new autos \1\","B148RC1","5,906.0","6,439.0","6,030.0","7,217.0","7,549.0","6,703.0","7,846.0","8,802.0","9,070.0","11,438.0","12,758.0","10,702.0","12,622.0","14,216.0","15,961.0","14,969.0","14,340.0","12,643.0","11,021.0","11,156.0","10,291.0","10,834.0","8,672.0","15,023.0","15,455.0","15,996.0","16,896.0","15,357.0","13,962.0","15,351.0","14,570.0","16,029.0","19,054.0","20,308.0","21,129.0","18,945.0","16,054.0","15,917.0","13,098.0","16,699.0","18,652.0","17,910.0","19,111.0","15,091.0","12,783.0","10,976.0","12,155.0","14,209.0","17,408.0","18,267.0","18,730.0","13,062.0","21,248.0","18,682.0","19,355.0","17,206.0","12,361.0","15,730.0","16,770.0","18,779.0","19,105.0","19,287.0","21,406.0","21,402.0","21,906.0","22,081.0","22,977.0","23,954.0","23,890.0","24,069.0","24,157.0","20,959.0","29,756.0","28,298.0","27,439.0","27,611.0","29,311.0","26,862.0","25,365.0","26,713.0"
"37","17","  Sales of imported new autos \2\","B149RC1","2.0","2.0","2.0","2.0","24.0","36.0","36.0","32.0","36.0","32.0","28.0","20.0","20.0","32.0","36.0","32.0","36.0","28.0","48.0","64.0","60.0","60.0","80.0","92.0","104.0","88.0","68.0","68.0","68.0","76.0","76.0","92.0","104.0","104.0","132.0","160.0","157.0","204.0","198.0","237.0","292.0","352.0","456.0","488.0","604.0","729.0","839.0","981.0","1,185.0","1,284.0","1,301.0","1,323.0","1,212.0","1,060.0","984.0","868.0","780.0","784.0","788.0","716.0","724.0","652.0","640.0","696.0","756.0","810.0","763.0","771.0","936.0","978.0","1,017.0","1,045.0","1,099.0","1,196.0","1,326.0","1,551.0","1,802.0","1,640.0","1,893.0","2,243.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Consists of sales of imported new autos in personal consumption expenditures, in private fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
