"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","      Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,530,185.0","2,627,240.0","2,736,201.0"
"20","2","Private","A024RC1","89,433.0","98,258.0","107,635.0","117,491.0","131,489.0","153,158.0","178,791.0","196,512.0","221,124.0","252,114.0","290,731.0","334,975.0","381,930.0","420,392.0","438,786.0","463,517.0","496,411.0","531,572.0","566,307.0","608,301.0","650,083.0","688,983.0","722,354.0","744,159.0","779,967.0","824,325.0","882,581.0","931,035.0","990,071.0","1,054,941.0","1,135,914.0","1,236,574.0","1,317,695.0","1,368,015.0","1,422,369.0","1,509,299.0","1,635,298.0","1,765,009.0","1,864,974.0","1,936,872.0","1,925,653.0","1,923,533.0","1,971,064.0","2,034,225.0","2,120,826.0","2,216,283.0"
"21","3","  Domestic business","W276RC1","74,198.0","81,790.0","89,411.0","97,151.0","108,168.0","126,113.0","147,909.0","162,194.0","181,508.0","205,525.0","236,365.0","272,782.0","313,464.0","347,520.0","362,773.0","382,651.0","410,256.0","438,137.0","464,486.0","498,417.0","531,846.0","563,857.0","591,760.0","607,891.0","634,239.0","669,041.0","717,759.0","758,356.0","807,937.0","860,409.0","924,977.0","1,006,511.0","1,067,516.0","1,101,396.0","1,131,585.0","1,185,924.0","1,273,213.0","1,368,807.0","1,451,233.0","1,522,307.0","1,522,385.0","1,523,048.0","1,572,830.0","1,629,700.0","1,693,724.0","1,762,118.0"
"22","4","    Corporate business","A438RC1","55,704.0","61,804.0","67,620.0","73,440.0","81,980.0","96,040.0","113,516.0","125,028.0","140,456.0","159,276.0","183,352.0","212,088.0","244,880.0","272,520.0","285,876.0","303,168.0","326,864.0","349,868.0","371,292.0","399,432.0","427,204.0","455,264.0","480,888.0","496,248.0","519,756.0","550,444.0","593,612.0","629,776.0","674,012.0","719,328.0","774,596.0","844,480.0","894,852.0","920,532.0","941,496.0","982,724.0","1,051,580.0","1,128,560.0","1,197,484.0","1,259,212.0","1,260,580.0","1,262,460.0","1,298,828.0","1,348,544.0","1,402,144.0","1,457,386.0"
"23","5","      Financial","B580RC1","2,220.0","2,544.0","2,888.0","3,252.0","3,800.0","4,656.0","5,792.0","6,756.0","7,896.0","9,124.0","10,908.0","13,228.0","15,796.0","18,640.0","21,260.0","24,216.0","27,888.0","31,996.0","36,600.0","41,744.0","47,148.0","52,312.0","56,432.0","58,496.0","61,812.0","65,668.0","69,916.0","72,392.0","75,600.0","81,104.0","91,220.0","102,624.0","109,524.0","115,864.0","123,544.0","132,500.0","141,660.0","149,180.0","157,220.0","165,264.0","168,608.0","167,880.0","159,612.0","164,728.0","172,332.0","175,281.0"
"24","6","      Nonfinancial","B456RC1","53,484.0","59,260.0","64,732.0","70,188.0","78,180.0","91,384.0","107,724.0","118,272.0","132,560.0","150,152.0","172,444.0","198,860.0","229,084.0","253,880.0","264,616.0","278,952.0","298,976.0","317,872.0","334,692.0","357,688.0","380,056.0","402,952.0","424,456.0","437,752.0","457,944.0","484,776.0","523,696.0","557,384.0","598,412.0","638,224.0","683,376.0","741,856.0","785,328.0","804,668.0","817,952.0","850,224.0","909,920.0","979,380.0","1,040,264.0","1,093,948.0","1,091,972.0","1,094,580.0","1,139,216.0","1,183,816.0","1,229,812.0","1,282,105.0"
"25","7","    Noncorporate business","W277RC1","18,494.0","19,986.0","21,791.0","23,711.0","26,188.0","30,073.0","34,393.0","37,166.0","41,052.0","46,249.0","53,013.0","60,694.0","68,584.0","75,000.0","76,897.0","79,483.0","83,392.0","88,269.0","93,194.0","98,985.0","104,642.0","108,593.0","110,872.0","111,643.0","114,483.0","118,597.0","124,147.0","128,580.0","133,925.0","141,081.0","150,381.0","162,031.0","172,664.0","180,864.0","190,089.0","203,200.0","221,633.0","240,247.0","253,749.0","263,095.0","261,805.0","260,588.0","274,002.0","281,156.0","291,580.0","304,732.0"
"26","8","      Sole proprietorships and partnerships","A1615C1","14,928.0","16,230.0","17,719.0","19,239.0","21,193.0","24,405.0","28,039.0","30,289.0","33,367.0","37,486.0","42,998.0","49,315.0","56,115.0","61,830.0","63,423.0","65,488.0","68,695.0","72,519.0","76,365.0","81,231.0","86,023.0","89,276.0","91,140.0","91,613.0","93,633.0","96,955.0","101,639.0","105,372.0","109,938.0","116,163.0","124,227.0","134,265.0","143,276.0","150,280.0","157,572.0","167,833.0","182,835.0","198,425.0","210,735.0","220,445.0","220,853.0","220,289.0","230,215.0","236,868.0","245,412.0","256,047.0"
"27","9","        Farm","B1616C1","4,496.0","4,765.0","5,115.0","5,493.0","5,960.0","7,007.0","8,342.0","9,280.0","10,372.0","11,574.0","13,177.0","15,068.0","16,552.0","17,514.0","17,366.0","17,071.0","16,631.0","16,316.0","15,913.0","15,758.0","16,013.0","16,306.0","16,528.0","16,473.0","16,444.0","16,753.0","17,292.0","17,719.0","18,232.0","18,841.0","19,112.0","19,006.0","18,950.0","18,834.0","18,985.0","19,677.0","20,819.0","21,753.0","22,499.0","23,539.0","24,126.0","24,417.0","24,338.0","25,248.0","25,952.0","26,840.0"
"28","10","        Nonfarm","B1617C1","10,432.0","11,465.0","12,604.0","13,746.0","15,233.0","17,398.0","19,697.0","21,009.0","22,995.0","25,912.0","29,821.0","34,247.0","39,563.0","44,316.0","46,057.0","48,417.0","52,064.0","56,203.0","60,452.0","65,473.0","70,010.0","72,970.0","74,612.0","75,140.0","77,189.0","80,202.0","84,347.0","87,653.0","91,706.0","97,322.0","105,115.0","115,259.0","124,326.0","131,446.0","138,587.0","148,156.0","162,016.0","176,672.0","188,236.0","196,906.0","196,727.0","195,872.0","205,877.0","211,620.0","219,460.0","229,207.0"
"29","11","      Other private business","A1618C1","3,566.0","3,756.0","4,072.0","4,472.0","4,995.0","5,668.0","6,354.0","6,877.0","7,685.0","8,763.0","10,015.0","11,379.0","12,469.0","13,170.0","13,474.0","13,995.0","14,697.0","15,750.0","16,829.0","17,754.0","18,619.0","19,317.0","19,732.0","20,030.0","20,850.0","21,642.0","22,508.0","23,208.0","23,987.0","24,918.0","26,154.0","27,766.0","29,388.0","30,584.0","32,517.0","35,367.0","38,798.0","41,822.0","43,014.0","42,650.0","40,952.0","40,299.0","43,787.0","44,288.0","46,168.0","48,685.0"
"30","12","        Rental income of persons","B1620C1","3,164.0","3,325.0","3,605.0","3,977.0","4,461.0","5,056.0","5,623.0","6,053.0","6,748.0","7,723.0","8,851.0","10,048.0","11,008.0","11,633.0","11,933.0","12,476.0","13,102.0","14,030.0","15,045.0","15,903.0","16,693.0","17,313.0","17,686.0","17,946.0","18,694.0","19,423.0","20,238.0","20,930.0","21,691.0","22,642.0","23,908.0","25,497.0","27,133.0","28,373.0","30,350.0","33,168.0","36,521.0","39,450.0","40,547.0","40,092.0","38,408.0","37,745.0","37,951.0","38,142.0","39,785.0","41,991.0"
"31","13","          Nonfarm tenant-occupied housing","B2608C1","2,932.0","3,073.0","3,330.0","3,682.0","4,144.0","4,710.0","5,247.0","5,664.0","6,342.0","7,288.0","8,372.0","9,509.0","10,421.0","10,994.0","11,265.0","11,769.0","12,328.0","13,177.0","14,121.0","14,908.0","15,620.0","16,169.0","16,499.0","16,757.0","17,487.0","18,180.0","18,946.0","19,608.0","20,320.0","21,192.0","22,351.0","23,834.0","25,389.0","26,498.0","28,346.0","31,046.0","34,238.0","37,028.0","38,030.0","37,500.0","35,827.0","35,242.0","35,107.0","35,280.0","36,849.0","....."
"32","14","          Farm tenant-occupied housing","W278RC1","45.0","46.0","48.0","51.0","56.0","62.0","69.0","73.0","80.0","91.0","101.0","112.0","120.0","125.0","125.0","128.0","130.0","135.0","140.0","146.0","152.0","156.0","158.0","159.0","167.0","177.0","190.0","198.0","208.0","217.0","231.0","243.0","253.0","259.0","271.0","293.0","316.0","333.0","335.0","329.0","319.0","314.0","315.0","316.0","328.0","....."
"33","15","          Farms owned by nonoperator landlords","B2609C1","52.0","53.0","56.0","59.0","64.0","70.0","76.0","81.0","88.0","99.0","110.0","122.0","130.0","134.0","133.0","135.0","137.0","141.0","146.0","150.0","154.0","157.0","157.0","157.0","164.0","170.0","176.0","178.0","182.0","186.0","193.0","201.0","209.0","214.0","224.0","241.0","258.0","272.0","273.0","262.0","250.0","244.0","243.0","243.0","254.0","....."
"34","16","          Nonfarm nonresidential properties","B2610C1","135.0","153.0","171.0","185.0","197.0","214.0","231.0","235.0","238.0","245.0","268.0","305.0","337.0","380.0","410.0","444.0","507.0","577.0","638.0","699.0","767.0","831.0","872.0","873.0","876.0","896.0","926.0","946.0","981.0","1,047.0","1,133.0","1,219.0","1,282.0","1,402.0","1,509.0","1,588.0","1,709.0","1,817.0","1,909.0","2,001.0","2,012.0","1,945.0","2,286.0","2,303.0","2,354.0","....."
"35","17","        Proprietors' income","B1619C1","402.0","431.0","467.0","495.0","534.0","612.0","731.0","824.0","937.0","1,040.0","1,164.0","1,331.0","1,461.0","1,537.0","1,541.0","1,519.0","1,595.0","1,720.0","1,784.0","1,851.0","1,926.0","2,004.0","2,046.0","2,084.0","2,156.0","2,219.0","2,270.0","2,278.0","2,296.0","2,276.0","2,246.0","2,269.0","2,255.0","2,211.0","2,167.0","2,199.0","2,277.0","2,372.0","2,467.0","2,558.0","2,544.0","2,554.0","5,836.0","6,146.0","6,383.0","6,694.0"
"36","18","  Households and institutions","W279RC1","15,235.0","16,468.0","18,224.0","20,340.0","23,321.0","27,045.0","30,882.0","34,318.0","39,616.0","46,589.0","54,366.0","62,193.0","68,466.0","72,872.0","76,013.0","80,866.0","86,155.0","93,435.0","101,821.0","109,884.0","118,237.0","125,126.0","130,594.0","136,268.0","145,728.0","155,284.0","164,822.0","172,679.0","182,134.0","194,532.0","210,937.0","230,063.0","250,179.0","266,619.0","290,784.0","323,375.0","362,085.0","396,202.0","413,741.0","414,565.0","403,268.0","400,485.0","398,234.0","404,525.0","427,102.0","454,164.0"
"37","19","    Owner-occupied housing","B2607C1","11,576.0","12,413.0","13,703.0","15,253.0","17,499.0","20,172.0","22,856.0","25,510.0","29,855.0","35,554.0","41,831.0","47,890.0","52,468.0","55,426.0","57,494.0","61,160.0","65,320.0","71,251.0","77,985.0","84,128.0","90,258.0","94,812.0","98,070.0","101,698.0","109,094.0","117,010.0","124,641.0","131,261.0","138,641.0","147,867.0","160,112.0","174,347.0","190,073.0","202,380.0","221,569.0","248,239.0","280,189.0","307,482.0","318,091.0","312,382.0","297,383.0","292,576.0","291,175.0","293,258.0","311,730.0","334,153.0"
"38","20","    Nonprofit institutions serving households","B1621C1","3,659.0","4,055.0","4,521.0","5,087.0","5,822.0","6,873.0","8,026.0","8,808.0","9,761.0","11,035.0","12,535.0","14,303.0","15,998.0","17,446.0","18,519.0","19,706.0","20,835.0","22,184.0","23,836.0","25,756.0","27,979.0","30,314.0","32,524.0","34,570.0","36,634.0","38,274.0","40,181.0","41,418.0","43,493.0","46,665.0","50,825.0","55,716.0","60,106.0","64,239.0","69,215.0","75,136.0","81,896.0","88,720.0","95,650.0","102,183.0","105,885.0","107,909.0","107,059.0","111,267.0","115,372.0","120,011.0"
"39","21","Government","A264RC1","35,430.0","38,525.0","41,230.0","43,406.0","46,591.0","53,010.0","58,746.0","62,697.0","67,210.0","72,949.0","80,402.0","91,032.0","103,116.0","113,924.0","121,760.0","130,817.0","140,242.0","150,591.0","161,645.0","174,086.0","186,027.0","197,846.0","208,771.0","215,566.0","223,631.0","231,247.0","240,202.0","244,985.0","249,884.0","255,330.0","264,947.0","277,666.0","286,284.0","294,053.0","304,851.0","322,400.0","346,658.0","371,010.0","399,376.0","426,501.0","442,729.0","458,058.0","479,579.0","495,960.0","506,414.0","519,918.0"
"40","22","  General government","A265RC1","33,230.0","36,056.0","38,443.0","40,290.0","43,084.0","48,748.0","53,680.0","57,177.0","61,206.0","66,294.0","72,827.0","82,256.0","93,147.0","103,065.0","110,262.0","118,656.0","127,317.0","136,826.0","147,032.0","158,468.0","169,307.0","179,979.0","189,940.0","195,785.0","202,513.0","208,861.0","216,586.0","220,350.0","224,569.0","228,944.0","236,929.0","247,702.0","254,866.0","261,194.0","270,276.0","284,900.0","305,618.0","326,577.0","351,424.0","375,548.0","390,254.0","403,754.0","422,126.0","435,864.0","444,389.0","455,847.0"
"41","23","    Federal","B995RC1","25,467.0","27,227.0","28,593.0","29,616.0","31,194.0","34,022.0","36,996.0","39,750.0","42,769.0","46,414.0","50,589.0","56,570.0","63,774.0","71,004.0","77,211.0","84,567.0","91,381.0","98,244.0","105,385.0","113,991.0","121,599.0","128,337.0","134,836.0","138,137.0","141,699.0","144,537.0","148,006.0","148,339.0","148,856.0","149,174.0","151,994.0","156,294.0","157,985.0","159,788.0","165,095.0","173,295.0","183,771.0","194,848.0","206,728.0","220,059.0","228,138.0","238,841.0","250,531.0","257,009.0","260,761.0","266,979.0"
"42","24","    State and local","B986RC1","7,763.0","8,829.0","9,850.0","10,674.0","11,890.0","14,726.0","16,684.0","17,427.0","18,437.0","19,880.0","22,238.0","25,686.0","29,373.0","32,061.0","33,051.0","34,089.0","35,936.0","38,582.0","41,647.0","44,477.0","47,708.0","51,642.0","55,104.0","57,648.0","60,814.0","64,324.0","68,580.0","72,011.0","75,713.0","79,770.0","84,935.0","91,408.0","96,881.0","101,406.0","105,181.0","111,605.0","121,847.0","131,729.0","144,696.0","155,489.0","162,116.0","164,913.0","171,595.0","178,855.0","183,628.0","188,868.0"
"43","25","  Government enterprises","A266RC1","2,200.0","2,469.0","2,787.0","3,116.0","3,507.0","4,262.0","5,066.0","5,520.0","6,004.0","6,655.0","7,575.0","8,776.0","9,969.0","10,859.0","11,498.0","12,161.0","12,925.0","13,765.0","14,613.0","15,618.0","16,720.0","17,867.0","18,831.0","19,781.0","21,118.0","22,386.0","23,616.0","24,635.0","25,315.0","26,386.0","28,018.0","29,964.0","31,418.0","32,859.0","34,575.0","37,500.0","41,040.0","44,433.0","47,952.0","50,953.0","52,475.0","54,304.0","57,453.0","60,096.0","62,025.0","64,071.0"
"44","26","    Federal","B833RC1","309.0","351.0","405.0","464.0","541.0","655.0","789.0","879.0","959.0","1,044.0","1,166.0","1,322.0","1,503.0","1,664.0","1,751.0","1,836.0","1,968.0","2,070.0","2,157.0","2,312.0","2,562.0","2,811.0","3,068.0","3,289.0","3,585.0","3,772.0","3,911.0","4,063.0","4,172.0","4,403.0","4,805.0","5,194.0","5,311.0","5,243.0","5,220.0","5,327.0","5,591.0","5,857.0","6,073.0","6,288.0","6,404.0","6,484.0","6,878.0","7,109.0","7,254.0","7,455.0"
"45","27","    State and local","B846RC1","1,891.0","2,118.0","2,382.0","2,652.0","2,966.0","3,607.0","4,277.0","4,641.0","5,045.0","5,611.0","6,409.0","7,454.0","8,466.0","9,195.0","9,747.0","10,325.0","10,957.0","11,695.0","12,456.0","13,306.0","14,158.0","15,056.0","15,763.0","16,492.0","17,533.0","18,614.0","19,705.0","20,572.0","21,143.0","21,983.0","23,213.0","24,770.0","26,107.0","27,616.0","29,355.0","32,173.0","35,449.0","38,576.0","41,879.0","44,665.0","46,071.0","47,820.0","50,575.0","52,987.0","54,771.0","56,616.0"
"46",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","28","  Nonfarm business","B1667C1","71,632.0","79,199.0","86,759.0","94,419.0","105,322.0","122,888.0","144,027.0","157,725.0","176,317.0","199,661.0","229,662.0","265,195.0","305,418.0","339,294.0","355,327.0","376,180.0","405,024.0","434,051.0","461,664.0","496,744.0","530,978.0","563,775.0","592,335.0","609,417.0","637,069.0","672,657.0","721,803.0","762,703.0","812,145.0","864,745.0","930,366.0","1,013,652.0","1,075,769.0","1,110,696.0","1,141,821.0","1,197,619.0","1,286,410.0","1,383,699.0","1,468,217.0","1,540,401.0","1,540,682.0","1,542,322.0","1,595,188.0","1,653,062.0","1,717,773.0","1,786,728.0"
