"","Table 5#10# Changes in Net Stock of Produced Assets (Fixed Asset","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19",NA,"Opening balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Produced assets","K100011","2,718,927.0","2,969,888.0","3,224,809.0","3,547,371.0","3,903,112.0","4,454,210.0","5,282,277.0","5,676,980.0","6,178,173.0","6,890,987.0","7,813,000.0","9,012,015.0","10,234,789.0","11,256,911.0","11,840,029.0","12,246,348.0","12,951,577.0","13,597,391.0","14,380,499.0","15,245,557.0","16,204,654.0","17,114,556.0","17,913,169.0","18,312,520.0","19,063,224.0","20,000,887.0","21,206,819.0","22,238,777.0","23,262,997.0","24,448,733.0","25,754,706.0","27,409,042.0","29,221,484.0","30,693,417.0","32,179,323.0","33,925,299.0","37,380,855.0","41,138,514.0","44,461,372.0","46,521,255.0","47,908,028.0","46,873,526.0","47,990,426.0","49,614,491.0","51,103,974.0"
"21","2","  Fixed assets","K100021","2,510,869.0","2,742,457.0","2,989,122.0","3,293,702.0","3,619,515.0","4,102,685.0","4,876,631.0","5,268,471.0","5,738,619.0","6,409,013.0","7,242,082.0","8,344,435.0","9,495,786.0","10,477,811.0","11,066,137.0","11,449,476.0","12,082,617.0","12,724,839.0","13,525,605.0","14,323,115.0","15,203,716.0","16,069,535.0","16,830,820.0","17,254,069.0","17,980,646.0","18,884,910.0","20,012,273.0","20,981,584.0","21,978,331.0","23,120,824.0","24,412,389.0","25,975,603.0","27,696,677.0","29,245,763.0","30,684,089.0","32,368,683.0","35,682,917.0","39,296,170.0","42,508,020.0","44,402,291.0","45,857,923.0","44,946,350.0","45,860,881.0","47,313,565.0","48,711,933.0"
"22","3","    Private","K100031","1,804,632.0","1,962,783.0","2,120,847.0","2,352,567.0","2,593,800.0","2,946,949.0","3,468,484.0","3,786,213.0","4,169,101.0","4,736,089.0","5,412,951.0","6,264,757.0","7,118,176.0","7,860,777.0","8,297,581.0","8,599,921.0","9,112,837.0","9,619,357.0","10,231,047.0","10,845,285.0","11,537,659.0","12,204,090.0","12,773,978.0","13,058,136.0","13,608,930.0","14,321,526.0","15,200,445.0","15,946,646.0","16,760,046.0","17,694,087.0","18,762,535.0","20,011,520.0","21,399,022.0","22,681,029.0","23,826,166.0","25,213,908.0","27,743,017.0","30,610,680.0","32,920,255.0","34,067,858.0","34,835,425.0","33,861,262.0","34,345,872.0","35,178,148.0","36,191,370.0"
"23","4","      Nonresidential","K100041","957,848.0","1,055,739.0","1,161,594.0","1,275,082.0","1,385,659.0","1,560,626.0","1,894,067.0","2,083,749.0","2,280,513.0","2,533,067.0","2,870,602.0","3,314,433.0","3,800,820.0","4,300,797.0","4,589,780.0","4,745,322.0","5,041,603.0","5,333,008.0","5,604,345.0","5,921,246.0","6,313,054.0","6,701,201.0","7,072,018.0","7,242,133.0","7,487,402.0","7,838,223.0","8,271,034.0","8,719,096.0","9,145,032.0","9,665,527.0","10,214,321.0","10,834,308.0","11,589,307.0","12,164,505.0","12,604,289.0","13,053,636.0","14,159,930.0","15,462,415.0","16,731,353.0","17,668,493.0","18,750,234.0","18,152,797.0","18,562,956.0","19,287,059.0","19,874,239.0"
"24","5","      Residential","K100051","846,784.0","907,044.0","959,253.0","1,077,485.0","1,208,141.0","1,386,323.0","1,574,417.0","1,702,464.0","1,888,588.0","2,203,022.0","2,542,349.0","2,950,324.0","3,317,356.0","3,559,980.0","3,707,801.0","3,854,599.0","4,071,234.0","4,286,349.0","4,626,702.0","4,924,039.0","5,224,605.0","5,502,889.0","5,701,960.0","5,816,003.0","6,121,528.0","6,483,303.0","6,929,411.0","7,227,550.0","7,615,014.0","8,028,560.0","8,548,214.0","9,177,212.0","9,809,715.0","10,516,524.0","11,221,877.0","12,160,272.0","13,583,087.0","15,148,265.0","16,188,902.0","16,399,365.0","16,085,191.0","15,708,465.0","15,782,916.0","15,891,089.0","16,317,131.0"
"25","6","    Government","K100061","706,237.0","779,674.0","868,275.0","941,135.0","1,025,715.0","1,155,736.0","1,408,147.0","1,482,258.0","1,569,518.0","1,672,924.0","1,829,131.0","2,079,678.0","2,377,610.0","2,617,034.0","2,768,556.0","2,849,555.0","2,969,780.0","3,105,482.0","3,294,558.0","3,477,830.0","3,666,057.0","3,865,445.0","4,056,842.0","4,195,933.0","4,371,716.0","4,563,384.0","4,811,828.0","5,034,938.0","5,218,285.0","5,426,737.0","5,649,854.0","5,964,083.0","6,297,655.0","6,564,734.0","6,857,923.0","7,154,775.0","7,939,900.0","8,685,490.0","9,587,765.0","10,334,433.0","11,022,498.0","11,085,088.0","11,515,009.0","12,135,417.0","12,520,563.0"
"26","7","  Private inventories \1\","K100071","208,058.0","227,431.0","235,687.0","253,669.0","283,597.0","351,525.0","405,646.0","408,509.0","439,554.0","481,974.0","570,918.0","667,580.0","739,003.0","779,100.0","773,892.0","796,872.0","868,960.0","872,552.0","854,894.0","922,442.0","1,000,938.0","1,045,021.0","1,082,349.0","1,058,451.0","1,082,578.0","1,115,977.0","1,194,546.0","1,257,193.0","1,284,666.0","1,327,909.0","1,342,317.0","1,433,439.0","1,524,807.0","1,447,654.0","1,495,234.0","1,556,616.0","1,697,938.0","1,842,344.0","1,953,352.0","2,118,964.0","2,050,105.0","1,927,176.0","2,129,545.0","2,300,926.0","2,392,041.0"
"27",NA,"Accumulation of produced assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","8","Gross fixed investment","K100081","223,928.0","227,842.0","247,080.0","279,729.0","316,692.0","336,699.0","347,906.0","395,746.0","467,446.0","558,153.0","641,772.0","672,381.0","748,766.0","752,894.0","814,432.0","947,866.0","1,027,697.0","1,080,657.0","1,119,669.0","1,176,877.0","1,242,439.0","1,269,273.0","1,238,830.0","1,292,803.0","1,377,901.0","1,486,870.0","1,593,985.0","1,721,208.0","1,854,198.0","2,013,012.0","2,191,845.0","2,369,459.0","2,380,555.0","2,350,059.0","2,473,917.0","2,701,279.0","2,981,171.0","3,166,024.0","3,201,499.0","3,091,432.0","2,672,715.0","2,691,101.0","2,835,998.0","3,033,724.0","3,170,246.0"
"29","9","  Private \2\","K100091","164,387.0","168,049.0","188,571.0","219,038.0","251,052.0","260,537.0","263,509.0","306,106.0","374,288.0","452,586.0","521,672.0","536,429.0","601,421.0","595,945.0","643,267.0","754,688.0","807,825.0","842,573.0","865,028.0","918,482.0","972,008.0","978,906.0","944,738.0","996,686.0","1,086,015.0","1,192,699.0","1,286,305.0","1,401,257.0","1,524,666.0","1,671,611.0","1,823,379.0","1,979,205.0","1,966,921.0","1,906,487.0","2,008,661.0","2,212,818.0","2,467,530.0","2,613,677.0","2,609,293.0","2,456,806.0","2,025,686.0","2,039,284.0","2,198,116.0","2,414,300.0","2,573,928.0"
"30","10","    Nonresidential","K100101","120,012.0","124,638.0","130,418.0","146,639.0","172,730.0","191,069.0","196,776.0","219,344.0","259,059.0","314,576.0","373,831.0","406,909.0","472,939.0","485,097.0","482,154.0","564,324.0","607,748.0","607,761.0","615,238.0","662,282.0","715,993.0","739,237.0","723,585.0","741,945.0","799,206.0","868,852.0","962,237.0","1,043,196.0","1,149,081.0","1,252,804.0","1,361,613.0","1,493,773.0","1,453,876.0","1,348,893.0","1,371,717.0","1,463,147.0","1,611,470.0","1,776,288.0","1,920,615.0","1,940,954.0","1,633,443.0","1,658,221.0","1,812,077.0","1,971,973.0","2,054,006.0"
"31","11","      Structures","K100111","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,768.0","207,271.0","224,582.0","250,265.0","275,129.0","283,945.0","318,140.0","329,747.0","282,903.0","281,830.0","301,805.0","345,645.0","415,586.0","496,929.0","552,387.0","438,211.0","362,041.0","381,644.0","446,919.0","457,169.0"
"32","12","      Equipment","K100121","65,163.0","66,404.0","69,059.0","78,885.0","95,062.0","104,316.0","107,615.0","121,242.0","148,665.0","180,634.0","208,062.0","216,386.0","240,852.0","234,862.0","246,470.0","291,874.0","307,905.0","317,693.0","320,919.0","346,816.0","372,160.0","371,891.0","360,849.0","381,699.0","425,141.0","476,380.0","528,128.0","565,309.0","610,859.0","660,014.0","713,626.0","766,088.0","711,517.0","659,640.0","668,971.0","719,193.0","790,695.0","856,134.0","885,773.0","825,149.0","644,308.0","731,832.0","838,236.0","904,063.0","949,719.0"
"33","13","      Intellectual property products","K100131","17,151.0","17,947.0","18,680.0","20,581.0","22,685.0","25,516.0","27,811.0","32,187.0","35,816.0","40,358.0","48,068.0","54,353.0","64,773.0","72,671.0","81,340.0","95,053.0","105,326.0","113,541.0","120,117.0","132,677.0","150,117.0","164,429.0","179,131.0","187,674.0","196,913.0","205,704.0","226,838.0","253,305.0","287,957.0","317,661.0","364,042.0","409,545.0","412,612.0","406,350.0","420,916.0","442,149.0","475,130.0","504,568.0","537,913.0","563,418.0","550,924.0","564,348.0","592,197.0","620,991.0","647,118.0"
"34","14","    Residential","K100141","44,375.0","43,411.0","58,153.0","72,399.0","78,322.0","69,468.0","66,733.0","86,762.0","115,229.0","138,010.0","147,841.0","129,520.0","128,482.0","110,848.0","161,113.0","190,364.0","200,077.0","234,812.0","249,790.0","256,200.0","256,015.0","239,669.0","221,153.0","254,741.0","286,809.0","323,847.0","324,068.0","358,061.0","375,585.0","418,807.0","461,766.0","485,432.0","513,045.0","557,594.0","636,944.0","749,671.0","856,060.0","837,389.0","688,678.0","515,852.0","392,243.0","381,063.0","386,039.0","442,327.0","519,922.0"
"35","15","  Government \3\","K100151","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","619,424.0","596,318.0"
"36","16","    Structures","K100161","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0","160,157.0","175,790.0","189,735.0","205,777.0","221,937.0","228,554.0","235,697.0","246,775.0","268,479.0","292,522.0","310,343.0","318,921.0","313,162.0","301,145.0","283,997.0","273,325.0"
"37","17","    Equipment","K100171","12,858.0","13,042.0","9,216.0","9,780.0","10,940.0","14,356.0","16,589.0","19,241.0","20,979.0","23,052.0","27,275.0","31,082.0","35,967.0","42,313.0","50,229.0","58,446.0","67,762.0","73,891.0","77,415.0","74,273.0","80,677.0","86,622.0","85,692.0","84,767.0","79,413.0","77,453.0","78,888.0","80,078.0","75,638.0","78,949.0","86,143.0","87,370.0","88,176.0","95,598.0","100,156.0","107,231.0","112,997.0","123,266.0","130,703.0","147,128.0","148,263.0","151,214.0","145,102.0","142,609.0","134,611.0"
"38","18","    Intellectual property products","K100181","17,724.0","17,584.0","18,054.0","19,305.0","20,344.0","21,489.0","23,279.0","25,522.0","27,892.0","31,023.0","35,010.0","39,561.0","45,021.0","49,653.0","55,217.0","62,229.0","70,994.0","75,207.0","81,717.0","85,124.0","87,786.0","91,124.0","91,418.0","91,607.0","91,397.0","92,034.0","94,044.0","95,492.0","98,339.0","102,296.0","106,533.0","113,150.0","119,681.0","126,037.0","136,547.0","145,533.0","153,869.0","160,602.0","168,981.0","177,155.0","179,845.0","187,440.0","191,635.0","192,818.0","188,381.0"
"39","19","Less: Stock reconciliation adjustments","K100191","1,068.0","1,881.0","2,346.0","1,957.0","1,646.0","1,582.0","1,794.0","2,763.0","3,621.0","5,081.0","4,690.0","6,091.0","5,815.0","8,196.0","8,646.0","7,514.0","6,432.0","12,839.0","8,144.0","8,761.0","10,731.0","7,531.0","10,262.0","14,810.0","8,040.0","9,067.0","3,528.0","-5,664.0","6,182.0","8,075.0","10,848.0","16,832.0","19,005.0","18,102.0","22,722.0","17,819.0","16,213.0","13,997.0","9,487.0","6,922.0","17,550.0","8,011.0","6,548.0","15,256.0","17,390.0"
"40","20","  Private","K100201","926.0","1,648.0","1,941.0","1,719.0","1,508.0","1,356.0","1,316.0","2,041.0","2,767.0","3,760.0","3,290.0","4,576.0","5,350.0","7,933.0","7,894.0","6,791.0","5,397.0","11,939.0","7,170.0","7,866.0","10,158.0","6,898.0","9,865.0","13,486.0","6,687.0","8,452.0","5,040.0","1,568.0","6,293.0","8,066.0","10,686.0","16,746.0","18,871.0","17,793.0","22,052.0","17,538.0","15,510.0","13,432.0","11,348.0","6,604.0","17,234.0","7,792.0","6,031.0","15,068.0","16,535.0"
"41","21","    Nonresidential","K100211","927.0","1,648.0","1,941.0","1,718.0","1,508.0","1,355.0","1,316.0","2,041.0","2,767.0","3,760.0","3,290.0","4,576.0","5,351.0","7,933.0","7,894.0","6,791.0","5,397.0","11,939.0","7,170.0","7,866.0","10,157.0","6,898.0","9,865.0","13,478.0","6,687.0","8,453.0","5,041.0","1,568.0","6,293.0","8,066.0","10,686.0","16,746.0","18,871.0","17,793.0","22,052.0","17,537.0","15,511.0","13,432.0","11,349.0","6,604.0","17,234.0","7,792.0","6,030.0","15,148.0","16,332.0"
"42","22","      Intersectoral auto valuation adjustment \4\","K100221","332.0","794.0","805.0","702.0","770.0","854.0","703.0","482.0","649.0","1,447.0","1,648.0","2,278.0","1,859.0","1,687.0","1,985.0","3,441.0","6,354.0","11,032.0","9,657.0","6,902.0","7,095.0","7,678.0","5,050.0","3,339.0","1,695.0","416.0","442.0","-352.0","1,585.0","323.0","89.0","4,307.0","4,733.0","5,638.0","8,366.0","6,953.0","5,064.0","4,868.0","4,590.0","4,656.0","5,458.0","2,043.0","549.0","4,935.0","5,884.0"
"43","23","      Brokers' commissions on sale of nonresidential used structures and dealers' margins on used equipment","K100231","814.0","782.0","810.0","901.0","1,094.0","1,244.0","1,262.0","1,378.0","1,654.0","2,063.0","2,393.0","2,672.0","3,069.0","3,265.0","3,303.0","3,884.0","4,180.0","4,349.0","4,632.0","5,264.0","5,845.0","6,195.0","5,588.0","5,613.0","6,342.0","7,069.0","7,978.0","8,782.0","10,325.0","12,022.0","13,783.0","14,900.0","15,518.0","15,511.0","14,804.0","15,527.0","16,193.0","16,687.0","17,064.0","16,329.0","13,910.0","14,586.0","17,984.0","19,197.0","19,732.0"
"44","24","      Electric plants put in place less electric plants put in use \5\","K100241","726.0","1,126.0","1,253.0","1,126.0","1,329.0","2,129.0","1,273.0","2,547.0","2,747.0","3,620.0","4,751.0","5,137.0","6,485.0","7,052.0","6,209.0","3,652.0","-1,000.0","668.0","-2,604.0","733.0","2,226.0","-2,001.0","3,415.0","6,530.0","2,558.0","5,084.0","1,516.0","-2,342.0","-841.0","-233.0","172.0","1,073.0","1,183.0","-551.0","1,844.0","1,148.0","-95.0","-122.0","-127.0","595.0","2,796.0","1,885.0","-155.0","2,028.0","1,289.0"
"45","25","      Abandoned electric plants \6\","K100251","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","280.0","439.0","424.0","2,788.0","2,633.0","6,980.0","4,506.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"46","26","      Sale of equipment scrap, excluding autos \7\","K100261","-530.0","-619.0","-444.0","-445.0","-1,072.0","-2,208.0","-1,279.0","-1,662.0","-1,527.0","-2,351.0","-4,161.0","-3,900.0","-4,134.0","-2,056.0","-1,639.0","-1,896.0","-1,799.0","-1,826.0","-2,499.0","-2,973.0","-2,815.0","-2,847.0","-2,124.0","-2,006.0","-3,991.0","-4,281.0","-5,136.0","-4,844.0","-4,774.0","-4,049.0","-3,358.0","-3,524.0","-2,564.0","-2,802.0","-3,360.0","-6,890.0","-6,867.0","-9,653.0","-12,184.0","-17,202.0","-8,590.0","-14,173.0","-12,344.0","-11,015.0","-10,574.0"
"47","27","      Other \8\","K100271","-415.0","-435.0","-483.0","-566.0","-613.0","-664.0","-643.0","-704.0","-756.0","-1,299.0","-1,780.0","-2,035.0","-4,716.0","-4,648.0","-8,944.0","-6,796.0","-2,338.0","-2,284.0","-2,016.0","-2,060.0","-2,194.0","-2,127.0","-2,064.0","2.0","83.0","165.0","241.0","324.0","-2.0","3.0","0.0","-10.0","1.0","-3.0","398.0","799.0","1,216.0","1,652.0","2,006.0","2,226.0","3,660.0","3,451.0","-4.0","3.0","1.0"
"48","28","    Residential \8\","K100281","-1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","8.0","0.0","-1.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","-1.0","0.0","-1.0","0.0","0.0","0.0","1.0","-80.0","203.0"
"49","29","  Government","K100291","142.0","233.0","405.0","238.0","138.0","226.0","478.0","722.0","854.0","1,321.0","1,400.0","1,515.0","465.0","263.0","752.0","723.0","1,035.0","900.0","974.0","895.0","573.0","633.0","397.0","1,324.0","1,353.0","615.0","-1,512.0","-7,232.0","-111.0","9.0","162.0","86.0","134.0","309.0","670.0","281.0","703.0","565.0","-1,861.0","318.0","316.0","219.0","517.0","188.0","855.0"
"50","30","    Electric plants put in place less electric plants put in use \5\","K100301","142.0","233.0","405.0","238.0","139.0","226.0","478.0","722.0","854.0","1,328.0","1,403.0","1,511.0","467.0","266.0","753.0","726.0","1,038.0","902.0","976.0","898.0","573.0","634.0","401.0","1,327.0","1,358.0","620.0","-1,508.0","-7,228.0","-109.0","11.0","160.0","85.0","131.0","301.0","660.0","259.0","669.0","508.0","-1,930.0","240.0","227.0","197.0","450.0","129.0","791.0"
"51","31","    Other \8\","K100311","0.0","0.0","0.0","0.0","-1.0","0.0","0.0","0.0","0.0","-7.0","-3.0","4.0","-2.0","-3.0","-1.0","-3.0","-3.0","-2.0","-2.0","-3.0","0.0","-1.0","-4.0","-3.0","-5.0","-5.0","-4.0","-4.0","-2.0","-2.0","2.0","1.0","3.0","8.0","10.0","22.0","34.0","57.0","69.0","78.0","89.0","22.0","67.0","59.0","64.0"
"52","32","Less: Consumption of fixed capital","K100321","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,530,185.0","2,627,240.0"
"53","33","  Private","K100331","89,433.0","98,258.0","107,635.0","117,491.0","131,489.0","153,158.0","178,791.0","196,512.0","221,124.0","252,114.0","290,731.0","334,975.0","381,930.0","420,392.0","438,786.0","463,517.0","496,411.0","531,572.0","566,307.0","608,301.0","650,083.0","688,983.0","722,354.0","744,159.0","779,967.0","824,325.0","882,581.0","931,035.0","990,071.0","1,054,941.0","1,135,914.0","1,236,574.0","1,317,695.0","1,368,015.0","1,422,369.0","1,509,299.0","1,635,298.0","1,765,009.0","1,864,974.0","1,936,872.0","1,925,653.0","1,923,533.0","1,971,064.0","2,034,225.0","2,120,826.0"
"54","34","    Nonresidential","K100341","72,373.0","79,889.0","87,263.0","94,650.0","105,235.0","122,814.0","144,514.0","158,674.0","177,536.0","200,836.0","230,942.0","266,757.0","307,178.0","341,241.0","356,664.0","376,443.0","403,664.0","430,642.0","456,273.0","490,229.0","524,249.0","557,450.0","586,780.0","604,360.0","631,290.0","666,272.0","715,217.0","755,423.0","805,267.0","858,469.0","924,455.0","1,007,368.0","1,069,171.0","1,104,396.0","1,135,427.0","1,189,754.0","1,276,388.0","1,371,954.0","1,458,318.0","1,536,101.0","1,542,752.0","1,546,565.0","1,596,308.0","1,656,988.0","1,721,858.0"
