"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","      Government consumption expenditures \1\","A955RX1","1,947,499.0","1,952,697.0","1,974,138.0","1,998,284.0","1,974,164.0","2,011,598.0","2,001,646.0","2,006,317.0","2,037,337.0","2,062,062.0","2,080,845.0","2,096,310.0","2,124,053.0","2,145,065.0","2,156,509.0","2,171,039.0","2,161,845.0","2,199,110.0","2,186,831.0","2,203,537.0","2,210,717.0","2,219,052.0","2,231,181.0","2,225,826.0","2,234,088.0","2,233,062.0","2,251,963.0","2,238,749.0","2,257,062.0","2,254,353.0","2,264,080.0","2,281,007.0","2,274,236.0","2,287,339.0","2,306,366.0","2,314,988.0","2,326,328.0","2,332,156.0","2,366,512.0","2,390,540.0","2,402,406.0","2,444,763.0","2,458,383.0","2,462,694.0","2,449,111.0","2,454,903.0","2,449,547.0","2,425,885.0","2,389,058.0","2,388,525.0","2,375,609.0","2,366,746.0","2,363,077.0","2,358,842.0","2,387,319.0","2,354,307.0","2,340,486.0","2,339,491.0","2,341,824.0","2,318,924.0","2,334,792.0","2,333,402.0","2,364,272.0","2,344,687.0","2,349,589.0"
"21","2","        Gross output of general government","W101RX1","2,309,957.0","2,322,783.0","2,347,110.0","2,373,573.0","2,357,145.0","2,396,702.0","2,393,044.0","2,406,291.0","2,442,343.0","2,471,198.0","2,493,221.0","2,513,692.0","2,542,568.0","2,562,814.0","2,579,030.0","2,591,802.0","2,582,996.0","2,622,405.0","2,610,265.0","2,627,759.0","2,634,974.0","2,644,747.0","2,658,828.0","2,654,738.0","2,665,593.0","2,663,944.0","2,686,166.0","2,675,611.0","2,697,648.0","2,697,179.0","2,708,362.0","2,722,612.0","2,716,370.0","2,732,333.0","2,752,694.0","2,759,815.0","2,769,837.0","2,775,617.0","2,813,235.0","2,835,478.0","2,848,735.0","2,893,750.0","2,909,823.0","2,915,544.0","2,902,789.0","2,911,662.0","2,909,037.0","2,884,715.0","2,844,367.0","2,845,908.0","2,846,468.0","2,826,432.0","2,822,447.0","2,820,948.0","2,849,071.0","2,816,670.0","2,804,481.0","2,804,747.0","2,806,947.0","2,783,103.0","2,798,548.0","2,800,301.0","2,830,901.0","2,813,662.0","2,819,440.0"
"22","3","          Value added","W102RX1","1,648,350.0","1,649,371.0","1,655,047.0","1,662,389.0","1,671,349.0","1,684,834.0","1,682,188.0","1,685,164.0","1,696,374.0","1,707,521.0","1,717,332.0","1,723,460.0","1,732,488.0","1,741,301.0","1,748,561.0","1,751,562.0","1,760,581.0","1,765,635.0","1,766,641.0","1,767,882.0","1,771,869.0","1,774,980.0","1,778,784.0","1,785,671.0","1,790,122.0","1,791,604.0","1,796,216.0","1,798,496.0","1,798,804.0","1,802,898.0","1,813,624.0","1,820,867.0","1,823,809.0","1,829,297.0","1,837,372.0","1,848,154.0","1,857,951.0","1,865,711.0","1,879,711.0","1,888,350.0","1,896,261.0","1,909,137.0","1,910,396.0","1,914,681.0","1,917,192.0","1,925,819.0","1,918,359.0","1,916,530.0","1,915,697.0","1,913,039.0","1,909,100.0","1,908,753.0","1,905,183.0","1,903,874.0","1,905,252.0","1,904,219.0","1,904,770.0","1,905,475.0","1,901,540.0","1,895,681.0","1,907,930.0","1,910,141.0","1,911,157.0","1,911,751.0","1,912,651.0"
"23","4","            Compensation of general government employees","A194RX1","1,354,602.0","1,354,126.0","1,358,347.0","1,364,370.0","1,372,074.0","1,384,343.0","1,379,876.0","1,381,196.0","1,390,977.0","1,400,745.0","1,409,092.0","1,413,752.0","1,421,364.0","1,428,593.0","1,434,019.0","1,435,008.0","1,442,415.0","1,445,292.0","1,444,033.0","1,442,857.0","1,444,453.0","1,445,090.0","1,446,340.0","1,450,645.0","1,452,448.0","1,451,221.0","1,453,090.0","1,452,496.0","1,449,955.0","1,451,110.0","1,458,870.0","1,463,123.0","1,462,993.0","1,465,402.0","1,470,376.0","1,478,039.0","1,484,634.0","1,489,167.0","1,499,802.0","1,504,977.0","1,509,381.0","1,519,492.0","1,518,773.0","1,521,816.0","1,521,065.0","1,526,781.0","1,516,835.0","1,512,861.0","1,510,018.0","1,505,478.0","1,499,773.0","1,497,736.0","1,492,650.0","1,490,089.0","1,490,465.0","1,488,711.0","1,488,770.0","1,488,766.0","1,483,851.0","1,476,779.0","1,487,510.0","1,488,152.0","1,487,583.0","1,486,662.0","1,485,974.0"
"24","5","            Consumption of general government fixed capital \2\","A265RX1","295,272.0","296,523.0","297,902.0","299,223.0","300,542.0","301,973.0","303,412.0","304,898.0","306,434.0","307,915.0","309,427.0","310,851.0","312,289.0","313,871.0","315,648.0","317,523.0","319,133.0","321,226.0","323,369.0","325,673.0","328,003.0","330,429.0","332,936.0","335,481.0","338,084.0","340,746.0","343,448.0","346,262.0","349,061.0","351,974.0","354,930.0","357,896.0","360,934.0","363,990.0","367,070.0","370,174.0","373,359.0","376,572.0","379,935.0","383,385.0","386,880.0","389,648.0","391,626.0","392,861.0","396,144.0","399,068.0","401,655.0","403,863.0","405,923.0","407,861.0","409,683.0","411,406.0","412,959.0","414,237.0","415,249.0","415,986.0","416,485.0","417,204.0","418,217.0","419,477.0","420,976.0","422,563.0","424,173.0","425,718.0","427,343.0"
"25","6","          Intermediate goods and services purchased \3\","W104RX1","665,872.0","677,259.0","695,312.0","713,820.0","689,595.0","714,824.0","713,827.0","723,774.0","747,891.0","765,195.0","777,203.0","791,319.0","810,988.0","822,327.0","831,201.0","840,881.0","823,299.0","857,448.0","844,297.0","860,568.0","863,796.0","870,483.0","880,790.0","869,832.0","876,213.0","873,088.0","890,581.0","877,960.0","899,369.0","894,900.0","895,433.0","902,395.0","893,277.0","903,695.0","915,910.0","912,451.0","912,854.0","911,096.0","933,995.0","947,254.0","952,500.0","984,644.0","999,424.0","1,000,809.0","985,584.0","985,826.0","990,664.0","968,294.0","929,341.0","933,466.0","937,832.0","918,630.0","918,164.0","917,946.0","944,026.0","913,448.0","901,050.0","900,621.0","906,547.0","888,917.0","892,185.0","891,771.0","920,537.0","903,119.0","907,956.0"
"26","7","            Durable goods","W105RX1","41,730.0","44,978.0","46,960.0","44,968.0","45,744.0","45,946.0","46,562.0","45,936.0","45,919.0","48,295.0","50,086.0","47,527.0","48,230.0","49,460.0","51,134.0","49,779.0","48,643.0","52,140.0","52,996.0","53,238.0","53,716.0","55,172.0","56,969.0","55,563.0","54,749.0","55,791.0","57,107.0","57,342.0","58,616.0","58,873.0","60,188.0","61,976.0","60,951.0","62,870.0","65,586.0","66,712.0","67,403.0","69,690.0","72,024.0","73,024.0","69,917.0","74,198.0","77,487.0","75,952.0","71,851.0","74,039.0","75,960.0","77,890.0","68,882.0","71,095.0","72,292.0","73,987.0","69,490.0","70,012.0","71,706.0","70,108.0","64,315.0","65,533.0","65,149.0","63,849.0","61,008.0","60,892.0","60,070.0","62,779.0","60,882.0"
"27","8","            Nondurable goods","W106RX1","188,783.0","192,849.0","197,291.0","196,347.0","201,528.0","202,648.0","204,264.0","207,752.0","213,582.0","221,609.0","220,992.0","226,134.0","227,567.0","231,640.0","230,234.0","231,612.0","229,202.0","232,282.0","229,560.0","233,561.0","237,125.0","238,381.0","238,927.0","236,225.0","240,229.0","237,701.0","241,068.0","241,486.0","242,344.0","241,926.0","245,090.0","245,298.0","247,789.0","248,990.0","249,941.0","247,733.0","246,132.0","245,650.0","246,519.0","251,794.0","257,645.0","263,957.0","265,855.0","264,177.0","258,395.0","256,041.0","252,256.0","248,885.0","242,194.0","240,901.0","241,954.0","243,636.0","242,141.0","242,643.0","243,380.0","244,870.0","243,799.0","243,408.0","244,059.0","242,857.0","243,483.0","244,191.0","248,260.0","248,293.0","250,052.0"
"28","9","            Services","W107RX1","436,227.0","439,569.0","450,858.0","472,639.0","442,918.0","466,846.0","463,566.0","471,051.0","489,691.0","496,541.0","506,776.0","519,308.0","536,415.0","542,505.0","550,382.0","560,265.0","546,432.0","573,172.0","561,680.0","573,765.0","573,157.0","576,928.0","584,588.0","577,875.0","581,290.0","579,521.0","592,348.0","578,842.0","598,365.0","593,968.0","589,736.0","594,640.0","583,948.0","591,209.0","599,768.0","597,421.0","598,902.0","595,271.0","616,044.0","622,726.0","625,089.0","646,480.0","655,998.0","660,622.0","655,368.0","655,967.0","663,007.0","641,985.0","618,205.0","621,911.0","624,099.0","600,436.0","606,048.0","604,730.0","629,394.0","597,324.0","591,193.0","590,074.0","595,833.0","580,196.0","585,517.0","584,386.0","610,157.0","589,765.0","594,540.0"
"29","10","        Less: Own-account investment \4\","W108RX1","51,103.0","53,677.0","53,580.0","54,199.0","54,219.0","54,285.0","55,655.0","56,185.0","58,743.0","60,684.0","60,579.0","61,224.0","62,004.0","62,187.0","62,762.0","62,986.0","62,752.0","62,979.0","63,303.0","63,548.0","62,752.0","63,341.0","63,498.0","63,606.0","63,924.0","64,944.0","65,451.0","66,106.0","66,119.0","67,171.0","67,605.0","68,021.0","68,545.0","69,097.0","69,511.0","69,738.0","70,016.0","70,408.0","70,660.0","71,007.0","71,231.0","71,308.0","71,085.0","70,324.0","69,474.0","69,437.0","69,605.0","68,805.0","69,002.0","69,497.0","69,964.0","70,526.0","70,415.0","70,730.0","70,456.0","69,594.0","68,706.0","68,447.0","67,752.0","66,787.0","65,991.0","66,221.0","66,219.0","66,527.0","66,718.0"
"30","11","        Less: Sales to other sectors \5\","W109RX1","312,442.0","317,168.0","320,239.0","321,924.0","329,639.0","331,755.0","336,596.0","344,747.0","346,998.0","349,023.0","352,450.0","356,835.0","357,105.0","356,104.0","360,327.0","358,291.0","358,958.0","360,860.0","360,647.0","361,187.0","362,080.0","362,898.0","364,702.0","365,879.0","368,172.0","366,448.0","369,262.0","371,339.0","375,083.0","376,296.0","377,299.0","374,067.0","374,089.0","376,401.0","377,260.0","375,446.0","373,755.0","373,276.0","376,197.0","373,915.0","375,089.0","377,675.0","380,361.0","382,532.0","384,202.0","387,319.0","389,884.0","390,023.0","386,317.0","387,902.0","400,992.0","389,258.0","389,037.0","391,440.0","391,389.0","392,781.0","395,230.0","396,722.0","397,270.0","397,213.0","397,606.0","400,447.0","400,299.0","402,212.0","402,902.0"
"31","12","Federal consumption expenditures \1\","A957RX1","636,679.0","632,880.0","644,058.0","658,965.0","632,349.0","662,656.0","646,114.0","642,291.0","659,628.0","670,492.0","674,582.0","678,438.0","695,024.0","707,979.0","715,420.0","730,827.0","728,359.0","768,333.0","760,237.0","777,976.0","782,926.0","787,932.0","799,299.0","791,103.0","797,790.0","795,865.0","809,527.0","795,732.0","815,439.0","809,376.0","811,815.0","817,256.0","804,508.0","813,282.0","831,967.0","837,283.0","852,491.0","860,309.0","887,913.0","905,180.0","903,140.0","935,185.0","947,421.0","949,063.0","959,564.0","977,769.0","987,188.0","976,330.0","953,355.0","956,885.0","947,659.0","940,750.0","939,821.0","934,327.0","958,700.0","922,665.0","902,786.0","896,063.0","893,799.0","867,179.0","880,112.0","874,325.0","902,179.0","878,489.0","880,632.0"
"32","13","      Gross output of general government","W110RX1","665,721.0","666,910.0","678,492.0","691,249.0","667,010.0","695,680.0","680,519.0","680,312.0","695,704.0","705,386.0","710,013.0","715,874.0","732,131.0","743,274.0","754,407.0","767,463.0","766,071.0","807,487.0","798,433.0","816,318.0","820,184.0","825,456.0","838,491.0","831,347.0","839,447.0","835,992.0","852,572.0","840,615.0","857,633.0","851,909.0","854,684.0","859,334.0","845,661.0","855,225.0","873,759.0","878,955.0","894,633.0","902,681.0","933,261.0","948,300.0","946,852.0","979,325.0","992,100.0","993,967.0","1,004,528.0","1,023,526.0","1,033,590.0","1,020,102.0","996,412.0","1,001,680.0","1,005,210.0","986,712.0","985,254.0","981,317.0","1,004,030.0","967,161.0","946,749.0","939,243.0","936,248.0","908,440.0","920,990.0","916,928.0","943,283.0","920,085.0","921,717.0"
"33","14","        Value added","W111RX1","501,213.0","497,840.0","496,661.0","496,479.0","499,059.0","507,088.0","499,601.0","497,678.0","501,478.0","503,418.0","504,194.0","502,955.0","507,278.0","510,294.0","513,441.0","515,487.0","521,361.0","525,427.0","526,623.0","527,651.0","530,545.0","531,228.0","534,079.0","537,882.0","539,606.0","539,653.0","540,504.0","543,384.0","541,534.0","542,894.0","547,717.0","549,031.0","549,368.0","549,984.0","555,165.0","557,994.0","563,358.0","569,255.0","577,728.0","586,304.0","592,588.0","603,628.0","607,521.0","610,780.0","617,488.0","627,415.0","625,415.0","626,714.0","629,509.0","630,636.0","630,845.0","632,534.0","632,558.0","631,353.0","630,217.0","628,810.0","626,373.0","623,539.0","616,302.0","608,156.0","619,328.0","618,587.0","618,128.0","616,768.0","616,726.0"
"34","15","          Compensation of general government employees","B568RX1","323,666.0","319,755.0","318,230.0","317,956.0","320,878.0","329,863.0","321,075.0","318,586.0","322,517.0","324,368.0","324,838.0","323,132.0","327,541.0","330,275.0","332,882.0","334,133.0","339,215.0","342,240.0","342,187.0","341,772.0","343,294.0","342,427.0","343,701.0","345,899.0","345,878.0","344,119.0","343,142.0","344,118.0","340,318.0","339,740.0","342,658.0","342,043.0","340,434.0","339,126.0","342,369.0","343,225.0","346,552.0","350,363.0","356,592.0","362,820.0","366,653.0","375,815.0","378,456.0","381,040.0","385,344.0","393,094.0","389,289.0","389,055.0","390,401.0","390,189.0","389,154.0","389,659.0","388,653.0","386,680.0","385,024.0","383,361.0","380,897.0","377,832.0","370,108.0","361,308.0","371,388.0","369,568.0","367,991.0","365,569.0","364,364.0"
"35","16","          Consumption of general government fixed capital \2\","B995RX1","178,168.0","178,181.0","178,297.0","178,343.0","178,372.0","178,517.0","178,681.0","178,898.0","179,176.0","179,432.0","179,740.0","179,993.0","180,284.0","180,736.0","181,397.0","182,178.0","183,157.0","184,242.0","185,386.0","186,693.0","188,033.0","189,470.0","190,995.0","192,572.0","194,219.0","195,920.0","197,662.0","199,515.0","201,351.0","203,252.0","205,155.0","207,027.0","208,929.0","210,845.0","212,783.0","214,742.0","216,778.0","218,865.0","221,120.0","223,486.0","225,939.0","227,815.0","229,064.0","229,734.0","232,130.0","234,264.0","236,130.0","237,686.0","239,144.0","240,503.0","241,772.0","242,966.0","244,015.0","244,802.0","245,337.0","245,606.0","245,650.0","245,902.0","246,435.0","247,203.0","248,198.0","249,299.0","250,443.0","251,541.0","252,739.0"
"36","17","        Intermediate goods and services purchased \3\","W113RX1","169,402.0","173,593.0","185,572.0","197,718.0","172,546.0","192,224.0","184,799.0","186,370.0","197,383.0","204,719.0","208,356.0","215,016.0","226,540.0","234,429.0","242,140.0","252,742.0","245,723.0","282,508.0","272,398.0","288,991.0","289,984.0","294,549.0","304,638.0","293,902.0","300,183.0","296,670.0","312,283.0","297,620.0","316,349.0","309,284.0","307,271.0","310,555.0","296,591.0","305,542.0","318,890.0","321,255.0","331,519.0","333,692.0","355,463.0","361,909.0","354,231.0","375,711.0","384,589.0","383,197.0","387,030.0","396,101.0","408,210.0","393,403.0","366,999.0","371,124.0","374,419.0","354,474.0","353,022.0","350,319.0","373,793.0","338,867.0","321,169.0","316,529.0","320,612.0","301,088.0","302,522.0","299,256.0","325,558.0","304,024.0","305,690.0"
"37","18","          Durable goods","W114RX1","23,059.0","26,081.0","27,805.0","25,250.0","25,681.0","25,610.0","25,794.0","24,877.0","24,231.0","26,195.0","27,763.0","24,984.0","25,624.0","26,985.0","28,781.0","27,487.0","26,635.0","30,192.0","30,999.0","31,155.0","31,449.0","32,746.0","34,440.0","32,968.0","32,054.0","32,972.0","34,192.0","34,291.0","35,438.0","35,484.0","36,619.0","38,161.0","36,832.0","38,599.0","41,235.0","42,433.0","43,332.0","45,681.0","47,930.0","48,633.0","45,014.0","49,066.0","52,313.0","50,828.0","47,339.0","49,737.0","52,001.0","54,188.0","45,537.0","47,722.0","48,905.0","50,603.0","46,174.0","46,473.0","48,186.0","46,692.0","40,819.0","41,908.0","41,479.0","40,160.0","37,308.0","37,037.0","36,102.0","38,679.0","36,729.0"
"38","19","          Nondurable goods","W115RX1","22,459.0","24,027.0","26,494.0","23,583.0","27,882.0","27,361.0","26,602.0","27,402.0","29,066.0","33,789.0","30,472.0","33,209.0","32,296.0","35,373.0","33,879.0","35,743.0","36,923.0","40,960.0","38,230.0","41,766.0","44,057.0","43,750.0","44,142.0","41,545.0","45,327.0","42,469.0","44,740.0","44,164.0","44,235.0","42,711.0","44,624.0","42,820.0","42,701.0","42,984.0","44,181.0","43,516.0","45,319.0","46,082.0","46,296.0","48,356.0","49,410.0","52,275.0","52,117.0","49,645.0","51,053.0","52,091.0","51,142.0","50,281.0","48,040.0","46,310.0","46,791.0","47,799.0","45,809.0","45,322.0","44,808.0","44,798.0","41,874.0","39,900.0","39,560.0","37,820.0","37,524.0","36,878.0","39,504.0","37,811.0","37,898.0"
"39","20","          Services","W116RX1","122,946.0","122,103.0","129,962.0","147,986.0","118,049.0","138,614.0","131,569.0","133,510.0","143,863.0","144,650.0","149,446.0","156,955.0","168,435.0","172,132.0","179,074.0","189,479.0","182,398.0","211,509.0","202,906.0","216,121.0","214,788.0","218,135.0","225,970.0","219,288.0","222,982.0","221,276.0","233,455.0","219,119.0","236,792.0","231,176.0","225,923.0","229,477.0","216,919.0","223,826.0","233,337.0","235,223.0","242,727.0","241,676.0","261,610.0","265,094.0","259,860.0","274,351.0","280,103.0","282,746.0","288,561.0","294,279.0","305,253.0","289,153.0","273,324.0","277,394.0","279,043.0","256,013.0","261,089.0","258,631.0","281,393.0","247,402.0","238,420.0","234,977.0","239,904.0","223,390.0","227,866.0","225,557.0","249,985.0","227,786.0","231,193.0"
"40","21","      Less: Own-account investment \4\","W117RX1","24,124.0","26,639.0","26,591.0","26,190.0","25,437.0","25,978.0","26,568.0","27,115.0","28,534.0","29,191.0","29,370.0","29,698.0","30,113.0","30,437.0","30,945.0","31,137.0","31,238.0","31,546.0","31,432.0","31,766.0","31,097.0","31,240.0","31,476.0","31,557.0","31,757.0","32,106.0","32,419.0","32,568.0","32,544.0","32,797.0","33,179.0","33,512.0","33,680.0","33,925.0","34,165.0","34,104.0","34,278.0","34,309.0","34,455.0","34,629.0","34,574.0","34,621.0","34,935.0","35,187.0","35,040.0","34,571.0","34,705.0","34,638.0","35,068.0","35,509.0","35,896.0","36,384.0","36,962.0","37,342.0","37,400.0","37,015.0","36,266.0","35,523.0","34,768.0","33,855.0","33,460.0","32,832.0","32,571.0","32,566.0","32,924.0"
