"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:35:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Gross domestic product","A191RX1","4,712,483.0","4,722,012.0","4,877,625.0","5,134,347.0","5,424,084.0","5,396,034.0","5,385,367.0","5,675,427.0","5,936,985.0","6,267,181.0","6,466,208.0","6,450,392.0","6,617,745.0","6,491,287.0","6,791,993.0","7,285,030.0","7,593,823.0","7,860,489.0","8,132,599.0","8,474,492.0","8,786,397.0","8,955,041.0","8,948,406.0","9,266,558.0","9,521,004.0","9,905,428.0","10,174,755.0","10,560,976.0","11,034,850.0","11,525,891.0","12,065,902.0","12,559,660.0","12,682,240.0","12,908,761.0","13,271,081.0","13,773,490.0","14,234,243.0","14,613,817.0","14,873,734.0","14,830,359.0","14,418,738.0","14,783,809.0","15,020,565.0","15,369,205.0","15,710,295.0","16,085,587.0"
"20","2","Business \1\","A195RX1","3,132,015.0","3,130,417.0","3,248,933.0","3,460,566.0","3,699,930.0","3,643,368.0","3,608,097.0","3,850,885.0","4,069,903.0","4,327,620.0","4,477,830.0","4,435,326.0","4,566,353.0","4,429,418.0","4,671,910.0","5,083,232.0","5,317,708.0","5,512,644.0","5,707,450.0","5,952,062.0","6,180,835.0","6,281,915.0","6,244,763.0","6,509,341.0","6,695,605.0","7,020,683.0","7,239,143.0","7,577,040.0","7,979,423.0","8,389,167.0","8,855,291.0","9,253,159.0","9,313,292.0","9,480,601.0","9,783,272.0","10,224,043.0","10,611,459.0","10,947,009.0","11,177,549.0","11,046,203.0","10,597,505.0","10,933,994.0","11,163,916.0","11,508,913.0","11,823,741.0","12,164,705.0"
"21","3","  Nonfarm \2\","A358RX1","3,109,571.0","3,105,385.0","3,221,603.0","3,438,056.0","3,686,633.0","3,631,239.0","3,571,109.0","3,825,757.0","4,043,660.0","4,311,486.0","4,454,506.0","4,414,817.0","4,517,127.0","4,372,846.0","4,657,275.0","5,046,727.0","5,262,216.0","5,462,755.0","5,658,064.0","5,915,730.0","6,133,946.0","6,228,436.0","6,190,785.0","6,442,231.0","6,642,127.0","6,949,633.0","7,191,101.0","7,516,445.0","7,908,849.0","8,325,335.0","8,788,885.0","9,172,619.0","9,239,719.0","9,403,652.0","9,696,860.0","10,130,956.0","10,512,568.0","10,847,568.0","11,097,070.0","10,953,971.0","10,487,704.0","10,822,645.0","11,061,046.0","11,417,194.0","11,711,387.0","12,066,950.0"
"22","4","  Farm","B359RX1","27,308.0","28,067.0","29,545.0","29,549.0","29,226.0","28,565.0","34,040.0","32,487.0","34,257.0","33,053.0","35,996.0","34,864.0","46,052.0","48,355.0","31,503.0","42,701.0","52,591.0","50,473.0","51,038.0","45,489.0","51,744.0","55,490.0","55,602.0","64,442.0","56,777.0","69,040.0","54,921.0","63,611.0","71,154.0","67,693.0","70,734.0","83,897.0","77,692.0","80,927.0","89,831.0","96,079.0","101,647.0","102,414.0","86,173.0","94,713.0","109,800.0","111,455.0","105,712.0","99,678.0","113,948.0","105,233.0"
"23","5","Households and institutions","A193RX1","608,263.0","619,993.0","647,853.0","674,127.0","697,967.0","727,266.0","753,148.0","764,047.0","770,921.0","804,483.0","832,710.0","861,189.0","879,790.0","904,658.0","933,452.0","961,054.0","987,221.0","1,019,397.0","1,061,611.0","1,117,974.0","1,162,203.0","1,199,653.0","1,225,988.0","1,260,056.0","1,322,845.0","1,365,374.0","1,406,390.0","1,434,766.0","1,478,333.0","1,528,409.0","1,571,782.0","1,633,509.0","1,670,669.0","1,697,746.0","1,731,976.0","1,775,277.0","1,829,216.0","1,855,151.0","1,857,156.0","1,909,769.0","1,913,615.0","1,930,470.0","1,945,531.0","1,956,287.0","1,985,640.0","2,011,825.0"
"24","6","  Households","B701RX1","352,995.0","361,705.0","379,553.0","395,887.0","409,773.0","428,760.0","441,597.0","448,336.0","449,113.0","475,092.0","490,416.0","507,597.0","515,054.0","520,419.0","532,756.0","548,602.0","570,164.0","582,895.0","601,629.0","626,306.0","644,814.0","657,569.0","669,298.0","687,196.0","718,611.0","752,866.0","779,236.0","795,390.0","817,312.0","839,011.0","873,183.0","912,827.0","943,505.0","951,284.0","976,904.0","1,015,453.0","1,066,392.0","1,092,611.0","1,084,728.0","1,115,657.0","1,110,087.0","1,115,450.0","1,121,267.0","1,118,174.0","1,136,377.0","1,155,551.0"
"25","7","  Nonprofit institutions serving households \3\","B702RX1","254,736.0","257,081.0","266,571.0","276,199.0","286,107.0","296,008.0","309,333.0","313,410.0","319,973.0","326,560.0","339,539.0","350,692.0","362,220.0","383,057.0","400,197.0","411,924.0","415,672.0","435,846.0","460,034.0","492,663.0","519,248.0","545,114.0","560,144.0","576,488.0","608,351.0","615,528.0","629,858.0","642,086.0","664,083.0","693,349.0","701,367.0","722,972.0","728,461.0","748,541.0","756,649.0","760,629.0","762,913.0","762,388.0","772,409.0","794,091.0","803,528.0","815,005.0","824,217.0","837,920.0","849,088.0","856,157.0"
