"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Gross domestic product","A191RC1","1,019,878.0","1,075,884.0","1,167,770.0","1,282,449.0","1,428,549.0","1,548,825.0","1,688,923.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,956.0","3,344,991.0","3,638,137.0","4,040,693.0","4,346,734.0","4,590,155.0","4,870,217.0","5,252,629.0","5,657,693.0","5,979,589.0","6,174,043.0","6,539,299.0","6,878,718.0","7,308,755.0","7,664,060.0","8,100,201.0","8,608,515.0","9,089,168.0","9,660,624.0","10,284,779.0","10,621,824.0","10,977,514.0","11,510,670.0","12,274,928.0","13,093,726.0","13,855,888.0","14,477,635.0","14,718,582.0","14,418,739.0","14,964,372.0","15,517,926.0","16,163,158.0","16,768,053.0","17,418,928.0"
"20","2","       Final sales of domestic product","A190RC1","1,010,705.0","1,073,883.0","1,159,514.0","1,273,342.0","1,412,671.0","1,534,835.0","1,695,179.0","1,860,471.0","2,063,627.0","2,330,780.0","2,614,159.0","2,868,836.0","3,181,147.0","3,359,905.0","3,643,888.0","3,975,288.0","4,324,910.0","4,583,584.0","4,843,068.0","5,234,147.0","5,630,000.0","5,965,042.0","6,174,437.0","6,522,971.0","6,857,904.0","7,244,971.0","7,632,887.0","8,069,401.0","8,537,575.0","9,025,449.0","9,599,808.0","10,230,234.0","10,660,107.0","10,959,013.0","11,491,384.0","12,211,068.0","13,034,147.0","13,788,916.0","14,443,183.0","14,750,578.0","14,566,309.0","14,902,844.0","15,476,163.0","16,098,295.0","16,693,992.0","17,336,886.0"
"21","3","       Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","41,763.0","64,863.0","74,061.0","82,042.0"
"22","4","Goods","A353RC1","429,687.0","441,076.0","466,306.0","508,662.0","587,213.0","632,062.0","675,782.0","760,587.0","834,237.0","939,658.0","1,051,982.0","1,120,077.0","1,266,801.0","1,259,575.0","1,346,876.0","1,536,395.0","1,600,666.0","1,649,473.0","1,740,204.0","1,880,672.0","2,038,344.0","2,121,116.0","2,149,293.0","2,241,646.0","2,337,059.0","2,509,695.0","2,615,925.0","2,770,323.0","2,970,999.0","3,099,843.0","3,285,695.0","3,437,031.0","3,393,921.0","3,426,558.0","3,520,945.0","3,710,025.0","3,889,383.0","4,107,289.0","4,291,922.0","4,215,320.0","4,057,354.0","4,397,301.0","4,636,101.0","4,897,188.0","5,114,764.0","5,304,005.0"
"23","5","    Final sales","A325RC1","420,514.0","439,075.0","458,050.0","499,555.0","571,335.0","618,072.0","682,038.0","743,471.0","811,913.0","913,867.0","1,033,998.0","1,126,408.0","1,236,992.0","1,274,489.0","1,352,627.0","1,470,990.0","1,578,842.0","1,642,902.0","1,713,055.0","1,862,190.0","2,010,651.0","2,106,569.0","2,149,687.0","2,225,318.0","2,316,245.0","2,445,911.0","2,584,752.0","2,739,523.0","2,900,059.0","3,036,124.0","3,224,879.0","3,382,486.0","3,432,204.0","3,408,057.0","3,501,659.0","3,646,165.0","3,829,804.0","4,040,317.0","4,257,470.0","4,247,316.0","4,204,924.0","4,335,773.0","4,594,338.0","4,832,325.0","5,040,703.0","5,221,963.0"
"24","6","    Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","41,763.0","64,863.0","74,061.0","82,042.0"
"25","7","  Durable goods","A354RC1","213,523.0","210,447.0","222,913.0","251,037.0","295,795.0","315,997.0","331,505.0","393,827.0","442,419.0","507,856.0","569,918.0","592,520.0","658,612.0","643,507.0","711,400.0","838,676.0","877,501.0","911,955.0","973,699.0","1,059,884.0","1,143,468.0","1,175,613.0","1,156,456.0","1,214,286.0","1,299,048.0","1,400,400.0","1,491,364.0","1,588,861.0","1,734,475.0","1,838,873.0","1,963,425.0","2,082,460.0","2,004,508.0","2,017,728.0","2,062,566.0","2,170,454.0","2,315,542.0","2,429,178.0","2,540,159.0","2,465,875.0","2,215,843.0","2,447,418.0","2,600,086.0","2,735,734.0","2,826,344.0","2,923,273.0"
"26","8","    Final sales","A326RC1","207,558.0","210,676.0","220,000.0","244,678.0","282,780.0","305,132.0","338,976.0","383,025.0","432,939.0","489,641.0","557,105.0","594,866.0","651,288.0","659,541.0","708,945.0","797,243.0","873,110.0","913,818.0","950,752.0","1,037,141.0","1,123,437.0","1,167,915.0","1,170,063.0","1,217,241.0","1,281,936.0","1,364,695.0","1,457,809.0","1,569,784.0","1,694,482.0","1,799,568.0","1,926,024.0","2,046,882.0","2,048,957.0","1,999,574.0","2,047,898.0","2,132,084.0","2,273,636.0","2,394,562.0","2,524,553.0","2,490,751.0","2,332,843.0","2,408,381.0","2,556,366.0","2,673,679.0","2,775,015.0","2,871,400.0"
"27","9","    Change in private inventories \1\","A355RC1","5,965.0","-229.0","2,913.0","6,359.0","13,015.0","10,865.0","-7,471.0","10,802.0","9,480.0","18,215.0","12,813.0","-2,346.0","7,324.0","-16,034.0","2,455.0","41,433.0","4,391.0","-1,863.0","22,947.0","22,743.0","20,031.0","7,698.0","-13,607.0","-2,955.0","17,112.0","35,705.0","33,555.0","19,077.0","39,993.0","39,305.0","37,401.0","35,578.0","-44,449.0","18,154.0","14,668.0","38,370.0","41,906.0","34,616.0","15,606.0","-24,876.0","-117,000.0","39,037.0","43,720.0","62,055.0","51,329.0","51,873.0"
"28","10","  Nondurable goods","A356RC1","216,164.0","230,629.0","243,393.0","257,625.0","291,418.0","316,065.0","344,277.0","366,760.0","391,818.0","431,802.0","482,064.0","527,557.0","608,189.0","616,068.0","635,476.0","697,719.0","723,165.0","737,518.0","766,505.0","820,788.0","894,876.0","945,502.0","992,837.0","1,027,360.0","1,038,011.0","1,109,295.0","1,124,561.0","1,181,462.0","1,236,524.0","1,260,970.0","1,322,270.0","1,354,571.0","1,389,412.0","1,408,831.0","1,458,379.0","1,539,570.0","1,573,841.0","1,678,111.0","1,751,762.0","1,749,446.0","1,841,512.0","1,949,884.0","2,036,014.0","2,161,454.0","2,288,420.0","2,380,732.0"
"29","11","    Final sales","A334RC1","212,956.0","228,399.0","238,050.0","254,877.0","288,555.0","312,940.0","343,062.0","360,446.0","378,974.0","424,226.0","476,893.0","531,542.0","585,704.0","614,948.0","643,682.0","673,747.0","705,732.0","729,084.0","762,303.0","825,049.0","887,214.0","938,654.0","979,624.0","1,008,077.0","1,034,309.0","1,081,216.0","1,126,943.0","1,169,739.0","1,205,577.0","1,236,556.0","1,298,855.0","1,335,604.0","1,383,247.0","1,408,483.0","1,453,761.0","1,514,081.0","1,556,168.0","1,645,755.0","1,732,917.0","1,756,565.0","1,872,081.0","1,927,392.0","2,037,972.0","2,158,646.0","2,265,688.0","2,350,563.0"
"30","12","    Change in private inventories \1\","A357RC1","3,208.0","2,230.0","5,343.0","2,748.0","2,863.0","3,125.0","1,215.0","6,314.0","12,844.0","7,576.0","5,171.0","-3,985.0","22,485.0","1,120.0","-8,206.0","23,972.0","17,433.0","8,434.0","4,202.0","-4,261.0","7,662.0","6,848.0","13,213.0","19,283.0","3,702.0","28,079.0","-2,382.0","11,723.0","30,947.0","24,414.0","23,415.0","18,967.0","6,165.0","348.0","4,618.0","25,489.0","17,673.0","32,356.0","18,845.0","-7,119.0","-30,569.0","22,492.0","-1,958.0","2,808.0","22,732.0","30,169.0"
"31","13","Services \2\","A341RC1","480,170.0","523,064.0","570,671.0","624,145.0","675,413.0","747,622.0","842,448.0","921,568.0","1,020,018.0","1,136,562.0","1,259,971.0","1,414,805.0","1,585,617.0","1,735,710.0","1,914,305.0","2,068,749.0","2,275,414.0","2,445,856.0","2,616,317.0","2,840,031.0","3,073,799.0","3,309,274.0","3,508,758.0","3,756,517.0","3,962,694.0","4,169,987.0","4,388,375.0","4,609,184.0","4,862,380.0","5,141,903.0","5,460,681.0","5,862,139.0","6,187,176.0","6,496,547.0","6,850,682.0","7,286,714.0","7,765,485.0","8,237,182.0","8,717,461.0","9,134,019.0","9,220,326.0","9,519,153.0","9,821,574.0","10,101,576.0","10,412,019.0","10,779,819.0"
"32","14","Structures","A755RC1","110,022.0","111,744.0","130,793.0","149,641.0","165,922.0","169,141.0","170,693.0","195,432.0","231,697.0","280,351.0","320,189.0","327,623.0","358,538.0","349,706.0","376,956.0","435,550.0","470,654.0","494,826.0","513,696.0","531,927.0","545,550.0","549,198.0","515,991.0","541,136.0","578,965.0","629,074.0","659,760.0","720,694.0","775,138.0","847,423.0","914,247.0","985,609.0","1,040,727.0","1,054,408.0","1,139,043.0","1,278,190.0","1,438,857.0","1,511,416.0","1,468,251.0","1,369,243.0","1,141,059.0","1,047,917.0","1,060,251.0","1,164,394.0","1,241,269.0","1,335,104.0"
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","15","  Motor vehicle output","A953RC1","44,679.0","37,189.0","49,781.0","54,982.0","63,588.0","58,678.0","57,332.0","78,806.0","96,397.0","106,527.0","106,173.0","87,084.0","100,434.0","96,561.0","128,776.0","160,813.0","182,291.0","187,347.0","188,886.0","200,946.0","210,403.0","194,956.0","180,659.0","205,572.0","232,608.0","272,804.0","279,838.0","291,636.0","319,237.0","340,783.0","374,926.0","368,984.0","349,101.0","386,849.0","381,262.0","396,770.0","415,546.0","408,263.0","405,969.0","320,418.0","246,823.0","334,269.0","378,187.0","434,519.0","461,307.0","501,068.0"
"35","16","  Gross domestic product excluding motor vehicle output","A962RC1","975,199.0","1,038,695.0","1,117,989.0","1,227,467.0","1,364,961.0","1,490,147.0","1,631,591.0","1,798,781.0","1,989,554.0","2,250,044.0","2,525,970.0","2,775,421.0","3,110,522.0","3,248,430.0","3,509,361.0","3,879,880.0","4,164,443.0","4,402,808.0","4,681,331.0","5,051,683.0","5,447,290.0","5,784,633.0","5,993,384.0","6,333,727.0","6,646,110.0","7,035,951.0","7,384,222.0","7,808,565.0","8,289,278.0","8,748,385.0","9,285,698.0","9,915,795.0","10,272,723.0","10,590,665.0","11,129,408.0","11,878,158.0","12,678,180.0","13,447,625.0","14,071,666.0","14,398,164.0","14,171,916.0","14,630,103.0","15,139,739.0","15,728,639.0","16,306,746.0","16,917,860.0"
"36","17","  Final sales of computers \3\","BB01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,753.0","15,726.0","20,171.0","25,725.0","28,228.0","33,789.0","42,689.0","45,479.0","45,626.0","48,539.0","53,989.0","56,397.0","52,348.0","52,601.0","55,253.0","56,331.0","60,373.0","74,882.0","84,759.0","94,116.0","96,737.0","101,816.0","109,862.0","98,818.0","83,141.0","83,079.0","80,417.0","79,113.0","83,120.0","82,155.0","81,089.0","72,488.0","63,197.0","63,210.0","66,020.0","67,906.0","68,876.0"
"37","18","  Gross domestic product excluding final sales of computers","BB00RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,344,818.0","2,616,417.0","2,842,334.0","3,185,231.0","3,316,763.0","3,604,348.0","3,998,004.0","4,301,255.0","4,544,529.0","4,821,678.0","5,198,640.0","5,601,296.0","5,927,241.0","6,121,442.0","6,484,046.0","6,822,387.0","7,248,382.0","7,589,178.0","8,015,442.0","8,514,399.0","8,992,431.0","9,558,808.0","10,174,917.0","10,523,006.0","10,894,373.0","11,427,591.0","12,194,511.0","13,014,613.0","13,772,768.0","14,395,480.0","14,637,493.0","14,346,251.0","14,901,175.0","15,454,716.0","16,097,138.0","16,700,147.0","17,350,052.0"
"38","19","  Research and development","Y694RC1","28,164.0","28,309.0","29,141.0","31,262.0","33,780.0","36,415.0","38,979.0","43,145.0","47,525.0","53,453.0","60,897.0","69,836.0","79,937.0","88,980.0","98,442.0","111,449.0","125,070.0","132,003.0","140,165.0","148,203.0","155,913.0","164,227.0","170,035.0","171,857.0","172,042.0","174,978.0","187,506.0","199,836.0","212,039.0","222,374.0","237,191.0","255,574.0","263,179.0","265,664.0","277,579.0","291,227.0","313,147.0","334,611.0","359,955.0","380,460.0","374,809.0","392,080.0","404,082.0","415,289.0","423,989.0","442,879.0"
"39","20","  Gross domestic product excluding research and development","Y695RC1","991,714.0","1,047,575.0","1,138,629.0","1,251,187.0","1,394,769.0","1,512,410.0","1,649,944.0","1,834,442.0","2,038,426.0","2,303,118.0","2,571,246.0","2,792,669.0","3,131,019.0","3,256,011.0","3,539,695.0","3,929,244.0","4,221,664.0","4,458,152.0","4,730,052.0","5,104,426.0","5,501,780.0","5,815,362.0","6,004,008.0","6,367,442.0","6,706,676.0","7,133,777.0","7,476,554.0","7,900,365.0","8,396,476.0","8,866,794.0","9,423,433.0","10,029,205.0","10,358,645.0","10,711,850.0","11,233,091.0","11,983,701.0","12,780,579.0","13,521,277.0","14,117,680.0","14,338,122.0","14,043,930.0","14,572,292.0","15,113,844.0","15,747,869.0","16,344,064.0","16,976,049.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
