"","Table 5#6#6BM# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126"
"11","3","E Manufacturing industries","KC300",19296,15372,9780,34668,22452,12492,17832,28788,18048,34020,5292,30876,28320,41328,31176,20184,18876,19104,11712,12900,9048,25404,20472,-14880,-15552,17112,39612,2796,27288,-5748,25236,-1596,24168,9336,40524,40248,-13632,14988,-9516,27048,-4476,37584,11940,5268,-6492,19164,20844,-8136,29148,-12516,-42096,-4392,-25584,-41448,-24576,-27360,-34044,-13632,-27576,-31812,-20316,-16848,-7332,-10092,-17484,-6696,1944,2580,5664,-4056,-14916,17172,-21552,43380,-28452,-2748,-13404,-28668,-23940,-5496,-20664,5124,-15576,-1080,-14628,6012,2616,-7116,3156,15420,9876,3864,-30936,5328,17700,-16344,45012,2784,-1836,-14172,-17424,-7836,16992,-26412,-27048,5880,-13032,8616,30420,-32232,24504,22356,1104,9684,7548,3504,19392,10788,4116,10200,1332,-3300,-9936
"12","4","E   Durable goods industries","KC30D0",14664,15792,-408,25836,15276,8124,22104,16116,7044,19380,-4032,23532,28464,32748,26376,22332,17640,18564,5112,19704,13224,22068,7512,1320,-22908,17832,31080,-7368,13368,-6168,20844,-7896,14724,-2556,24504,27132,-18504,11184,-8472,21696,-5880,28716,4512,13572,-8040,20232,24336,3732,28392,-2208,-39276,-648,-19608,-28476,-22896,-23028,-34848,-12612,-26124,-37116,-14880,-10716,-27108,-10368,-12276,-11868,-6012,-2940,-3360,-2376,-8100,28140,-21024,27852,-19716,-6300,-8460,-32544,-18384,-9684,-13500,14256,-14892,25128,-11256,-2964,1260,-2856,-3156,9564,7008,2256,-12264,3444,11688,-4860,25788,7692,-180,-6228,4836,-16248,22308,-11760,-8712,1452,5124,-10392,6576,-23160,16248,18000,-948,-12,10632,-3096,20580,16200,5556,19776,12744,-1044,-7716
"13","5","E   Nondurable goods industries","KC30N0",4464,-852,10632,8532,7104,4356,-4968,12780,11280,14736,9780,7080,-756,8160,4392,-2748,888,144,6756,-7500,-4596,2988,13260,-16800,8148,-1164,8124,10704,14112,552,4092,6648,9444,12192,15996,13020,5088,3696,-1056,5232,1380,8808,7380,-8340,1476,-1044,-3384,-11736,1044,-10128,-3180,-3672,-6072,-13032,-1860,-4428,648,-1068,-1440,5580,-5484,-6240,20184,264,-5292,5172,7896,5412,8892,-1812,-6924,-10704,-816,15564,-8892,3288,-5004,3168,-5736,3876,-7224,-8640,-996,-24792,-3528,8628,1332,-4200,6060,5856,2928,1596,-18312,1872,6060,-11148,19116,-4476,-1572,-7728,-20796,7296,-4008,-14148,-17352,4152,-16404,16896,22284,-9516,8436,4908,1860,8964,-2352,6000,-228,-4440,-1104,-8076,-10140,-2160,-2388
"14","6","E Wholesale trade industries","KCWT0",44796,8460,13656,15972,22284,59952,-720,19584,28596,23568,30264,34284,13068,45324,28140,180,29004,1356,11772,43752,35208,21360,29520,11784,7368,33180,19356,7332,9936,10140,34524,19176,18288,33396,36444,7380,29532,14148,14664,28092,12948,33336,17040,20292,6384,22944,20076,-8184,4236,-456,-1068,16920,15504,-24072,-32244,-2340,-19968,-24936,-36888,-23412,-16296,-37140,7104,-16248,5484,10776,28584,264,8508,-14268,2808,36228,-12624,7584,-636,7812,-19896,-6600,876,-3756,8940,21060,-2172,9552,-9864,32568,1092,-19632,37524,27120,49644,37116,4164,28272,39324,-8976,49752,15228,1140,30852,1716,19584,3924,12420,14220,6432,11172,22152,7068,35088,2760,30672,13752,13560,13440,46896,40716,22044,31668,-28092,11964,9888,2076
"15",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","E     Durable goods industries","KCWTD0",23952,9456,12444,18012,20700,42744,-11892,8256,25152,6360,10932,29340,18036,30780,24756,4260,15024,-5616,6552,32568,21696,21228,11004,19716,6780,19116,13188,-3732,19536,14292,13440,5028,16164,20076,28680,7620,12804,14772,10488,26256,11628,31356,8208,13152,-3732,14424,12588,-8448,17280,-6012,-10968,-4524,-7272,-39684,-23496,-16704,-23592,-7200,-46428,-26556,-22188,-26328,-660,-6156,-840,-324,19860,10392,6924,-5256,8292,11280,-6672,18000,-1644,6528,-14460,-7404,-10464,-6840,-1956,7392,2316,30696,7596,19128,9312,-3744,28344,22812,25020,37344,15972,13584,20952,-72,30312,15612,1032,13464,7956,17928,13860,7116,1380,29412,18360,5616,12264,11952,-5076,30252,8736,7056,13884,25188,44148,10308,13512,-8892,20700,6492,5028
"17","8","E     Nondurable goods industries","KCWTN0",21228,-1440,804,-2880,840,16584,12408,11700,2652,18024,20076,4164,-5928,14280,2700,-4452,14256,7584,5292,10668,13524,-636,19152,-9000,432,14184,6084,11640,-10536,-4692,21552,14508,1860,13368,7512,-348,16896,-768,4152,1800,1308,1968,8856,7140,10140,8556,7512,216,-12516,5460,9624,21012,22320,14928,-8772,14016,3408,-17532,9192,3024,5700,-10920,7608,-10056,6180,10896,8748,-9744,1632,-8880,-5160,24324,-5928,-9456,876,1392,-5628,528,10560,2760,10344,13200,-4272,-19056,-16272,13392,-7476,-15204,9684,4860,24276,960,-10788,14424,18144,-8544,19440,72,96,16836,-5616,2232,-8616,5232,11904,-19632,-5700,15432,-4164,21936,6960,1968,5100,6360,384,21252,-864,11328,17388,-18096,-6756,3480,-2340
"18",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","E     Merchant wholesale industries","KC42W0",33312,5520,17280,7368,17976,60516,-540,17652,29076,17748,28836,32628,12540,40776,24036,576,28284,1728,12180,41556,31500,15192,21324,14412,8304,30960,14124,3204,7836,6888,35532,9840,19308,30972,37440,6132,26112,12468,15936,22584,17916,25500,10824,16020,6852,16104,18240,-7752,-2520,336,3912,13728,19224,-22848,-25416,-912,-10692,-21192,-31392,-22980,-5424,-33660,1644,-15492,5844,14676,22536,3684,4596,-15504,5580,33672,-7488,6876,6480,6492,-18372,-9012,-240,-8628,15048,20424,36,4104,-13788,36156,1788,-16032,27972,24168,54888,31848,-24,33888,35076,-5184,39048,14544,-1764,27720,5448,18960,696,12984,21924,4584,11340,28992,-3888,32664,9084,33420,14256,12384,13380,39408,35172,18228,28632,-35904,11616,7752,-3732
"20","10","E       Durable goods industries","KC42WD0",13716,5904,17640,10164,16968,45432,-12240,8292,26280,1764,12096,28080,15132,27144,22452,5784,14712,-5400,7020,30708,17628,17304,4308,21084,8172,15516,10032,-8376,18552,11256,16368,-1404,17628,19128,30300,6444,9840,14256,11376,21444,17088,25284,2916,8364,-1968,7884,10524,-6912,11136,-5904,-5832,-6504,-4032,-39564,-18744,-15096,-15828,-3744,-42072,-25284,-12684,-25200,-5040,-6696,-2328,4464,15372,13044,4572,-5448,7884,12312,-6888,19104,5196,6852,-13788,-8244,-12060,-9756,3840,6144,3048,25188,2784,22356,9540,-1572,29076,19716,29340,33528,8352,18768,19776,444,27408,12180,-3180,12144,7500,21660,12000,2100,7728,28788,13368,13656,4116,12204,4380,33168,10656,6264,13488,18228,37560,7776,8304,-14820,13896,2616,-2448
"21","11","E       Nondurable goods industries","KC42WN0",20220,-612,-960,-3276,540,14400,12744,9600,2076,16716,17184,3948,-3132,13512,1080,-5556,13776,7572,5208,10512,14028,-2676,17628,-7416,-36,15660,4020,12072,-11388,-4704,19416,11556,1452,11856,6912,-408,16464,-1944,4548,1116,828,204,7932,7668,8832,8220,7728,-888,-13212,6132,9528,19752,22776,15960,-6708,13800,4908,-17160,10176,2076,6984,-8628,6480,-8748,7956,10032,7164,-8880,96,-9840,-2100,20832,-768,-11208,1344,-156,-4800,-972,10980,792,10788,13740,-2820,-19176,-15612,13800,-7056,-13836,-96,4812,25284,-756,-7860,14976,15156,-5460,11832,2556,1236,15180,-1788,-1896,-10260,10308,13620,-21648,-1416,14904,-7356,19680,4584,1524,3792,6000,444,20580,-804,10080,19332,-20304,-1464,4896,-1296
"22","12","E     Nonmerchant wholesale industries","KC42N0",11616,3012,-3756,8856,4368,-900,-168,1896,-648,5928,1344,1524,456,4452,4104,-408,504,-384,-540,1968,3636,6360,8424,-2892,-1056,2040,5388,4272,2124,3312,-1248,9540,-1152,2364,-1164,1260,3408,1692,-1296,5532,-5016,7872,6228,4260,-444,6828,1836,-432,6732,-780,-4992,3180,-3744,-1236,-6840,-1452,-9360,-3768,-5520,-348,-11172,-3396,5616,-732,-396,-4032,6108,-3504,3984,1272,-2808,2508,-5184,684,-7032,1296,-1536,2436,1104,4896,-6156,600,-2220,5484,3912,-3624,-720,-3612,9516,2940,-5040,5292,4104,-5280,4248,-3708,10512,684,2724,3144,-3552,708,2940,-480,-6876,1716,-48,-5928,10020,2640,-5712,-2088,-228,1248,264,7320,5520,3720,3084,6936,420,2076,5412
"23","13","E       Durable goods industries","KC42ND0",10104,3516,-5076,7764,3732,-2568,324,12,-1080,4548,-1116,1272,2904,3636,2316,-1500,300,-204,-456,1860,4068,3912,6672,-1344,-1392,3600,3156,4620,996,3036,-2904,6432,-1476,948,-1608,1176,2976,504,-888,4812,-5460,6072,5292,4800,-1776,6540,2076,-1548,6144,-96,-5148,1992,-3252,-108,-4752,-1596,-7788,-3480,-4344,-1260,-9516,-1140,4404,540,1512,-4812,4488,-2664,2364,204,396,-1044,204,-1104,-6900,-336,-660,852,1620,2952,-5844,1248,-744,5508,4860,-3288,-240,-2220,-780,3108,-4428,3792,7704,-5292,1140,-504,2892,3432,4284,1308,444,-3816,1848,5088,-6456,564,5028,-8184,8256,-276,-9612,-3048,-1980,780,384,7020,6624,2556,5280,6084,6876,3960,7620
"24","14","E       Nondurable goods industries","KC42NN0",828,-876,1896,492,336,2136,-588,2136,600,1128,2868,168,-3048,552,1800,1404,192,-180,-36,-84,-900,2364,1320,-1608,540,-2088,2244,-732,1188,120,2028,3000,432,1464,588,60,384,1200,-408,684,504,1764,924,-516,1308,348,-180,1056,660,-672,72,1200,-540,-1104,-2112,144,-1584,-276,-1128,972,-1464,-2340,1140,-1296,-1908,816,1608,-828,1608,1056,-3120,3456,-5136,1704,-420,1524,-840,1548,-456,1968,-480,-576,-1464,192,-684,-468,-456,-1416,9588,0,-828,1596,-2844,-348,2868,-2916,7092,-2256,-1032,1752,-3480,3612,1152,-4140,-1128,1020,-3588,840,2484,2400,2124,420,1164,492,-60,1200,-72,1308,-1272,1464,-4644,-1104,-924
"25","15","E Retail trade industries","KC440",-7572,28128,-26256,46404,17676,348,34008,-9804,32760,22872,22164,15012,26460,38052,53556,48012,-16824,2088,16248,-4392,18648,2244,21888,1596,45960,18996,36912,13260,5568,19152,15936,10416,23532,39348,42624,60192,-11040,9084,26460,26208,47472,35424,27456,35640,6156,33960,18924,3648,-7620,-35616,-8052,16140,9876,-8352,1116,18576,-3744,-109368,-55572,52752,38688,16080,8268,10272,42576,32664,15192,-11340,52176,18300,53316,15144,20820,23820,25992,16764,-5604,17484,26136,-29568,61644,10920,29244,-7356,15288,23964,38112,55296,14640,22020,636,28644,-7584,36984,25800,9180,6624,38676,252,-33096,6228,-7152,-91596,14868,49020,51528,24228,3420,2052,-5016,41328,-36696,39504,20640,10392,5280,-9144,-46800,-21876,57840,-42084,21612,-31344
"26","16","E   Motor vehicle dealers","KC4410",-7344,8064,-12516,23760,-1896,-8496,20244,948,492,21540,17664,-1524,8628,15444,21276,33876,672,-35448,-5244,-15780,9684,2856,4056,-12804,27264,14340,22212,-2616,72,3816,11592,-552,12084,25692,17448,25368,4608,-5880,13908,27720,18504,26832,26580,11856,9540,11856,2304,-180,-14496,-35100,-13656,16008,11892,624,16440,-3156,7620,-117408,-33108,58404,32964,18816,13944,8184,24756,27252,-5160,-10416,27684,33408,48984,636,26424,12144,18396,17880,12780,16476,8784,-18408,34380,168,23208,-408,22116,11436,16416,39180,864,9372,-3336,9768,-15504,22932,-1308,-21528,-14076,30360,-2424,-34032,-9300,-22260,-87780,-588,48420,62436,15804,-18792,-7788,-1068,25500,-31596,22404,12072,10488,-14568,-17472,-57864,-26100,43908,-40944,-3672,-11364
"27","17","E   Food and beverage stores","KC4450",-516,396,960,-1248,1164,204,552,4008,1128,-2064,1524,-1800,3408,324,3168,3552,-252,2640,2628,-1260,-1344,60,3180,-1152,3996,492,816,-1740,3132,1248,1872,2904,3660,1704,996,3060,-360,660,324,180,1572,-6852,-912,792,2328,-156,-2040,2628,2472,2028,132,1548,-672,1212,-240,324,-1476,3420,1260,-1272,-1680,-204,-1764,156,468,396,-1596,2340,3300,-6216,1992,4728,-1692,1296,828,-1620,-1860,-1788,2232,-888,2808,-6240,-3024,-1620,816,-1404,516,864,2076,720,984,168,936,-324,1104,-1572,1140,-888,-1656,120,576,996,-1608,1236,-4128,3216,1044,-408,828,1140,1020,600,1824,720,192,-192,504,-36,-324,-984,-1668,-312,360
"28","18","E   General merchandise stores","KC4520",-7392,3252,-4560,7536,924,1176,-1848,-4212,2400,-3564,792,7548,3852,792,1200,768,-9684,10332,4908,12,3144,-1260,-1860,-1716,-648,1344,5640,4284,-264,-1212,1656,4140,1476,-1836,12432,5352,3852,3036,-4776,-1020,2736,4296,-4296,1116,96,5904,-408,2232,4968,1128,12552,-4584,4812,720,-9576,10536,-6528,-972,-7824,-6804,-4536,132,-5940,-1560,7236,-4164,10404,444,1368,504,10248,504,-2208,-2508,2220,9888,-10080,24,3780,-8568,11304,8340,-5064,2928,3516,4308,5232,1080,504,7956,-1644,3276,2892,2988,12564,7332,5748,996,9708,60,2016,1704,-2232,9684,1776,-2256,1356,4284,-4488,-6504,-2988,-9984,7044,1428,6192,5844,2460,8868,2400,4308,5208,4692,-3372
"29","19","E   Other retail stores","KC44Y0",7284,16212,-10068,16272,17196,7272,14964,-10260,28284,7032,2412,10584,10584,21348,27864,10128,-7488,23964,13824,12456,7140,564,16524,17268,15384,2856,8268,13272,2652,15312,828,3912,6300,13776,11700,26400,-19140,11220,17028,-612,24660,11148,6072,21852,-5832,16356,19128,-1068,-492,-3588,-7116,3156,-6240,-10992,-5496,10884,-3312,5388,-16104,2664,12216,-2556,2268,3564,10284,9468,11496,-3948,20064,-8652,-7140,9096,-960,13104,4932,-8904,-5844,3336,11388,-1968,13836,9000,15348,-8016,-10104,10056,16344,15744,10872,4176,4320,15552,3168,12276,12912,23520,12660,9516,-5376,-1152,12000,10776,-4548,4140,5712,-8076,6768,16536,12468,1260,18804,1992,9252,6924,-5484,12480,3708,-2580,-36,13680,-7764,19608,-17244
"30","20","E Other industries","KCOTH0",8640,8628,8616,4608,4584,4596,3072,3072,3072,5364,5352,5364,3012,2976,2988,5268,5256,5268,5616,5628,5616,9600,9588,9600,7836,7824,7836,9468,9408,9408,7236,7188,7200,4932,4908,4908,12912,12852,12840,14208,14196,14184,17496,17496,17484,5028,5028,5028,2220,2196,2196,-552,-552,-564,-240,-264,-264,-756,-756,-756,-3036,-3024,-3024,1488,1500,1488,-1560,-1572,-1572,-2316,-2340,-2340,-1152,-1188,-1188,4044,3972,3984,1044,1068,1056,1380,1380,1392,7284,7248,7260,6060,6012,6012,8664,8628,8628,7620,7572,7584,444,456,444,-48,-72,-60,-1548,-1656,-1644,816,792,804,5196,5184,5196,7524,7404,7416,5088,5076,5076,3516,3504,3492,3180,3156,3156
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","E=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.6B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
