"","Table 3#4U# Personal Current Tax Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Millions of dollars]; Quarters seasonally adjusted at annual rates                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1988 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 29, 2007     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2007 11:12:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Personal current taxes \1\","W055RC0",501095,496855,505716,516262,551301,565085,569989,578205,580595,592669,598810,598934,578525,583730,587993,596392,586594,604926,613926,636930,617887,641154,655282,672081,670172,695614,693495,703399,721405,742914,747481,764448,796593,833949,838526,859368,895734,910387,935915,963276,991164,1018346,1037729,1060953,1071731,1090164,1115502,1152527,1207045,1231068,1247978,1256569,1296556,1312310,1110316,1229982,1063228,1050324,1050016,1043772,1022742,1023657,942616,1015353,1016049,1033449,1061626,1088200,1157895,1191808,1214971,1247634,1332606,1361046,1362465,1392263,1449376
"10","2","Federal","A074RC0",401684,399628,401576,408664,437916,446836,455480,465792,461260,470116,475088,474308,457328,459204,461892,466972,459124,468028,477228,496776,481436,502844,511716,526140,523280,553700,542344,551396,564572,590560,586836,601844,631308,668052,669180,685204,717952,733500,751840,774028,796108,816512,836280,854476,864092,879748,899524,928704,975440,987368,1011672,1021740,1047324,1045720,880996,1004148,843092,835192,825832,817992,804412,810440,708232,774744,775984,791408,810812,827472,891192,910864,940984,968364,1039164,1049936,1064704,1092032,1134600
"11","3","  Income taxes","B231RC0",401684,399628,401576,408664,437916,446836,455480,465792,461260,470116,475088,474308,457328,459204,461892,466972,459124,468028,477228,496776,481436,502844,511716,526140,523280,553700,542344,551396,564572,590560,586836,601844,631308,668052,669180,685204,717952,733500,751840,774028,796108,816512,836280,854476,864092,879748,899524,928704,975440,987368,1011672,1021740,1047324,1045720,880996,1004148,843092,835192,825832,817992,804412,810440,708232,774744,775984,791408,810812,827472,891192,910864,940984,968364,1039164,1049936,1064704,1092032,1134600
"12","4","    Withheld","PTN0180",344128,343836,346036,352272,360952,367820,374812,383556,388768,396852,401576,401188,397992,399656,401300,404492,396348,402772,409652,427228,412720,432152,440036,454236,449608,464284,470340,480036,486484,495364,506364,518136,527380,543044,556580,568888,577564,588316,600512,615608,626544,640620,656392,672924,693784,707780,723480,746224,768176,773388,791864,797940,814400,814384,794984,787468,736408,736856,734196,731896,734040,743144,703708,716904,727616,741544,757760,770476,773316,784628,805828,822924,854420,855800,863088,883400,908320
"13","5","    Declarations and settlements","PTN1000",129884,128120,127868,128720,147164,149216,150868,152436,145948,146720,146968,146576,139512,139724,140768,142656,142564,145044,147364,149336,144300,146276,147264,147488,150784,166528,149116,148472,164020,181128,166404,169640,193268,214348,201940,205656,234180,238980,245124,252212,269584,275912,279908,281572,295488,297148,301224,307660,341368,348084,353912,357904,381772,380184,234860,365528,288216,279868,273168,267628,249260,246184,183412,236728,235272,236768,239956,243900,298304,306664,315584,325868,372244,381636,389116,396132,430192
"14","6","    Less: Refunds","PTN2000",72328,72328,72328,72328,70200,70200,70200,70200,73456,73456,73456,73456,80176,80176,80176,80176,79788,79788,79788,79788,75584,75584,75584,75584,77112,77112,77112,77112,85932,85932,85932,85932,89340,89340,89340,89340,93796,93796,93796,93796,100020,100020,100020,100020,125180,125180,125180,125180,134104,134104,134104,134104,148848,148848,148848,148848,181532,181532,181532,181532,178888,178888,178888,178888,186904,186904,186904,186904,180428,180428,180428,180428,187500,187500,187500,187500,203912
"15","7","  Other taxes","B035RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
