"","Table 5#7#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 06, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/5/2013 2:51:05 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Nonfarm industries","CNF0",67669,62453,63546,55943,-38321,20998,19219,55052,59354,70549,35158,-33603,-145968,68852,42787,77835
"9","2","Mining, utilities, and construction","CCMU0",1519,5392,-1272,-2197,8194,-2895,6011,1239,3582,16242,-3412,-7731,-2583,1393,-4248,7701
"10","3","Manufacturing industries","C300",21068,15423,13887,6881,-23506,-221,-7110,5561,20725,18436,17243,-15040,-26260,23405,23969,11051
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","C30D0",14146,16018,6318,6219,-19514,-2769,-4636,3868,16505,12412,12486,-5685,-24059,17348,21970,14182
"13","5","      Wood product manufacturing","C3210",363,491,633,169,-497,418,-115,729,769,-53,-684,-1606,-1963,527,303,229
"14","6","      Nonmetallic mineral product manufacturing","C3270",180,-40,239,137,-509,248,-133,298,99,546,380,-553,-1996,-31,300,-95
"15","7","      Primary metal manufacturing","C3310",456,1387,275,-575,-2102,161,-1743,2613,1564,1443,189,-1643,-6594,2088,3491,825
"16","8","      Fabricated metal product manufacturing","C3320",1310,869,718,789,-1199,304,-618,-86,2306,1749,822,-704,-4433,546,2854,898
"17","9","      Machinery manufacturing","C3330",1453,1127,86,2556,-4379,2,-1813,-54,2611,2791,763,90,-4712,2273,5519,4098
"18","10","      Computer and electronic product manufacturing","C3340",8152,489,3963,10663,-7629,-3306,1773,2216,3106,372,1266,3765,-338,1377,2775,398
"19","11","      Electrical equipment, appliance, and component manufacturing","C3350",488,401,-28,816,-969,-177,-416,-304,12,765,770,-147,-1920,140,623,569
"20","12","      Transportation equipment manufacturing","C3360",1360,10767,-549,-9584,-1700,-880,-2030,-1671,4284,3978,8805,-4804,-1204,9003,6337,7796
"21","13","        Motor vehicle and parts manufacturing","C336MV0",556,604,1518,-236,-2539,1164,598,101,733,609,-992,-3601,-2038,1768,1805,1020
"22","14","        Other transportation equipment manufacturing","C336OT0",804,10163,-2067,-9348,839,-2044,-2628,-1772,3551,3369,9797,-1202,834,7235,4532,6776
"23","15","      Furniture and related product manufacturing","C3370",140,103,324,270,-427,416,-381,264,333,26,-137,-714,-869,-40,-220,67
"24","16","      Miscellaneous durable goods manufacturing","C3390",244,424,657,978,-103,45,841,-136,1421,795,312,630,-30,1466,-13,-602
"25","17","    Nondurable goods industries","C30N0",6921,-595,7569,662,-3992,2549,-2474,1693,4220,6024,4757,-9355,-2201,6057,1999,-3132
"26","18","      Food manufacturing","C3110",819,-336,1328,488,-477,1077,-822,-975,1355,271,-653,186,1566,-511,-728,-947
"27","19","      Beverage and tobacco product manufacturing","C3120",700,-32,-182,-39,595,72,-204,-102,389,15,-348,-153,1199,-183,303,758
"28","20","      Textile mills","C3130",17,68,178,-459,-424,-216,-142,-58,-61,-144,-146,-380,-645,137,-64,-172
"29","21","      Textile product mills","C3140",291,-228,339,422,177,-927,123,-7,196,24,-89,-106,-583,313,-177,-17
"30","22","      Apparel manufacturing","C3150",456,-5,614,-312,-1680,69,22,-239,-132,-9,-179,-301,-415,-33,39,183
"31","23","      Leather and allied product manufacturing","C3160",45,9,4,-100,-159,-116,-51,-5,53,127,-37,-32,-78,54,83,100
"32","24","      Paper manufacturing","C3220",558,-510,910,-623,-85,1122,-681,92,-50,70,112,-702,-1153,-77,21,-503
"33","25","      Printing and related support activities","C3230",220,-584,625,-331,-300,417,-313,29,-28,113,474,-798,-527,48,-206,-76
"34","26","      Petroleum and coal product manufacturing","C3240",953,-454,108,-65,676,-518,-37,739,984,1178,4213,505,3638,-65,1138,-752
"35","27","      Chemical manufacturing","C3250",2318,927,2778,1690,-1656,1040,-165,1906,1283,3187,970,-5991,-3384,5412,1004,-1767
"36","28","      Plastics and rubber product manufacturing","C3260",545,550,867,-9,-658,528,-204,313,232,1191,441,-1583,-1818,962,587,61
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","C30M0",9909,3484,7522,5188,-9217,-1420,-4317,4390,6275,6226,1857,-3909,-12391,1521,7215,3489
"39","30","      Durable goods industries","C30DM0",7856,4091,4833,7252,-8117,-2100,-2818,4237,5159,5091,2622,-1143,-12097,1866,7885,4399
"40","31","      Nondurable goods industries","C30NM0",2053,-607,2689,-2065,-1100,679,-1499,153,1116,1135,-765,-2766,-294,-345,-669,-910
"41","32","    Work-in-process","C30W0",3221,6729,270,-4617,-8857,430,-632,-1956,7408,4047,13537,-3204,-3048,13454,10451,5001
"42","33","      Durable goods industries","C30DW0",1221,7342,-1048,-4792,-7820,-143,-668,-2330,6548,2156,9682,-1751,-2998,12984,9397,6606
"43","34","      Nondurable goods industries","C30NW0",2000,-613,1319,175,-1037,573,36,374,860,1892,3855,-1453,-50,470,1054,-1606
"44","35","    Finished goods","C30F0",7937,5210,6095,6311,-5433,769,-2160,3128,7043,8162,1849,-7927,-10821,8430,6303,2561
"45","36","      Durable goods industries","C30DF0",5069,4584,2533,3759,-3578,-527,-1150,1962,4798,5165,182,-2791,-8964,2498,4688,3177
"46","37","      Nondurable goods industries","C30NF0",2868,626,3561,2552,-1855,1296,-1011,1166,2244,2997,1667,-5136,-1857,5932,1615,-616
"47","38","Wholesale trade industries","CWT0",25330,21432,18911,18854,-12336,167,1318,20821,27712,22356,15257,18686,-61894,26090,21749,22386
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","CWTD0",17252,17021,14072,13524,-16663,-1497,2494,19283,20701,18121,3202,8941,-49578,10764,30182,22532
"50","40","    Nondurable goods industries","CWTN0",8078,4411,4838,5330,4327,1664,-1176,1538,7011,4235,12055,9744,-12316,15325,-8433,-146
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","C42W0",22654,19454,16309,14775,-8044,791,1704,18899,19447,16696,9576,4227,-46100,21629,11874,20037
"53","42","      Durable goods industries","C42WD0",15223,15080,12410,10426,-13312,-2098,2584,18291,16007,14418,2599,6747,-44500,13349,19203,19648
"54","43","        Motor vehicles, parts, and supplies wholesalers","C42110",1436,786,2807,1298,-1163,2094,1456,1827,3741,1680,1266,3901,-9361,2504,6565,-1461
"55","44","        Furniture and home furnishings wholesalers","C42120",127,307,347,554,-424,361,360,278,431,383,-50,-750,-1900,606,-100,-29
"56","45","        Lumber and other construction materials wholesalers","C42130",654,-142,397,456,-57,263,1156,1910,661,272,-801,-1147,-2190,344,185,1455
"57","46","        Professional and commercial equipment wholesalers","C42140",5928,2770,3599,909,-1383,-616,774,2403,2063,3599,1918,1055,-1859,2980,2205,2432
"58","47","          Computers and software wholesalers","C421430",5196,3247,2901,-54,-489,196,1415,1481,1371,1723,870,917,686,2288,1370,1549
"59","48","          Other professional and commercial equipment wholesalers","C4214X0",732,-477,698,963,-894,-812,-641,922,692,1876,1048,138,-2545,692,835,883
"60","49","        Metal and mineral (except petroleum) wholesalers","C42150",753,1202,49,167,-976,-18,-312,3062,549,2422,-1573,1807,-6977,1184,1420,2793
"61","50","        Electrical goods wholesalers","C42160",513,2080,3202,3730,-4334,-971,208,2976,2284,2979,2548,1171,-5266,2813,1741,1756
"62","51","        Hardware and plumbing and heating equipment wholesalers","C42170",156,791,149,874,-763,283,509,1334,1206,1224,417,-1772,-2298,467,823,947
"63","52","        Machinery, equipment, and supplies wholesalers","C42180",4433,5503,1838,1029,-2353,-2668,-2280,3572,4041,3032,1182,869,-10326,2999,5881,10846
"64","53","        Miscellaneous durable goods wholesalers","C42190",1223,1783,22,1409,-1859,-826,713,929,1031,-1172,-2308,1614,-4322,-548,483,909
"65","54","      Nondurable goods industries","C42WN0",7431,4374,3899,4349,5268,2888,-880,608,3440,2278,6977,-2520,-1600,8279,-7330,389
"66","55","        Paper and paper products wholesalers","C42210",654,23,-174,251,-634,84,53,591,386,-277,97,-231,-600,34,181,100
