"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"1","[Millions of chained (2009) dollars; quarters and months are seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 06, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/5/2013 2:43:12 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","      Personal consumption expenditures","DPCERX0",7625793,7744116,7836779,7945880,8067126,8142119,8223072,8296085,8325661,8348298,8376342,8499765,8527033,8572246,8633030,8669144,8712187,8810052,8938165,9004276,9096346,9152393,9239311,9334528,9409522,9507842,9578935,9614865,9722668,9774239,9833395,9929196,9987130,10020409,10060113,10074508,10054055,10073002,9993727,9876187,9843628,9801543,9862679,9863905,9915428,9995295,10063713,10168988,10221298,10258934,10311937,10373065,10447786,10496845,10540988,10584803,10643994,10691916,10728712
"10","2","Goods","DGDSRX0",2393599,2449834,2478775,2521287,2559102,2572582,2599387,2621931,2628045,2635071,2653920,2749540,2742596,2753580,2788314,2796217,2811721,2872229,2953462,2980393,3012806,3029450,3066039,3099389,3136535,3177837,3195493,3198775,3262214,3267844,3294479,3345579,3363481,3376314,3392331,3394925,3348724,3360387,3296562,3185498,3188798,3166888,3222890,3215201,3246978,3288034,3319130,3380462,3402845,3404623,3415206,3457013,3495841,3514746,3546689,3579176,3611943,3639602,3676017
"11","3","  Durable goods","DDURRX0",664025,695778,712454,720989,761222,747154,759844,765106,777690,777013,785934,851425,840968,849219,874118,862044,864685,904370,944695,956807,972679,982167,1001345,1015506,1026252,1055365,1067330,1038837,1081348,1080152,1095075,1109606,1122037,1138252,1150899,1155460,1122489,1118994,1084703,1006754,1008610,1002566,1050555,1031542,1045163,1076300,1093761,1127409,1142338,1139996,1154422,1191689,1219744,1228597,1253399,1285199,1303494,1323245,1347913
"12","4","    Motor vehicles and parts","DMOTRX0",320664,343486,344517,334334,362723,336659,342687,343673,353227,347326,351460,404553,375776,377863,401703,377911,377403,393801,406582,400511,402409,401972,407284,410304,401196,414390,416623,367774,382073,381919,388514,388023,390477,396212,393296,391170,371918,355180,337369,298790,307597,308944,342159,309531,306206,319712,325749,341956,345233,330007,331324,351050,360325,356314,363457,375813,380566,379720,384751
"13","5","      New motor vehicles (55)","DNMVRX0",179459,188591,190487,194229,206667,196610,199587,190933,205274,203686,201348,260977,234622,223758,247277,232210,230573,248626,255716,248072,251330,245342,248193,247961,237084,258302,263246,215395,227222,227784,232904,229985,235603,234881,227949,229710,213437,197866,184930,152397,152962,154703,190325,164503,163469,176196,180853,193838,198799,189545,192357,211480,218817,218994,221873,227828,229099,229329,232250
"14","6","        New autos","DNEARX0",86788,92996,93787,97713,102598,98896,96139,92010,95408,91462,87834,110611,96096,93153,98761,91329,93292,91172,92938,90294,94005,91653,90601,95445,94379,99465,102397,94530,99751,99227,101063,97749,97674,97165,90919,97464,94618,98997,83611,66787,61938,63498,89895,69378,63953,67338,70130,73612,79080,76300,71559,80229,90441,88015,88764,91544,90596,87707,89536
"15","7","          New domestic autos","DNDCRX0",57563,60477,60910,61263,68215,64972,62673,58243,63961,58530,56373,76560,63706,61921,66753,60250,60423,60741,61527,59797,61281,58120,58666,60186,61226,65065,66396,59548,65073,61905,63339,58599,61009,60684,55811,61440,59468,60056,50546,41701,37984,39314,60306,44120,40998,43243,44324,47896,52496,50383,46253,53982,59987,58804,59582,60518,60751,57883,58184
"16","8","          New foreign autos","DNFCRX0",29225,32519,32877,36450,34383,33923,33466,33767,31447,32932,31461,34051,32390,31232,32009,31079,32870,30431,31411,30497,32724,33533,31935,35259,33152,34400,36001,34982,34678,37322,37724,39150,36665,36481,35108,36023,35150,38940,33065,25086,23953,24184,29589,25258,22955,24095,25806,25717,26584,25917,25307,26247,30454,29211,29182,31026,29845,29825,31353
"17","9","        New light trucks","DNWTRX0",93375,96444,97543,97523,105047,98732,104197,99640,110408,112553,113676,150372,138334,130507,148177,140482,137046,156614,161859,156891,156586,152958,156727,151962,142385,158285,160338,120951,127539,128583,131848,132194,137849,137628,136857,132160,118768,98905,101326,85605,91061,91200,100444,95079,99454,108787,110670,120126,119680,113212,120688,131150,128383,130954,133083,136271,138459,141507,142621
"18","10","      Net purchases of used motor vehicles (56)","DNPVRX0",90289,101965,100580,87621,101627,87798,90268,99772,96383,91929,98186,91699,90474,101629,101896,94341,95161,92455,96245,97420,95554,100526,102123,104070,105237,97179,94875,93630,94881,95424,96345,98267,94952,100554,103885,100844,99681,98845,96106,93019,102464,102823,99953,93399,90371,89871,90785,93112,91867,85965,84081,84641,86487,82939,87117,93380,96256,95260,96995
"19","11","        Used autos","DNPURX0",52356,58708,57948,48814,58183,48378,49285,58142,53407,51943,53600,48021,48881,53929,53313,49052,50038,48650,51012,52103,50623,53982,54289,55036,55439,51229,49420,48783,48889,48775,48387,47706,44940,46763,48037,47431,48218,48021,45372,41149,44169,43530,42633,40307,38516,37892,39383,41774,42994,41792,41039,41375,41846,39158,40438,42985,43229,42251,43593
"20","12","          Net transactions in used autos","DNETRX0",30755,35013,34365,27628,34249,26925,26961,34084,29492,27237,29742,25284,26116,32344,33467,29122,28747,28611,29535,30858,31510,32143,32446,33201,31571,29333,29207,28241,27733,27625,26585,25759,24880,25813,26136,25643,25880,26550,25313,23624,26007,26130,25970,23887,22207,21706,22488,24285,24881,23344,22433,22083,21618,20012,20712,22489,23428,23619,24165
"21","13","          Used auto margin","DMARRX0",23790,25779,25723,23534,26113,23934,24953,26135,26593,27869,26572,25651,25438,23726,21788,22077,23622,22240,23793,23509,21386,24128,24161,24183,26154,24120,22424,22676,23273,23273,23927,23962,22072,23002,23881,23774,24336,23374,22014,19461,19943,19124,18366,18152,18064,17960,18642,19240,19887,20199,20369,21068,22049,20924,21529,22318,21534,20384,21233
"22","14","          Employee reimbursement","DREERX0",-2170,-2117,-2122,-2048,-2074,-2047,-2042,-2051,-2067,-2130,-2193,-2159,-2051,-1992,-1988,-2070,-2087,-2050,-2036,-2017,-2079,-2085,-2113,-2145,-2100,-2101,-2082,-2016,-2015,-2020,-2042,-1941,-1946,-1991,-1921,-1931,-1898,-1827,-1885,-1913,-1782,-1727,-1694,-1737,-1783,-1820,-1783,-1761,-1792,-1778,-1789,-1779,-1801,-1767,-1787,-1804,-1698,-1752,-1791
"23","15","        Used light trucks","DUTRRX0",38239,43571,42942,38954,43721,39517,41043,42016,43103,40197,44650,43569,41608,47642,48473,45169,45042,43730,45177,45286,44872,46506,47780,48974,49734,45890,45388,44778,45922,46579,47886,50503,49988,53802,55870,53411,51451,50811,50725,51882,58302,59292,57317,53088,51857,51990,51396,51320,48847,44141,43011,43238,44612,43751,46646,50362,53004,52985,53385
"24","16","          Net transactions in used trucks","DUTNRX0",27440,31560,30960,27613,31305,28067,29050,30023,30902,27454,32243,30826,28921,35438,37153,33131,32106,31056,31388,31676,32482,32434,33434,34937,34685,32209,32687,31767,32577,33380,34104,36225,36633,39663,41086,39561,37969,38295,38372,39870,45808,46719,45565,41133,39396,39264,38631,38822,36786,32686,31768,31494,32001,31579,34023,36995,39720,40389,40439
"25","17","          Used truck margin","DUTMRX0",10823,12054,12026,11382,12457,11486,12035,12034,12248,12823,12447,12753,12627,12378,11622,12114,12925,12662,13751,13587,12524,13987,14275,14065,14978,13645,12762,13024,13354,13231,13799,14307,13439,14251,14899,13991,13630,12613,12454,12045,12470,12574,11779,11951,12452,12707,12733,12472,12028,11428,11220,11734,12607,12168,12608,13345,13244,12532,12892
"26","18","      Motor vehicle parts and accessories (58)","DMVPRX0",51332,52249,53076,53669,53992,53294,53605,52364,50859,51742,51019,51891,50667,50937,51325,51018,51210,52829,54647,55104,55772,56125,56979,58343,58978,59911,59745,59800,61239,59709,60312,60659,61245,61626,61952,61349,59204,58734,56523,53417,52266,51505,51802,51528,52458,54268,54856,56074,55906,55969,56609,57281,57472,57081,56945,56883,57371,57353,57721
"27","19","        Tires","DTATRX0",19372,19401,19586,19706,19946,19573,19526,18873,18963,19517,19403,19025,18848,19166,19391,19602,19619,20025,20664,20968,21260,21585,21723,22282,22835,23058,22967,23429,23664,23152,23277,23359,23753,23998,24128,23915,23540,23425,22715,22046,21537,21164,21252,21116,21578,22460,22582,22836,22674,22485,22726,22875,22774,22877,22859,22759,23128,23188,23648
"28","20","        Accessories and parts","DPAARX0",31987,32895,33544,34022,34100,33778,34145,33566,31936,32253,31634,32927,31860,31799,31958,31428,31607,32828,34010,34159,34533,34558,35278,36082,36156,36871,36797,36377,37591,36570,37050,37317,37507,37640,37836,37443,35669,35313,33809,31368,30727,30341,30551,30413,30880,31808,32273,33240,33236,33495,33895,34425,34727,34218,34099,34140,34253,34174,34084
"29","21","    Furnishings and durable household equipment","DFDHRX0",164177,168065,173615,179079,183579,187110,189592,190707,193558,195296,197175,203146,209596,211393,211098,214708,213971,223393,232557,237253,241873,245802,251341,254290,257752,261922,266764,272910,280314,276953,278274,277654,281323,279621,280672,280157,273271,276586,267208,253613,245184,240874,243576,247609,253974,261398,262690,267944,269580,273362,276952,283989,289466,290134,294128,297335,300346,306896,315798
"30","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",92262,94358,97684,101125,103651,106319,107452,106579,108672,109204,110426,113690,117576,118042,117223,118918,118527,124475,129387,133292,135562,137965,142367,144133,146663,150408,154827,157719,161888,161143,163008,163415,166118,167080,168077,168138,163221,164715,158030,149749,145324,142421,144131,146721,151062,155013,157587,159992,160724,162789,165436,169663,174867,175701,177618,179511,180986,186026,191091
