"","Table 5#6#5B# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2002",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2003 ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/23/2003 4:02:46 PM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002
"8","1","    Change in private inventories","A014RC1",72,70.8,66.9,56.5,-36.1,5.4
"9","2","Farm","B018RC1",3.2,1.4,-2.7,-1.3,0.1,-3.4
"10","3","Mining, utilities, and construction","N541RC1",2.2,6.3,-0.5,-1.7,11.4,-2.2
"11","4","Manufacturing","N150RC1",21,18.2,16.5,7.9,-23.4,-7.5
"12","5","  Durable goods industries","N624RC1",14.1,18,8.4,7.3,-19.7,-9.5
"13","6","  Nondurable goods industries","N625RC1",6.9,0.3,8.1,0.6,-3.7,2
"14","7","Wholesale trade","N658RC1",25.7,22.2,19.2,17.6,-12.6,-0.9
"15","8","  Durable goods industries","N661RC1",17.3,17.2,13.3,12,-16.6,-1.5
"16","9","  Nondurable goods industries","N664RC1",8.4,5,5.9,5.6,4.1,0.6
"17","10","Retail trade","N153RC1",14.6,17,27.4,21.6,-11.1,19.1
"18","11","  Motor vehicle and parts dealers","N631RC1",5,2.2,12.9,12.3,-8.9,12.7
"19","12","  Food and beverage stores","N542RC1",0.3,1.2,1.8,-0.2,0.6,0
"20","13","  General merchandise stores","N543RC1",0.2,0.9,2.7,1.1,-0.1,1.2
"21","14","  Other retail stores","N558RC1",9.1,12.7,9.9,8.4,-2.8,5.2
"22","15","Other industries","N154RC1",5.3,5.7,7.1,12.4,-0.5,0.2
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA
"24","16","  Change in private inventories","A014RC1",72,70.8,66.9,56.5,-36.1,5.4
"25","17","    Durable goods industries","N355RC1",39.9,42.8,40,36.1,-44.2,6.1
"26","18","    Nondurable goods industries","N357RC1",32.1,28,26.9,20.4,8.1,-0.7
"27","19","  Nonfarm industries","A015RC1",68.8,69.4,69.6,57.8,-36.2,8.7
"28","20","    Nonfarm change in book value \1\","B016RC1",49.1,42.3,71.5,78.9,-55.3,14.4
"29","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",19.7,27.1,-2,-21.1,19.1,-5.7
"30","22","  Wholesale trade","N658RC1",25.7,22.2,19.2,17.6,-12.6,-0.9
"31","23","    Merchant wholesale trade","N151RC1",22.9,20.2,17.1,15.1,-10.1,-1.8
"32","24","      Durable goods industries","N626RC1",15.4,15.3,11.9,10,-14.5,-2.1
"33","25","      Nondurable goods industries","N627RC1",7.5,4.9,5.2,5.1,4.5,0.2
"34","26","    Nonmerchant wholesale trade","A152RC1",2.8,2,2.1,2.5,-2.5,0.9
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. This series is derived from the Census Bureau series ``current cost inventories.''",NA,NA,NA,NA,NA,NA,NA,NA
"37","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA
"38","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA
"39","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA
"40","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA
"41","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA
"42","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA
"43","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
