"","Table 5#4#3B# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2002",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published Dec 15 2003  3:47P",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/23/2003 4:02:04 PM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002
"8","1","    Private fixed investment in structures","B349RA3",88.031,93.844,96.945,100,99.149,94.525
"9","2","Nonresidential","B009RA3",89.432,94.019,93.619,100,97.465,79.492
"10","3","  Commercial and health care","W001RA3",86.224,91.184,94.09,100,93.803,78.414
"11","4","    Office \1\","W031RA3",71.998,84.323,89.615,100,92.138,63.497
"12","5","    Health care","W032RA3",100.941,99.301,98.72,100,96.002,106.937
"13","6","      Hospitals and special care","C311RA3",105.018,103.427,97.841,100,98.921,112.709
"14","7","        Hospitals","W033RA3",110.479,101.263,97.356,100,106.358,126.626
"15","8","        Special care","W034RA3",91.797,108.666,99.015,100,80.917,79.014
"16","9","      Medical buildings","W035RA3",89.27,87.489,101.238,100,87.646,90.414
"17","10","    Multimerchandise shopping","W036RA3",92.037,95.834,106.093,100,105.089,96.121
"18","11","    Food and beverage establishments","W037RA3",110.087,111.89,97.828,100,95.477,83.665
"19","12","    Warehouses","W038RA3",95.68,92.366,95.997,100,101.317,74.501
"20","13","    Other commercial \2\","W039RA3",92.18,90.091,90.909,100,81.715,79.702
"21","14","  Manufacturing","B307RA3",132.878,137.355,106.45,100,89.285,48.152
"22","15","  Power and communication","W003RA3",64.372,74.222,87.155,100,103.039,101.099
"23","16","    Power","W028RA3",62.942,79.575,78.542,100,104.272,107.343
"24","17","      Electric","B571RA3",55.083,59.032,68.813,100,104.774,106.048
"25","18","      Other power","W029RA3",91.829,155.92,114.525,100,102.408,112.219
"26","19","    Communication","B314RA3",66.445,66.776,99.861,100,101.205,91.77
