"","Table 5#6#5B# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2003 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/23/2003 4:02:46 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Change in private inventories","A014RC1",44.4,88.5,72.5,82.7,115.5,46.9,60.7,59.9,82.2,38.1,49.1,98.2,29.9,96.3,58.4,41.4,2,-32.4,-46,-68.1,-27.8,0.5,28.6,20.2,-0.9,-5.8,-10.5
"10","2","Farm","B018RC1",-0.8,0.5,8.4,4.8,6,-4.7,0.5,3.6,6,-0.5,-10.9,-5.3,-11.5,3.3,-0.8,3.7,3.3,-4.4,0.2,1.3,0.4,-3,-6.1,-4.8,0.2,-2.7,-4.3
"11","3","Mining, utilities, and construction","N541RC1",0.4,4.9,4.3,-0.8,5.9,6.5,4.5,8.3,2.6,0.7,-2.3,-3.2,3.8,-2.2,0.3,-8.6,10.6,16.3,10.3,8.3,-0.3,-2.5,-2.5,-3.6,-8.3,-2.5,-0.2
"12","4","Manufacturing","N150RC1",15.2,23.4,21.8,23.5,33.1,19,10.8,10,13.3,7.7,15.5,29.4,-2.7,19.8,3.8,10.7,-9.2,-27.1,-31.9,-25.4,-16.8,-11.7,2.3,-3.8,-12.4,-15.3,-16.1
"13","5","  Durable goods industries","N624RC1",10.5,17,15.6,13.3,29.6,19.6,12.5,10.1,8.4,-0.1,9,16.2,-5.3,14.7,3.5,16.1,-5,-18.7,-29.2,-26.1,-20.8,-13,-6.1,1.8,-13.3,-13.9,-15.9
"14","6","  Nondurable goods industries","N625RC1",4.7,6.5,6.2,10.2,3.5,-0.6,-1.7,-0.2,4.9,7.8,6.5,13.2,2.5,5.1,0.3,-5.4,-4.2,-8.5,-2.7,0.8,4,1.3,8.5,-5.7,0.9,-1.3,-0.2
"15","7","Wholesale trade","N658RC1",23.1,33.6,16.1,30,28.8,10.1,29.5,20.4,19.4,8.7,23.3,25.2,19.4,24.9,14.5,11.6,0.1,-1.3,-21.2,-27.9,-12.8,-4.7,7.3,6.5,-5.2,-5.1,-1.4
"16","8","  Durable goods industries","N661RC1",16.5,28.9,7.5,16.4,25.5,4.9,20.7,17.6,13,9.9,11.5,18.8,12.8,23.1,5.8,6.1,0.9,-18,-23.3,-26.1,-13.3,-5.4,8.8,3.9,0.6,-5.1,-7.4
"17","9","  Nondurable goods industries","N664RC1",6.6,4.6,8.6,13.6,3.2,5.2,8.7,2.8,6.3,-1.2,11.8,6.5,6.7,1.8,8.7,5.5,-0.8,16.7,2.1,-1.7,0.5,0.7,-1.5,2.5,-5.8,0,6.1
"18","10","Retail trade","N153RC1",-1.9,21.5,18.9,19.9,38.8,10.9,10,8.4,33.4,12.4,16.4,47.2,8.1,36.4,23.1,18.9,-4.5,-14.9,-2.2,-23,3.4,19.1,27.4,26.6,26.9,15.2,11
"19","11","  Motor vehicle and parts dealers","N631RC1",-3.9,4.5,7.1,12.3,14.8,-0.3,-3.7,-1.9,20.9,0.4,7.6,22.8,4.2,24.3,16,4.7,-9.8,-8,-1.1,-16.7,4,12.8,14.1,20.1,18.7,15.1,1.1
"20","12","  Food and beverage stores","N542RC1",0.3,0,1.8,-0.8,2.2,1.9,0,0.7,1.7,0.9,2.8,1.9,0.2,-1.7,0.7,0.1,1.3,0.6,0.1,0.3,-1.7,0.2,2.1,-0.4,0.8,-0.9,1.4
"21","13","  General merchandise stores","N543RC1",-2.9,3.2,-1.2,1.6,1.9,0.5,2.7,-1.6,2.1,0.9,2.4,5.3,0.7,2,-1,2.6,7.4,-0.2,-2,-5.4,-3.1,-0.3,3.3,4.7,0.3,-0.5,-0.1
"22","14","  Other retail stores","N558RC1",4.6,13.9,11.2,6.8,19.9,8.8,11,11.3,8.7,10.2,3.6,17.2,3,11.7,7.4,11.5,-3.4,-7.3,0.8,-1.2,4.2,6.4,7.9,2.2,7,1.5,8.5
"23","15","Other industries","N154RC1",8.5,4.5,3,5.3,2.9,5.1,5.5,9.3,7.6,9.1,7,4.8,12.8,14.2,17.5,5.1,1.6,-1,-1.1,-1.4,-1.7,3.3,0,-0.8,-2.2,4.6,0.6
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Change in private inventories","A014RC1",44.4,88.5,72.5,82.7,115.5,46.9,60.7,59.9,82.2,38.1,49.1,98.2,29.9,96.3,58.4,41.4,2,-32.4,-46,-68.1,-27.8,0.5,28.6,20.2,-0.9,-5.8,-10.5
"26","17","    Durable goods industries","N355RC1",25.7,55,34.6,44.4,76,28.4,34.1,32.6,48,14.1,32,65.8,18,67.1,29.3,29.8,-12.3,-45.9,-52.2,-66.6,-23.6,-4.3,19.8,32.3,10.9,-1.1,-15.8
"27","18","    Nondurable goods industries","N357RC1",18.7,33.5,37.8,38.3,39.5,18.5,26.7,27.3,34.1,24,17.1,32.4,11.9,29.2,29.1,11.6,14.3,13.4,6.2,-1.5,-4.1,4.8,8.8,-12.1,-11.8,-4.7,5.4
"28","19","  Nonfarm industries","A015RC1",45.2,88,64.1,77.9,109.5,51.6,60.2,56.3,76.2,38.7,60,103.5,41.3,93,59.2,37.7,-1.3,-28,-46.2,-69.4,-28.2,3.5,34.7,25,-1.2,-3,-6.2
"29","20","    Nonfarm change in book value \1\","B016RC1",23.5,64,44.3,64.3,75.7,32,31,30.5,51.8,36.8,74.8,122.8,73.5,112.8,68.8,60.7,-2.8,-37.7,-75.2,-105.5,-41.2,7.2,46.7,44.8,48.9,-12.5,-7.2
"30","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",21.7,23.9,19.8,13.5,33.8,19.6,29.2,25.8,24.4,1.8,-14.8,-19.3,-32.1,-19.8,-9.6,-23,1.5,9.7,29.1,36.1,13,-3.7,-12.1,-19.9,-50.1,9.4,1
"31","22","  Wholesale trade","N658RC1",23.1,33.6,16.1,30,28.8,10.1,29.5,20.4,19.4,8.7,23.3,25.2,19.4,24.9,14.5,11.6,0.1,-1.3,-21.2,-27.9,-12.8,-4.7,7.3,6.5,-5.2,-5.1,-1.4
"32","23","    Merchant wholesale trade","N151RC1",19.4,29.4,15.7,27.1,25.9,10.2,27.9,16.7,17.3,5.6,21,24.4,18.1,22.1,11.2,8.9,-0.1,-0.3,-15.2,-24.7,-11.1,-4.6,3.8,4.6,-0.7,-4.8,0.1
"33","24","      Durable goods industries","N626RC1",13.3,25.7,7.8,14.7,22.4,5.3,18.9,14.4,11.3,7,10.8,18.6,11.9,21.3,3,3.8,0.6,-17.2,-18.4,-23.1,-12,-5.5,6.3,3,3.9,-4.2,-5.6
"34","25","      Nondurable goods industries","N627RC1",6,3.8,7.9,12.4,3.5,4.8,9,2.2,6.1,-1.4,10.2,5.8,6.3,0.8,8.1,5.1,-0.8,16.9,3.3,-1.6,0.8,1,-2.6,1.7,-4.6,-0.6,5.7
"35","26","    Nonmerchant wholesale trade","A152RC1",3.7,4.1,0.4,2.9,2.8,-0.1,1.6,3.7,2,3.1,2.3,0.8,1.3,2.8,3.4,2.7,0.3,-1.1,-6.1,-3.2,-1.6,-0.1,3.5,1.8,-4.5,-0.3,-1.5
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. This series is derived from the Census Bureau series ``current cost inventories.''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
