"","Table 6#8D# Persons Engaged in Production by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2008 8:48:52 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Persons engaged in production \1\","A4601C0",129164,131777,134552,134741,133270,133019,134239,136605,138904,139988
"9","2","Domestic industries","A4602C0",129565,132218,134940,135277,133806,133611,134867,137270,139580,140707
"10","3","  Private industries","A4603C0",110862,113369,115812,115803,113988,113693,114947,117333,119565,120496
"11","4","    Agriculture, forestry, fishing, and hunting","N4604C0",2147,2159,2177,2341,2342,2315,2269,2233,2150,2104
"12","5","      Farms \2\","N4605C0",1551,1531,1543,1627,1653,1611,1554,1524,1450,1400
"13","6","      Forestry, fishing, and related activities","N4606C0",597,629,634,714,690,704,714,708,700,704
"14","7","    Mining","N4607C0",567,518,520,550,516,505,529,564,619,672
"15","8","      Oil and gas extraction","N4608C0",130,115,120,127,125,121,124,128,135,147
"16","9","      Mining, except oil and gas","N4609C0",241,231,222,222,212,201,207,212,221,224
"17","10","      Support activities for mining","N4610C0",196,172,178,201,179,183,198,223,263,301
"18","11","    Utilities","N4611C0",595,597,593,595,586,564,560,543,544,546
"19","12","    Construction","N4612C0",7954,8356,8645,8538,8353,8464,8849,9157,9512,9480
"20","13","    Manufacturing","N4613C0",17553,17365,17271,16545,15371,14631,14433,14362,14308,14035
"21","14","      Durable goods","N4614C0",10990,10910,10921,10420,9566,9054,9016,9077,9090,8913
"22","15","        Wood products","N4615C0",624,645,633,610,589,561,576,591,582,549
"23","16","        Nonmetallic mineral products","N4616C0",547,551,561,552,527,504,507,511,522,512
"24","17","        Primary metals","N4617C0",627,611,613,564,501,485,478,465,461,449
"25","18","        Fabricated metal products","N4618C0",1754,1755,1764,1671,1550,1469,1481,1533,1562,1561
"26","19","        Machinery","N4619C0",1495,1448,1436,1360,1222,1148,1138,1160,1178,1189
"27","20","        Computer and electronic products","N4620C0",1836,1791,1818,1731,1483,1343,1310,1299,1296,1264
"28","21","        Electrical equipment, appliances, and components","N4621C0",580,566,582,558,496,457,441,432,429,426
"29","22","        Motor vehicles, bodies and trailers, and parts","N4622C0",1280,1300,1294,1209,1153,1114,1110,1098,1068,991
"30","23","        Other transportation equipment","N4623C0",795,772,739,720,677,646,650,675,693,713
"31","24","        Furniture and related products","N4624C0",666,686,693,671,628,603,601,594,582,554
"32","25","        Miscellaneous manufacturing","N4625C0",785,785,787,774,741,724,723,718,717,705
"33","26","      Nondurable goods","N4626C0",6563,6455,6351,6125,5804,5578,5418,5286,5218,5122
"34","27","        Food and beverage and tobacco products","N4627C0",1732,1742,1745,1752,1729,1701,1684,1659,1662,1662
"35","28","        Textile mills and textile product mills","N4628C0",681,635,599,535,494,455,420,388,364,351
"36","29","        Apparel and leather and allied products","N4629C0",678,621,564,513,441,386,348,324,307,282
"37","30","        Paper products","N4630C0",617,608,597,568,531,503,486,471,461,447
"38","31","        Printing and related support activities","N4631C0",810,810,803,803,738,713,695,673,661,659
"39","32","        Petroleum and coal products","N4632C0",130,127,121,119,117,114,109,111,111,114
"40","33","        Chemical products","N4633C0",972,973,974,950,916,896,878,870,865,856
"41","34","        Plastics and rubber products","N4634C0",943,940,947,885,838,812,797,790,787,749
"42","35","    Wholesale trade","N4635C0",5897,5994,6071,5799,5672,5690,5722,5870,5980,6054
"43","36","      Durable goods","N4636C0",3505,3563,3608,3440,3306,3302,3327,3424,3504,3549
"44","37","      Nondurable goods","N4637C0",2393,2432,2463,2358,2366,2388,2395,2446,2476,2505
"45","38","    Retail trade","N4638C0",13412,13803,14127,14652,14459,14403,14442,14752,14765,14881
"46","39","      Motor vehicle and parts dealers","N4639C0",1618,1671,1706,1759,1764,1779,1797,1822,1808,1799
