"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"11","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",104429,106654,109583,111864,114260,120127,124689,129483,135238,137870,140034,145818,143804,148559,152384,154121,160435,161048,162308,164360,168096,164665,170963,171155,171728,179905,173992,185124,189238,194454,201533,203078,212208,204837,204513,201421,204648,207066,202839,228587,209475,207698,217757,212217,212182,216522,222132,218718,220108,219034,224818,230548,227985,233322,233204,222370,233084,229102,231660,235501,233984,232635,234730,237668,227521,214224,199894,179583,175962,174591,183199,185382,187542
"12","4","S4 EN4411ZZMA     Automobile dealers","T050040",89332,91218,94044,95444,97685,102993,107199,112146,117336,119052,121028,125493,124202,128429,131629,133355,139386,139474,140386,141917,145197,141834,147458,147664,147634,155522,149096,159771,163538,168142,174856,175520,183297,177047,176486,173272,177147,178703,174751,200068,180202,178584,188340,183173,182614,185786,190029,185985,186721,185527,191086,195919,192427,197087,197424,186217,195357,192121,194631,197201,196085,194329,195893,198263,188631,175022,161337,142650,139187,138241,145982,148574,150600
"13","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",4505,4498,4607,5190,5351,5529,5531,5463,5359,6137,6057,7229,6532,6738,7128,6816,6883,7168,7472,7630,7857,7721,8078,8193,8583,8826,9301,9607,9787,10233,10425,10897,12342,11449,11466,11771,11753,12334,12115,12647,13129,12741,12912,12742,13144,14073,15119,15548,16017,16111,16280,16665,17092,17792,17407,17129,18126,17712,17475,18631,18051,18306,18703,19061,18677,18501,17992,16084,15998,15907,17145,17002,16861
"14","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",10592,10937,10932,11230,11224,11606,11959,11874,12543,12681,12949,13096,13070,13392,13627,13950,14166,14406,14450,14813,15043,15110,15426,15298,15512,15558,15595,15746,15913,16079,16252,16661,16569,16341,16561,16378,15749,16030,15973,15872,16144,16373,16506,16302,16424,16664,16985,17185,17371,17396,17451,17963,18466,18443,18373,19024,19602,19269,19554,19669,19849,20001,20134,20344,20213,20701,20565,20850,20777,20443,20073,19806,20081
"15","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",24640,25243,25394,25619,26524,27274,28166,28477,29296,30689,31794,33081,33168,33479,34205,35198,35091,36176,36472,36566,36660,37501,38238,38784,39542,39689,40570,41163,41654,42691,44004,44543,46057,46335,46270,45327,45522,45062,45361,46655,47484,47521,46927,47433,46390,48128,49815,51163,51790,52778,53930,54575,55539,56188,57253,58199,60025,59589,60186,60656,61237,60191,60554,61018,59656,59597,57643,54875,54435,51744,51550,52170,53659
"16","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",13742,13911,13889,13937,14397,14637,14767,14917,15150,15835,16330,16641,16419,16509,16914,17345,17237,17885,18169,18373,18663,19030,19394,19778,20128,20237,20439,21054,21355,21877,22673,23157,23891,24322,24395,23774,24204,24012,24006,24372,24981,24924,24661,25039,24582,25576,26138,26742,27192,27446,28220,28588,28799,29253,29844,30387,31070,30821,31016,30761,31233,30665,30512,30105,29356,28849,27650,26268,25456,24816,24619,24680,25453
"17","9","S4 EN4421ZZMA       Furniture Stores","T050090",8328,8454,8417,8437,8678,8892,8889,9000,9047,9363,9637,9761,9619,9671,9961,10134,10068,10497,10538,10613,10805,11000,11213,11527,11657,11661,11707,11913,12128,12247,12694,12943,13334,13640,13657,13269,13416,13377,13366,13592,13790,13735,13385,13514,13290,13732,14035,14361,14600,14813,15182,15429,15461,15706,16136,16382,16480,16303,16537,16401,16602,16374,16208,16070,15820,15457,14829,14130,13904,13408,13366,13516,13957
"18","10","S4 EN4422ZZMA       Home furnishings stores","T050100",5414,5457,5471,5500,5719,5744,5878,5917,6102,6472,6693,6880,6799,6838,6953,7210,7168,7388,7631,7760,7858,8030,8182,8251,8471,8575,8731,9141,9227,9630,9979,10214,10557,10682,10739,10505,10789,10635,10640,10780,11191,11189,11276,11525,11292,11845,12103,12380,12593,12633,13038,13160,13338,13548,13708,14005,14590,14518,14480,14360,14630,14291,14304,14036,13536,13391,12821,12139,11553,11408,11252,11164,11496
"19","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",10899,11332,11505,11682,12127,12637,13399,13560,14146,14854,15464,16440,16749,16970,17291,17854,17855,18291,18303,18194,17996,18471,18844,19006,19414,19453,20131,20109,20299,20814,21331,21386,22165,22013,21875,21553,21318,21050,21354,22283,22503,22598,22266,22394,21809,22552,23677,24421,24597,25332,25710,25986,26740,26934,27409,27813,28954,28768,29170,29895,30005,29526,30042,30912,30300,30749,29993,28607,28979,26928,26931,27490,28205
"20","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",34634,34176,34554,34623,35769,36663,37334,38638,39370,41307,41944,42926,42996,42333,43170,44791,44573,46269,47358,47801,49108,49947,50756,51070,51876,52773,53271,54988,56247,56639,57516,59371,61606,59591,59738,60506,62199,64221,62841,62875,64497,66029,65793,65625,66318,68214,71942,73501,75720,79631,79988,81326,83750,86212,86329,89313,95606,91009,88219,88645,90404,89177,88080,87693,86779,87697,86283,81434,77969,76523,74035,73710,74702
"21","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",29005,28889,29396,29453,30716,31489,31968,33141,33676,35446,36369,37334,37181,36525,36969,38443,38280,39607,40400,40778,41866,42746,43169,43360,44087,44985,45805,47031,48457,48966,49811,51341,53028,52155,51844,52180,53522,55193,54964,55192,56415,57899,57724,57593,58055,59703,63283,65075,66800,70779,70959,72019,74592,76911,77046,79875,85969,81277,78546,78780,79844,78964,77605,76261,74881,75453,73343,68752,65412,64037,62342,61662,61553
"22","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",5629,5287,5158,5169,5053,5175,5366,5497,5694,5861,5575,5592,5815,5809,6201,6348,6294,6661,6958,7023,7242,7200,7587,7710,7789,7788,7466,7958,7790,7673,7705,8029,8578,7437,7894,8326,8676,9028,7877,7682,8082,8131,8069,8032,8263,8511,8659,8426,8920,8853,9030,9306,9158,9300,9283,9438,9637,9731,9672,9865,10560,10213,10475,11432,11898,12244,12940,12682,12557,12486,11693,12047,13149
"23","15","S1 EN445ZZZMA   Food and beverage stores","T050150",94397,95118,95927,96207,96130,96194,96333,96898,97712,98840,99396,99717,100250,100106,100382,101183,102093,102834,103661,104322,104968,104771,105556,105879,105835,106579,107557,108635,109835,110894,111753,113484,111939,114421,114833,116137,116966,118366,119321,120272,119860,118439,118672,119483,121015,120888,122956,123144,125256,126236,127338,129167,130517,131462,132715,134168,134988,136408,137512,140241,141622,142478,144079,147105,148676,151237,152803,151484,150886,151249,151916,153113,154994
"24","16","S1 EN4451ZZMA     Grocery stores","T050160",85984,86435,87029,87277,87287,87431,87611,88271,88970,89935,90444,90700,91370,91300,91419,92035,92742,93462,94281,94997,95452,95227,95761,96012,95846,96545,97443,98425,99627,100517,101441,102880,101131,103345,103514,104774,105377,106779,107670,108481,108064,106568,106774,107601,109131,108791,110446,110390,112292,113073,114142,115889,117125,117845,119002,120152,120541,122008,122929,125231,126368,127106,128565,131355,133175,135239,136432,135228,134418,134656,135261,136413,138058
"25","17","S3 EN4452ZZMA     Specialty food stores","T050170",2833,2982,3070,3017,3014,3061,3051,2985,2977,3024,3031,3143,3108,3041,3106,3192,3207,3217,3189,3252,3317,3210,3371,3317,3342,3393,3370,3345,3369,3384,3292,3416,3483,3580,3608,3594,3743,3766,3840,3850,3804,3902,3994,4008,4006,4130,4274,4366,4525,4581,4564,4540,4607,4748,4717,4743,4802,4723,4853,5118,5140,5070,5146,5369,4844,5104,5259,5165,5323,5567,5593,5644,5668
"26","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",5581,5701,5828,5913,5829,5702,5672,5642,5765,5882,5921,5875,5771,5765,5856,5957,6144,6156,6191,6073,6199,6334,6424,6551,6647,6641,6744,6865,6840,6993,7021,7188,7325,7496,7711,7768,7846,7821,7811,7941,7992,7969,7904,7873,7877,7968,8236,8389,8438,8581,8633,8738,8785,8869,8996,9274,9644,9678,9730,9892,10114,10302,10368,10381,10657,10894,11112,11091,11145,11026,11062,11056,11267
"27","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",31153,31606,32293,32512,32617,32969,33443,33335,33755,33753,34327,35122,34409,34756,34889,35311,35874,36380,36254,36399,36620,36380,37568,38084,38805,39487,39467,40326,41281,42416,42535,42952,43252,44264,44804,45084,44505,44220,43592,44228,45294,45339,44888,46337,45677,46590,48158,48700,50134,49809,50097,51419,52394,53377,52870,54826,55409,55865,56766,57646,58698,58104,58220,58540,58331,58361,57386,54089,55474,54401,55214,55324,56634
"28","20","S2 EN4481ZZMA     Clothing stores","T050200",21746,22502,23154,23227,23339,23349,23360,23418,23594,23719,23912,24397,24023,23894,24066,24232,24546,24895,24858,25084,25321,25340,26281,26555,26982,27597,27626,28106,28871,29778,29724,29828,30237,31104,31508,31970,31565,31507,31048,31607,32185,32272,32082,33218,32766,33508,34539,34869,36058,35847,36273,37318,38009,38777,38450,39770,39952,40541,41225,42003,43090,42503,42594,43025,42757,42780,41920,40084,41015,39916,40403,40538,41344
"29","21","S2 EN4482ZZMA     Shoe stores","T050210",5062,4884,4849,4927,4917,5001,5076,5143,5226,5137,5305,5402,5190,5460,5408,5476,5557,5681,5629,5608,5678,5558,5681,5761,5874,5813,5838,5994,6012,6055,6013,5946,6027,6011,6067,6063,5926,6077,6043,5968,6122,6100,5959,6025,5974,6016,6284,6263,6319,6252,6202,6297,6474,6651,6662,6974,7027,6989,7144,7208,7115,6959,7097,7048,7084,7333,7176,6804,6833,6682,6871,6851,7145
"30","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",4345,4220,4290,4358,4361,4619,5008,4774,4936,4897,5111,5324,5196,5401,5415,5603,5771,5804,5767,5707,5621,5482,5606,5769,5949,6078,6003,6226,6398,6584,6798,7178,6988,7149,7229,7052,7014,6636,6501,6652,6988,6966,6847,7094,6937,7066,7336,7567,7757,7710,7622,7804,7911,7949,7759,8082,8430,8335,8397,8435,8493,8642,8530,8467,8490,8247,8290,7201,7626,7803,7940,7935,8145
"31","23","S1 EN452ZZZMA   General merchandise stores","T050230",65068,65553,66244,68633,68904,70335,71923,73401,74390,75388,76766,78604,78835,79998,81354,81429,81892,84060,84983,86455,87331,87396,89414,89934,91767,93408,93966,96124,99562,100319,102090,104055,104642,106498,108409,110153,111053,112072,113708,116231,117080,118035,117517,119594,120742,122408,126468,126657,129207,129746,131001,133889,135666,138328,139496,142555,144677,145562,146524,149075,152552,151691,153451,155823,157022,160001,159112,157584,158608,156337,157087,159715,162583
"32","24","S1 EN4521ZZMA     Department stores","T050240",46627,47170,47537,48762,48944,49827,50840,51618,52431,52834,53605,54457,54486,54956,55892,55554,55508,56808,57169,58104,58436,58362,59405,59526,59594,59843,59502,60306,61782,61415,61736,61685,61546,61872,61629,62398,61345,60507,60483,60460,59809,59101,57631,57618,56506,56824,58029,56801,57056,56442,56803,57328,57252,57473,56486,57342,57408,56961,56367,56680,57131,55782,55662,55559,54466,54298,53062,51978,50934,49883,49613,50129,50884
"33","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",18441,18383,18707,19871,19961,20507,21082,21784,21959,22554,23161,24147,24349,25042,25462,25875,26384,27251,27814,28351,28894,29034,30009,30407,32173,33565,34464,35818,37780,38904,40354,42370,43096,44626,46780,47755,49708,51565,53225,55771,57271,58934,59886,61976,64236,65585,68438,69856,72151,73304,74198,76561,78414,80855,83010,85212,87269,88601,90157,92396,95421,95909,97789,100264,102556,105703,106050,105606,107675,106454,107474,109586,111698
"34","26","S1 EN44EZZZMA   Other retail stores","T050260",108340,109907,111901,114705,115836,117193,117784,120744,123053,125077,129696,131302,132249,134822,136800,138825,141643,147492,147735,152776,154971,153890,156017,157261,157418,159706,162758,165360,168908,173889,178785,186915,193476,196078,200154,204807,201910,204039,200738,197248,199321,206602,208617,212112,218335,214076,219604,223245,231314,236200,239005,248311,251648,255254,267148,273605,279352,286217,286981,281913,288527,297998,298931,312783,317625,327730,328218,285953,273999,277852,286339,299348,306930
"35","27","S1 EN446ZZZMA     Health and personal care stores","T050270",22966,23032,22877,23212,23396,23626,23839,24157,24098,24461,25042,25293,25523,25935,26130,26747,27039,27886,28395,29141,29719,30034,30781,31223,31960,32753,33721,34550,35322,36158,36632,38161,38323,39391,40194,41176,41567,42264,42734,43830,44919,45748,46271,46726,47424,48123,49630,50407,49918,50520,50772,51259,52357,52964,53609,54562,55623,56441,57262,58624,59009,59505,60302,60380,61214,62135,62503,62872,63491,64003,64251,65156,65171
"36","28","S1 EN447ZZZMA     Gasoline stations","T050280",39313,39756,40541,41417,41691,41743,41515,42198,42815,42905,44779,45734,46053,46840,46870,46650,48378,50713,49783,51210,52324,50684,51173,51186,49438,49091,48993,49690,50672,52816,55854,59328,62553,62902,64335,66530,65326,67821,64730,59794,60143,64588,65544,67510,72799,67677,69499,70609,77370,81292,81546,88038,88751,90448,100213,102101,103393,109126,108740,100529,104314,111310,110053,121455,126614,132443,134032,96912,84352,87629,94296,101837,106240
"37","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",12859,12941,13053,13474,13525,13944,13771,14286,14780,15085,15515,15632,15828,15939,16375,16472,16707,16702,17052,17464,17155,17166,17272,17852,17901,18348,18313,18476,18964,19268,19331,19564,19749,20502,20378,19787,20150,20142,20195,20776,20484,20340,20288,20797,20208,20449,20900,20931,21329,20871,21442,21393,21669,21582,21354,21973,22844,22361,22241,22242,22474,22946,23309,23412,23367,23677,23302,22684,23117,22845,23013,23274,23810
"38","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",9014,9026,8973,9241,9150,9563,9571,9897,10279,10334,10561,10637,10689,10799,10992,11218,11348,11179,11530,11888,11478,11609,11666,11912,11979,12403,12238,12339,12743,12933,13081,13140,13455,13897,13983,13529,13695,13748,13737,14277,14021,13889,13876,14397,13906,14077,14406,14610,14813,14415,14933,14957,15216,15277,15127,15658,16561,16084,16315,16358,16639,17099,17216,17356,17395,17745,17492,17073,17444,17235,17420,17807,18220
"39","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",3845,3915,4081,4233,4375,4381,4199,4389,4501,4751,4954,4995,5139,5140,5382,5254,5359,5523,5522,5576,5677,5557,5606,5940,5922,5945,6075,6137,6221,6336,6250,6424,6294,6605,6394,6258,6455,6394,6458,6498,6462,6451,6412,6400,6303,6373,6494,6321,6516,6456,6510,6435,6454,6305,6226,6315,6283,6277,5927,5883,5835,5847,6092,6056,5972,5932,5811,5611,5673,5609,5593,5467,5590
"40","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",14029,14148,14532,16080,16190,16175,16408,17045,17432,18115,19268,19383,19525,20223,20574,20798,20530,22521,22433,22889,24008,23482,24061,24664,25539,25555,26517,27126,27397,27339,27129,29034,29415,28407,28149,28020,27668,27684,27365,27102,27143,27532,27858,27160,26931,26923,27077,27220,27178,27546,27399,28223,28166,28305,28409,28841,30046,29823,29565,30501,30148,30962,31198,31129,31016,31247,31216,30033,29690,30034,29969,30487,30149
"41","33","S3 EN4531ZZMA       Florists","T050330",1531,1552,1633,2083,1836,1654,1643,1694,1717,1762,1759,1755,1730,1808,1770,1739,1833,1908,1880,1943,1925,1944,1936,1957,1974,1964,2055,2056,2083,2088,2052,2046,2114,2141,2220,2193,2169,2124,2060,1970,2086,2037,1944,1857,1884,1782,1809,1835,1716,1819,1808,1753,1728,1836,1867,1999,1963,1939,1814,1901,1962,1853,1871,1878,1905,1830,1905,1737,1696,1684,1615,1676,1611
"42","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",5475,5484,5775,6115,6178,6388,6369,6493,6937,7106,7419,7433,7340,7662,8002,8220,7634,8064,8529,8650,9189,8796,8826,8965,9572,9622,10019,10240,10600,10492,10462,10971,11281,11234,11139,11045,10739,10629,10438,10316,10407,10374,10525,10419,10155,10350,10295,10217,10531,10470,10453,10428,10438,10765,10695,10741,10885,10879,11178,11613,11251,11229,11172,11088,10720,10678,10488,10026,10246,10346,10212,10081,10039
"43","35","S4 EN4533ZZMA       Used merchandise stores","T050350",1443,1511,1522,1534,1525,1742,1680,1663,1701,1541,1623,1741,1705,1833,1821,1794,1773,2238,1904,1937,2220,1953,2152,2374,2347,2321,2483,2563,2462,2503,2435,2679,2653,2694,2669,2557,2573,2555,2560,2513,2670,2585,2567,2373,2622,2450,2460,2477,2411,2526,2632,2650,2565,2532,2594,2674,2877,2945,2862,2954,3107,3009,3125,3261,3171,3383,3399,3210,3223,3234,3430,3462,3438
"44","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",5581,5601,5602,6348,6652,6392,6716,7196,7077,7707,8467,8453,8750,8920,8981,9045,9289,10312,10120,10360,10675,10790,11147,11368,11646,11648,11960,12267,12251,12257,12181,13338,13368,12338,12122,12225,12187,12375,12306,12303,11979,12536,12822,12512,12271,12341,12514,12691,12520,12732,12507,13392,13436,13172,13254,13427,14320,14061,13712,14033,13828,14870,15030,14902,15220,15355,15424,15059,14524,14770,14712,15266,15061
"45","37","S1 EN454ZZZMA     Nonstore retailers","T050370",19173,20030,20899,20522,21034,21705,22252,23057,23928,24512,25093,25260,25320,25885,26852,28158,28990,29669,30071,32073,31765,32524,32730,32336,32580,33958,35215,35519,36554,38308,39838,40828,43436,44877,47099,49295,47199,46128,45714,45747,46633,48394,48656,49919,50973,50904,52497,54078,55519,55970,57845,59398,60704,61956,63562,66128,67446,68467,69173,70018,72582,73275,74070,76408,75416,78228,77165,73452,73350,73341,74811,78594,81560
"46","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",7973,8926,9715,9413,9989,9963,10311,11341,11616,12075,12066,12353,12467,13053,13833,14535,14866,15325,15781,16528,16888,17928,18254,18554,19456,20149,20976,21500,22383,23453,24761,25748,27277,28365,29563,30891,29045,29305,29137,29604,30461,30856,31312,31851,32209,32845,34009,34833,36437,37183,37816,38638,39987,41308,42563,44046,46040,45911,46632,48345,49273,50087,51292,52743,51295,53068,52522,51671,52164,52536,54050,56826,58804
"47","39","S4 EN4542ZZMA       Vending machine operators","T050390",1897,1720,1790,1849,1764,1792,1773,1742,1820,1827,1790,1745,1759,1762,1675,1780,1735,1847,2059,2070,2146,1955,1908,2013,1964,2020,2043,2088,2114,2130,2142,2112,2231,2300,2225,2118,1991,1966,2030,2123,2158,2069,2011,1972,1962,1935,1997,2102,2073,2123,2123,2128,2137,2079,1986,2102,2178,2092,2128,2051,2040,2041,2092,2083,2077,2177,2166,2165,2113,2067,2021,1943,1950
"48","40","S4 EN4543ZZMA       Direct selling establishments","T050400",9303,9384,9393,9261,9282,9950,10168,9974,10492,10610,11237,11161,11095,11071,11344,11843,12389,12498,12230,13475,12732,12641,12569,11769,11160,11790,12196,11930,12057,12725,12936,12968,13929,14212,15311,16286,16163,14857,14547,14020,14014,15469,15333,16097,16803,16124,16491,17143,17009,16663,17906,18632,18581,18569,19013,19980,19228,20464,20413,19623,21269,21148,20687,21581,22044,22983,22477,19615,19073,18738,18740,19826,20806
"49","41","S1 EN722ZZZMA Food services and drinking places","T050410",54126,52656,53117,55238,55648,56834,57890,57930,58048,59467,60237,60703,60689,61620,62267,62413,62809,63679,64395,65882,67133,67493,69010,68828,70162,71404,72150,73785,73639,74748,75268,77651,79599,80419,81248,81405,83164,83266,84095,84989,86580,87318,87903,88226,89160,91352,93526,94800,96544,97160,98740,100123,101611,103637,104357,105962,109541,109283,110410,112688,113809,114850,116283,117584,117770,119712,120327,119582,121101,120877,119896,119931,122619
"50","42","S4 EN7221ZZMA   Full-service restaurants","T050420",23492,22414,22451,23455,23439,24069,24709,24785,25207,25755,25965,26065,25939,26367,26696,26476,26682,27297,27955,28921,29883,29904,30845,30763,31151,31592,31782,32666,32648,33320,33473,34327,35144,35417,35713,36120,36653,36857,37585,38054,38929,39160,39207,39689,39694,40884,41768,41994,42870,42802,43706,44257,44791,45382,45598,46422,47550,47606,48374,49865,50118,50243,50389,51275,51495,52693,52389,52179,53146,52484,52263,52346,53224
"51","43","S4 EN7222ZZMA   Limited-service eating places","T050430",22598,22721,23222,24087,24574,24985,25324,25384,25085,25855,26395,26865,27021,27118,27384,27680,27881,28128,28070,28340,28470,28938,29122,29038,29795,30447,30887,31336,31137,31326,31594,32653,33242,33740,34019,34108,35039,34839,35028,35486,35986,36404,36971,36674,37478,38385,39105,40272,40995,41662,42271,42775,43633,44703,45002,45442,47308,46887,47315,47693,48187,49007,49947,49991,49820,50134,50353,50530,51016,51113,50503,50344,52117
"52","44","S4 EN7223ZZMA   Special food Services","T050440",4606,4341,4297,4475,4442,4533,4597,4644,4615,4724,4816,4691,4595,4906,4826,4836,4856,4871,4948,5150,5351,5162,5442,5442,5566,5718,5779,6056,6074,6265,6440,6730,7093,7118,7438,7203,7439,7570,7279,7083,7354,7401,7386,7533,7509,7447,7943,7808,7889,7944,8002,8285,8339,8635,8743,8959,9321,9320,9269,9579,9867,9932,10169,10454,10499,10721,11203,10525,10466,10807,10859,10904,10700
"53","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",3430,3181,3148,3221,3193,3247,3261,3117,3142,3132,3061,3082,3134,3229,3361,3421,3390,3384,3423,3471,3429,3489,3601,3586,3650,3648,3702,3727,3780,3838,3762,3941,4120,4144,4079,3975,4033,4000,4203,4366,4312,4353,4339,4331,4479,4636,4710,4726,4790,4752,4760,4805,4848,4918,5014,5139,5363,5470,5451,5552,5637,5669,5778,5864,5956,6163,6382,6348,6473,6474,6272,6337,6579
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
