"","Table 1#14# National Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2003  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:40:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,"2002"
"8","1","    National income","A032RC",86.8,75.6,60.4,43.9,41.4,50.2,57.9,65.8,74,67.4,72.9,81.1,104.3,137.6,171.4,184.3,183.3,182.3,198.6,223.3,216.7,241,278.7,293.3,308.2,308.4,338.5,358.7,375,377.3,411.5,427.5,442.5,477.1,504.4,542.1,589.6,646.7,681.7,743.6,802.7,837.5,903.9,1000.4,1127.4,1211.9,1302.2,1456.4,1635.8,1860.2,2075.6,2243,2497.1,2603,2796.5,3162.3,3380.4,3525.8,3803.4,4151.1,4392.1,4642.1,4756.6,4994.9,5251.9,5556.8,5876.7,6210.4,6618.4,7041.4,7468.7,7984.4,8122,"....."
"9","2","Compensation of employees","A033RC",51.1,46.9,39.8,31.1,29.6,34.3,37.4,42.9,48,45,48.1,52.2,64.8,85.3,109.6,121.3,123.3,119.6,130.1,142,142,155.4,181.5,196.3,210.3,209.3,225.8,244.6,257.6,259.6,281,296.4,305.3,327.2,345.3,370.7,399.5,442.6,475.2,524.3,577.6,617.2,658.8,725.1,811.2,890.2,949,1059.3,1180.4,1336,1500.8,1651.7,1825.7,1926,2042.7,2255.9,2425.2,2570.7,2755.6,2973.8,3151,3351,3454.9,3644.8,3814.4,4016.2,4202.5,4395.6,4651.3,4989.6,5308.8,5723.4,5874.9,"5,998.8"
"10","3","  Wage and salary accruals","A034RC",50.5,46.2,39.2,30.5,29,33.7,36.7,42,46.1,43,46,49.9,62.1,82.1,105.8,116.7,117.5,112,123.1,135.5,134.7,147.2,171.6,185.6,199,197.2,212.1,229,239.9,241.3,259.8,272.8,280.5,299.3,314.8,337.7,363.7,400.3,428.9,471.9,518.3,551.5,584.5,638.7,708.6,772.2,814.7,899.6,994,1121,1255.6,1377.4,1517.3,1593.4,1684.3,1854.8,1995.2,2114.4,2270.2,2452.7,2596.8,2754.6,2824.2,2966.8,3091.6,3254.3,3441.1,3630.1,3886,4192.1,4475.6,4836.3,4950.6,"5,023.9"
"11","4","    Government","A553RC",5,5.2,5.3,5,5.2,6.1,6.5,7.9,7.5,8.3,8.2,8.5,10.2,16,26.6,33,34.9,20.7,17.5,19,20.8,22.6,29.2,33.4,34.3,34.9,36.6,38.8,41,44.1,46,49.2,52.4,56.3,60,64.9,69.9,78.3,86.4,96.6,105.5,117.1,126.7,137.8,148.7,160.4,176.1,188.7,202.4,219.8,236.9,261.2,285.6,307.3,324.5,347.8,373.5,396.6,422.2,450.9,479.7,516.8,545.6,567.7,584.9,603.9,622.7,641,664.3,692.7,724.2,768.9,810.8,"852.9"
"12","5","    Other","B203RC",45.5,41,33.9,25.5,23.9,27.6,30.2,34.1,38.6,34.8,37.7,41.4,51.9,66.1,79.2,83.8,82.6,91.3,105.6,116.5,113.9,124.6,142.4,152.3,164.7,162.4,175.6,190.2,198.9,197.2,213.8,223.7,228,243,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.8,500.9,560,611.8,638.6,710.8,791.6,901.2,1018.7,1116.2,1231.7,1286.1,1359.8,1507,1621.7,1717.8,1848,2001.8,2117.1,2237.9,2278.6,2399.1,2506.8,2650.4,2818.4,2989.1,3221.7,3499.4,3751.4,4067.4,4139.8,"4,171.0"
"13","6","  Supplements to wages and salaries","A038RC",0.7,0.7,0.6,0.6,0.5,0.6,0.7,1,1.8,2,2.2,2.3,2.7,3.2,3.8,4.5,5.8,7.6,7,6.5,7.2,8.1,9.9,10.7,11.4,12,13.7,15.6,17.7,18.3,21.2,23.6,24.8,27.9,30.4,33,35.8,42.4,46.2,52.4,59.4,65.7,74.4,86.5,102.6,118,134.4,159.7,186.4,215,245.2,274.3,308.5,332.6,358.5,401.1,430,456.3,485.4,521.1,554.2,596.4,630.7,677.9,722.8,761.9,761.4,765.4,765.3,797.5,833.2,887.1,924.3,"975.0"
"14","7","    Employer contributions for social insurance","B039RC",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5.1,3.9,3,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18,20,22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,240,254.4,264.5,275.4,289.9,306.9,323,342.9,353.9,"364.2"
"15","8","    Other labor income","B040RC",0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.8,0.8,0.8,0.9,0.9,1,1.2,1.5,2,2.3,2.5,3,3.5,3.9,4.8,5.9,6.5,7.2,7.4,8.5,10,11.3,12,13.4,14.4,15.2,16.7,18,20.3,22.7,25.5,28.2,32.5,36.6,41.9,48,55.3,62.8,73.3,87.6,105.3,125.3,143.4,162.6,185.4,204.8,222.8,238.6,262.1,282.3,298.4,319.1,336.5,360.5,390,415.6,449.5,482.8,507.5,497,490,475.4,490.6,510.2,544.2,570.4,"610.8"
"16","9","Proprietors' income with inventory valuation and capital consumption adjustments","A041RC",14.9,11.7,9.1,5.6,5.8,7.6,10.7,11,13.1,11.2,11.7,12.9,17.3,24.1,29.1,30.3,31.7,36.5,35.6,40.4,35.7,38.6,43.8,44.3,43.3,43.5,45.5,47,49,51.4,51.8,51.9,54.4,56.5,57.8,60.6,65.2,69.6,71.1,75.4,78.9,79.8,86.1,97.7,115.2,115.5,121.6,134.3,148.3,170.1,183.7,177.6,186.2,179.9,195.5,247.5,267,278.6,303.9,338.8,361.8,381,384.2,434.3,461.8,476.6,497.7,544.7,581.2,623.8,678.4,714.8,727.9,"756.9"
