"","Table 6#7C# Self-Employed Persons by Industry Group","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:51:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Self-employed persons \1\","A4501C0C",9665,9956,10041,10132,10373,10040,10505,10564,10514,10524,10544,10341,10121,9944,9850
"9","2","Agriculture, forestry, and fishing","A4502C0C",1477,1438,1434,1437,1479,1432,1453,1474,1620,1549,1482,1366,1327,1263,1257
"10","3","  Farms","B4503C0C",1142,1118,1085,1058,1082,1061,1066,1071,1224,1114,1063,951,902,872,862
"11","4","  Agricultural services, forestry, and fishing","B4504C0C",335,320,349,379,397,371,387,403,396,435,419,415,425,391,395
"12","5","Mining","B4505C0C",27,29,25,24,23,23,17,14,16,15,14,20,16,16,25
"13","6","Construction","B4506C0C",1386,1438,1433,1473,1457,1471,1566,1523,1470,1506,1502,1529,1555,1591,1529
"14","7","Manufacturing","A4507C0C",368,398,409,432,421,398,447,432,436,408,424,431,386,348,363
"15","8","  Durable goods","B4508C0C",213,231,246,258,253,247,264,247,255,247,254,255,219,210,226
"16","9","  Nondurable goods","B4509C0C",155,167,163,174,168,151,183,185,181,161,170,176,167,138,137
"17","10","Transportation and public utilities","B4510C0C",336,344,323,304,318,335,373,381,395,434,436,429,428,399,435
"18","11","Wholesale trade","B4511C0C",315,337,349,334,350,349,354,353,354,307,277,301,290,280,241
"19","12","Retail trade","B4512C0C",1549,1498,1548,1539,1544,1439,1569,1590,1432,1468,1499,1354,1345,1233,1240
"20","13","Finance, insurance, and real estate","B4513C0C",598,624,621,634,618,630,661,631,659,673,628,609,662,692,645
"21","14","Services","B4514C0C",3609,3850,3899,3955,4163,3963,4065,4166,4132,4164,4282,4302,4112,4122,4115
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23"," 1. Consists of active proprietors or partners who devote a majority of their working hours to their unincorporated businesses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
