"","Table 7#5# Chain-Type Quantity and Price Indexes for Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:54:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8",NA,"Chain-type quantity indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Personal consumption expenditures","B002RA",11.95,11.31,10.97,9.99,9.76,10.44,11.09,12.21,12.67,12.46,13.16,13.84,14.83,14.48,14.88,15.31,16.26,18.27,18.64,19.06,19.58,20.83,21.14,21.81,22.86,23.33,25.02,25.75,26.38,26.6,28.08,28.85,29.43,30.88,32.15,34.08,36.23,38.3,39.45,41.7,43.24,44.25,45.92,48.7,51.09,50.67,51.76,54.78,57.13,59.66,61.16,60.96,61.79,62.54,65.95,69.51,72.95,76.01,78.54,81.71,83.89,85.43,85.28,87.72,90.67,94.09,96.91,100,103.56,108.52,113.88,118.83,121.76
"10","2","Durable goods","B003RA",6.36,5.24,4.48,3.36,3.29,3.8,4.64,5.7,6,4.9,5.83,6.71,7.79,4.75,4.15,3.8,4.28,8.14,9.69,10.32,11.17,13.63,12.42,12.08,13.58,13.53,16.53,15.86,16,14.71,16.49,16.82,16.19,18.08,19.84,21.67,24.42,26.48,26.9,29.85,30.92,29.91,32.91,37.08,40.91,38.1,38.09,42.95,46.95,49.43,49.26,45.39,45.98,45.98,52.81,60.54,66.52,72.58,73.84,78.11,79.75,79.01,73.79,77.7,84.08,90.46,94.66,100,106.63,117.87,131.8,142.58,151.16
"11","3","  Motor vehicles and parts","B165RA",11.22,7.81,6.09,3.89,4.64,5.78,8,9.88,10.04,6.5,8.85,11.15,12.68,2.02,2.08,1.92,2.38,8.09,11.54,13.04,16.66,21.53,18.19,16.36,20.32,19.38,26.54,22.61,23.65,19.58,23.33,24.77,22.32,26.49,29.82,31.55,36.61,37.31,36.44,42.38,44.12,39.74,47.37,54.15,59.14,49.03,49.33,59.65,66.02,68.89,64.32,55.66,57.04,58.6,70.23,82.15,92.42,98.31,94.57,99.43,99.04,96.02,82.62,88.07,94.49,99.52,98.88,100,103.31,113.91,125.65,132.04,141.21
"12","4","    New autos (70)","B136RA",17.43,11.33,8.22,4.79,6.54,8.18,12.33,15.63,15.85,9.22,13,16.97,18.77,0.78,0.79,0.26,0.25,11.36,19.93,22.63,31.83,42.29,33.9,28.71,39.68,38.14,53.77,42.69,43.99,32.8,42.57,45.87,39.55,49.33,56.96,60.59,72.35,72.66,68.52,81.54,82.25,69.89,86.22,97.38,104.51,78.81,78.52,96.17,106.3,107.96,101.79,88.92,91.76,92.91,112.23,127.67,138.53,152.39,135.93,141.43,133.35,127.03,98.91,104.38,107.24,109.51,102,100,100.65,108.06,121.98,130.72,131.93
"13","5","    Net purchases of used autos (71)","B137RA",24.46,20.62,14.91,10.61,11.51,13.68,18.65,24.64,26.04,19.77,23.32,25.41,27.01,27.2,24.03,22.42,21.27,15.27,22.26,32.7,43.04,49.91,53.16,58.67,50.8,43.62,50.15,52.72,58.25,61.34,53.65,52.5,50.79,49.21,50.79,50.25,54.2,53.82,57.53,57.75,60.53,56.97,57.21,60.29,60.71,57.81,56.32,63.34,63.16,63.8,62.63,59.8,58.76,56.11,56.56,70.46,80.19,78.47,79.96,80.84,80.65,81.61,79.29,81.13,91.11,94.2,99.48,100,105.85,111.8,116.32,117.41,117.43
"14","6","    Other motor vehicles (72)","BOAURA",0.86,0.64,0.47,0.27,0.35,0.55,0.69,0.9,0.91,0.6,0.84,0.88,1.15,0,0,0,0,1.88,2.3,2.53,1.94,2.28,2.46,1.8,1.75,1.64,2.48,2.51,2.29,1.93,2.28,2.32,1.98,2.82,3.43,3.95,5.03,6.09,6.38,8.86,10.46,9.89,13.18,18.69,22.87,19.63,21.64,31.87,39.62,44.45,35.89,23.7,24.09,28.26,40.66,52.38,66.82,71.03,74.96,80.91,87.97,82.6,72.01,81.05,89.27,96.82,97.13,100,104.44,122.94,138.42,146.9,174.58
"15","7","    Tires, tubes, accessories, and other parts (73)","BTBARA",4.2,3.64,3.53,2.78,2.43,2.92,3.08,3.34,3.42,3.21,3.95,4.57,5.72,2.25,2.64,3.03,4.39,9.14,8.78,8.18,7.58,9.37,8.09,8.78,7.97,7.35,8.8,9.52,10.75,11.52,13.02,14.01,14.91,16.36,17.17,18.44,18.93,20.24,20.99,23.35,26.49,28.48,32.21,35.88,40.95,40.99,40.67,41.96,44.53,47.64,49.18,48.56,50.46,51.42,57.67,62.55,65.33,66.52,67.59,73.21,73.64,76.92,75.16,77.33,83.42,91.12,95.32,100,103.13,108.95,117.08,120.75,117.52
"16","8","  Furniture and household equipment","B166RA",4.55,4.08,3.73,3.02,2.77,3.02,3.43,4.27,4.47,4.02,4.55,5.03,5.9,4.87,3.68,3.16,3.49,6.46,7.51,7.84,7.71,9.24,8.77,8.91,9.36,9.56,10.76,11.26,10.94,10.77,11.59,11.45,11.66,12.39,13.34,15.02,16.45,18.55,19.42,20.67,21.21,21.44,22.3,24.69,27.39,27.68,27.05,28.84,31.32,33.16,35.03,34.42,34.46,33.73,38.32,42.91,46.67,52.52,56.26,60.08,63.27,63.69,64.45,68.17,74.91,82.88,90.93,100,110.58,123.83,141.46,157.89,168.03
"17","9","    Furniture, including mattresses and bedsprings (29)","BFNRRA",15.33,12.32,11.88,9.34,8.21,8.4,11.09,13.66,13.59,12.47,14.57,16.04,18.09,14.95,12.15,10.7,11.27,16.22,17.68,18.19,18.19,20.5,19.3,20.82,22.27,22.86,26.34,27.31,25.93,25.83,27.54,27.3,27.06,28.82,30.9,34.51,36.37,38.35,38.21,39.58,40.04,39.05,40.63,45.3,49.54,48.45,45.9,48.63,54.34,57.07,60.09,56.73,55.83,51.84,57.35,64.21,67.44,72.96,76.15,77.64,85.74,82.78,81.21,81.91,86.45,90.8,94.5,100,105.62,111.63,119.01,127.59,128.93
"18","10","    Kitchen and other household appliances (30)","BAPPRA",4.18,3.82,3.48,2.44,3.08,3.87,4.67,5.49,6.11,5.12,5.65,6.67,8.34,5.06,1.64,0.91,1.81,8.99,14.37,14.87,13.84,17.71,16.28,16.09,16.96,17.48,19.95,22.21,22.44,22.09,23.59,23.22,23.66,24.44,26,28.4,29.24,32.44,33.58,36.97,39.57,41.16,44.15,49.74,54.65,54.3,50.06,51.57,55.03,55.98,57.78,56.14,54.52,50.24,54.02,58.99,65.05,70.07,71.29,74.15,78.04,77.94,77.42,81.35,86.71,90.66,96.87,100,102.98,108.73,118.36,125.06,127.46
"19","11","    China, glassware, Tableware, and utensils (31)","BCHNRA",20.69,15,16.04,16.25,14.92,14.95,13.81,16.45,18.32,16.79,16.9,18.15,21.71,20.37,16.86,15.72,18.85,29.79,31.02,32.76,30.52,31.71,30.8,29.38,29.69,29.52,30.81,29.39,26.87,25.69,26.37,25.54,25.47,26.29,26,28.55,31.87,36.04,37.69,38.61,38.94,38.33,39.05,40.86,44.65,43.69,41.06,43.85,47.32,51.61,53.11,53.2,54.16,56.38,57.69,60.76,61.88,63.37,61.69,65.91,69.87,71.92,71,75.34,80.3,85.87,92.77,100,107.73,113.35,125.22,134.68,141.43
