"","Table 6#22C# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:53:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Corporate capital consumption allowances","A677RC0C",369062,389527,405939,411050,421418,432180,452636,494937,530744,568072,614456,658146,713341,741873,845577
"9","2","Agriculture, forestry, and fishing","A1722C0C",2700,3005,2907,2935,2805,3121,3438,4005,4795,4939,5043,5275,5756,5943,6611
"10","3","  Farms","B1723C0C",1776,1930,1775,1786,1704,1883,2172,2627,3193,3198,3308,3396,3735,NA,NA
"11","4","  Agricultural services, forestry, and fishing","B1724C0C",924,1075,1132,1149,1101,1238,1266,1378,1602,1741,1735,1879,2021,NA,NA
"12","5","Mining","A1725C0C",7585,7397,6798,7655,7655,7715,7862,8291,9406,9860,11257,12462,12931,14044,15739
"13","6","  Metal mining","B1726C0C",537,729,732,1167,1072,1137,1203,1202,1471,1373,1276,1698,1907,NA,NA
"14","7","  Coal mining","B1727C0C",1123,1070,963,888,821,1062,1100,1081,1268,1216,1212,1322,1233,NA,NA
"15","8","  Oil and gas extraction","B1728C0C",4871,4618,4054,4440,4623,4434,4460,4820,5353,5636,7089,4384,4477,NA,NA
"16","9","  Nonmetallic minerals, except fuels","B1729C0C",1054,980,1049,1160,1139,1082,1099,1188,1314,1635,1680,5058,5314,NA,NA
"17","10","Construction","B1730C0C",9044,10000,10114,9830,9247,9014,9461,9978,10850,12064,13436,14457,16405,17493,19404
"18","11","Manufacturing","B1731C0C",142783,148775,150245,152255,155137,160295,164692,177708,188851,204984,216981,223413,230019,222737,243443
"19","12","  Durable goods","A1732C0C",70476,75441,75082,76349,78339,80784,84567,95164,107442,117387,128025,135625,141458,137727,151136
"20","13","    Lumber and wood products","B1733C0C",3244,3288,3340,3362,3346,2924,3139,3367,3837,3898,4079,3378,3405,NA,NA
"21","14","    Furniture and fixtures","B1734C0C",939,1017,982,890,870,904,977,978,1146,1286,1503,1394,1556,NA,NA
"22","15","    Stone, clay, and glass products","B1735C0C",3397,3687,3628,3492,3246,3294,3287,3400,3773,3803,4439,4925,5132,NA,NA
"23","16","    Primary metal industries","B1736C0C",4348,4468,5281,5417,5607,5690,5744,6277,6812,6707,7018,6632,7019,NA,NA
"24","17","    Fabricated metal products","B1737C0C",5925,5886,5661,5592,5692,5077,5718,6449,7044,8004,8227,9492,10118,NA,NA
"25","18","    Industrial machinery and equipment","B1738C0C",10539,11942,11794,11456,11464,10984,10851,10797,11007,10296,11541,18053,18637,NA,NA
"26","19","    Electronic and other electric equipment","B1739C0C",13370,14473,15078,15673,16958,18675,20328,22294,26218,30230,34147,32505,32592,NA,NA
"27","20","    Motor vehicles and equipment","B1740C0C",18672,18974,17685,16952,17645,18653,19399,26246,32147,36813,41443,43326,45053,NA,NA
"28","21","    Other transportation equipment","B1741C0C",5792,5956,6516,6614,6116,6494,6903,7523,7624,7334,7290,7391,8563,NA,NA
"29","22","    Instruments and related products","B1742C0C",2546,3909,3104,4496,4932,5907,5765,5382,5518,6088,5561,5741,6388,NA,NA
