"","Table 7#14# Chain-Type Quantity and Price Indexes for Gross Dome","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"11","2","Business \1\","B195RA",17,17.21,17.28,17.63,17.9,18.26,18.33,18.36,18.07,18,18.25,18.06,18.93,19.54,20.36,20.59,20.78,21.01,21.38,21.39,21.61,21.61,21.75,22.58,23.02,23.22,23.05,22.64,22.52,22.55,22.81,23.3,24.08,24.51,24.85,24.96,24.84,25.05,24.97,25.42,25.57,25.48,25.75,25.46,24.64,24.78,25.39,26.04,26.69,27.47,27.43,27.5,28.15,27.91,27.96,27.5,27.65,28.25,28.75,29.34,29.9,30.24,30.54,30.62,31.01,31.43,32.08,32.33,33.13,33.52,34.03,34.09,35.04,35.53,36.3,37.23,38.23,38.33,38.47,38.74,39.09,39.02,39.27,39.57,40.46,41.17,41.44,41.65,42.36,42.43,42.65,42.38,42.37,42.49,42.94,42.36,43.75,44.06,44.45,44.56,45.64,46.89,47.4,48.35,49.85,50.43,50.17,50.62,50.08,50.21,49.52,49.16,48.32,48.79,49.76,50.52,51.93,52.46,52.71,53.2,53.93,55.08,56.21,56.24,56.37,58.93,59.53,60.41,60.57,60.62,61.1,61.27,61.45,59.91,59.77,61.04,62.43,61.9,62.7,61.78,60.53,60.79,60.43,60.46,61.26,62.96,64.27,65.84,67.51,68.79,69.41,69.96,70.57,71.12,72.24,72.86,73.56,73.83,74.55,74.89,75.48,76.35,77,78.42,78.88,79.9,80.27,81.36,82.43,82.85,83.2,83.44,84.54,84.66,84.35,83.46,82.86,83.41,83.65,84.17,85.05,86,86.74,88.09,87.99,88.58,89.02,90.62,91.5,92.99,93.53,94.89,95.23,95.4,96.25,97.25,98.1,99.81,100.38,101.71,102.93,104.59,105.77,106.58,108.38,109,110.2,112.26,113.22,113.83,115.45,117.7,118.39,119.89,120.08,120.39,120.03,119.3,119.03,119.88,121.52,121.86,123.17,123.31
"12","3","  Nonfarm \2\","B358RA",16.54,16.92,16.51,17.34,17.47,17.49,17.68,17.68,17.56,17.39,17.66,17.46,18.25,18.9,19.91,20.1,20.49,20.63,20.89,20.93,21.17,21.17,21.24,22.2,22.56,22.7,22.63,22.2,21.99,22.03,22.31,22.79,23.62,23.99,24.34,24.53,24.44,24.58,24.5,24.9,25.22,25.11,25.36,24.95,24.12,24.25,24.96,25.7,26.28,27.11,27.1,27.1,27.86,27.55,27.5,26.95,27.16,27.84,28.36,28.99,29.6,29.9,30.21,30.28,30.62,31.1,31.79,32.05,32.95,33.34,33.79,33.8,34.81,35.35,36.05,37.02,38.09,38.23,38.44,38.61,38.88,38.83,39.12,39.46,40.37,41.12,41.39,41.58,42.31,42.37,42.59,42.3,42.28,42.39,42.85,42.23,43.65,43.94,44.33,44.45,45.67,46.85,47.38,48.26,50.01,50.55,50.48,50.49,50.27,50.31,49.65,49.28,48.2,48.57,49.51,50.34,51.9,52.44,52.71,53.17,53.92,55.13,56.24,56.1,56.45,59.08,59.6,60.68,60.69,60.73,61.15,61.3,61.55,59.97,59.92,61.21,62.43,61.72,62.32,61.4,60.17,60.47,60.13,60.11,61.06,63.14,64.79,66.31,67.6,68.79,69.37,69.88,70.41,70.94,71.93,72.65,73.38,73.74,74.42,74.81,75.38,76.29,76.9,78.3,78.71,79.92,80.4,81.76,82.39,82.85,83.2,83.41,84.48,84.62,84.27,83.33,82.72,83.3,83.58,84.05,84.86,85.74,86.49,87.93,87.89,88.46,89.15,90.54,91.24,92.78,93.34,94.79,95.22,95.42,96.36,97.31,98.12,99.8,100.38,101.71,102.87,104.52,105.63,106.48,108.37,109.01,110.2,112.27,113.21,113.77,115.42,117.67,118.29,119.79,119.94,120.3,119.98,119.29,119.03,119.73,121.43,121.86,123.16,123.29
"13","4","    Nonfarm less housing","B498RA",16.95,17.37,16.91,17.79,17.92,17.92,18.11,18.1,17.95,17.74,18.02,17.77,18.61,19.3,20.37,20.55,20.96,21.08,21.33,21.35,21.57,21.55,21.6,22.62,23,23.12,23.01,22.52,22.25,22.27,22.55,23.04,23.93,24.3,24.66,24.84,24.71,24.84,24.72,25.13,25.44,25.29,25.53,25.05,24.11,24.21,24.96,25.73,26.32,27.19,27.12,27.07,27.86,27.49,27.4,26.74,26.93,27.65,28.19,28.82,29.46,29.72,30.01,30.03,30.38,30.87,31.59,31.84,32.8,33.18,33.63,33.58,34.64,35.19,35.91,36.92,38.05,38.18,38.35,38.49,38.74,38.65,38.91,39.24,40.21,41,41.25,41.42,42.17,42.18,42.38,42.03,41.99,42.09,42.55,41.83,43.34,43.62,43.99,44.05,45.33,46.57,47.11,48,49.86,50.4,50.26,50.21,49.88,49.87,49.11,48.68,47.53,47.92,48.92,49.8,51.46,52,52.26,52.71,53.47,54.78,55.96,55.74,55.99,58.79,59.31,60.41,60.31,60.32,60.71,60.77,60.92,59.07,59,60.33,61.57,60.77,61.39,60.33,58.98,59.33,58.92,58.92,59.98,62.23,63.95,65.51,66.87,68.18,68.69,69.07,69.66,70.24,71.25,71.98,72.77,73.13,73.86,74.27,74.78,75.79,76.29,77.77,78.2,79.48,79.94,81.28,81.93,82.37,82.65,83,84.09,84.19,83.73,82.61,81.91,82.49,82.72,83.18,84.19,85.12,85.25,87.42,87.23,87.97,88.73,90.26,90.64,92.5,92.95,94.46,94.85,95.07,96.11,97.01,97.97,99.81,100.4,101.82,103.09,104.92,106.16,107.07,109.13,109.68,110.85,113.11,114.01,114.52,116.22,118.62,119.23,120.86,120.95,121.3,121.02,120.15,119.93,120.81,122.67,122.95,124.6,124.89
"14","5","    Housing","B499RA",11.79,11.89,12.02,12.18,12.36,12.56,12.76,12.98,13.2,13.43,13.67,13.92,14.17,14.43,14.71,14.99,15.28,15.59,15.9,16.22,16.57,16.88,17.17,17.45,17.67,17.94,18.21,18.5,18.81,19.11,19.4,19.7,19.99,20.27,20.56,20.85,21.11,21.42,21.75,22.09,22.48,22.83,23.18,23.53,23.84,24.2,24.56,24.94,25.36,25.82,26.38,26.87,27.26,27.62,28.05,28.59,28.96,29.26,29.65,30.24,30.59,31.22,31.69,32.35,32.56,32.85,33.27,33.68,33.98,34.4,34.84,35.47,35.9,36.34,36.88,37.39,37.73,38.08,38.67,39.17,39.62,40.03,40.58,41.06,41.4,41.6,42.02,42.55,43.01,43.56,44.03,44.47,44.61,44.8,45.19,45.68,46.07,46.55,47.18,47.91,48.48,48.96,49.47,50.12,50.64,51.23,51.85,52.49,53.48,54.14,54.64,54.97,54.73,54.77,54.98,55.26,55.57,56.05,56.57,57.13,57.78,57.75,58.05,58.73,60.37,60.85,61.31,62.24,63.49,63.85,64.63,65.89,67.29,68.82,69.01,69.83,70.77,71.27,71.52,72.24,72.49,72.15,72.5,72.4,72.06,72.24,72.99,74.12,74.58,74.49,75.88,77.7,77.6,77.62,78.37,79.05,79.15,79.38,79.69,79.85,80.89,80.86,82.58,83.17,83.37,83.95,84.67,86.19,86.64,87.24,88.32,87.16,88.01,88.51,89.26,90.01,90.29,90.84,91.6,92.16,91.08,91.52,98.07,92.58,93.96,92.99,93.01,93.06,96.77,95.27,96.93,97.81,98.61,98.56,98.64,100.09,99.42,99.64,100.23,100.72,100.88,100.91,100.89,101.17,101.48,103.02,104.37,104.77,106.09,106.97,108.27,109.2,109.85,110.23,110.94,111.42,110.69,111.56,111,110.18,110.59,112.17,110.72,109.44
"15","6","  Farm","B359RA",34.07,31.02,40.86,32.03,35.03,42.3,39.97,40.72,36.38,38.81,38.44,38.55,41.78,41.43,37.86,39.05,35.03,37.23,40.3,39.5,39.63,39.44,41.46,39.25,41.8,43.91,40.74,40.91,43.35,43.17,42.9,43.8,42.95,45.5,45.5,43.19,42.02,44.4,44.34,46.45,40.83,41.48,42.29,45.87,45.53,45.88,43.24,41.06,44.07,43.18,42.36,44.9,41.74,43.74,47.42,50.33,48.24,45.89,45.44,44.86,43.55,45.81,45.67,45.92,48.07,46.73,45.74,45.51,42.77,43.33,45.9,47.9,47.06,45.66,48.79,48.33,47.28,45.62,43.51,47.49,50.51,49.53,48.5,47.51,47.24,46.99,47.37,47.96,48.22,48.48,48.93,49.23,49.48,50,50.4,51.2,51.79,52.5,52.8,52.69,48.68,52.71,52.44,55.93,50.47,52.22,47.99,57.94,50.26,52.54,50.7,50.51,56.68,60.46,62.64,60.9,57.64,57.69,57.11,58.63,58.78,57.83,59.49,66.68,58.03,58.54,62.04,56.27,61.18,61.89,64.63,65.4,62.76,63.36,58.9,59.93,67.96,75.11,86.37,85.51,83.17,81.88,80.51,83.08,74.54,56.78,41.54,46.07,66.91,72.9,75.09,77.63,82.48,85.09,94.33,88.13,87.17,81.58,85.11,82.33,84.28,82.74,85.79,89,92.16,80.23,73.33,59.07,86.89,85.27,85.04,87.59,90.45,89.37,91.16,94.15,94.02,92.23,90.29,94.89,100.83,105.96,106.5,101.75,96.94,98.77,79.09,97.37,112.38,109.99,109.47,103.14,96.44,94.08,87.66,92.57,97.23,100.58,100.56,101.62,107.73,110.22,117.15,114.37,108.51,106.46,109.33,110.79,112.75,119.38,117.15,119.61,128.95,130.44,135.17,128.21,124.67,118.82,117.52,134.98,129.9,120.17,122.49,124.81
"16","7","Households and institutions","B193RA",20.71,20.76,21.21,21.43,22.7,22.65,22.64,22.35,22.77,23.12,23.06,23.8,24.37,24.62,24.39,25.11,25.26,25.16,24.7,25.21,25.76,24.74,24.42,24.78,25.89,25.83,25.52,25.12,25.14,25.36,25.79,27.02,26.85,28.23,28.99,29.9,29.51,29.75,30.21,30.63,30.8,30.73,30.74,30.82,32.04,32.54,32.23,32.11,32.51,33.13,33.31,33.76,34.69,35.61,35.48,35.95,36,35.31,35.31,36.19,36.41,36.6,37.43,37.55,37.55,37.65,38.09,38.32,38.56,39.42,38.91,39.03,39.85,40.13,40.66,40.98,41.56,41.21,42.21,42.53,42.84,43.18,43.46,43.58,43.22,44.44,45.2,45.39,45.43,45.81,46.28,46.44,45.97,45.53,45.1,45.61,46.37,46.2,46.6,47.08,47.3,47.77,48.32,48.16,48.39,48.98,49.3,49.42,49.42,49.4,49.54,49.24,49.84,50.86,51.71,51.54,51.74,51.32,51.66,51.65,52.66,52.7,53.15,53.82,53.8,54.03,54.1,54.27,54.54,54.95,55.69,55.7,56.18,56.39,57.2,57.51,57.92,57.87,58.04,58.62,59.06,59.63,60.14,60.34,60.59,60.94,61.3,61.63,61.92,62.4,62.67,63.4,63.58,64.11,64.74,65.68,66.5,67.43,68,68.92,69.46,70.22,71.82,72.86,74.34,75.48,76.77,78.04,79,79.95,80.65,81.45,82.16,83.14,84.25,84.98,85.42,85.99,86.61,87.25,87.87,88.04,88.68,89.55,90.36,91.25,92.26,93.02,93.54,94.39,95.46,96.34,97.05,97.77,98.31,98.77,99,99.6,100.33,101.08,101.91,102.94,104.03,104.88,105.77,106.37,107.06,107.61,107.94,108.42,108.94,109.81,110.77,111.2,111.75,112.52,113.3,114.36,114.86,115.04,115.74,116.59,117.35,118.12
"17","8","  Private households","B701RA",168.25,174.32,176.48,176.02,174.08,171.58,169.28,167.75,167.37,168.34,170.7,174.27,181.38,184.89,187.11,187.81,186.23,184.23,181.27,177.58,171.66,168.31,165.96,164.64,167.41,166.11,163.89,160.95,152.67,152.3,155.07,160.87,174.37,181.81,187.73,191.73,192.02,192.86,192.68,191.73,188.74,187.97,188.05,189,192.85,193.57,193.16,191.6,186.98,191.04,187.01,187.61,184.39,189.78,191.52,192.21,194.47,179.73,176.42,185.31,186.8,177.78,182.67,183.21,183.93,180.16,182.15,174.75,176.55,186.46,179.81,170.56,167.43,170.93,174.82,176.76,168.72,157.42,166.97,169.4,169.46,169.14,164.7,162.85,157.2,163.47,160.31,152.52,151.75,151.04,148.65,148.28,145.08,139.76,137.63,139.22,139.25,131.19,132.69,133.49,132.84,132,129.68,125.86,125.33,124.65,126.68,128.39,126.19,112.88,101.57,96.28,98.57,105.23,104.49,101.63,112.22,105.07,103.21,101.92,102.45,105.5,108.78,112.33,113.62,110.46,110.12,107.62,103.14,95.61,98.77,94.57,89.96,87.47,84.8,84.94,84.71,80.73,79.28,77.73,77.9,78.38,77.19,75.88,75.54,74.59,75.85,78.79,82.07,86.08,88.2,88.46,86.2,84.07,83.31,83.32,84.81,86.68,87.71,87.94,86.2,84.63,84.14,84.51,86.63,87.22,89.47,91.13,91.61,92.35,92.99,93.33,95.01,96.39,94.96,93.22,88.12,86.59,86.9,88.02,91.85,93.58,94.59,95.82,96.8,97.1,97.16,97.3,97.03,97.8,98.73,100.26,100.43,101.93,102.61,102.5,101.84,100.8,99.27,98.09,96.44,95.94,97.53,100.92,107.83,111.57,112.15,110.06,102.73,97.46,95.13,94.98,101.5,100.99,99.57,97.02,92.17,87.95,81.84,75.03,72.41,73.19,73.92,74.88
"18","9","  Nonprofit institutions","B702RA",12.96,12.64,13.01,13.27,14.86,14.96,15.09,14.85,15.35,15.69,15.49,16.1,16.3,16.37,15.99,16.74,16.99,17,16.68,17.46,18.39,17.48,17.27,17.77,18.81,18.82,18.61,18.34,18.85,19.11,19.43,20.45,19.48,20.57,21.06,21.85,21.39,21.61,22.12,22.63,22.99,22.96,22.95,22.99,24.05,24.57,24.3,24.34,24.93,25.38,25.8,26.26,27.45,28.14,27.9,28.37,28.3,28.37,28.54,29.02,29.17,29.85,30.49,30.58,30.55,30.86,31.22,31.84,32,32.41,32.21,32.81,33.85,33.97,34.33,34.57,35.59,35.79,36.38,36.6,36.92,37.3,37.81,38.03,37.92,38.9,39.87,40.46,40.54,40.97,41.59,41.77,41.43,41.22,40.87,41.33,42.13,42.33,42.67,43.14,43.41,43.94,44.61,44.63,44.89,45.54,45.78,45.82,45.92,46.5,47.18,47.12,47.64,48.39,49.32,49.27,48.98,48.88,49.33,49.39,50.43,50.32,50.63,51.16,51.08,51.47,51.56,51.86,52.37,53.16,53.78,54,54.73,55.08,56.05,56.37,56.81,56.95,57.2,57.89,58.34,58.92,59.51,59.78,60.05,60.46,60.78,60.99,61.16,61.48,61.67,62.42,62.71,63.35,64.04,65.02,65.82,66.71,67.26,68.21,68.84,69.69,71.37,72.44,73.9,75.06,76.31,77.57,78.54,79.5,80.21,81.02,81.7,82.66,83.87,84.68,85.32,85.97,86.6,87.22,87.72,87.84,88.47,89.32,90.13,91.04,92.09,92.86,93.42,94.27,95.34,96.2,96.93,97.62,98.15,98.64,98.9,99.55,100.36,101.19,102.11,103.19,104.26,105.02,105.7,106.17,106.87,107.51,108.13,108.81,109.44,110.35,111.1,111.57,112.19,113.09,114.07,115.33,116.07,116.49,117.31,118.17,118.93,119.69
"19","10","General government \3\","B765RA",39.16,37.51,36.97,36.17,36.04,35.45,35.7,35.94,35.84,35.78,35.61,35,34.54,35.07,35.77,38.57,39.61,42.5,44.59,45.03,45.88,46.54,46.89,46.84,47.19,47.43,47.59,47.4,47.32,47.33,47.49,47.62,47.55,47.33,47.65,47.87,47.96,48.2,48.72,49.03,49.18,49.45,49.82,49.47,49.33,49.67,50.28,50.56,50.3,50.48,50.75,51.1,51.62,52.46,52.63,52.95,53.48,53.79,54.46,55.41,55.88,56.3,56.67,56.8,57.25,57.85,58.5,58.77,59.25,59.83,60.33,60.82,60.91,61.59,62.43,63.37,64.18,65.23,66.57,67.86,68.66,69.04,69.91,70.37,71.36,72.19,72.73,72.73,73.34,73.93,74.5,74.78,74.37,74.38,74.47,74.55,74.66,74.53,74.61,74.68,74.36,74.28,74.59,75.04,74.81,74.75,74.8,75.22,75.92,76.2,76.42,76.84,77.34,77.46,77.61,77.67,77.84,77.93,78.22,78.51,78.54,78.61,78.99,79.22,79.73,79.92,80.56,81.04,81.13,80.94,80.91,81.53,81.96,82.44,82.43,82.19,82.27,82.42,82.92,83.16,83.33,83.54,83.5,83.6,83.88,83.99,84.12,83.99,84.24,84.71,85.35,85.73,86.35,86.97,87.97,88.36,88.78,89.23,89.71,90.47,90.79,91.18,91.54,92.49,93.27,93.5,93.98,94.69,95.18,95.72,96.45,96.97,97.83,98.31,98.86,99.04,99.67,99.55,99.3,99.24,99.48,99.56,99.73,99.59,99.79,99.85,99.71,99.56,99.63,99.69,99.75,99.6,99.88,100.02,99.99,99.24,99.02,100.42,100.29,100.27,100.48,100.83,101.21,101.26,101.57,102.01,102.49,102.78,102.97,103.04,103.49,103.85,104.77,105.75,105.6,105.88,106.54,107.22,108.18,108.83,109.42,109.84,110.41,110.97
"20","11","  Federal","B766RA",79.44,74.27,72.23,69.51,69.1,67.3,67.7,67.86,66.75,65.71,64.37,61.94,60.35,61.8,63.76,72.13,75.02,83.53,89.6,90.5,92.88,94.6,95.24,94.51,95.06,95.19,94.99,93.73,92.91,92.4,92.29,91.94,91.24,89.92,89.95,89.7,89.38,88.8,89.37,89.44,89.37,89.45,89.54,87.36,86.18,86,86.78,86.76,85.6,85.64,85.74,86.02,86.55,88.11,87.47,87.54,87.79,88.3,89.4,91.77,92.94,93.25,93.29,92.67,93.04,93.87,94.41,94.15,94.11,94.62,95.12,95.03,94.43,94.62,95.48,96.89,98.36,100.19,102.88,105.17,107.7,107.93,108.94,108.84,109.62,110.83,111.07,109.76,110.26,110.85,111.35,110.71,108.07,106.7,105.53,104.42,103.5,102.03,100.86,99.6,98.02,96.59,96.35,96.51,94.93,93.62,92.53,92.5,93.23,93.07,92.67,92.82,92.59,92.29,92.16,92.11,92.27,92.23,92.23,92.26,92.04,92.09,92.37,92.29,92.94,93.24,93.58,93.27,93.1,93.01,93.08,92.98,93.52,94.78,94.9,94.44,95.22,95.59,96.11,96.3,96.5,96.93,97.49,97.96,98.72,99.22,99.8,99.81,100.54,101.25,101.96,102.36,103.2,104.07,104.98,105.11,105.64,105.85,106.32,106.75,107.72,108.25,109.41,110.21,110.19,109.72,110.09,110.81,110.87,111.18,111.79,112.17,113.14,113.34,113.76,113.71,115.48,114.61,113.58,112.88,112.56,112,111.47,110.85,110.76,109.99,109.24,107.91,107.62,106.59,105.83,104.41,103.78,103.51,102.92,99.49,99.72,100.75,100.3,99.23,99.09,98.85,98.71,97.75,97.89,97.9,98.12,98.18,98.29,97.64,97.55,97.18,98.48,100.58,98.89,98.51,99.53,99.68,99.87,100.02,100.78,101.39,102.24,103.12
"21","12","  State and local","B767RA",19.77,20.08,20.36,20.56,20.55,20.56,20.73,21.03,21.45,21.91,22.34,22.66,22.74,22.81,22.88,22.98,23.15,23.34,23.56,23.78,23.93,24.1,24.32,24.58,24.84,25.12,25.46,25.75,26.01,26.25,26.53,26.87,27.09,27.38,27.82,28.27,28.56,29.17,29.66,30.09,30.34,30.7,31.19,31.7,32.05,32.64,33.18,33.61,33.77,34.02,34.38,34.76,35.28,35.79,36.34,36.78,37.44,37.65,38.11,38.42,38.56,39.03,39.54,40.02,40.5,40.99,41.68,42.19,42.91,43.53,44.03,44.79,45.21,46.11,46.94,47.67,48.17,48.86,49.56,50.39,50.4,50.85,51.64,52.34,53.42,54.07,54.73,55.32,55.97,56.55,57.14,57.82,58.42,59.06,59.72,60.34,60.93,61.43,62.09,62.8,63.1,63.68,64.26,64.86,65.3,65.85,66.46,67.11,67.8,68.31,68.84,69.38,70.26,70.58,70.87,70.98,71.16,71.31,71.75,72.18,72.33,72.4,72.84,73.22,73.68,73.82,74.6,75.48,75.7,75.45,75.37,76.36,76.74,76.83,76.76,76.63,76.36,76.39,76.9,77.16,77.31,77.41,77.08,76.99,77.04,76.96,76.87,76.67,76.68,77.03,77.64,78.02,78.53,79.04,80.09,80.6,80.96,81.53,82.03,82.94,82.95,83.27,83.26,84.29,85.43,86,86.52,87.23,87.91,88.57,89.35,89.94,90.74,91.36,91.96,92.25,92.35,92.58,92.69,92.91,93.41,93.79,94.29,94.36,94.7,95.15,95.29,95.68,95.91,96.48,96.91,97.35,98.06,98.38,98.61,99.12,98.69,100.27,100.28,100.77,101.14,101.77,102.39,102.91,103.3,103.95,104.54,104.95,105.18,105.58,106.28,106.97,107.73,108.18,108.75,109.33,109.82,110.76,112.06,112.95,113.46,113.79,114.22,114.63
"22",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","13","      Gross domestic product","B191RG",15.92,16.15,16.44,16.78,16.97,17.16,17.47,17.45,17.42,17.31,17.16,17.17,17.11,17.19,17.53,17.82,18.44,18.53,18.59,18.83,18.82,18.91,19.06,19.14,19.16,19.2,19.27,19.33,19.42,19.45,19.45,19.47,19.55,19.66,19.8,19.93,20.13,20.32,20.54,20.67,20.91,21.05,21.21,21.33,21.52,21.62,21.69,21.74,21.79,21.84,21.9,21.99,22.04,22.14,22.23,22.33,22.36,22.4,22.45,22.51,22.64,22.71,22.77,22.84,22.93,22.95,22.98,23.12,23.2,23.27,23.39,23.49,23.6,23.71,23.81,23.97,24.11,24.33,24.57,24.79,24.9,25.06,25.29,25.57,25.86,26.15,26.39,26.76,27.02,27.39,27.79,28.15,28.54,28.94,29.17,29.55,30,30.4,30.71,30.96,31.42,31.61,31.92,32.3,32.73,33.27,33.9,34.48,35.18,35.97,37.07,38.2,39.08,39.63,40.35,41.05,41.49,41.93,42.51,43.25,43.97,44.69,45.32,46.08,46.86,47.79,48.64,49.62,50.58,51.73,52.79,53.86,55.08,56.35,57.62,59.16,60.67,61.75,62.95,64.1,65,65.84,66.75,67.44,67.98,68.59,69.17,69.75,70.59,71.18,71.74,72.24,73.01,73.49,73.88,74.4,74.69,75.04,75.51,76.05,76.73,77.27,77.83,78.46,78.99,79.79,80.73,81.36,82.2,83.02,83.62,84.24,85.19,86.17,87,87.76,88.78,89.41,89.99,90.47,91.16,91.68,91.98,92.56,93.33,93.83,94.26,94.79,95.28,95.72,96.29,96.74,97.45,97.86,98.31,98.79,99.4,99.74,100.23,100.63,101.36,101.82,102.12,102.49,102.76,103.02,103.38,103.66,104.12,104.52,104.84,105.28,106.08,106.69,107.13,107.68,108.66,109.32,109.92,109.78,110.14,110.48,110.76,111.24
"24","14","Business \1\","B195RG",18.1,18.36,18.81,19.25,19.49,19.69,20.02,19.97,19.88,19.74,19.57,19.53,19.46,19.61,20,20.37,21.05,21.21,21.27,21.55,21.51,21.57,21.71,21.78,21.81,21.83,21.92,21.98,22.09,22.07,22.04,22.04,22.11,22.2,22.35,22.49,22.69,22.89,23.14,23.28,23.55,23.69,23.85,23.97,24.16,24.22,24.27,24.31,24.33,24.37,24.43,24.53,24.56,24.66,24.72,24.82,24.84,24.86,24.91,24.95,25.06,25.13,25.18,25.21,25.27,25.27,25.3,25.41,25.46,25.53,25.62,25.73,25.85,25.95,26.02,26.14,26.27,26.51,26.74,26.97,27.07,27.2,27.44,27.66,27.95,28.26,28.45,28.83,29.11,29.49,29.82,30.18,30.46,30.85,31.03,31.44,31.78,32.17,32.49,32.7,33.03,33.2,33.48,33.79,34.19,34.75,35.43,36.02,36.79,37.63,38.85,40.04,41,41.52,42.28,42.94,43.34,43.75,44.37,45.1,45.85,46.6,47.24,47.94,48.76,49.79,50.7,51.73,52.73,53.99,55.06,56.12,57.43,58.74,60.07,61.54,63.13,64.26,65.6,66.68,67.54,68.37,69.28,69.87,70.38,70.94,71.47,72.03,72.57,73.1,73.62,74.09,74.78,75.28,75.66,76.12,76.36,76.64,77,77.63,78.08,78.69,79.28,79.76,80.26,81.06,82.06,82.72,83.49,84.35,84.92,85.53,86.37,87.32,88.14,88.89,89.83,90.4,90.93,91.34,91.92,92.27,92.55,93.15,93.83,94.33,94.7,95.22,95.61,95.99,96.62,97.04,97.72,98.13,98.55,98.89,99.34,99.8,100.24,100.62,101.28,101.77,102.06,102.38,102.57,102.75,103.05,103.24,103.59,103.87,104.2,104.52,105.2,105.77,106.1,106.64,107.54,108.17,108.73,108.47,108.65,108.89,109.08,109.52
