"","Table 6#11C# Other Labor Income by Industry Group and by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:51:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Other labor income","B040RC0C",319123,336472,360532,389980,415608,449545,482769,507482,496964,490018,475385,490600,510215,544164,570393
"9",NA,"        By industry group"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B4902C0C",319123,336472,360532,389980,415608,449545,482769,507482,496964,490018,475385,490600,510215,544164,570393
"11","3","  Private industries","B4903C0C",205358,217510,234700,256097,274271,301985,329353,348904,336813,323287,300087,312914,327855,355102,371883
"12","4","    Agriculture, forestry, and fishing","B4904C0C",963,1135,1536,1867,1979,1911,2147,2201,2253,2352,2441,2479,2730,2931,3165
"13","5","    Mining","B4905C0C",3747,3474,2973,3275,3630,3742,3753,3873,3519,3323,3085,2850,2717,2964,3220
"14","6","    Construction","B4906C0C",14745,15716,16345,17535,17673,18165,19228,21453,21238,20926,15542,18778,20249,21994,23337
"15","7","    Manufacturing","B4907C0C",72548,76918,81257,83461,87278,98011,110336,115987,108891,92794,81134,82428,84001,90411,89865
"16","8","      Durable goods","B4908C0C",47412,51283,53062,53106,54953,62500,72777,77058,73128,57986,51230,53437,54837,59677,58051
"17","9","      Nondurable goods","B4909C0C",25136,25635,28195,30355,32325,35511,37559,38929,35763,34808,29904,28991,29164,30734,31814
"18","10","    Transportation and public utilities","B4910C0C",24596,23554,24489,26079,28008,30096,32396,36504,34427,33480,30764,33230,34615,37448,39191
"19","11","      Transportation","B4911C0C",14223,13209,13869,15079,15884,16955,18289,19975,19256,18895,17308,18603,18983,20368,21433
"20","12","      Communications","B4912C0C",5252,5583,5847,5685,6121,6519,6988,9299,8781,8554,8113,8936,9846,10833,11112
"21","13","      Electric, gas, and sanitary services","B4913C0C",5121,4762,4773,5315,6003,6622,7119,7230,6390,6031,5343,5691,5786,6247,6646
"22","14","    Wholesale trade","B4914C0C",13368,14777,16658,18653,20174,22107,23820,24371,23129,22925,20859,25516,27628,29562,30352
"23","15","    Retail trade","B4915C0C",18899,19373,20015,22524,24088,25898,25916,25995,25561,24857,30015,24451,24961,26927,29262
"24","16","    Finance, insurance, and real estate","B4916C0C",15249,16634,18326,21128,23182,26580,29019,30470,30153,29885,26838,33246,35068,37566,40372
"25","17","    Services","B4917C0C",41243,45929,53101,61575,68259,75475,82738,88050,87642,92745,89409,89936,95886,105299,113119
"26","18","  Government","B4918C0C",113765,118962,125832,133883,141337,147560,153416,158578,160151,166731,175298,177686,182360,189062,198510
"27","19","Rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"      By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Employer contributions to pension and welfare funds","B4920C0C",317903,335100,359021,388338,413748,447495,480600,505276,494582,487485,472717,487878,507442,541347,567486
