"","Table 2#6# Personal Consumption Expenditures by Type of Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:42:41 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Personal consumption expenditures","A002RC",77.5,70.2,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.2,67.2,71.2,81,88.9,99.7,108.5,119.8,144.2,162.3,175.4,178.8,192.7,208.6,219.7,233.4,240.5,259,271.9,287,296.6,318.1,332.3,342.7,363.8,383.1,411.7,444.3,481.8,508.7,558.7,605.5,648.9,702.4,770.7,852.5,932.4,1030.3,1149.8,1278.4,1430.4,1596.3,1762.9,1944.2,2079.3,2286.4,2498.4,2712.6,2895.2,3105.3,3356.6,3596.7,3831.5,3971.2,4209.7,4454.7,4716.4,4969,5237.5,5529.3,5856,6246.5,6683.7,6987
"9","2","Durable goods","B003RC",9.2,7.2,5.5,3.6,3.5,4.2,5.1,6.3,6.9,5.7,6.7,7.8,9.7,6.9,6.5,6.7,8,15.8,20.4,22.9,25.1,30.7,29.9,29.3,32.7,31.9,38.8,38.1,40,37.4,42.7,43.3,41.8,46.9,51.6,56.7,63.3,68.3,70.4,80.8,85.9,85,96.9,110.4,123.5,122.3,133.5,158.9,181.2,201.7,214.4,214.2,231.3,240.2,281.2,326.9,363.3,401.3,419.7,450.2,467.8,467.6,443,470.8,513.4,560.8,589.7,616.5,642.5,693.2,755.9,803.9,835.9
"10","3","  Motor vehicles and parts","A165RC",3.3,2.2,1.6,1,1.1,1.4,1.9,2.4,2.5,1.7,2.3,2.8,3.5,0.7,0.8,0.8,1,4.1,6.6,8,10.6,13.7,12.2,11.4,13.9,12.8,17.7,15.8,17.6,15.1,18.9,19.7,17.8,21.5,24.4,26,29.9,30.3,30,36.1,38.4,35.5,44.5,51.1,56.1,49.5,54.8,71.3,83.5,93.1,93.5,87,95.8,102.9,126.9,152.5,175.7,192.4,193.1,206.1,211.4,206.4,182.8,200.2,222.1,242.3,249.3,256.3,264.2,288.8,319.1,336.6,361.3
"11","4","    New autos (70)","A136RC",2.6,1.6,1.1,0.6,0.8,1,1.5,1.9,2,1.2,1.6,2.1,2.6,0.1,0.1,0.1,0,2,4,5,7.7,10.3,8.6,8,11.1,10.8,13.8,11.6,12.6,9.7,13.2,14,12.1,15,17.2,18.3,21.4,21,20,24.5,25.1,21.9,28.2,31.6,33.9,27,29.3,38.2,44.4,48.5,49.3,46.4,50.7,53.3,66,77.1,86.3,99,91.3,96.7,92.9,89.7,72.3,78,82.1,86.5,82.2,81.9,82.5,87.9,98.4,105.5,105.9
"12","5","    Net purchases of used autos (71)","A137RC",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.8,1.2,1.3,1.4,1.5,1.4,0.9,0.2,1.8,1.9,2.4,2.8,2.7,2.6,2.6,2.9,3.2,3.4,3.8,3.9,4.3,4.6,5,4.8,5.3,5.9,6.4,6.6,7.4,9.7,10.4,11.1,11.3,10.8,12.8,13.6,15.6,21.4,24.4,23.8,28.4,28.9,31,29.3,28.9,31.2,38.8,43,50,51.4,53.1,54.9,57.7,59.4,60.6
"13","6","    Other motor vehicles (72)","AOAURC",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.3,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.5,0.7,0.9,1,1.3,1.5,1.6,2.3,2.8,2.7,3.9,5.6,6.9,6.4,7.7,12.1,15.9,19.1,16.6,11.8,12.8,15.6,23,30.7,40.8,45,48.2,52.7,59,57.5,52.2,60.5,68.9,77.7,80.2,84.3,89,104.5,118.7,125.9,149
"14","7","    Tires, tubes, accessories, and other parts (73)","ATBARC",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.3,0.4,0.4,0.7,1.4,1.4,1.3,1.2,1.5,1.5,1.6,1.5,1.3,1.6,1.7,2,2.1,2.4,2.5,2.6,2.8,3,3.2,3.5,3.8,4,4.6,5.4,6.1,7.1,8,8.9,9.5,10.3,11.4,12.9,14.4,16.3,17.9,19.6,20.4,22.3,23.2,24.3,24.6,25.2,27.8,28.5,29.9,29.5,30.5,32.4,35.2,36.9,38.7,39.6,41.5,44.4,45.9,45.8
"15","8","  Furniture and household equipment","A166RC",4.7,3.8,3,2.1,1.9,2.2,2.5,3.1,3.5,3.1,3.4,3.8,4.8,4.6,3.9,3.8,4.5,8.4,10.6,11.5,11.3,13.7,14.1,14,14.7,14.8,16.4,17.3,17.2,16.9,18.1,18,18.3,19.3,20.7,23.2,25.1,28.2,30,32.9,34.7,35.7,37.8,42.4,47.9,51.5,54.5,60.2,67.2,74.3,82.7,86.7,92.1,93.4,106.6,119,128.5,143,153.4,163.6,171.4,171.4,171.5,178.7,192.4,211.2,225,236.9,248.9,265.2,285.5,304.8,306.1
"16","9","    Furniture, including mattresses and bedsprings (29)","BFNRRC",1.2,0.9,0.8,0.5,0.5,0.5,0.7,0.8,0.9,0.8,0.9,1.1,1.3,1.3,1.2,1.3,1.5,2.2,2.5,2.8,2.7,3.1,3.2,3.5,3.7,3.8,4.4,4.6,4.5,4.5,4.8,4.7,4.8,5.1,5.5,6.1,6.5,7,7.3,7.9,8.4,8.6,9.2,10.4,11.8,12.5,12.8,14.1,16.3,18,20.3,20.7,21.7,21,23.8,27.2,29.3,32.5,34.5,35.9,39.5,38.4,37.7,39,41.8,45.1,47.5,50.9,53.8,56.7,60.3,64.4,64
"17","10","    Kitchen and other household appliances (30)","BAPPRC",0.7,0.6,0.5,0.3,0.4,0.5,0.6,0.7,0.8,0.6,0.7,0.8,1.1,0.7,0.3,0.2,0.3,1.6,2.9,3.1,2.8,3.6,3.5,3.5,3.6,3.7,4.1,4.3,4.3,4.1,4.4,4.3,4.3,4.3,4.5,4.9,4.9,5.3,5.5,6.2,6.8,7.3,7.9,9,9.9,10.3,10.6,11.5,12.7,13.6,14.8,15.1,15.5,15.2,16.8,18.4,19.8,21.2,21.8,22.7,23.9,23.7,23.3,24.3,25.9,27.5,29.1,30,30.8,32.1,34.1,35.7,36.1
"18","11","    China, glassware, Tableware, and utensils (31)","BCHNRC",0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.8,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.9,1.9,2.1,2.4,2.7,2.9,3.3,3.4,3.5,3.6,4,4.6,5.1,5.6,6.3,7.1,8.3,9.3,10.3,11.5,12.5,13,13.7,14,14.8,14.7,15.9,17.1,17.9,18.1,19.6,20.8,22.5,23.8,25.4,27.2,29.1,31.4,33.3,34.1
