"","Table 3#16# Government Current Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1952 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 16, 2002  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:45:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Government \1\","A954RC",79.9,85.7,84.6,87.7,92.5,102.6,111,115.1,119.9,129.1,139.4,147,154.9,165.7,187.3,213.4,239.2,258.7,286.9,316.3,345,375.8,424.2,497.4,538.3,584.8,634.3,701.1,812,923.7,1025.1,1113.5,1192.1,1290.7,1378.1,1458.2,1532.7,1641.6,1778,1879.7,2046.9,2130.5,2196.7,2293.7,2384.5,2462.4,2529.3,2630.1,2775.8,2951.6
"9","2","General public service","G16002",11,10.7,10.7,11.4,11.6,12.2,12.3,13.8,14.9,15.3,16.3,17.1,18.3,19.4,20.9,21.9,24.4,27.1,31.2,34.5,38,43.3,50.4,57,65.5,71.1,77,86.8,100.7,121.3,141,157.8,184.2,208.1,222.2,236.8,251.7,275.1,299,284.8,344.2,350.4,362,385.1,394.5,404.6,413.2,407.7,418,401.3
"10","3","  Executive and legislative","G16003",4.8,4.3,4,4.5,4.2,4,4.1,4.2,4.5,4.9,5.1,5.1,5.3,5.6,5.8,5.6,4.4,5,5.9,7.1,7.8,8.1,10.4,11.5,12.4,12.8,12.8,14.9,18,18.1,20.5,20,23,26.7,27.9,28.3,28.7,29.5,32.8,-4.9,41.5,41.5,41.1,39,42.1,41.6,43.4,45.9,51.5,49.2
