"","Table 8#18# Rental Income of Persons by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 9:02:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Rental income of persons","B049RC",8,8.4,9.3,9.5,10.4,11.4,12.5,13.5,14.4,14.8,15.3,15.9,16.5,17.3,18.3,19,19.9,20.5,20.6,21.4,22.4,23.2,23.4,24.3,24.6,26.1,27.7,30.1,31.7,32.3,33,34,38.9,44.5,54.9,66.1,68,65.9,68.8,70.3,63.7,68.9,79.1,80.2,87.2,96,111.4,133.6,157.8,165.4,177.4,178.3,190.3,206.8,206.6,204.4
"9","2","Rental income","A2215C",7.6,8,8.6,8.9,9.8,10.7,11.7,12.7,13.6,13.9,14.3,14.9,15.6,16.3,17.3,18.1,19,19.5,19.6,20.4,21.3,22,22.2,23.1,23.3,24.7,26.1,28.2,28.8,29,29,29.6,33.8,38.4,47.3,55.2,56.4,55.2,56.9,57.6,54.6,62.2,72.4,73.2,79.4,87.7,102.8,125.2,149.4,156.9,167.2,166.9,180.4,195.8,194.9,192.6
"10","3","  Nonfarm housing","A2216C",5,5.4,6.1,6.8,7.7,8.5,9.7,11,12.2,12.7,13.1,13.7,14.4,15.3,16.3,16.9,17.7,18,18.1,18.7,19.6,20.5,20.5,21.3,21.5,23,23.6,24.2,25.3,25.6,26,26.6,30.1,34,42.7,50.5,52.1,50.9,50.8,51.2,50.2,56.5,66.2,67.2,73.6,81.6,95.5,117,140.5,147.8,158.5,158.5,172.5,188,187.6,184.9
"11","4","    Owner-occupied","A2217C",3.1,3.3,3.7,4.2,4.9,5.6,6.6,7.7,8.7,9.2,9.5,9.9,10.4,11.2,12.2,12.8,13.6,13.9,14,14.5,15.3,16,16,16.8,17,18.4,18.7,19.4,20.7,21.3,21.2,19.8,22.8,25.7,31.8,36.3,34.9,32.9,32.5,29.9,28,33.4,42.8,44.8,49,53.8,60.2,80.3,98.6,99.5,109.2,110.6,122.6,137.8,141.6,139.6
"12","5","      Permanent site","B1434C",3.1,3.3,3.7,4.2,4.8,5.6,6.6,7.7,8.6,9.1,9.4,9.8,10.3,11.2,12.1,12.7,13.5,13.8,13.9,14.4,15.1,15.8,15.8,16.5,16.7,18.1,18.4,19,20.3,20.7,20.6,18.9,21.2,23.9,30.1,34,32.8,30.7,30.3,27.4,25.1,30.4,39.1,40.3,43.4,46.4,51.5,71.7,89.8,90.9,100.4,101.1,112.6,127.4,130.1,125.9
"13","6","      Manufactured homes","B1435C",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.9,1.5,1.8,1.7,2.3,2,2.3,2.2,2.5,2.9,3.1,3.7,4.5,5.6,7.4,8.7,8.6,8.8,8.7,8.8,9.5,10,10.4,11.4,13.7
"14","7","    Tenant-occupied (permanent site)","B1436C",1.9,2.1,2.4,2.6,2.8,2.9,3.1,3.3,3.5,3.5,3.6,3.8,4,4.1,4.1,4.1,4.1,4.1,4.1,4.3,4.3,4.5,4.5,4.5,4.5,4.5,4.9,4.8,4.6,4.3,4.8,6.8,7.4,8.4,10.9,14.1,17.2,18,18.3,21.4,22.2,23.1,23.4,22.5,24.6,27.8,35.2,36.8,41.9,48.3,49.3,47.9,49.9,50.1,46.1,45.4
"15","8","  Farms owned by nonoperator landlords \1\","B1437C",1.3,1.4,1.3,1,1.2,1.3,1.3,1.1,1.1,1,1.1,1,1.1,1,1,1.2,1.3,1.4,1.4,1.5,1.6,1.4,1.5,1.6,1.6,1.5,2.3,3.6,3.1,3.1,2.6,2.6,3.2,3.9,4,3.9,3.6,3.3,4.9,4.5,3.4,4.3,4.2,4.8,5,5,5.5,5.4,5.8,5.5,6.5,6.5,6.4,6.4,6.6,6.8
"16","9","  Nonfarm nonresidential properties \2\","B1438C",1.3,1.2,1.2,1,0.9,0.8,0.7,0.5,0.3,0.2,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.8,1,1.2,1.9,1.1,1.5,1.9,1.1,0.8,1.2,1.8,2.8,3.1,3.6,2.1,2,1.5,1.4,0.6,0.9
"17","10","Royalties","B1439C",0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1,1,1,0.9,0.9,1,1,1,1.2,1.1,1.2,1.2,1.4,1.4,1.6,2,2.9,3.3,3.9,4.5,5.1,6,7.6,10.9,11.7,10.7,12,12.7,9,6.7,6.7,7,7.8,8.3,8.6,8.4,8.5,8.6,10.2,11.4,9.9,11,11.7,11.7
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
