"","Table 4#3# Exports and Imports of Goods and Services by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2003  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 8:46:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    Exports of goods and services","B020RC",41.4,45.3,49.3,57,59.3,66.2,91.8,124.3,136.3,148.9,158.8,186.1,228.7,278.9,302.8,282.6,277,303.1,303,320.3,365.6,446.9,509,557.2,601.6,636.8,658,725.1,818.6,874.2,966.4,964.9,989.3,1101.1,1034.1,1017.6
"9","2","Exports of goods \1\","A253RC",32.2,35.3,38.3,44.5,45.6,51.8,73.9,101,109.6,117.8,123.7,145.4,184,225.8,239.1,215,207.3,225.6,222.2,226,257.5,325.8,371.7,398.5,426.4,448.7,459.7,509.6,583.8,618.4,688.9,681.3,697.3,785,733.5,705.9
"10","3","  Foods, feeds, and beverages","B638RC",5,4.8,4.7,5.9,6.1,7.5,15.2,18.6,19.2,19.8,19.7,25.7,30.5,36.3,38.8,32.2,32.1,32.2,24.6,23.5,25.2,33.8,37.5,35.2,35.8,40.3,40.7,42,50.5,55.5,51.5,46.4,46,47.9,49.4,49.3
"11","4","  Industrial supplies and materials","A639RC",10,11,11.7,13.8,12.6,13.9,19.7,29.9,29.3,31.6,33.2,38.4,53.3,68,65.7,61.8,57.1,61.9,59.4,59,67.4,84.2,96.9,101.8,106.3,105.1,102.7,115.7,141.3,141.1,152.5,142.8,142.4,166.6,155.3,153.6
"12","5","    Durable goods","B686RC",3.7,4.2,4.7,5.6,4.3,4.7,7.4,10.3,9.7,10.3,10.3,13.1,18.6,24.8,20.8,17.6,17,17.7,16.9,17.7,21,28.8,35.1,35.7,37.2,36.8,37.6,41.3,49.8,51,55.1,53.7,54.3,63.6,57.1,56
"13","6","    Nondurable goods","B687RC",6.3,6.9,7,8.2,8.4,9.2,12.4,19.6,19.6,21.4,22.9,25.4,34.7,43.2,44.9,44.2,40.2,44.2,42.5,41.3,46.4,55.4,61.8,66.1,69.1,68.2,65.1,74.5,91.4,90.1,97.5,89.1,88.1,103,98.2,97.6
