"","Table 8#28# Comparison of Personal Income in the National Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September  2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2003 9:02:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","Personal income, NIPA's","A065RC",192.1,211.1,208.2,229.9,258.7,276.1,292.6,295.2,316.8,340,359.3,370,394,412.7,430.3,457.9,481,515.8,557.4,606.4,650.4,714.5,780.8,841.1,905.1,994.3,1113.4,1225.6,1331.7,1475.4,1637.1,1848.3,2081.5,2323.9,2599.4,2768.4,2946.9,3274.8,3515,3712.4,3962.5,4272.1,4599.8,4903.2,5085.4,5390.4,5610,5888,6200.9,6547.4,6937,7426,7786.5,8406.6,8685.3
"9","2","Less: Portion of personal income not included in adjusted gross income","A1457C",27,33.1,32.4,35.3,38.5,43.1,45.3,48.9,51.3,54.9,61.4,71,73.7,80,86.6,91.1,95.8,101.9,110.4,122.3,138.8,155.6,170,192.7,220.7,240.2,269.7,309.1,380.1,416,463.3,520,589.7,678.6,796.4,904.3,991.6,1109.6,1238.3,1324.4,1331.9,1417.9,1534.6,1679.6,1815.8,1941.1,2055.9,2168.4,2275.3,2373.8,2494.8,2627.9,2726.5,2895,NA
"10","3","        Nontaxable transfer payments","B1458C",10.8,10.3,11.3,13.9,11.2,11.8,12.6,14.5,15.7,16.6,19.2,23.3,24.2,25.7,29.5,30.3,32,33.2,35.9,39.6,47.6,55.6,61.6,74.3,88.2,98,111.9,132.3,167.5,182.3,194.6,209.3,232.8,276.2,314.1,344.8,372.1,371.3,397.9,424.5,435.8,463.4,502.6,550.4,615.2,681.1,729.6,759.7,806,842.3,870.1,889,911.8,946.2,NA
