"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Goods","DGDSRC1","43,769.0","38,165.0","31,708.0","24,125.0","23,756.0","28,483.0","31,628.0","35,969.0","38,374.0","36,005.0","37,921.0","40,632.0","47,448.0","51,025.0","56,331.0","60,532.0","67,624.0","86,243.0","99,428.0","107,421.0","108,082.0","116,830.0","124,750.0","128,784.0","134,833.0","135,764.0","147,398.0","152,153.0","159,605.0","161,568.0","172,607.0","177,015.0","178,809.0","188,969.0","198,154.0","212,254.0","229,676.0","249,620.0","258,991.0","284,615.0","304,677.0"
"22","4","    Durable goods","DDURRC1","9,828.0","7,661.0","5,910.0","3,957.0","3,761.0","4,563.0","5,493.0","6,749.0","7,394.0","6,123.0","7,167.0","8,288.0","10,269.0","7,630.0","7,470.0","7,742.0","9,099.0","17,113.0","21,833.0","24,454.0","26,624.0","32,445.0","31,740.0","31,242.0","34,616.0","33,711.0","40,745.0","40,169.0","42,030.0","39,530.0","44,887.0","45,626.0","44,206.0","49,464.0","54,228.0","59,557.0","66,391.0","71,745.0","73,981.0","84,827.0","90,482.0"
"23","5","    Nondurable goods","DNDGRC1","33,941.0","30,504.0","25,798.0","20,168.0","19,995.0","23,920.0","26,135.0","29,220.0","30,980.0","29,882.0","30,754.0","32,344.0","37,179.0","43,395.0","48,861.0","52,790.0","58,525.0","69,130.0","77,595.0","82,967.0","81,458.0","84,385.0","93,010.0","97,542.0","100,217.0","102,053.0","106,653.0","111,984.0","117,575.0","122,038.0","127,720.0","131,389.0","134,603.0","139,505.0","143,926.0","152,697.0","163,285.0","177,875.0","185,010.0","199,788.0","214,195.0"
"24","6","  Services","DSERRC1","33,615.0","31,971.0","28,963.0","24,587.0","22,188.0","22,977.0","24,303.0","26,218.0","28,465.0","28,263.0","29,288.0","30,658.0","33,623.0","37,979.0","43,569.0","48,116.0","52,355.0","58,060.0","62,551.0","67,589.0","70,390.0","75,362.0","83,735.0","90,687.0","98,179.0","104,160.0","111,281.0","119,416.0","127,130.0","134,459.0","144,901.0","154,563.0","163,157.0","174,139.0","184,328.0","198,939.0","213,906.0","230,977.0","248,421.0","272,834.0","299,809.0"
"25","7","Gross private domestic investment","A006RC1","17,168.0","11,428.0","6,549.0","1,818.0","2,273.0","4,296.0","7,370.0","9,391.0","12,964.0","7,943.0","10,228.0","14,577.0","19,370.0","11,763.0","7,400.0","9,180.0","12,400.0","33,129.0","37,130.0","50,345.0","39,095.0","56,532.0","62,753.0","57,267.0","60,415.0","58,068.0","73,760.0","77,682.0","76,505.0","70,949.0","85,666.0","86,477.0","86,579.0","96,976.0","103,281.0","112,153.0","129,643.0","144,186.0","142,699.0","156,922.0","173,560.0"
"26","8","  Fixed investment","A007RC1","15,628.0","11,651.0","7,661.0","4,169.0","3,676.0","4,876.0","6,230.0","8,230.0","10,339.0","8,518.0","10,021.0","12,184.0","15,040.0","9,857.0","8,146.0","10,104.0","13,876.0","27,118.0","37,680.0","44,687.0","41,787.0","50,762.0","52,844.0","53,753.0","58,467.0","60,005.0","68,772.0","73,732.0","75,728.0","71,315.0","81,749.0","83,245.0","83,605.0","90,875.0","97,660.0","107,332.0","120,396.0","130,550.0","132,833.0","147,869.0","164,387.0"
"27","9","    Nonresidential","A008RC1","11,557.0","9,184.0","5,762.0","3,294.0","2,952.0","3,833.0","4,830.0","6,404.0","8,178.0","6,279.0","6,870.0","8,541.0","10,824.0","7,504.0","6,578.0","8,608.0","12,053.0","19,163.0","25,471.0","28,879.0","26,946.0","30,018.0","34,183.0","34,895.0","38,768.0","38,563.0","43,369.0","49,745.0","53,097.0","48,492.0","53,121.0","56,389.0","56,594.0","61,232.0","64,805.0","72,232.0","85,233.0","97,172.0","99,206.0","107,670.0","120,012.0"
"28","10","      Structures","B009RC1","5,491.0","4,448.0","2,619.0","1,392.0","1,091.0","1,234.0","1,433.0","1,878.0","2,706.0","2,124.0","2,217.0","2,557.0","3,250.0","2,241.0","1,770.0","2,369.0","3,336.0","7,381.0","8,137.0","9,526.0","9,178.0","9,957.0","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0"
"29","11","      Equipment","Y033RC1","5,492.0","4,180.0","2,643.0","1,460.0","1,436.0","2,098.0","2,833.0","3,881.0","4,770.0","3,401.0","3,883.0","5,167.0","6,443.0","4,065.0","3,671.0","5,002.0","7,285.0","9,945.0","15,316.0","17,280.0","15,732.0","17,799.0","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,876.0","28,345.0","29,679.0","28,904.0","32,056.0","34,367.0","38,684.0","45,779.0","53,023.0","53,693.0","58,532.0","65,163.0"
"30","12","      Intellectual property products","Y001RC1","574.0","556.0","500.0","442.0","425.0","501.0","564.0","645.0","702.0","754.0","770.0","817.0","1,131.0","1,198.0","1,137.0","1,237.0","1,432.0","1,837.0","2,018.0","2,073.0","2,036.0","2,262.0","2,355.0","2,977.0","3,667.0","3,886.0","4,324.0","5,222.0","5,586.0","5,987.0","6,627.0","7,142.0","7,975.0","8,398.0","9,239.0","9,811.0","11,133.0","12,800.0","14,002.0","15,581.0","17,151.0"
"31","13","    Residential","A011RC1","4,071.0","2,467.0","1,899.0","875.0","724.0","1,043.0","1,400.0","1,826.0","2,161.0","2,239.0","3,151.0","3,643.0","4,216.0","2,353.0","1,568.0","1,496.0","1,823.0","7,955.0","12,209.0","15,808.0","14,841.0","20,744.0","18,661.0","18,858.0","19,699.0","21,442.0","25,403.0","23,987.0","22,631.0","22,823.0","28,628.0","26,856.0","27,011.0","29,643.0","32,855.0","35,100.0","35,163.0","33,378.0","33,627.0","40,199.0","44,375.0"
"32","14","  Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"33","15","Net exports of goods and services","A019RC1","383.0","323.0","1.0","43.0","58.0","322.0","-213.0","-147.0","78.0","966.0","833.0","1,471.0","1,033.0","-252.0","-2,246.0","-2,024.0","-766.0","7,182.0","10,807.0","5,487.0","5,235.0","738.0","2,513.0","1,164.0","-701.0","404.0","478.0","2,361.0","4,075.0","538.0","396.0","4,204.0","4,914.0","4,100.0","4,940.0","6,914.0","5,617.0","3,863.0","3,555.0","1,351.0","1,432.0"
"34","16","  Exports","B020RC1","5,939.0","4,444.0","2,906.0","1,975.0","1,987.0","2,561.0","2,769.0","3,007.0","4,039.0","3,811.0","3,969.0","4,897.0","5,482.0","4,375.0","4,034.0","4,880.0","6,781.0","14,156.0","18,740.0","15,547.0","14,484.0","12,350.0","17,099.0","16,459.0","15,313.0","15,836.0","17,677.0","21,284.0","24,017.0","20,560.0","22,725.0","27,045.0","27,602.0","29,065.0","31,075.0","35,019.0","37,146.0","40,920.0","43,467.0","47,907.0","51,923.0"
"35","17","    Goods","A253RC1","5,347.0","3,929.0","2,494.0","1,667.0","1,736.0","2,238.0","2,404.0","2,590.0","3,451.0","3,243.0","3,347.0","4,124.0","4,533.0","3,389.0","2,920.0","3,589.0","5,365.0","11,764.0","16,097.0","13,265.0","12,213.0","10,203.0","14,243.0","13,449.0","12,412.0","12,929.0","14,424.0","17,556.0","19,562.0","16,414.0","16,458.0","20,453.0","20,947.0","21,708.0","23,338.0","26,715.0","27,790.0","30,736.0","32,174.0","35,262.0","38,262.0"
"36","18","    Services","A646RC1","592.0","515.0","412.0","308.0","251.0","323.0","365.0","417.0","588.0","568.0","622.0","773.0","949.0","986.0","1,114.0","1,291.0","1,416.0","2,392.0","2,643.0","2,282.0","2,271.0","2,147.0","2,856.0","3,010.0","2,901.0","2,907.0","3,253.0","3,728.0","4,455.0","4,146.0","6,267.0","6,592.0","6,655.0","7,357.0","7,737.0","8,304.0","9,356.0","10,184.0","11,293.0","12,645.0","13,661.0"
"37","19","  Imports","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0"
"38","20","    Goods","A255RC1","4,463.0","3,104.0","2,120.0","1,343.0","1,510.0","1,763.0","2,462.0","2,546.0","3,181.0","2,173.0","2,409.0","2,698.0","3,416.0","2,744.0","3,442.0","3,813.0","3,893.0","5,067.0","5,973.0","7,557.0","6,874.0","9,081.0","11,176.0","10,838.0","10,975.0","10,353.0","11,527.0","12,803.0","13,291.0","12,951.0","15,311.0","15,220.0","15,053.0","16,869.0","17,713.0","19,392.0","22,247.0","26,334.0","27,761.0","33,946.0","36,813.0"
"39","21","    Services","B656RC1","1,093.0","1,017.0","785.0","589.0","419.0","476.0","520.0","608.0","780.0","672.0","727.0","728.0","1,033.0","1,883.0","2,838.0","3,091.0","3,654.0","1,907.0","1,960.0","2,503.0","2,375.0","2,531.0","3,410.0","4,457.0","5,039.0","5,079.0","5,672.0","6,120.0","6,651.0","7,071.0","7,018.0","7,621.0","7,635.0","8,096.0","8,422.0","8,713.0","9,282.0","10,723.0","12,151.0","12,610.0","13,678.0"
"40","22","Government consumption expenditures and gross investment","A822RC1","9,625.0","10,280.0","10,185.0","8,959.0","8,890.0","10,734.0","11,171.0","13,423.0","13,148.0","14,210.0","15,203.0","15,608.0","27,882.0","65,482.0","98,068.0","108,746.0","96,560.0","43,198.0","40,029.0","43,965.0","50,025.0","50,736.0","73,543.0","89,826.0","97,013.0","92,750.0","93,258.0","98,518.0","107,536.0","114,531.0","118,881.0","121,024.0","129,844.0","140,931.0","147,879.0","155,526.0","164,885.0","186,392.0","208,066.0","226,758.0","240,401.0"
"41","23","  Federal","A823RC1","1,877.0","1,988.0","2,045.0","1,983.0","2,439.0","3,435.0","3,550.0","5,760.0","5,274.0","5,903.0","6,222.0","6,828.0","19,098.0","56,680.0","89,469.0","100,118.0","87,305.0","32,061.0","25,813.0","27,102.0","30,471.0","29,455.0","49,977.0","64,822.0","70,266.0","63,256.0","61,010.0","63,112.0","68,448.0","71,494.0","73,548.0","72,841.0","77,354.0","85,492.0","87,834.0","90,223.0","93,149.0","106,543.0","119,959.0","127,917.0","131,146.0"
"42","24","    National defense","A824RC1","1,029.0","1,067.0","1,060.0","1,030.0","980.0","923.0","1,157.0","1,387.0","1,433.0","1,500.0","1,654.0","2,779.0","15,358.0","53,483.0","86,801.0","97,321.0","84,880.0","28,086.0","21,168.0","20,973.0","22,409.0","22,705.0","43,744.0","57,448.0","61,156.0","54,472.0","52,385.0","54,982.0","59,964.0","62,227.0","60,940.0","60,899.0","64,541.0","69,704.0","69,988.0","69,724.0","70,575.0","82,474.0","95,027.0","101,356.0","102,070.0"
"43","25","    Nondefense","A825RC1","848.0","921.0","985.0","953.0","1,459.0","2,512.0","2,393.0","4,373.0","3,841.0","4,403.0","4,568.0","4,049.0","3,740.0","3,197.0","2,668.0","2,797.0","2,425.0","3,975.0","4,645.0","6,129.0","8,062.0","6,750.0","6,233.0","7,374.0","9,110.0","8,784.0","8,625.0","8,130.0","8,484.0","9,267.0","12,608.0","11,942.0","12,813.0","15,788.0","17,846.0","20,499.0","22,574.0","24,069.0","24,932.0","26,561.0","29,076.0"
"44","26","  State and local","A829RC1","7,748.0","8,292.0","8,140.0","6,976.0","6,451.0","7,299.0","7,621.0","7,663.0","7,874.0","8,307.0","8,981.0","8,780.0","8,784.0","8,802.0","8,599.0","8,628.0","9,255.0","11,137.0","14,216.0","16,863.0","19,554.0","21,281.0","23,566.0","25,004.0","26,747.0","29,494.0","32,248.0","35,406.0","39,088.0","43,037.0","45,333.0","48,183.0","52,490.0","55,439.0","60,045.0","65,303.0","71,736.0","79,849.0","88,107.0","98,841.0","109,255.0"
