"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","1,055,640.0","965,815.0","904,053.0","787,518.0","777,602.0","861,442.0","938,181.0","1,059,555.0","1,113,568.0","1,076,707.0","1,162,596.0","1,264,999.0","1,488,930.0","1,770,295.0","2,072,020.0","2,237,532.0","2,215,925.0","1,959,037.0","1,937,567.0","2,018,005.0","2,006,981.0","2,181,876.0","2,357,716.0","2,453,736.0","2,568,912.0","2,554,388.0","2,736,390.0","2,794,747.0","2,853,529.0","2,832,622.0","3,028,077.0","3,105,761.0","3,185,102.0","3,379,878.0","3,527,066.0","3,730,496.0","3,972,893.0","4,234,948.0","4,351,188.0","4,564,724.0","4,707,931.0"
"20","2","Less: Exports of goods and services","A020RX1","40,336.0","33,338.0","27,706.0","21,710.0","21,844.0","24,280.0","25,601.0","26,895.0","33,874.0","33,510.0","35,375.0","40,241.0","41,260.0","27,252.0","22,971.0","24,673.0","34,568.0","74,663.0","85,125.0","67,047.0","66,424.0","58,161.0","71,271.0","68,188.0","63,620.0","66,699.0","73,821.0","86,008.0","93,507.0","80,866.0","89,202.0","104,687.0","105,243.0","110,551.0","118,457.0","132,404.0","136,115.0","145,547.0","148,902.0","160,605.0","168,372.0"
"21","3","Plus: Imports of goods and services","A021RX1","52,768.0","45,901.0","40,038.0","33,220.0","34,609.0","35,358.0","46,326.0","45,793.0","51,531.0","40,052.0","42,062.0","43,081.0","52,971.0","48,095.0","60,644.0","63,468.0","67,486.0","55,933.0","53,107.0","61,967.0","59,776.0","70,653.0","73,428.0","79,891.0","87,400.0","83,091.0","93,103.0","100,661.0","104,888.0","109,870.0","121,428.0","123,043.0","122,218.0","136,088.0","139,757.0","147,182.0","162,849.0","187,050.0","200,678.0","230,584.0","243,722.0"
"22","4","Equals: Gross domestic purchases","A712RX1","1,076,785.0","987,997.0","926,842.0","809,020.0","799,734.0","883,450.0","969,917.0","1,092,632.0","1,143,283.0","1,095,292.0","1,182,725.0","1,281,669.0","1,520,379.0","1,828,533.0","2,160,892.0","2,331,535.0","2,293,937.0","1,944,934.0","1,901,762.0","2,026,571.0","2,013,722.0","2,218,535.0","2,379,855.0","2,491,322.0","2,625,688.0","2,600,641.0","2,787,209.0","2,836,671.0","2,889,869.0","2,893,740.0","3,093,570.0","3,151,365.0","3,230,795.0","3,436,859.0","3,579,539.0","3,774,819.0","4,033,810.0","4,313,410.0","4,441,612.0","4,673,380.0","4,821,840.0"
"23","5","Less: Change in private inventories","A014RX1","11,353.0","-5,022.0","-11,655.0","-26,247.0","-13,444.0","-6,433.0","8,339.0","8,548.0","14,284.0","-3,360.0","1,711.0","17,758.0","29,072.0","11,327.0","-3,978.0","-4,725.0","-8,869.0","28,008.0","-3,924.0","21,290.0","-11,233.0","21,234.0","29,461.0","11,851.0","7,387.0","-7,078.0","17,571.0","13,127.0","3,226.0","-819.0","15,340.0","13,033.0","11,693.0","24,110.0","22,308.0","19,011.0","36,239.0","51,924.0","37,321.0","33,908.0","33,346.0"
"24","6","Equals: Final sales to domestic purchasers","A713RX1","1,088,287.0","1,017,815.0","960,883.0","854,556.0","829,912.0","905,731.0","970,206.0","1,094,545.0","1,135,018.0","1,109,758.0","1,190,791.0","1,266,892.0","1,490,299.0","1,828,411.0","2,189,441.0","2,362,826.0","2,331,744.0","1,915,756.0","1,930,258.0","2,007,310.0","2,052,495.0","2,201,668.0","2,348,020.0","2,493,001.0","2,635,490.0","2,633,697.0","2,782,465.0","2,840,178.0","2,908,949.0","2,917,949.0","3,095,037.0","3,157,233.0","3,238,910.0","3,428,443.0","3,574,760.0","3,775,941.0","4,012,312.0","4,271,041.0","4,420,663.0","4,658,197.0","4,807,591.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RX1","1,066,581.0","994,571.0","936,896.0","831,560.0","806,708.0","882,904.0","938,194.0","1,061,146.0","1,105,316.0","1,090,678.0","1,170,331.0","1,250,534.0","1,459,467.0","1,769,642.0","2,098,848.0","2,266,970.0","2,251,829.0","1,930,793.0","1,965,810.0","1,999,199.0","2,044,858.0","2,164,981.0","2,326,260.0","2,455,063.0","2,578,040.0","2,586,405.0","2,731,296.0","2,797,811.0","2,871,888.0","2,855,803.0","3,028,986.0","3,111,128.0","3,192,665.0","3,371,204.0","3,521,979.0","3,731,237.0","3,951,396.0","4,192,931.0","4,329,996.0","4,549,028.0","4,693,107.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
