"","Table 3#11#5# National Defense Consumption Expenditures and Gros","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"20","2","Consumption expenditures \1\","A997RC1","84,362.0","84,277.0","88,835.0","94,334.0","98,172.0","104,923.0","112,983.0","122,940.0","140,789.0","162,942.0","184,598.0","199,577.0","213,602.0","230,544.0","245,782.0","259,180.0","274,166.0","283,473.0","295,432.0","310,642.0","307,546.0","300,844.0","294,542.0","291,089.0","291,545.0","292,468.0","288,460.0","301,226.0","308,297.0","325,059.0","358,098.0","408,923.0","446,791.0","475,918.0","500,319.0","526,072.0","582,787.0","613,288.0","653,213.0","662,842.0","652,012.0"
"21","3","  Gross output of general government","W085RC1","87,577.0","88,025.0","93,154.0","98,353.0","101,663.0","108,716.0","117,045.0","127,320.0","145,800.0","168,695.0","191,259.0","206,547.0","221,821.0","239,713.0","255,744.0","269,526.0","285,111.0","294,804.0","307,898.0","322,857.0","320,232.0","313,684.0","308,983.0","303,306.0","304,005.0","304,322.0","299,925.0","312,731.0","320,714.0","339,355.0","374,153.0","426,047.0","464,209.0","495,103.0","521,615.0","547,984.0","605,869.0","636,543.0","676,777.0","687,685.0","675,939.0"
"22","4","    Value added","W086RC1","67,884.0","69,152.0","72,301.0","76,576.0","79,865.0","83,865.0","89,823.0","95,403.0","104,865.0","119,113.0","132,589.0","141,740.0","154,093.0","166,061.0","175,618.0","184,760.0","195,742.0","205,387.0","213,439.0","223,148.0","224,828.0","220,719.0","218,159.0","215,937.0","212,629.0","210,868.0","208,945.0","211,010.0","216,316.0","222,187.0","238,309.0","262,452.0","279,479.0","300,464.0","314,738.0","331,361.0","353,445.0","373,452.0","396,139.0","409,157.0","409,607.0"
"23","5","      Compensation of general government employees","B237RC1","45,598.0","46,133.0","47,652.0","50,233.0","51,785.0","53,894.0","57,612.0","60,879.0","66,734.0","76,346.0","84,826.0","89,272.0","95,853.0","102,367.0","106,198.0","109,458.0","113,835.0","117,880.0","121,205.0","126,757.0","126,755.0","120,998.0","117,368.0","114,135.0","112,011.0","111,415.0","110,771.0","112,657.0","116,933.0","123,206.0","139,358.0","160,531.0","172,193.0","186,069.0","192,903.0","201,505.0","214,387.0","228,806.0","245,019.0","251,242.0","248,553.0"
"24","6","        Military","B4080C1","30,159.0","30,326.0","30,945.0","32,000.0","32,623.0","33,688.0","35,448.0","37,390.0","41,534.0","48,769.0","54,888.0","57,817.0","61,994.0","66,227.0","69,433.0","72,204.0","74,797.0","76,529.0","78,546.0","82,351.0","80,872.0","75,086.0","71,713.0","69,512.0","67,739.0","67,785.0","68,018.0","69,802.0","72,879.0","78,372.0","89,697.0","107,436.0","113,922.0","123,340.0","127,845.0","133,177.0","142,774.0","152,002.0","159,566.0","160,674.0","158,822.0"
"25","7","        Civilian","W090RC1","15,439.0","15,807.0","16,707.0","18,233.0","19,162.0","20,206.0","22,164.0","23,489.0","25,200.0","27,577.0","29,938.0","31,455.0","33,859.0","36,140.0","36,765.0","37,254.0","39,038.0","41,351.0","42,659.0","44,406.0","45,883.0","45,912.0","45,655.0","44,623.0","44,272.0","43,630.0","42,753.0","42,855.0","44,054.0","44,834.0","49,661.0","53,095.0","58,271.0","62,729.0","65,058.0","68,328.0","71,613.0","76,804.0","85,453.0","90,568.0","89,731.0"
"26","8","      Consumption of general government fixed capital \2\","B432RC1","22,286.0","23,019.0","24,649.0","26,343.0","28,080.0","29,971.0","32,211.0","34,524.0","38,131.0","42,767.0","47,763.0","52,468.0","58,240.0","63,694.0","69,420.0","75,302.0","81,907.0","87,507.0","92,234.0","96,391.0","98,073.0","99,721.0","100,791.0","101,802.0","100,618.0","99,453.0","98,174.0","98,353.0","99,383.0","98,981.0","98,951.0","101,921.0","107,286.0","114,395.0","121,835.0","129,856.0","139,058.0","144,646.0","151,120.0","157,915.0","161,054.0"
"27","9","    Intermediate goods and services purchased \3\","W087RC1","19,693.0","18,873.0","20,853.0","21,777.0","21,798.0","24,851.0","27,222.0","31,917.0","40,935.0","49,582.0","58,670.0","64,807.0","67,728.0","73,652.0","80,126.0","84,766.0","89,369.0","89,417.0","94,459.0","99,709.0","95,404.0","92,965.0","90,824.0","87,369.0","91,376.0","93,454.0","90,980.0","101,721.0","104,398.0","117,168.0","135,844.0","163,595.0","184,730.0","194,639.0","206,877.0","216,623.0","252,424.0","263,091.0","280,638.0","278,528.0","266,332.0"
"28","10","      Durable goods","A998RC1","5,541.0","5,319.0","4,985.0","5,805.0","5,716.0","7,640.0","9,045.0","10,785.0","12,293.0","15,724.0","19,081.0","24,582.0","26,612.0","28,971.0","31,692.0","33,634.0","33,430.0","32,027.0","31,568.0","30,971.0","28,379.0","26,410.0","22,930.0","20,943.0","20,820.0","20,866.0","20,944.0","22,225.0","22,134.0","22,292.0","23,235.0","25,748.0","28,845.0","29,565.0","32,952.0","36,287.0","42,868.0","45,807.0","47,022.0","44,805.0","44,180.0"
"29","11","        Aircraft","B999RC1","2,652.0","2,366.0","1,952.0","2,078.0","2,005.0","3,288.0","3,495.0","4,775.0","5,554.0","7,750.0","10,200.0","13,626.0","14,020.0","15,386.0","17,220.0","18,177.0","17,859.0","16,391.0","14,778.0","13,648.0","12,162.0","10,697.0","9,209.0","8,852.0","8,819.0","9,362.0","9,889.0","10,460.0","9,826.0","9,752.0","9,793.0","11,256.0","11,969.0","10,744.0","11,135.0","11,509.0","12,835.0","14,680.0","16,110.0","17,912.0","19,410.0"
"30","12","        Missiles","B277RC1","1,010.0","1,093.0","1,101.0","1,351.0","1,348.0","1,355.0","1,813.0","1,760.0","1,898.0","2,299.0","2,627.0","3,242.0","3,629.0","3,824.0","4,430.0","4,632.0","4,994.0","4,973.0","5,227.0","5,315.0","4,662.0","4,222.0","3,549.0","2,840.0","2,619.0","2,317.0","2,289.0","2,232.0","2,449.0","2,600.0","2,475.0","2,376.0","2,586.0","3,273.0","4,108.0","4,498.0","4,696.0","4,525.0","4,475.0","3,645.0","3,395.0"
"31","13","        Ships","B278RC1","147.0","159.0","151.0","200.0","255.0","579.0","732.0","875.0","801.0","789.0","877.0","1,244.0","1,225.0","803.0","774.0","969.0","1,056.0","1,042.0","1,693.0","1,922.0","2,121.0","2,262.0","1,563.0","1,164.0","901.0","946.0","863.0","1,193.0","1,318.0","1,224.0","1,283.0","1,277.0","1,431.0","1,380.0","1,407.0","1,143.0","808.0","720.0","781.0","648.0","688.0"
"32","14","        Vehicles","B288RC1","410.0","361.0","344.0","596.0","584.0","752.0","1,062.0","1,115.0","1,425.0","1,659.0","1,704.0","2,277.0","2,754.0","2,860.0","3,212.0","3,079.0","2,527.0","1,880.0","1,746.0","1,837.0","1,446.0","1,264.0","920.0","1,065.0","951.0","1,180.0","908.0","739.0","657.0","709.0","712.0","735.0","792.0","1,132.0","1,699.0","2,383.0","3,094.0","3,510.0","3,475.0","2,947.0","2,479.0"
"33","15","        Electronics","B388RC1","839.0","799.0","823.0","859.0","684.0","802.0","1,001.0","1,086.0","1,399.0","1,724.0","1,999.0","2,386.0","2,652.0","3,211.0","3,349.0","3,678.0","3,652.0","3,819.0","3,802.0","3,454.0","3,321.0","3,529.0","3,045.0","2,466.0","2,511.0","2,464.0","2,351.0","2,651.0","2,906.0","2,949.0","3,242.0","3,736.0","4,371.0","5,372.0","6,381.0","7,845.0","10,892.0","11,283.0","11,055.0","8,878.0","7,752.0"
"34","16","        Other durable goods","B389RC1","483.0","541.0","614.0","721.0","840.0","864.0","942.0","1,174.0","1,216.0","1,503.0","1,674.0","1,807.0","2,332.0","2,887.0","2,707.0","3,099.0","3,342.0","3,922.0","4,322.0","4,795.0","4,667.0","4,436.0","4,644.0","4,556.0","5,019.0","4,597.0","4,644.0","4,950.0","4,978.0","5,058.0","5,730.0","6,368.0","7,696.0","7,664.0","8,222.0","8,909.0","10,543.0","11,089.0","11,126.0","10,775.0","10,456.0"
"35","17","      Nondurable goods","A725RC1","4,701.0","4,264.0","5,204.0","5,084.0","4,410.0","4,511.0","4,856.0","6,239.0","9,968.0","11,813.0","11,468.0","11,314.0","10,429.0","9,946.0","10,180.0","10,244.0","10,580.0","10,845.0","11,049.0","10,677.0","9,424.0","8,465.0","7,563.0","6,325.0","7,646.0","7,581.0","6,987.0","8,150.0","10,423.0","10,262.0","11,486.0","13,420.0","17,107.0","20,928.0","22,325.0","23,831.0","30,487.0","24,449.0","26,816.0","33,306.0","31,235.0"
"36","18","        Petroleum products","B780RC1","1,846.0","1,728.0","2,784.0","2,894.0","2,531.0","2,383.0","2,516.0","3,576.0","6,840.0","7,678.0","6,768.0","6,389.0","5,932.0","5,770.0","3,629.0","3,887.0","3,531.0","4,155.0","5,328.0","4,659.0","3,490.0","3,179.0","3,039.0","2,765.0","3,401.0","2,929.0","2,062.0","2,584.0","4,052.0","4,203.0","4,584.0","5,309.0","7,035.0","10,127.0","11,406.0","12,196.0","17,620.0","10,459.0","13,661.0","19,383.0","17,849.0"
"37","19","        Ammunition","B781RC1","2,010.0","1,683.0","1,371.0","1,073.0","585.0","839.0","1,022.0","1,243.0","1,370.0","1,627.0","2,070.0","2,506.0","2,196.0","1,338.0","3,575.0","2,817.0","3,465.0","3,064.0","2,800.0","2,667.0","2,550.0","2,515.0","1,785.0","1,196.0","1,381.0","1,689.0","1,878.0","1,900.0","1,814.0","2,066.0","2,508.0","2,624.0","3,638.0","3,971.0","4,200.0","4,074.0","4,453.0","4,178.0","4,214.0","4,256.0","4,258.0"
"38","20","        Other nondurable goods","B783RC1","845.0","853.0","1,049.0","1,117.0","1,294.0","1,289.0","1,318.0","1,420.0","1,758.0","2,508.0","2,630.0","2,419.0","2,301.0","2,838.0","2,976.0","3,540.0","3,584.0","3,626.0","2,921.0","3,351.0","3,384.0","2,771.0","2,739.0","2,364.0","2,864.0","2,963.0","3,047.0","3,666.0","4,557.0","3,993.0","4,394.0","5,487.0","6,434.0","6,830.0","6,719.0","7,561.0","8,414.0","9,812.0","8,941.0","9,667.0","9,128.0"
"39","21","      Services","A489RC1","9,451.0","9,290.0","10,664.0","10,888.0","11,672.0","12,700.0","13,321.0","14,893.0","18,674.0","22,045.0","28,121.0","28,911.0","30,687.0","34,735.0","38,254.0","40,888.0","45,359.0","46,545.0","51,842.0","58,061.0","57,601.0","58,090.0","60,331.0","60,101.0","62,910.0","65,007.0","63,049.0","71,346.0","71,841.0","84,614.0","101,123.0","124,427.0","138,778.0","144,146.0","151,600.0","156,505.0","179,069.0","192,835.0","206,800.0","200,417.0","190,917.0"
"40","22","        Installation support","B911RC1","3,818.0","3,843.0","4,551.0","4,838.0","5,320.0","5,773.0","5,895.0","6,644.0","8,251.0","9,564.0","12,550.0","12,357.0","13,767.0","15,146.0","15,990.0","17,687.0","18,279.0","17,986.0","21,375.0","22,946.0","23,068.0","25,232.0","26,242.0","25,217.0","25,995.0","25,097.0","23,924.0","25,012.0","25,094.0","27,443.0","30,705.0","35,734.0","36,590.0","35,803.0","38,214.0","38,186.0","41,369.0","44,068.0","46,223.0","45,053.0","43,256.0"
"41","23","        Weapons support","B912RC1","1,588.0","1,543.0","1,808.0","1,667.0","1,861.0","1,912.0","2,056.0","2,729.0","3,932.0","4,767.0","6,348.0","6,950.0","7,180.0","8,404.0","9,420.0","9,225.0","10,261.0","10,478.0","11,608.0","10,001.0","9,404.0","8,790.0","9,392.0","9,485.0","9,016.0","10,450.0","10,001.0","11,333.0","11,656.0","14,844.0","18,207.0","22,549.0","23,516.0","26,126.0","27,485.0","28,607.0","30,923.0","32,618.0","36,806.0","35,678.0","34,075.0"
"42","24","        Personnel support","B913RC1","1,341.0","1,444.0","1,483.0","1,603.0","1,694.0","1,924.0","2,136.0","2,126.0","2,316.0","2,869.0","3,571.0","3,939.0","3,736.0","4,970.0","6,175.0","6,808.0","9,455.0","10,157.0","10,060.0","9,452.0","13,720.0","14,707.0","16,335.0","17,034.0","19,268.0","21,318.0","20,624.0","26,039.0","26,066.0","32,389.0","42,066.0","49,469.0","61,893.0","66,319.0","70,961.0","69,952.0","86,145.0","93,602.0","99,145.0","96,430.0","95,924.0"
"43","25","        Transportation of material","B786RC1","1,779.0","1,527.0","1,731.0","1,754.0","1,771.0","1,895.0","1,871.0","2,092.0","2,616.0","2,769.0","3,007.0","3,253.0","3,307.0","3,168.0","3,366.0","3,497.0","3,648.0","3,939.0","4,777.0","8,778.0","5,941.0","4,537.0","3,796.0","4,197.0","4,644.0","3,983.0","4,204.0","4,369.0","4,335.0","4,877.0","5,081.0","10,330.0","9,143.0","7,705.0","7,647.0","11,633.0","12,082.0","13,135.0","14,754.0","13,783.0","9,143.0"
"44","26","        Travel of persons","B785RC1","925.0","933.0","1,091.0","1,026.0","1,026.0","1,196.0","1,363.0","1,302.0","1,559.0","2,076.0","2,645.0","2,412.0","2,697.0","3,047.0","3,303.0","3,671.0","3,716.0","3,985.0","4,022.0","6,884.0","5,468.0","4,824.0","4,566.0","4,168.0","3,987.0","4,159.0","4,296.0","4,593.0","4,690.0","5,061.0","5,064.0","6,345.0","7,636.0","8,193.0","7,293.0","8,127.0","8,550.0","9,412.0","9,872.0","9,473.0","8,519.0"
"45","27","  Less: Own-account investment \4\","W088RC1","2,672.0","2,824.0","2,913.0","3,030.0","3,140.0","3,233.0","3,451.0","3,770.0","4,122.0","4,631.0","5,376.0","6,343.0","7,332.0","8,346.0","9,116.0","9,342.0","9,738.0","10,295.0","10,605.0","10,420.0","10,267.0","10,169.0","9,967.0","10,036.0","9,811.0","9,764.0","9,691.0","9,722.0","10,394.0","12,175.0","13,781.0","14,566.0","14,761.0","15,697.0","16,893.0","18,558.0","19,289.0","19,458.0","19,908.0","20,929.0","20,025.0"
"46","28","  Less: Sales to other sectors","W089RC1","543.0","924.0","1,406.0","989.0","351.0","560.0","611.0","610.0","889.0","1,122.0","1,285.0","627.0","887.0","823.0","846.0","1,004.0","1,207.0","1,036.0","1,861.0","1,795.0","2,419.0","2,671.0","4,474.0","2,181.0","2,649.0","2,090.0","1,774.0","1,783.0","2,023.0","2,121.0","2,274.0","2,558.0","2,657.0","3,488.0","4,403.0","3,354.0","3,793.0","3,797.0","3,656.0","3,914.0","3,902.0"
"47","29","Gross investment \5\","A788RC1","16,276.0","17,764.0","20,364.0","22,637.0","25,614.0","27,922.0","30,040.0","34,845.0","40,174.0","48,244.0","58,186.0","69,769.0","81,058.0","95,416.0","103,406.0","110,763.0","105,448.0","105,166.0","107,327.0","101,310.0","97,172.0","89,223.0","85,774.0","84,960.0","85,003.0","78,966.0","79,242.0","81,490.0","83,405.0","87,667.0","98,746.0","110,961.0","123,439.0","132,336.0","142,071.0","152,654.0","171,340.0","174,988.0","179,553.0","173,005.0","165,121.0"
"48","30","  Structures","A808RC1","1,789.0","2,112.0","2,177.0","2,320.0","2,145.0","2,378.0","2,509.0","2,521.0","3,177.0","3,210.0","3,954.0","4,763.0","4,934.0","6,219.0","6,774.0","7,657.0","7,357.0","6,358.0","6,090.0","4,633.0","5,220.0","5,347.0","5,763.0","6,696.0","6,287.0","6,117.0","5,834.0","5,386.0","5,396.0","5,333.0","6,134.0","7,090.0","6,939.0","7,159.0","7,791.0","10,010.0","13,667.0","17,128.0","16,654.0","13,350.0","8,444.0"
"49","31","  Equipment","Y050RC1","5,314.0","5,954.0","8,215.0","9,856.0","12,138.0","13,250.0","14,279.0","17,448.0","19,790.0","24,123.0","29,069.0","35,179.0","41,091.0","47,862.0","52,722.0","54,970.0","49,578.0","51,521.0","54,636.0","53,350.0","50,701.0","44,706.0","41,894.0","39,835.0","39,855.0","33,628.0","34,048.0","36,847.0","37,767.0","39,853.0","45,583.0","50,189.0","56,675.0","60,708.0","66,825.0","70,758.0","83,827.0","86,029.0","90,286.0","86,984.0","86,172.0"
"50","32","    Aircraft","B874RC1","2,641.0","2,321.0","2,310.0","3,602.0","3,419.0","3,740.0","3,693.0","4,847.0","6,131.0","7,463.0","8,411.0","10,066.0","10,883.0","13,384.0","17,902.0","17,579.0","13,526.0","12,179.0","11,983.0","9,214.0","8,327.0","9,341.0","10,457.0","9,007.0","9,163.0","5,798.0","5,770.0","6,986.0","7,757.0","8,493.0","9,351.0","9,418.0","11,062.0","13,520.0","13,600.0","12,895.0","13,698.0","13,490.0","16,929.0","20,209.0","21,001.0"
"51","33","    Missiles","B875RC1","1,532.0","1,517.0","1,678.0","1,260.0","1,393.0","1,209.0","1,070.0","1,765.0","2,261.0","2,752.0","3,440.0","4,577.0","5,733.0","6,609.0","7,894.0","8,738.0","7,846.0","8,836.0","11,151.0","10,832.0","10,554.0","7,907.0","5,733.0","4,699.0","4,066.0","2,856.0","3,267.0","2,851.0","2,665.0","3,306.0","3,267.0","3,476.0","4,046.0","4,007.0","4,522.0","4,336.0","4,330.0","5,063.0","5,576.0","5,128.0","6,912.0"
"52","34","    Ships","B876RC1","1,799.0","1,615.0","2,191.0","2,169.0","2,362.0","3,070.0","3,867.0","4,274.0","4,140.0","5,121.0","6,217.0","7,135.0","8,044.0","8,986.0","8,880.0","8,805.0","8,617.0","9,980.0","10,803.0","10,202.0","10,083.0","8,665.0","8,054.0","8,001.0","6,776.0","6,109.0","6,429.0","6,751.0","6,583.0","7,206.0","8,668.0","9,507.0","10,017.0","9,812.0","10,531.0","10,293.0","11,029.0","11,142.0","11,776.0","11,672.0","11,945.0"
"53","35","    Vehicles","B877RC1","413.0","315.0","313.0","275.0","480.0","642.0","842.0","915.0","1,168.0","1,076.0","2,069.0","3,449.0","4,161.0","3,747.0","3,818.0","4,308.0","3,704.0","3,144.0","3,185.0","3,440.0","2,789.0","1,850.0","1,032.0","1,089.0","1,195.0","1,383.0","1,518.0","1,705.0","1,862.0","1,959.0","2,645.0","3,156.0","2,807.0","3,869.0","4,897.0","6,207.0","9,283.0","9,202.0","9,523.0","7,101.0","5,705.0"
"54","36","    Electronics","Y051RC1","559.0","601.0","589.0","709.0","756.0","907.0","1,134.0","1,238.0","1,604.0","1,985.0","2,365.0","2,899.0","3,382.0","4,295.0","4,552.0","5,079.0","4,908.0","4,735.0","4,666.0","4,243.0","4,186.0","4,428.0","3,951.0","3,475.0","3,487.0","3,445.0","3,250.0","3,797.0","4,020.0","3,946.0","4,336.0","5,026.0","5,740.0","6,605.0","8,162.0","10,293.0","13,409.0","13,234.0","12,529.0","10,316.0","9,089.0"
"55","37","    Other equipment","B879RC1","-1,630.0","-415.0","1,134.0","1,841.0","3,728.0","3,682.0","3,673.0","4,409.0","4,486.0","5,726.0","6,567.0","7,053.0","8,888.0","10,841.0","9,676.0","10,461.0","10,977.0","12,647.0","12,848.0","15,419.0","14,762.0","12,515.0","12,667.0","13,564.0","15,168.0","14,037.0","13,814.0","14,757.0","14,880.0","14,943.0","17,316.0","19,606.0","23,003.0","22,895.0","25,113.0","26,734.0","32,078.0","33,898.0","33,953.0","32,558.0","31,520.0"
"56","38","  Intellectual property products","Y052RC1","9,173.0","9,698.0","9,972.0","10,461.0","11,331.0","12,294.0","13,252.0","14,876.0","17,207.0","20,911.0","25,163.0","29,827.0","35,033.0","41,335.0","43,910.0","48,136.0","48,513.0","47,287.0","46,601.0","43,327.0","41,251.0","39,170.0","38,117.0","38,429.0","38,861.0","39,221.0","39,360.0","39,257.0","40,242.0","42,481.0","47,029.0","53,682.0","59,825.0","64,469.0","67,455.0","71,886.0","73,846.0","71,831.0","72,613.0","72,671.0","70,505.0"
"57","39","    Software","Y053RC1","257.0","321.0","394.0","491.0","526.0","565.0","661.0","832.0","1,003.0","1,262.0","1,443.0","1,687.0","2,247.0","2,745.0","3,224.0","3,627.0","4,262.0","4,818.0","5,189.0","5,428.0","5,635.0","5,439.0","5,305.0","5,291.0","5,507.0","5,584.0","5,871.0","5,943.0","6,045.0","5,753.0","5,612.0","5,447.0","5,684.0","5,926.0","6,186.0","6,516.0","6,893.0","6,836.0","7,304.0","7,624.0","7,655.0"
"58","40","    Research and development","Y076RC1","8,916.0","9,377.0","9,578.0","9,970.0","10,805.0","11,729.0","12,591.0","14,044.0","16,204.0","19,649.0","23,720.0","28,140.0","32,786.0","38,590.0","40,686.0","44,509.0","44,251.0","42,469.0","41,412.0","37,899.0","35,616.0","33,731.0","32,812.0","33,138.0","33,354.0","33,637.0","33,489.0","33,314.0","34,197.0","36,728.0","41,417.0","48,235.0","54,141.0","58,543.0","61,269.0","65,370.0","66,953.0","64,995.0","65,309.0","65,047.0","62,850.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
