"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    National income without capital consumption adjustment","J422RC1","240,337.0","248,634.0","253,361.0","255,250.0","247,727.0","244,024.0","244,066.0","240,074.0","250,394.0","262,547.0","279,707.0","290,409.0","302,398.0","309,925.0","315,324.0","321,697.0","323,098.0","324,855.0","331,188.0","342,509.0","348,338.0","350,945.0","349,070.0","341,286.0","342,792.0","342,845.0","345,870.0","354,304.0","366,211.0","375,222.0","382,541.0","389,069.0","393,048.0","399,157.0","404,194.0","412,416.0","419,122.0","421,247.0","425,143.0","418,762.0","413,321.0","415,308.0","427,657.0","439,333.0","451,148.0","464,896.0","461,868.0","466,780.0","479,682.0","480,094.0","481,334.0","479,526.0","481,546.0","491,057.0","500,304.0","514,086.0","522,085.0","528,353.0","534,090.0","541,659.0","548,333.0","557,154.0","565,484.0","575,323.0","587,476.0","597,418.0","608,647.0","616,746.0","635,342.0","646,528.0","657,728.0","677,070.0","697,315.0","707,121.0","718,461.0","730,954.0","737,350.0","744,107.0","759,644.0","775,657.0","796,822.0","818,151.0","837,241.0","853,740.0","870,008.0","886,477.0","905,380.0","914,215.0"
"21","2","Domestic industries","J423RC1","239,155.0","247,391.0","252,136.0","254,007.0","246,574.0","242,925.0","243,031.0","239,191.0","249,411.0","261,478.0","278,368.0","289,064.0","301,143.0","308,332.0","313,632.0","319,860.0","321,451.0","323,191.0","329,578.0","340,928.0","346,805.0","349,284.0","347,647.0","339,825.0","341,218.0","341,281.0","344,245.0","352,410.0","364,211.0","373,222.0","380,472.0","386,934.0","390,571.0","396,688.0","401,635.0","410,252.0","416,464.0","418,328.0","422,348.0","416,669.0","411,131.0","413,061.0","425,510.0","437,190.0","448,566.0","462,303.0","459,029.0","463,736.0","476,821.0","477,096.0","478,149.0","476,133.0","477,913.0","487,640.0","496,826.0","510,553.0","518,432.0","524,341.0","530,063.0","536,963.0","543,800.0","552,805.0","561,057.0","570,732.0","582,401.0","592,529.0","603,598.0","612,060.0","629,918.0","640,911.0","652,479.0","672,229.0","692,252.0","702,044.0","713,502.0","725,767.0","732,199.0","739,051.0","753,916.0","769,991.0","791,003.0","812,144.0","830,985.0","847,459.0","863,674.0","880,310.0","899,431.0","908,210.0"
"22","3","  Private industries","J736RC1","217,483.0","225,307.0","228,852.0","229,926.0","221,975.0","217,815.0","217,580.0","213,579.0","223,759.0","235,621.0","251,373.0","260,620.0","269,704.0","274,739.0","276,811.0","282,937.0","282,710.0","283,516.0","289,081.0","299,946.0","305,883.0","307,955.0","306,620.0","298,173.0","299,240.0","299,766.0","301,952.0","309,541.0","321,132.0","329,218.0","335,920.0","341,933.0","345,074.0","350,499.0","354,805.0","362,988.0","368,376.0","369,200.0","371,875.0","365,918.0","359,120.0","360,287.0","371,803.0","382,957.0","393,647.0","406,965.0","403,254.0","407,311.0","419,217.0","418,347.0","418,134.0","415,294.0","416,259.0","425,158.0","433,181.0","445,234.0","452,064.0","457,294.0","462,330.0","467,933.0","473,135.0","481,121.0","488,269.0","495,890.0","506,204.0","515,074.0","524,713.0","531,715.0","548,674.0","558,241.0","567,543.0","584,272.0","601,962.0","609,360.0","617,623.0","627,200.0","631,985.0","636,828.0","649,073.0","661,561.0","679,078.0","697,182.0","711,992.0","726,755.0","741,305.0","755,441.0","768,958.0","775,495.0"
"23","4","    Agriculture, forestry, and fishing","J424RC1","19,535.0","23,173.0","22,784.0","21,292.0","17,873.0","17,290.0","16,552.0","16,197.0","16,947.0","17,142.0","18,390.0","19,406.0","20,376.0","21,019.0","20,642.0","21,169.0","19,428.0","20,178.0","21,453.0","18,473.0","18,685.0","17,893.0","17,247.0","16,924.0","18,132.0","17,196.0","17,307.0","16,113.0","16,359.0","16,790.0","16,219.0","15,379.0","15,662.0","15,823.0","16,235.0","16,266.0","15,369.0","15,743.0","16,192.0","16,039.0","18,553.0","18,568.0","17,872.0","16,892.0","16,923.0","15,779.0","15,616.0","16,436.0","15,948.0","16,915.0","17,571.0","18,105.0","18,009.0","16,646.0","16,995.0","17,810.0","18,114.0","17,591.0","17,179.0","17,644.0","18,153.0","17,443.0","17,315.0","17,455.0","16,245.0","16,231.0","16,178.0","17,440.0","18,331.0","19,006.0","19,223.0","19,706.0","21,850.0","19,359.0","19,188.0","19,139.0","19,148.0","18,458.0","19,462.0","19,195.0","19,284.0","19,014.0","19,892.0","20,323.0","19,758.0","21,137.0","21,913.0","23,100.0"
"24","5","    Mining","J734RC1","5,539.0","5,562.0","6,112.0","6,049.0","5,663.0","5,255.0","4,653.0","4,431.0","4,797.0","5,812.0","6,315.0","6,421.0","6,306.0","6,376.0","6,415.0","6,466.0","6,587.0","5,907.0","6,070.0","6,364.0","6,261.0","6,250.0","6,393.0","6,157.0","6,068.0","6,063.0","6,039.0","6,270.0","6,463.0","6,724.0","6,827.0","7,223.0","7,500.0","7,686.0","7,496.0","7,675.0","7,648.0","7,730.0","7,700.0","7,335.0","7,017.0","6,654.0","6,825.0","6,916.0","6,814.0","6,845.0","6,387.0","6,478.0","6,676.0","6,945.0","6,925.0","6,962.0","6,830.0","6,854.0","7,042.0","7,110.0","6,984.0","6,862.0","6,758.0","6,857.0","6,981.0","7,307.0","7,397.0","7,393.0","7,475.0","7,625.0","7,409.0","7,530.0","7,572.0","7,497.0","7,553.0","7,611.0","7,749.0","7,686.0","7,984.0","7,950.0","7,988.0","8,029.0","8,200.0","8,219.0","8,559.0","9,097.0","9,165.0","8,911.0","9,001.0","9,100.0","9,312.0","9,451.0"
"25","6","    Construction","J735RC1","10,248.0","10,966.0","11,557.0","11,598.0","11,314.0","10,909.0","10,843.0","10,919.0","11,367.0","12,126.0","12,997.0","13,670.0","14,287.0","14,866.0","15,017.0","15,336.0","15,772.0","15,809.0","16,235.0","16,529.0","16,713.0","16,464.0","16,457.0","16,798.0","16,708.0","16,789.0","16,548.0","16,767.0","17,321.0","17,861.0","18,222.0","18,143.0","18,940.0","19,837.0","20,377.0","20,605.0","20,682.0","20,921.0","20,821.0","20,827.0","20,102.0","19,979.0","20,435.0","20,950.0","21,503.0","22,160.0","22,436.0","22,407.0","22,250.0","22,644.0","22,981.0","22,695.0","23,095.0","23,419.0","23,720.0","24,352.0","24,525.0","25,314.0","25,904.0","25,835.0","26,265.0","26,873.0","27,518.0","27,885.0","28,646.0","29,447.0","30,032.0","30,825.0","31,546.0","32,159.0","32,690.0","34,061.0","34,764.0","35,606.0","35,937.0","36,041.0","36,462.0","36,627.0","37,578.0","38,224.0","38,975.0","40,273.0","41,026.0","42,531.0","44,052.0","45,708.0","46,541.0","46,058.0"
"26","7","    Manufacturing","J426RC1","73,588.0","74,462.0","75,847.0","77,057.0","73,853.0","70,484.0","72,105.0","68,808.0","73,364.0","79,862.0","87,893.0","93,688.0","96,224.0","98,395.0","98,348.0","99,717.0","100,216.0","98,663.0","99,802.0","108,468.0","112,889.0","113,361.0","111,956.0","103,936.0","103,928.0","103,638.0","102,618.0","107,163.0","113,156.0","117,311.0","120,102.0","123,712.0","123,361.0","124,079.0","123,402.0","128,651.0","131,203.0","129,672.0","128,891.0","124,142.0","116,494.0","115,250.0","121,242.0","127,132.0","133,600.0","140,499.0","134,852.0","134,175.0","142,771.0","138,157.0","136,089.0","131,756.0","129,632.0","135,649.0","138,915.0","143,961.0","146,789.0","148,175.0","149,316.0","152,337.0","152,824.0","156,827.0","159,063.0","161,490.0","165,107.0","167,513.0","171,064.0","172,207.0","182,060.0","184,268.0","187,340.0","193,367.0","201,649.0","204,839.0","206,522.0","209,474.0","207,903.0","207,263.0","209,586.0","215,350.0","220,919.0","227,703.0","230,473.0","236,671.0","239,336.0","240,013.0","242,934.0","241,557.0"
"27","8","      Durable goods","J428RC1","36,740.0","36,558.0","37,764.0","39,056.0","37,782.0","35,475.0","36,630.0","33,690.0","37,471.0","42,305.0","48,156.0","51,990.0","53,108.0","54,424.0","53,772.0","55,447.0","56,362.0","54,812.0","55,063.0","62,210.0","65,672.0","65,793.0","64,720.0","58,409.0","58,014.0","57,820.0","56,880.0","59,864.0","64,491.0","67,074.0","68,935.0","70,597.0","69,947.0","70,464.0","69,756.0","74,322.0","76,815.0","75,429.0","74,624.0","70,623.0","64,117.0","62,903.0","66,422.0","71,173.0","76,179.0","82,154.0","76,121.0","75,778.0","83,159.0","78,913.0","76,697.0","73,547.0","71,328.0","75,693.0","78,137.0","82,136.0","84,586.0","85,246.0","86,432.0","88,373.0","88,819.0","91,850.0","92,645.0","94,549.0","96,890.0","98,186.0","100,746.0","100,626.0","108,435.0","109,798.0","111,869.0","115,641.0","121,432.0","122,684.0","124,100.0","125,852.0","124,200.0","124,353.0","125,135.0","128,315.0","132,099.0","136,267.0","136,968.0","142,341.0","144,601.0","143,549.0","144,916.0","143,710.0"
"28","9","      Nondurable goods","J427RC1","36,849.0","37,904.0","38,083.0","38,001.0","36,074.0","35,010.0","35,476.0","35,119.0","35,892.0","37,555.0","39,739.0","41,699.0","43,115.0","43,971.0","44,575.0","44,270.0","43,857.0","43,852.0","44,739.0","46,258.0","47,215.0","47,569.0","47,235.0","45,528.0","45,915.0","45,818.0","45,737.0","47,299.0","48,666.0","50,238.0","51,168.0","53,115.0","53,416.0","53,616.0","53,646.0","54,327.0","54,389.0","54,242.0","54,266.0","53,520.0","52,377.0","52,346.0","54,820.0","55,960.0","57,420.0","58,345.0","58,728.0","58,397.0","59,612.0","59,245.0","59,391.0","58,210.0","58,304.0","59,956.0","60,778.0","61,824.0","62,202.0","62,929.0","62,883.0","63,964.0","64,004.0","64,976.0","66,418.0","66,940.0","68,216.0","69,328.0","70,319.0","71,581.0","73,625.0","74,470.0","75,473.0","77,727.0","80,215.0","82,155.0","82,422.0","83,623.0","83,704.0","82,908.0","84,449.0","87,036.0","88,820.0","91,437.0","93,506.0","94,329.0","94,735.0","96,463.0","98,019.0","97,847.0"
"29","10","    Transportation and public utilities","J737RC1","20,782.0","21,130.0","21,634.0","21,677.0","21,185.0","22,012.0","21,525.0","21,004.0","22,011.0","23,186.0","25,130.0","25,678.0","26,254.0","27,311.0","26,950.0","27,977.0","28,742.0","28,076.0","29,005.0","29,868.0","30,179.0","30,960.0","30,989.0","30,460.0","29,861.0","29,932.0","30,057.0","30,404.0","31,231.0","32,236.0","32,915.0","33,537.0","34,471.0","34,915.0","34,796.0","35,575.0","36,401.0","36,597.0","37,014.0","36,512.0","35,607.0","35,783.0","36,884.0","37,973.0","38,951.0","39,889.0","39,094.0","39,889.0","41,212.0","41,616.0","41,439.0","41,642.0","41,347.0","42,230.0","43,055.0","44,322.0","44,564.0","44,789.0","45,235.0","45,268.0","46,003.0","47,117.0","47,720.0","48,361.0","49,525.0","49,944.0","50,501.0","51,122.0","52,024.0","53,206.0","54,034.0","55,573.0","56,540.0","57,810.0","58,449.0","59,319.0","59,253.0","59,677.0","60,655.0","61,661.0","62,973.0","64,270.0","65,675.0","66,894.0","68,011.0","70,368.0","70,834.0","71,988.0"
"30","11","      Transportation","J429RC1","13,576.0","13,664.0","14,112.0","13,883.0","13,170.0","13,676.0","13,007.0","12,511.0","13,302.0","14,083.0","15,606.0","16,031.0","16,007.0","16,909.0","16,193.0","16,800.0","17,252.0","16,624.0","17,174.0","17,553.0","17,527.0","18,031.0","17,817.0","17,233.0","16,516.0","16,335.0","16,283.0","16,497.0","17,068.0","17,682.0","18,206.0","18,357.0","18,945.0","19,147.0","18,628.0","19,281.0","19,591.0","19,598.0","19,890.0","19,204.0","18,092.0","17,932.0","18,650.0","19,371.0","19,604.0","20,065.0","18,823.0","19,245.0","20,099.0","20,026.0","19,564.0","19,533.0","19,123.0","19,627.0","20,235.0","20,874.0","20,886.0","20,865.0","20,838.0","20,972.0","20,919.0","21,871.0","21,936.0","22,355.0","22,841.0","22,847.0","23,215.0","23,329.0","23,781.0","24,760.0","25,266.0","25,891.0","26,310.0","26,904.0","26,855.0","27,532.0","27,079.0","26,962.0","27,560.0","27,883.0","28,670.0","29,449.0","29,562.0","29,970.0","29,999.0","31,585.0","31,527.0","32,286.0"
"31","12","      Communication","J430RC1","3,689.0","3,820.0","3,821.0","3,897.0","3,940.0","4,111.0","4,158.0","4,223.0","4,299.0","4,505.0","4,836.0","4,834.0","5,153.0","5,207.0","5,398.0","5,599.0","5,801.0","5,766.0","6,016.0","6,258.0","6,501.0","6,687.0","6,745.0","6,768.0","6,664.0","6,739.0","6,787.0","6,888.0","7,101.0","7,303.0","7,487.0","7,688.0","7,883.0","8,007.0","8,257.0","8,378.0","8,623.0","8,713.0","8,754.0","8,847.0","8,869.0","9,063.0","9,256.0","9,420.0","9,894.0","10,097.0","10,215.0","10,356.0","10,533.0","10,755.0","10,962.0","11,044.0","11,151.0","11,254.0","11,371.0","11,643.0","11,897.0","11,975.0","12,239.0","12,276.0","12,565.0","12,776.0","13,065.0","13,177.0","13,452.0","13,712.0","13,716.0","14,055.0","14,466.0","14,503.0","14,901.0","15,442.0","15,740.0","16,107.0","16,519.0","16,654.0","16,934.0","17,226.0","17,568.0","17,752.0","18,074.0","18,106.0","18,895.0","19,505.0","20,288.0","20,848.0","20,997.0","21,440.0"
"32","13","      Electric, gas, and sanitary services","J431RC1","3,516.0","3,647.0","3,700.0","3,899.0","4,075.0","4,224.0","4,360.0","4,270.0","4,407.0","4,597.0","4,688.0","4,813.0","5,093.0","5,194.0","5,360.0","5,579.0","5,690.0","5,687.0","5,815.0","6,057.0","6,153.0","6,240.0","6,426.0","6,458.0","6,680.0","6,859.0","6,988.0","7,018.0","7,060.0","7,250.0","7,223.0","7,494.0","7,644.0","7,761.0","7,910.0","7,917.0","8,185.0","8,285.0","8,372.0","8,461.0","8,648.0","8,787.0","8,979.0","9,180.0","9,451.0","9,729.0","10,056.0","10,288.0","10,579.0","10,835.0","10,915.0","11,063.0","11,072.0","11,349.0","11,447.0","11,805.0","11,781.0","11,948.0","12,157.0","12,021.0","12,519.0","12,470.0","12,720.0","12,830.0","13,232.0","13,382.0","13,569.0","13,738.0","13,779.0","13,941.0","13,866.0","14,241.0","14,489.0","14,800.0","15,074.0","15,132.0","15,240.0","15,489.0","15,527.0","16,026.0","16,229.0","16,715.0","17,219.0","17,418.0","17,722.0","17,935.0","18,309.0","18,262.0"
"33","14","    Wholesale trade","J433RC1","16,743.0","17,115.0","17,189.0","17,257.0","16,992.0","16,633.0","16,523.0","16,174.0","16,966.0","17,559.0","19,049.0","19,294.0","20,307.0","20,685.0","20,859.0","21,265.0","21,048.0","21,125.0","21,387.0","21,679.0","21,762.0","22,168.0","21,959.0","21,665.0","21,735.0","21,748.0","22,057.0","23,092.0","23,763.0","24,363.0","25,254.0","25,698.0","25,853.0","26,637.0","27,695.0","27,892.0","28,337.0","28,363.0","28,641.0","28,260.0","27,735.0","28,050.0","29,751.0","31,171.0","32,144.0","33,622.0","34,419.0","34,476.0","35,297.0","35,143.0","35,623.0","35,593.0","35,415.0","35,451.0","37,017.0","38,280.0","38,224.0","38,702.0","39,497.0","39,176.0","39,690.0","40,312.0","41,057.0","41,660.0","42,583.0","43,301.0","44,048.0","44,289.0","45,657.0","46,732.0","46,664.0","48,206.0","49,863.0","50,550.0","50,986.0","51,969.0","52,686.0","53,159.0","54,179.0","55,204.0","56,315.0","58,472.0","60,431.0","61,344.0","62,207.0","63,587.0","64,825.0","66,373.0"
