"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RC1","243,080.0","246,267.0","250,115.0","260,309.0","266,173.0","272,897.0","279,497.0","280,656.0","275,370.0","271,692.0","273,262.0","270,984.0","281,209.0","290,735.0","308,510.0","320,320.0","336,372.0","344,455.0","351,774.0","356,579.0","360,195.0","361,414.0","368,084.0","381,241.0","388,472.0","392,259.0","391,696.0","386,521.0","385,924.0","386,716.0","391,596.0","400,348.0","413,753.0","422,226.0","430,925.0","437,787.0","440,491.0","446,771.0","451,983.0","461,278.0","470,578.0","472,835.0","480,315.0","475,681.0","468,353.0","472,786.0","486,653.0","500,380.0","511,063.0","524,241.0","525,196.0","529,322.0","543,347.0","542,697.0","546,012.0","541,063.0","545,949.0","557,430.0","568,228.0","581,624.0","595,176.0","602,580.0","609,575.0","613,131.0","622,680.0","631,835.0","644,960.0","654,840.0","671,150.0","680,758.0","692,806.0","698,424.0","719,247.0","732,368.0","750,184.0","773,105.0","797,327.0","807,153.0","820,799.0","834,864.0","846,046.0","851,058.0","866,614.0","883,201.0","911,135.0","936,297.0","952,347.0","970,129.0","995,419.0","1,011,361.0"
"21","2","Personal consumption expenditures","DPCERC1","156,288.0","160,158.0","163,667.0","167,797.0","170,500.0","174,272.0","177,204.0","178,060.0","176,966.0","178,583.0","177,945.0","180,390.0","183,065.0","186,953.0","200,653.0","198,090.0","209,356.0","205,090.0","207,758.0","211,733.0","213,094.0","217,227.0","219,715.0","227,856.0","231,463.0","233,224.0","233,949.0","233,411.0","235,447.0","238,193.0","240,629.0","245,435.0","251,764.0","256,848.0","261,049.0","265,053.0","266,584.0","269,274.0","272,521.0","277,896.0","282,333.0","284,619.0","289,189.0","290,802.0","290,331.0","293,248.0","298,308.0","302,222.0","309,867.0","315,885.0","321,086.0","323,194.0","326,727.0","332,591.0","332,534.0","334,454.0","334,981.0","339,939.0","342,839.0","350,109.0","355,384.0","361,016.0","364,878.0","371,149.0","374,718.0","378,851.0","385,841.0","390,504.0","400,121.0","408,085.0","416,985.0","419,574.0","430,289.0","437,240.0","446,422.0","460,373.0","470,785.0","475,855.0","484,978.0","490,763.0","495,072.0","504,197.0","511,436.0","518,941.0","536,864.0","550,592.0","566,726.0","575,628.0","587,812.0","599,170.0"
"22","3","  Goods","DGDSRC1","95,593.0","98,250.0","100,418.0","103,453.0","105,094.0","107,188.0","108,743.0","108,656.0","107,167.0","108,283.0","107,569.0","109,305.0","110,800.0","112,588.0","123,988.0","119,943.0","127,605.0","122,182.0","123,363.0","125,844.0","125,538.0","127,606.0","127,941.0","134,054.0","135,702.0","135,575.0","134,420.0","133,641.0","134,173.0","134,969.0","135,430.0","138,495.0","142,939.0","146,831.0","149,363.0","150,460.0","150,215.0","151,111.0","152,116.0","155,173.0","158,013.0","158,648.0","161,228.0","160,519.0","159,258.0","159,819.0","162,423.0","164,772.0","169,723.0","172,618.0","174,526.0","173,564.0","175,059.0","178,398.0","177,504.0","177,103.0","175,643.0","177,565.0","179,178.0","182,848.0","185,535.0","187,793.0","189,528.0","193,023.0","195,046.0","196,687.0","199,869.0","201,017.0","206,648.0","210,932.0","216,253.0","215,176.0","222,675.0","225,584.0","230,768.0","239,672.0","246,405.0","246,956.0","252,094.0","253,022.0","253,480.0","258,504.0","260,475.0","263,505.0","274,392.0","280,854.0","290,386.0","292,834.0","298,845.0","302,664.0"
"23","4","    Durable goods","DDURRC1","20,721.0","21,352.0","21,770.0","23,487.0","23,548.0","24,019.0","25,277.0","24,970.0","24,435.0","26,389.0","27,314.0","28,356.0","29,335.0","29,800.0","37,355.0","33,292.0","35,638.0","30,736.0","30,192.0","30,390.0","30,776.0","31,006.0","29,467.0","33,723.0","35,185.0","35,019.0","34,577.0","33,682.0","32,911.0","33,645.0","33,233.0","35,064.0","38,437.0","40,708.0","42,421.0","41,413.0","39,673.0","39,819.0","39,685.0","41,497.0","42,598.0","42,169.0","41,874.0","41,466.0","39,396.0","38,635.0","39,396.0","40,693.0","43,649.0","45,464.0","46,336.0","44,103.0","45,456.0","46,434.0","45,925.0","44,689.0","42,241.0","43,320.0","44,581.0","46,683.0","47,702.0","49,047.0","49,567.0","51,546.0","52,589.0","53,882.0","54,701.0","55,739.0","57,995.0","59,477.0","61,376.0","59,377.0","64,915.0","64,817.0","66,700.0","69,128.0","72,311.0","69,720.0","72,323.0","72,626.0","71,104.0","74,482.0","74,698.0","75,641.0","80,858.0","83,084.0","87,544.0","87,826.0","90,010.0","90,448.0"
"24","5","    Nondurable goods","DNDGRC1","74,872.0","76,898.0","78,648.0","79,966.0","81,546.0","83,169.0","83,466.0","83,686.0","82,732.0","81,894.0","80,255.0","80,949.0","81,465.0","82,788.0","86,633.0","86,651.0","91,967.0","91,446.0","93,171.0","95,454.0","94,762.0","96,600.0","98,474.0","100,331.0","100,517.0","100,556.0","99,843.0","99,959.0","101,262.0","101,324.0","102,197.0","103,431.0","104,502.0","106,123.0","106,942.0","109,047.0","110,542.0","111,292.0","112,431.0","113,676.0","115,415.0","116,479.0","119,354.0","119,053.0","119,862.0","121,184.0","123,027.0","124,079.0","126,074.0","127,154.0","128,190.0","129,461.0","129,603.0","131,964.0","131,579.0","132,414.0","133,402.0","134,245.0","134,597.0","136,165.0","137,833.0","138,746.0","139,961.0","141,477.0","142,457.0","142,805.0","145,168.0","145,278.0","148,653.0","151,455.0","154,877.0","155,799.0","157,760.0","160,767.0","164,068.0","170,544.0","174,094.0","177,236.0","179,771.0","180,396.0","182,376.0","184,022.0","185,777.0","187,864.0","193,534.0","197,770.0","202,842.0","205,008.0","208,835.0","212,216.0"
"25","6","  Services","DSERRC1","60,695.0","61,908.0","63,249.0","64,344.0","65,406.0","67,084.0","68,461.0","69,404.0","69,799.0","70,300.0","70,376.0","71,085.0","72,265.0","74,365.0","76,665.0","78,147.0","81,751.0","82,908.0","84,395.0","85,889.0","87,556.0","89,621.0","91,774.0","93,802.0","95,761.0","97,649.0","99,529.0","99,770.0","101,274.0","103,224.0","105,199.0","106,940.0","108,825.0","110,017.0","111,686.0","114,593.0","116,369.0","118,163.0","120,405.0","122,723.0","124,320.0","125,971.0","127,961.0","130,283.0","131,073.0","133,429.0","135,885.0","137,450.0","140,144.0","143,267.0","146,560.0","149,630.0","151,668.0","154,193.0","155,030.0","157,351.0","159,338.0","162,374.0","163,661.0","167,261.0","169,849.0","173,223.0","175,350.0","178,126.0","179,672.0","182,164.0","185,972.0","189,487.0","193,473.0","197,153.0","200,732.0","204,398.0","207,614.0","211,656.0","215,654.0","220,701.0","224,380.0","228,899.0","232,884.0","237,741.0","241,592.0","245,693.0","250,961.0","255,436.0","262,472.0","269,738.0","276,340.0","282,794.0","288,967.0","296,506.0"
"26","7","Gross private domestic investment","A006RC1","35,856.0","34,504.0","34,909.0","43,249.0","47,200.0","50,333.0","52,513.0","51,332.0","43,137.0","36,239.0","39,547.0","37,462.0","46,747.0","52,288.0","58,643.0","68,438.0","64,583.0","67,379.0","61,976.0","57,081.0","58,130.0","53,000.0","57,216.0","60,738.0","61,659.0","62,117.0","61,433.0","56,445.0","55,712.0","55,446.0","58,967.0","62,138.0","68,720.0","72,685.0","74,746.0","78,881.0","78,303.0","77,018.0","78,264.0","77,146.0","77,728.0","77,906.0","79,337.0","71,046.0","66,731.0","65,062.0","71,998.0","80,002.0","83,165.0","89,380.0","83,606.0","86,525.0","96,473.0","87,094.0","86,373.0","75,963.0","78,377.0","84,108.0","90,914.0","92,931.0","98,075.0","96,704.0","98,160.0","94,970.0","99,686.0","101,648.0","104,607.0","107,188.0","110,473.0","110,522.0","112,631.0","114,982.0","126,538.0","127,048.0","131,236.0","133,750.0","144,197.0","143,500.0","143,191.0","145,855.0","142,809.0","137,493.0","142,836.0","147,654.0","152,288.0","158,942.0","155,684.0","160,757.0","172,388.0","172,720.0"
"27","8","  Fixed investment","A007RC1","35,361.0","35,744.0","37,826.0","41,793.0","43,574.0","44,474.0","45,361.0","45,335.0","42,749.0","41,387.0","40,854.0","42,161.0","44,723.0","49,455.0","54,466.0","54,394.0","54,197.0","52,587.0","52,236.0","52,362.0","53,398.0","54,523.0","51,642.0","55,464.0","57,769.0","58,540.0","59,102.0","58,451.0","57,678.0","58,824.0","61,058.0","62,454.0","64,916.0","68,065.0","70,451.0","71,648.0","71,905.0","73,433.0","74,695.0","74,902.0","75,566.0","75,249.0","76,529.0","75,564.0","70,740.0","69,297.0","70,451.0","74,767.0","79,289.0","82,092.0","83,222.0","82,405.0","85,273.0","83,870.0","82,053.0","81,775.0","80,925.0","82,316.0","84,258.0","86,935.0","88,667.0","91,260.0","91,972.0","91,606.0","92,818.0","96,812.0","98,891.0","102,124.0","105,349.0","106,066.0","107,939.0","109,966.0","114,994.0","118,480.0","121,944.0","126,166.0","130,325.0","131,184.0","131,339.0","129,351.0","127,386.0","131,152.0","133,573.0","139,221.0","143,850.0","144,860.0","148,003.0","154,750.0","160,899.0","163,498.0"
"28","9","    Nonresidential","A008RC1","24,820.0","25,171.0","25,360.0","26,539.0","28,229.0","28,047.0","29,078.0","30,158.0","28,580.0","27,474.0","26,110.0","25,623.0","26,384.0","28,852.0","31,911.0","32,916.0","33,140.0","34,120.0","34,838.0","34,639.0","35,129.0","35,760.0","32,888.0","35,817.0","37,787.0","38,467.0","39,612.0","39,200.0","38,327.0","38,156.0","38,875.0","38,889.0","39,497.0","42,060.0","44,825.0","47,083.0","47,773.0","49,059.0","50,743.0","51,411.0","52,465.0","52,639.0","54,065.0","53,215.0","49,370.0","47,828.0","47,434.0","49,333.0","50,941.0","52,734.0","54,421.0","54,399.0","56,319.0","57,186.0","56,161.0","55,882.0","55,011.0","56,198.0","56,708.0","58,473.0","59,657.0","61,354.0","62,101.0","61,821.0","61,970.0","63,882.0","65,707.0","67,668.0","69,112.0","71,078.0","73,406.0","75,322.0","80,226.0","83,378.0","86,686.0","90,643.0","94,379.0","96,822.0","98,321.0","99,163.0","97,997.0","98,295.0","98,787.0","101,745.0","105,582.0","105,297.0","107,609.0","112,178.0","115,993.0","118,368.0"
"29","10","      Structures","B009RC1","7,889.0","7,947.0","8,280.0","8,432.0","8,833.0","9,327.0","9,854.0","10,090.0","9,736.0","9,377.0","8,915.0","8,684.0","9,075.0","9,502.0","10,269.0","10,982.0","11,467.0","12,151.0","12,280.0","11,918.0","12,029.0","12,075.0","12,150.0","12,642.0","13,061.0","13,499.0","13,749.0","13,971.0","13,920.0","13,877.0","13,852.0","13,811.0","14,274.0","14,744.0","15,438.0","16,172.0","17,415.0","17,982.0","18,590.0","18,733.0","18,770.0","18,992.0","19,096.0","18,942.0","18,084.0","17,594.0","17,259.0","17,579.0","17,397.0","18,037.0","18,644.0","18,519.0","19,360.0","19,473.0","19,418.0","20,022.0","19,929.0","19,634.0","19,665.0","19,632.0","20,030.0","20,828.0","21,355.0","20,900.0","20,233.0","21,233.0","21,436.0","21,891.0","22,425.0","23,450.0","24,250.0","24,823.0","26,142.0","28,166.0","28,535.0","30,442.0","31,098.0","31,172.0","31,907.0","31,217.0","31,668.0","30,934.0","31,476.0","31,966.0","33,051.0","33,184.0","33,232.0","34,762.0","35,794.0","36,671.0"
"30","11","      Equipment","Y033RC1","14,927.0","15,226.0","15,044.0","16,067.0","17,334.0","16,658.0","17,130.0","17,998.0","16,826.0","16,090.0","15,176.0","14,836.0","15,130.0","17,114.0","19,343.0","19,609.0","19,383.0","19,672.0","20,198.0","20,242.0","20,418.0","20,821.0","17,671.0","19,867.0","21,245.0","21,306.0","22,125.0","21,446.0","20,570.0","20,424.0","21,131.0","21,123.0","21,144.0","23,119.0","25,010.0","26,280.0","25,442.0","25,920.0","26,822.0","27,188.0","28,203.0","28,112.0","29,334.0","28,595.0","25,526.0","24,365.0","24,136.0","25,482.0","27,077.0","28,059.0","29,118.0","29,127.0","30,089.0","30,749.0","29,471.0","28,407.0","27,408.0","28,635.0","28,944.0","30,628.0","31,401.0","32,197.0","32,321.0","32,304.0","32,872.0","33,467.0","34,894.0","36,238.0","37,146.0","37,940.0","39,264.0","40,390.0","43,542.0","44,296.0","46,825.0","48,457.0","51,069.0","53,024.0","53,418.0","54,581.0","52,712.0","53,577.0","53,193.0","55,286.0","57,601.0","56,698.0","58,582.0","61,233.0","63,690.0","64,691.0"
"31","12","      Intellectual property products","Y001RC1","2,004.0","1,998.0","2,036.0","2,040.0","2,062.0","2,062.0","2,094.0","2,070.0","2,018.0","2,007.0","2,019.0","2,103.0","2,179.0","2,236.0","2,299.0","2,325.0","2,290.0","2,297.0","2,360.0","2,479.0","2,682.0","2,864.0","3,067.0","3,308.0","3,481.0","3,662.0","3,738.0","3,783.0","3,837.0","3,855.0","3,892.0","3,955.0","4,079.0","4,197.0","4,377.0","4,631.0","4,916.0","5,157.0","5,331.0","5,490.0","5,492.0","5,535.0","5,635.0","5,678.0","5,760.0","5,869.0","6,039.0","6,272.0","6,467.0","6,638.0","6,659.0","6,753.0","6,870.0","6,964.0","7,272.0","7,453.0","7,674.0","7,929.0","8,099.0","8,213.0","8,226.0","8,329.0","8,425.0","8,617.0","8,865.0","9,182.0","9,377.0","9,539.0","9,541.0","9,688.0","9,892.0","10,109.0","10,542.0","10,916.0","11,326.0","11,744.0","12,212.0","12,626.0","12,996.0","13,365.0","13,617.0","13,784.0","14,118.0","14,493.0","14,930.0","15,415.0","15,795.0","16,183.0","16,509.0","17,006.0"
"32","13","    Residential","A011RC1","10,541.0","10,573.0","12,466.0","15,254.0","15,345.0","16,427.0","16,283.0","15,177.0","14,169.0","13,913.0","14,744.0","16,538.0","18,339.0","20,603.0","22,555.0","21,478.0","21,057.0","18,467.0","17,398.0","17,723.0","18,269.0","18,763.0","18,754.0","19,647.0","19,982.0","20,073.0","19,490.0","19,251.0","19,351.0","20,668.0","22,183.0","23,565.0","25,419.0","26,005.0","25,626.0","24,565.0","24,132.0","24,374.0","23,952.0","23,491.0","23,101.0","22,610.0","22,464.0","22,349.0","21,370.0","21,469.0","23,017.0","25,434.0","28,348.0","29,358.0","28,801.0","28,006.0","28,954.0","26,684.0","25,892.0","25,893.0","25,914.0","26,118.0","27,550.0","28,462.0","29,010.0","29,906.0","29,871.0","29,785.0","30,848.0","32,930.0","33,184.0","34,456.0","36,237.0","34,988.0","34,533.0","34,644.0","34,768.0","35,102.0","35,258.0","35,523.0","35,946.0","34,362.0","33,018.0","30,188.0","29,389.0","32,857.0","34,786.0","37,476.0","38,268.0","39,563.0","40,394.0","42,572.0","44,906.0","45,130.0"
"33","14","  Change in private inventories","A014RC1","495.0","-1,240.0","-2,917.0","1,456.0","3,626.0","5,859.0","7,152.0","5,997.0","388.0","-5,148.0","-1,307.0","-4,699.0","2,024.0","2,833.0","4,177.0","14,044.0","10,386.0","14,792.0","9,740.0","4,719.0","4,732.0","-1,523.0","5,574.0","5,274.0","3,890.0","3,577.0","2,331.0","-2,006.0","-1,966.0","-3,378.0","-2,091.0","-316.0","3,804.0","4,620.0","4,295.0","7,233.0","6,398.0","3,585.0","3,569.0","2,244.0","2,162.0","2,657.0","2,808.0","-4,518.0","-4,009.0","-4,235.0","1,547.0","5,235.0","3,876.0","7,288.0","384.0","4,120.0","11,200.0","3,224.0","4,320.0","-5,812.0","-2,548.0","1,792.0","6,656.0","5,996.0","9,408.0","5,444.0","6,188.0","3,364.0","6,868.0","4,836.0","5,716.0","5,064.0","5,124.0","4,456.0","4,692.0","5,016.0","11,544.0","8,568.0","9,292.0","7,584.0","13,872.0","12,316.0","11,852.0","16,504.0","15,423.0","6,341.0","9,263.0","8,433.0","8,438.0","14,082.0","7,681.0","6,007.0","11,489.0","9,222.0"
