"","Table 5#7#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Change in private inventories","A014RC1","49,758.0","88,388.0","67,948.0","77,664.0","105,100.0","37,340.0","52,419.0","60,017.0","83,394.0","35,112.0","40,517.0","84,241.0","16,157.0","90,443.0","57,233.0","54,343.0","-30,631.0","-11,560.0","-30,115.0","-80,829.0","-214.0","19,120.0","25,293.0","29,803.0","31,004.0","-388.0","8,127.0","38,401.0","48,870.0","76,235.0","62,284.0","68,049.0","99,504.0","30,626.0","17,940.0","90,249.0","74,424.0","77,285.0","77,091.0","39,089.0","20,161.0","47,064.0","48,646.0","21,935.0","-20,136.0","-23,919.0","-18,779.0","-65,148.0","-145,621.0","-187,921.0","-205,932.0","-50,805.0","12,060.0","50,115.0","121,544.0","62,398.0","21,479.0","45,769.0","-13,460.0","91,923.0","102,912.0","66,848.0","81,616.0","12,995.0","63,418.0","77,227.0"
"21","2","Farm","B018RC1","-591.0","760.0","8,300.0","4,613.0","5,622.0","-4,906.0","528.0","3,820.0","4,109.0","-196.0","-9,100.0","-5,733.0","-17,740.0","5,943.0","-1,128.0","7,331.0","5,614.0","-2,995.0","1,806.0","-4,278.0","4,061.0","-10,343.0","-2,872.0","-836.0","2,847.0","-1,379.0","870.0","-2,070.0","4,422.0","18,443.0","7,701.0","4,662.0","-6,685.0","932.0","4,340.0","2,315.0","3,739.0","-8,124.0","-6,337.0","-3,586.0","5,308.0","-4,954.0","-2,334.0","-845.0","-6,869.0","3,895.0","6,649.0","2,755.0","-296.0","-1,046.0","-5,041.0","-25.0","-1,271.0","-5,946.0","-11,623.0","-10,450.0","-7,889.0","-9,633.0","-4,641.0","-3,274.0","-52.0","-7,410.0","-23,888.0","-15,619.0","38,873.0","40,357.0"
"22","3","Mining, utilities, and construction","N541RC1","12.0","3,442.0","3,269.0","-645.0","5,775.0","5,357.0","3,898.0","6,536.0","145.0","208.0","-2,171.0","-3,268.0","2,364.0","-2,579.0","-733.0","-7,839.0","9,882.0","10,839.0","5,060.0","6,995.0","101.0","-3,122.0","-4,924.0","-3,635.0","7,005.0","2,862.0","6,073.0","8,106.0","-2,537.0","856.0","5,538.0","1,097.0","3,976.0","9,858.0","-2,369.0","2,863.0","14,482.0","21,502.0","15,583.0","13,399.0","1,336.0","2,057.0","-1,843.0","-15,201.0","-13,073.0","-14,473.0","8,896.0","-12,275.0","12,569.0","9,251.0","-8,543.0","-23,610.0","-15,140.0","9,517.0","4,054.0","7,141.0","-9,363.0","-7,918.0","-4,626.0","4,914.0","27,970.0","8,179.0","-3,146.0","-2,199.0","-11,136.0","504.0"
"23","4","Manufacturing","N150RC1","15,538.0","22,744.0","20,017.0","25,971.0","31,610.0","15,634.0","6,873.0","7,575.0","12,168.0","4,617.0","15,454.0","23,310.0","-3,591.0","14,056.0","5,926.0","11,135.0","-20,117.0","-19,162.0","-24,049.0","-30,696.0","-15,407.0","-645.0","11,180.0","3,990.0","87.0","-8,670.0","-16,538.0","-3,319.0","-1,607.0","7,154.0","2,579.0","14,119.0","41,435.0","4,097.0","9,781.0","27,588.0","22,166.0","20,482.0","20,732.0","10,363.0","8,315.0","20,492.0","15,726.0","24,441.0","24,065.0","-23,972.0","-29,666.0","-30,586.0","-24,293.0","-40,822.0","-39,275.0","-650.0","10,148.0","4,535.0","37,506.0","41,430.0","22,529.0","35,400.0","657.0","37,290.0","20,962.0","3,199.0","35,016.0","-14,973.0","6,692.0","12,416.0"
"24","5","  Durable goods industries","N624RC1","8,981.0","15,785.0","14,349.0","17,470.0","29,679.0","16,509.0","9,253.0","8,629.0","5,708.0","-3,619.0","10,540.0","12,644.0","-1,944.0","9,486.0","4,408.0","12,927.0","-14,588.0","-12,762.0","-22,483.0","-28,224.0","-9,892.0","-4,696.0","301.0","3,211.0","1,609.0","-9,674.0","-13,855.0","3,375.0","-3,251.0","6,283.0","3,828.0","8,614.0","27,395.0","8,485.0","13,353.0","16,788.0","10,148.0","11,465.0","18,301.0","9,735.0","13,250.0","4,122.0","7,857.0","24,716.0","-3,337.0","-29,634.0","-6,243.0","16,474.0","-20,444.0","-36,348.0","-32,685.0","-6,760.0","8,975.0","17,626.0","22,521.0","20,268.0","27,184.0","23,270.0","13,542.0","23,884.0","18,069.0","10,595.0","24,704.0","3,361.0","5,888.0","8,680.0"
"25","6","  Nondurable goods industries","N625RC1","6,557.0","6,959.0","5,668.0","8,501.0","1,931.0","-875.0","-2,380.0","-1,054.0","6,460.0","8,236.0","4,914.0","10,666.0","-1,647.0","4,570.0","1,518.0","-1,792.0","-5,529.0","-6,400.0","-1,566.0","-2,472.0","-5,515.0","4,051.0","10,879.0","779.0","-1,522.0","1,004.0","-2,683.0","-6,694.0","1,644.0","871.0","-1,249.0","5,505.0","14,040.0","-4,388.0","-3,572.0","10,800.0","12,018.0","9,017.0","2,431.0","628.0","-4,935.0","16,370.0","7,869.0","-275.0","27,402.0","5,662.0","-23,423.0","-47,060.0","-3,849.0","-4,474.0","-6,590.0","6,110.0","1,173.0","-13,091.0","14,985.0","21,162.0","-4,655.0","12,130.0","-12,885.0","13,406.0","2,893.0","-7,396.0","10,312.0","-18,334.0","804.0","3,736.0"
"26","7","Wholesale trade","N658RC1","20,377.0","33,799.0","16,683.0","30,457.0","30,552.0","13,383.0","27,141.0","14,653.0","21,786.0","7,730.0","21,037.0","25,090.0","16,294.0","24,325.0","13,617.0","21,182.0","-5,842.0","-6,194.0","-22,765.0","-14,543.0","-6,799.0","5,461.0","4,056.0","-2,049.0","-5,786.0","-4,635.0","215.0","15,477.0","13,380.0","17,292.0","29,582.0","23,029.0","42,363.0","23,309.0","12,157.0","33,017.0","21,763.0","29,145.0","29,569.0","8,944.0","12,268.0","15,167.0","21,758.0","11,834.0","14,791.0","34,390.0","17,230.0","8,333.0","-70,218.0","-87,785.0","-81,552.0","-8,020.0","6,219.0","16,384.0","58,122.0","23,633.0","5,508.0","40,413.0","-2,870.0","43,944.0","25,550.0","15,782.0","36,961.0","11,250.0","11,164.0","3,040.0"
"27","8","  Durable goods industries","N661RC1","15,647.0","26,292.0","8,338.0","18,728.0","25,366.0","8,677.0","21,949.0","12,093.0","15,612.0","11,076.0","10,354.0","19,246.0","11,360.0","21,856.0","8,573.0","12,307.0","-6,458.0","-20,778.0","-21,355.0","-18,062.0","-8,611.0","1,434.0","7,540.0","-6,351.0","4,414.0","-1,445.0","-5,354.0","12,360.0","15,776.0","19,204.0","27,695.0","14,456.0","29,121.0","20,509.0","8,087.0","25,087.0","10,470.0","26,750.0","25,995.0","9,266.0","13,182.0","-6,542.0","-2,513.0","8,681.0","12,501.0","3,690.0","23,167.0","-3,593.0","-64,749.0","-61,419.0","-50,240.0","-21,904.0","7,661.0","1,151.0","20,554.0","13,690.0","23,792.0","38,220.0","32,158.0","26,559.0","24,438.0","26,397.0","23,653.0","15,640.0","12,064.0","6,108.0"
"28","9","  Nondurable goods industries","N664RC1","4,730.0","7,507.0","8,345.0","11,729.0","5,186.0","4,706.0","5,192.0","2,560.0","6,174.0","-3,346.0","10,683.0","5,844.0","4,934.0","2,469.0","5,044.0","8,875.0","616.0","14,584.0","-1,410.0","3,519.0","1,812.0","4,027.0","-3,484.0","4,302.0","-10,200.0","-3,190.0","5,569.0","3,117.0","-2,396.0","-1,912.0","1,887.0","8,573.0","13,242.0","2,800.0","4,070.0","7,930.0","11,293.0","2,395.0","3,574.0","-322.0","-914.0","21,709.0","24,271.0","3,153.0","2,290.0","30,700.0","-5,937.0","11,926.0","-5,469.0","-26,366.0","-31,312.0","13,884.0","-1,442.0","15,233.0","37,568.0","9,943.0","-18,284.0","2,193.0","-35,028.0","17,385.0","1,112.0","-10,615.0","13,308.0","-4,390.0","-900.0","-3,068.0"
"29","10","Retail trade","N153RC1","6,240.0","23,084.0","16,334.0","12,152.0","28,210.0","2,369.0","8,732.0","19,236.0","37,870.0","14,075.0","8,435.0","39,359.0","7,978.0","35,237.0","21,030.0","15,585.0","-21,913.0","6,770.0","10,596.0","-36,717.0","20,899.0","26,495.0","19,005.0","33,741.0","27,300.0","7,897.0","16,364.0","18,577.0","30,745.0","28,543.0","12,145.0","21,115.0","15,601.0","-10,336.0","-5,796.0","20,577.0","9,902.0","7,920.0","12,818.0","6,719.0","-7,983.0","12,972.0","16,806.0","3,401.0","-39,769.0","-22,371.0","-22,219.0","-39,670.0","-57,925.0","-59,000.0","-65,661.0","-16,273.0","13,137.0","27,875.0","34,271.0","1,158.0","5,515.0","-14,609.0","-1,937.0","4,030.0","29,358.0","31,346.0","28,469.0","27,189.0","18,889.0","21,330.0"
"30","11","  Motor vehicle and parts dealers","N631RC1","736.0","6,955.0","5,427.0","7,454.0","9,873.0","-6,248.0","-4,172.0","7,876.0","24,716.0","573.0","2,534.0","21,937.0","2,028.0","23,531.0","15,812.0","6,149.0","-26,404.0","9,252.0","8,633.0","-28,796.0","19,613.0","18,381.0","2,810.0","28,060.0","16,920.0","11,805.0","7,535.0","14,763.0","14,382.0","13,213.0","1,826.0","-73.0","3,069.0","-19,041.0","-7,643.0","11,991.0","831.0","106.0","555.0","-4,152.0","-8,914.0","3,091.0","18,550.0","-1,043.0","-13,207.0","-9,157.0","-15,713.0","-11,302.0","-42,396.0","-38,054.0","-44,115.0","-7,160.0","11,131.0","18,745.0","24,784.0","-5,334.0","42.0","-9,218.0","-1,782.0","3,286.0","27,766.0","23,035.0","24,300.0","15,007.0","6,497.0","15,762.0"
"31","12","  Food and beverage stores","N542RC1","315.0","444.0","1,361.0","-743.0","976.0","1,780.0","-137.0","1,147.0","1,837.0","1,524.0","2,054.0","702.0","-75.0","-1,890.0","386.0","-664.0","856.0","593.0","14.0","171.0","523.0","676.0","2,254.0","-61.0","-881.0","-2,865.0","1,400.0","-2,374.0","310.0","782.0","231.0","-100.0","205.0","-41.0","-1,892.0","856.0","1,529.0","1,255.0","457.0","299.0","-766.0","1,532.0","2,391.0","1,399.0","-610.0","292.0","-820.0","-674.0","2,529.0","-987.0","-366.0","-2,505.0","1,359.0","-931.0","710.0","217.0","-2,396.0","1,658.0","946.0","-16.0","1,805.0","-1,105.0","363.0","420.0","872.0","1,000.0"
"32","13","  General merchandise stores","N543RC1","-387.0","3,173.0","-1,189.0","-1,029.0","-185.0","-166.0","2,477.0","-690.0","3,022.0","2,144.0","1,997.0","3,613.0","379.0","2,584.0","-843.0","2,040.0","5,165.0","726.0","-145.0","-5,106.0","-1,248.0","247.0","4,397.0","4,764.0","847.0","1,206.0","2,189.0","862.0","6,121.0","3,326.0","1,040.0","7,482.0","6,297.0","946.0","2,436.0","1,741.0","-2,431.0","-1,784.0","5,089.0","3,172.0","550.0","633.0","-3,207.0","1,079.0","-7,173.0","-2,302.0","-696.0","-5,969.0","-3,147.0","-2,849.0","-5,296.0","-189.0","844.0","2,772.0","4,481.0","768.0","5,384.0","-2,264.0","182.0","1,117.0","-1,142.0","344.0","-1,232.0","6,030.0","6,216.0","956.0"
"33","14","  Other retail stores","N558RC1","5,576.0","12,512.0","10,735.0","6,470.0","17,546.0","7,003.0","10,564.0","10,903.0","8,295.0","9,834.0","1,850.0","13,107.0","5,646.0","11,012.0","5,675.0","8,060.0","-1,530.0","-3,801.0","2,094.0","-2,986.0","2,011.0","7,191.0","9,544.0","978.0","10,414.0","-2,249.0","5,240.0","5,326.0","9,932.0","11,222.0","9,048.0","13,806.0","6,030.0","7,800.0","1,303.0","5,989.0","9,973.0","8,343.0","6,717.0","7,400.0","1,147.0","7,716.0","-928.0","1,966.0","-18,779.0","-11,204.0","-4,990.0","-21,725.0","-14,911.0","-17,110.0","-15,884.0","-6,419.0","-197.0","7,289.0","4,296.0","5,507.0","2,485.0","-4,785.0","-1,283.0","-357.0","929.0","9,072.0","5,038.0","5,732.0","5,304.0","3,612.0"
"34","15","Other industries","N154RC1","8,182.0","4,558.0","3,345.0","5,117.0","3,330.0","5,503.0","5,248.0","8,197.0","7,317.0","8,679.0","6,862.0","5,483.0","10,853.0","13,462.0","18,522.0","6,949.0","1,747.0","-818.0","-763.0","-1,591.0","-3,069.0","1,273.0","-1,149.0","-1,406.0","-449.0","3,537.0","1,144.0","1,629.0","4,466.0","3,947.0","4,738.0","4,025.0","2,813.0","2,764.0","-173.0","3,889.0","2,370.0","6,360.0","4,725.0","3,251.0","918.0","1,329.0","-1,469.0","-1,697.0","721.0","-1,387.0","332.0","6,294.0","-5,458.0","-8,520.0","-5,860.0","-2,225.0","-1,035.0","-2,250.0","-784.0","-513.0","5,178.0","2,117.0","-45.0","5,018.0","-875.0","15,752.0","8,202.0","7,348.0","-1,064.0","-420.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16","  Change in private inventories","A014RC1","49,758.0","88,388.0","67,948.0","77,664.0","105,100.0","37,340.0","52,419.0","60,017.0","83,394.0","35,112.0","40,517.0","84,241.0","16,157.0","90,443.0","57,233.0","54,343.0","-30,631.0","-11,560.0","-30,115.0","-80,829.0","-214.0","19,120.0","25,293.0","29,803.0","31,004.0","-388.0","8,127.0","38,401.0","48,870.0","76,235.0","62,284.0","68,049.0","99,504.0","30,626.0","17,940.0","90,249.0","74,424.0","77,285.0","77,091.0","39,089.0","20,161.0","47,064.0","48,646.0","21,935.0","-20,136.0","-23,919.0","-18,779.0","-65,148.0","-145,621.0","-187,921.0","-205,932.0","-50,805.0","12,060.0","50,115.0","121,544.0","62,398.0","21,479.0","45,769.0","-13,460.0","91,923.0","102,912.0","66,848.0","81,616.0","12,995.0","63,418.0","77,227.0"
"37","17","    Durable goods industries","N355RC1","28,507.0","52,994.0","32,270.0","46,202.0","69,935.0","22,709.0","31,780.0","32,795.0","51,507.0","11,536.0","26,296.0","60,263.0","17,187.0","57,949.0","32,347.0","34,827.0","-44,519.0","-24,895.0","-33,825.0","-74,556.0","8,537.0","17,296.0","15,274.0","31,506.0","28,311.0","3,249.0","-6,927.0","34,040.0","34,341.0","48,951.0","38,020.0","32,169.0","66,378.0","20,557.0","19,687.0","61,002.0","26,002.0","44,673.0","52,515.0","15,275.0","16,554.0","3,890.0","14,093.0","27,887.0","-18,568.0","-47,060.0","-9,082.0","-24,795.0","-140,049.0","-144,310.0","-134,766.0","-48,875.0","22,940.0","35,913.0","66,655.0","30,641.0","48,750.0","49,043.0","39,771.0","47,222.0","70,152.0","71,148.0","77,817.0","39,316.0","21,989.0","30,650.0"
"38","18","    Nondurable goods industries","N357RC1","21,251.0","35,394.0","35,678.0","31,462.0","35,165.0","14,632.0","20,639.0","27,222.0","31,887.0","23,576.0","14,220.0","23,978.0","-1,030.0","32,494.0","24,885.0","19,516.0","13,889.0","13,335.0","3,709.0","-6,274.0","-8,751.0","1,824.0","10,019.0","-1,703.0","2,693.0","-3,637.0","15,054.0","4,361.0","14,528.0","27,285.0","24,264.0","35,880.0","33,126.0","10,068.0","-1,748.0","29,247.0","48,422.0","32,612.0","24,576.0","23,815.0","3,606.0","43,174.0","34,553.0","-5,952.0","-1,567.0","23,141.0","-9,696.0","-40,353.0","-5,572.0","-43,611.0","-71,166.0","-1,929.0","-10,880.0","14,202.0","54,889.0","31,757.0","-27,271.0","-3,273.0","-53,232.0","44,702.0","32,760.0","-4,301.0","3,800.0","-26,321.0","41,429.0","46,577.0"
"39","19","  Nonfarm industries","A015RC1","50,349.0","87,628.0","59,648.0","73,051.0","99,478.0","42,246.0","51,891.0","56,197.0","79,285.0","35,308.0","49,617.0","89,974.0","33,897.0","84,500.0","58,361.0","47,012.0","-36,245.0","-8,565.0","-31,921.0","-76,551.0","-4,275.0","29,463.0","28,165.0","30,639.0","28,157.0","991.0","7,257.0","40,471.0","44,448.0","57,792.0","54,583.0","63,387.0","106,189.0","29,694.0","13,600.0","87,934.0","70,685.0","85,409.0","83,428.0","42,675.0","14,853.0","52,018.0","50,980.0","22,780.0","-13,267.0","-27,814.0","-25,428.0","-67,903.0","-145,325.0","-186,875.0","-200,891.0","-50,780.0","13,331.0","56,061.0","133,167.0","72,848.0","29,368.0","55,402.0","-8,819.0","95,197.0","102,964.0","74,258.0","105,504.0","28,614.0","24,545.0","36,870.0"
"40","20","    Nonfarm change in book value \1\","B016RC1","28,530.0","65,085.0","40,521.0","61,667.0","74,978.0","22,272.0","24,555.0","36,983.0","52,423.0","36,190.0","68,493.0","123,113.0","62,489.0","114,228.0","70,123.0","69,244.0","-25,528.0","-18,852.0","-59,634.0","-117,476.0","-51,789.0","18,646.0","43,781.0","61,974.0","65,484.0","-7,852.0","12,634.0","63,674.0","84,689.0","117,947.0","104,425.0","134,038.0","146,746.0","55,113.0","63,813.0","155,984.0","87,853.0","137,349.0","131,751.0","68,411.0","74,705.0","103,576.0","66,857.0","124,282.0","151,115.0","174,869.0","33,157.0","-302,420.0","-270,186.0","-220,211.0","-166,660.0","42,325.0","91,418.0","78,460.0","162,900.0","175,479.0","201,617.0","158,406.0","35,372.0","107,468.0","114,787.0","55,583.0","139,116.0","61,737.0","49,589.0","34,658.0"
"41","21","    Nonfarm inventory valuation adjustment \2\","B017RC1","21,819.0","22,543.0","19,127.0","11,384.0","24,500.0","19,974.0","27,336.0","19,214.0","26,862.0","-882.0","-18,876.0","-33,139.0","-28,592.0","-29,728.0","-11,762.0","-22,232.0","-10,717.0","10,287.0","27,713.0","40,925.0","47,514.0","10,817.0","-15,616.0","-31,335.0","-37,327.0","8,843.0","-5,377.0","-23,203.0","-40,241.0","-60,155.0","-49,842.0","-70,651.0","-40,557.0","-25,419.0","-50,213.0","-68,050.0","-17,168.0","-51,940.0","-48,323.0","-25,736.0","-59,852.0","-51,558.0","-15,877.0","-101,502.0","-164,382.0","-202,683.0","-58,585.0","234,517.0","124,861.0","33,336.0","-34,231.0","-93,105.0","-78,087.0","-22,399.0","-29,733.0","-102,631.0","-172,249.0","-103,004.0","-44,191.0","-12,271.0","-11,823.0","18,675.0","-33,612.0","-33,123.0","-25,044.0","2,212.0"
