"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","    Crops","B1005C1","5,130.0","3,868.0","2,540.0","1,996.0","2,391.0","2,866.0","2,947.0","3,724.0","3,816.0","2,886.0","3,552.0","3,259.0","4,652.0","6,357.0","8,300.0","9,095.0","10,068.0","11,239.0","13,073.0","12,089.0","11,999.0","13,116.0","13,447.0","13,832.0","12,478.0","13,801.0","14,407.0","14,469.0","12,692.0","12,815.0","16,186.0","14,797.0","14,987.0","16,120.0","17,464.0","17,720.0","17,681.0","18,862.0","18,209.0","17,419.0","19,617.0"
"22","4","    Livestock","B1006C1","6,182.0","5,187.0","3,841.0","2,752.0","2,846.0","3,336.0","4,143.0","4,742.0","4,940.0","4,523.0","4,536.0","4,913.0","6,492.0","9,039.0","11,493.0","11,351.0","12,008.0","13,786.0","16,527.0","17,129.0","15,409.0","16,106.0","19,619.0","18,238.0","16,923.0","16,275.0","15,967.0","16,363.0","17,376.0","19,227.0","18,904.0","18,989.0","19,514.0","20,158.0","20,047.0","19,948.0","21,886.0","25,026.0","24,383.0","25,487.0","28,573.0"
"23","5","  Farm products consumed on farms","B1008C1","1,713.0","1,552.0","1,265.0","993.0","1,030.0","1,125.0","1,320.0","1,394.0","1,434.0","1,235.0","1,209.0","1,210.0","1,429.0","1,758.0","2,253.0","2,181.0","2,356.0","2,662.0","2,765.0","2,733.0","2,230.0","2,063.0","2,304.0","2,220.0","2,007.0","1,789.0","1,678.0","1,585.0","1,484.0","1,505.0","1,289.0","1,134.0","1,109.0","993.0","921.0","835.0","811.0","824.0","736.0","719.0","731.0"
"24","6","  Other farm income","B1009C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","42.0","70.0","84.0","101.0","123.0","141.0","169.0","222.0","227.0","244.0","243.0","257.0","285.0","336.0","387.0","416.0","484.0","521.0","559.0"
"25","7","  Change in farm finished goods inventories","W248RC1","-122.0","-269.0","460.0","110.0","-99.0","-775.0","728.0","-881.0","924.0","446.0","-121.0","491.0","387.0","1,268.0","-226.0","-320.0","-852.0","-194.0","-1,790.0","2,663.0","-604.0","-85.0","998.0","1,381.0","724.0","201.0","-564.0","-963.0","92.0","1,970.0","-1,562.0","552.0","880.0","583.0","492.0","-1,179.0","822.0","-500.0","885.0","1,372.0","18.0"
"26","8","    Crops","B1010C1","-210.0","-308.0","385.0","25.0","-129.0","-537.0","726.0","-795.0","998.0","366.0","-319.0","432.0","81.0","703.0","-661.0","322.0","-607.0","285.0","-1,208.0","2,719.0","-799.0","-692.0","-19.0","801.0","805.0","-61.0","-603.0","-641.0","286.0","1,372.0","-1,980.0","464.0","508.0","-2.0","96.0","-1,140.0","997.0","-721.0","803.0","1,154.0","-204.0"
"27","9","    Livestock","B1011C1","88.0","39.0","75.0","85.0","30.0","-238.0","2.0","-86.0","-74.0","80.0","198.0","59.0","306.0","565.0","435.0","-642.0","-245.0","-479.0","-583.0","-56.0","196.0","607.0","1,017.0","580.0","-81.0","261.0","39.0","-323.0","-195.0","598.0","418.0","89.0","372.0","585.0","396.0","-38.0","-175.0","221.0","82.0","218.0","222.0"
"28","10","Less: Intermediate goods and services consumed","A2003C1","3,968.0","3,382.0","2,440.0","1,902.0","2,057.0","2,389.0","2,706.0","3,128.0","3,457.0","3,133.0","3,468.0","4,014.0","4,642.0","6,039.0","7,208.0","7,732.0","8,431.0","9,651.0","11,516.0","12,515.0","11,450.0","12,495.0","14,750.0","14,953.0","13,543.0","13,970.0","14,340.0","14,526.0","14,894.0","16,652.0","17,729.0","17,546.0","18,401.0","19,700.0","20,715.0","20,320.0","21,647.0","23,803.0","24,577.0","25,021.0","26,673.0"
"29","11","  Other than rent","W249RC1","3,301.0","2,877.0","2,127.0","1,683.0","1,779.0","2,058.0","2,311.0","2,668.0","3,023.0","2,788.0","3,094.0","3,564.0","3,971.0","5,141.0","6,160.0","6,696.0","7,386.0","8,295.0","10,026.0","11,084.0","10,253.0","11,166.0","13,259.0","13,419.0","12,191.0","12,645.0","13,072.0","13,249.0","13,725.0","15,307.0","16,399.0","16,138.0","16,843.0","18,002.0","18,811.0","18,413.0","19,488.0","21,574.0","22,460.0","22,784.0","24,372.0"
"30","12","    Intermediate goods and services purchased, other than rent","B1012C1","3,301.0","2,877.0","2,127.0","1,683.0","1,779.0","2,058.0","2,311.0","2,668.0","3,023.0","2,788.0","3,094.0","3,564.0","3,971.0","5,141.0","6,160.0","6,696.0","7,386.0","8,295.0","10,026.0","11,084.0","10,253.0","11,166.0","13,259.0","13,419.0","12,191.0","12,645.0","13,072.0","13,249.0","13,725.0","15,307.0","16,399.0","16,138.0","16,843.0","18,002.0","18,811.0","18,413.0","19,488.0","21,574.0","22,460.0","22,784.0","24,372.0"
"31","13","    Less: Change in farm materials and supplies inventories","W250RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","14","  Rent paid to nonoperator landlords","B1013C1","667.0","505.0","313.0","220.0","278.0","332.0","396.0","460.0","434.0","345.0","374.0","450.0","671.0","898.0","1,048.0","1,036.0","1,045.0","1,355.0","1,490.0","1,431.0","1,197.0","1,329.0","1,491.0","1,535.0","1,352.0","1,325.0","1,268.0","1,277.0","1,169.0","1,345.0","1,330.0","1,408.0","1,558.0","1,698.0","1,904.0","1,907.0","2,158.0","2,229.0","2,118.0","2,237.0","2,301.0"
"33","15","Equals: Gross farm value added","B359RC1","8,935.0","6,956.0","5,667.0","3,949.0","4,111.0","4,163.0","6,432.0","5,851.0","7,658.0","5,956.0","5,708.0","5,859.0","8,318.0","12,383.0","14,612.0","14,575.0","15,149.0","17,842.0","19,059.0","22,099.0","17,585.0","18,725.0","21,660.0","20,788.0","18,673.0","18,196.0","17,270.0","17,069.0","16,919.0","19,087.0","17,315.0","18,170.0","18,333.0","18,410.0","18,494.0","17,340.0","19,940.0","20,825.0","20,120.0","20,497.0","22,825.0"
"34","16","Less: Consumption of fixed capital","B366RC1","722.0","716.0","665.0","592.0","555.0","545.0","529.0","546.0","598.0","630.0","619.0","628.0","697.0","820.0","816.0","865.0","896.0","989.0","1,220.0","1,543.0","1,813.0","2,032.0","2,331.0","2,507.0","2,602.0","2,662.0","2,700.0","2,828.0","2,925.0","3,066.0","3,139.0","3,105.0","3,112.0","3,166.0","3,260.0","3,389.0","3,606.0","3,882.0","4,191.0","4,474.0","4,766.0"
"35","17","Equals: Net farm value added","A365RC1","8,213.0","6,240.0","5,002.0","3,357.0","3,556.0","3,618.0","5,903.0","5,305.0","7,060.0","5,326.0","5,089.0","5,231.0","7,621.0","11,563.0","13,796.0","13,710.0","14,253.0","16,853.0","17,839.0","20,556.0","15,772.0","16,693.0","19,329.0","18,281.0","16,071.0","15,534.0","14,570.0","14,241.0","13,994.0","16,021.0","14,176.0","15,065.0","15,221.0","15,244.0","15,234.0","13,951.0","16,334.0","16,943.0","15,929.0","16,023.0","18,059.0"
"36","18","  Compensation of employees","A2006C1","1,304.0","1,181.0","918.0","673.0","620.0","682.0","778.0","871.0","992.0","983.0","992.0","1,033.0","1,252.0","1,634.0","2,030.0","2,207.0","2,306.0","2,542.0","2,793.0","3,000.0","2,817.0","2,821.0","2,932.0","2,868.0","2,746.0","2,606.0","2,598.0","2,611.0","2,710.0","2,872.0","2,952.0","3,093.0","3,225.0","3,319.0","3,413.0","3,457.0","3,558.0","3,623.0","3,629.0","3,768.0","4,023.0"
"37","19","    Wages and salaries","B1019C1","1,300.0","1,177.0","914.0","669.0","617.0","679.0","775.0","868.0","988.0","979.0","988.0","1,029.0","1,249.0","1,631.0","2,027.0","2,202.0","2,299.0","2,532.0","2,783.0","2,990.0","2,806.0","2,811.0","2,910.0","2,846.0","2,724.0","2,579.0","2,557.0","2,566.0","2,658.0","2,770.0","2,841.0","2,964.0","3,090.0","3,170.0","3,244.0","3,284.0","3,380.0","3,414.0","3,412.0","3,537.0","3,763.0"
"38","20","    Supplements to wages and salaries","B1020C1","4.0","4.0","4.0","4.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","3.0","3.0","3.0","5.0","7.0","10.0","10.0","10.0","11.0","10.0","22.0","22.0","22.0","27.0","41.0","45.0","52.0","102.0","111.0","129.0","135.0","149.0","169.0","173.0","178.0","209.0","217.0","231.0","260.0"
"39","21","  Taxes on production and imports","B1017C1","445.0","443.0","395.0","339.0","291.0","280.0","282.0","292.0","306.0","301.0","302.0","305.0","326.0","331.0","350.0","369.0","425.0","460.0","542.0","603.0","660.0","692.0","752.0","776.0","800.0","819.0","852.0","884.0","933.0","947.0","1,039.0","1,119.0","1,174.0","1,205.0","1,240.0","1,287.0","1,322.0","1,412.0","1,493.0","1,602.0","1,693.0"
"40","22","  Less: Subsidies to operators","B1018C1","0.0","0.0","0.0","0.0","113.0","397.0","498.0","242.0","283.0","377.0","661.0","626.0","472.0","563.0","563.0","687.0","659.0","683.0","277.0","227.0","161.0","249.0","250.0","240.0","186.0","224.0","200.0","486.0","891.0","988.0","615.0","632.0","1,324.0","1,540.0","1,488.0","1,898.0","2,143.0","2,871.0","2,703.0","3,030.0","3,319.0"
"41","23","  Net operating surplus","W251RC1","6,464.0","4,616.0","3,688.0","2,346.0","2,758.0","3,053.0","5,341.0","4,384.0","6,044.0","4,420.0","4,456.0","4,519.0","6,515.0","10,161.0","11,979.0","11,821.0","12,181.0","14,569.0","14,739.0","17,148.0","12,432.0","13,410.0","15,882.0","14,866.0","12,703.0","12,326.0","11,316.0","11,227.0","11,239.0","13,187.0","10,785.0","11,492.0","12,153.0","12,268.0","12,075.0","11,111.0","13,604.0","14,785.0","13,518.0","13,691.0","15,669.0"
"42","24","    Net interest","B1021C1","796.0","754.0","713.0","648.0","554.0","490.0","428.0","409.0","391.0","411.0","424.0","428.0","433.0","397.0","327.0","284.0","265.0","224.0","240.0","280.0","320.0","363.0","428.0","481.0","492.0","506.0","545.0","590.0","643.0","708.0","756.0","829.0","885.0","992.0","1,023.0","1,251.0","1,406.0","1,587.0","1,784.0","1,916.0","2,087.0"
"43","25","    Current transfer payments","W252RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","14.0","13.0","13.0","14.0","18.0","19.0","18.0","22.0","28.0","36.0","37.0","32.0","22.0","15.0","14.0","13.0","13.0","13.0","14.0","15.0","13.0","16.0"
"44","26","    Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1","5,667.0","3,862.0","2,975.0","1,697.0","2,204.0","2,562.0","4,912.0","3,976.0","5,654.0","4,009.0","4,033.0","4,092.0","6,082.0","9,764.0","11,652.0","11,537.0","11,916.0","14,345.0","14,488.0","16,854.0","12,098.0","13,034.0","15,440.0","14,366.0","12,193.0","11,802.0","10,748.0","10,610.0","10,560.0","12,442.0","9,998.0","10,641.0","11,253.0","11,262.0","11,039.0","9,847.0","12,185.0","13,184.0","11,719.0","11,762.0","13,567.0"
"45","27","      Proprietors' income","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"46","28","      Corporate profits","B1023C1","8.0","-35.0","-59.0","-53.0","-20.0","-18.0","18.0","29.0","16.0","-2.0","10.0","27.0","56.0","76.0","109.0","99.0","92.0","135.0","146.0","150.0","109.0","162.0","137.0","54.0","24.0","53.0","32.0","22.0","10.0","20.0","-46.0","-7.0","4.0","45.0","29.0","66.0","156.0","166.0","77.0","101.0","733.0"
"47",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","29","  Change in farm inventories \1\","B018RC1","-122.0","-269.0","460.0","110.0","-99.0","-775.0","728.0","-881.0","924.0","446.0","-121.0","491.0","387.0","1,268.0","-226.0","-320.0","-852.0","-194.0","-1,790.0","2,663.0","-604.0","-85.0","998.0","1,381.0","724.0","201.0","-564.0","-963.0","92.0","1,970.0","-1,562.0","552.0","880.0","583.0","492.0","-1,179.0","822.0","-500.0","885.0","1,372.0","18.0"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
