"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Current receipts","W021RC1","55,397.0","54,771.0","54,382.0","57,031.0","57,912.0","56,740.0","56,214.0","56,164.0","55,236.0","53,464.0","53,339.0","52,313.0","57,924.0","62,496.0","69,544.0","74,402.0","83,317.0","80,313.0","79,910.0","84,134.0","84,686.0","85,194.0","86,090.0","89,800.0","91,879.0","92,537.0","91,982.0","86,801.0","84,524.0","84,912.0","85,911.0","88,384.0","93,071.0","95,495.0","97,855.0","100,201.0","101,601.0","103,618.0","103,984.0","107,383.0","110,369.0","110,275.0","110,607.0","107,936.0","104,832.0","105,104.0","109,092.0","113,639.0","119,294.0","123,528.0","122,994.0","124,377.0","134,532.0","134,041.0","134,036.0","133,080.0","133,934.0","136,717.0","139,457.0","144,002.0","146,271.0","148,537.0","151,761.0","153,625.0","157,391.0","160,621.0","163,005.0","165,437.0","165,376.0","162,781.0","166,802.0","169,087.0","176,343.0","179,446.0","179,017.0","183,815.0","194,634.0","200,629.0","204,613.0","208,530.0","210,600.0","212,679.0","218,870.0","225,537.0","237,563.0","244,442.0","257,987.0","264,843.0","277,085.0","282,564.0"
"21","2","Current tax receipts","W054RC1","48,404.0","48,151.0","48,548.0","51,553.0","52,305.0","51,410.0","50,831.0","50,862.0","49,216.0","47,536.0","47,676.0","46,932.0","51,804.0","56,369.0","63,219.0","67,756.0","75,799.0","72,705.0","72,416.0","76,516.0","76,767.0","77,383.0","78,216.0","81,734.0","83,773.0","84,341.0","83,738.0","78,668.0","75,281.0","75,693.0","76,669.0","79,049.0","83,004.0","85,265.0","87,461.0","89,738.0","90,438.0","92,323.0","92,642.0","95,881.0","97,546.0","97,398.0","97,637.0","95,118.0","91,921.0","92,275.0","96,128.0","100,605.0","104,036.0","108,010.0","107,517.0","108,721.0","114,100.0","113,459.0","113,425.0","112,640.0","112,947.0","115,499.0","118,054.0","121,944.0","122,710.0","124,514.0","127,599.0","129,393.0","130,706.0","133,565.0","135,576.0","137,581.0","137,350.0","134,445.0","138,052.0","140,177.0","146,716.0","149,275.0","148,633.0","153,196.0","157,067.0","162,598.0","165,490.0","168,745.0","169,231.0","169,970.0","175,067.0","180,920.0","190,687.0","196,633.0","209,282.0","215,710.0","224,755.0","229,089.0"
"22","3","  Personal current taxes","W055RC1","19,165.0","19,475.0","19,721.0","20,799.0","21,198.0","18,949.0","18,245.0","18,428.0","17,803.0","16,998.0","16,303.0","15,828.0","16,622.0","17,599.0","18,915.0","22,512.0","24,425.0","26,372.0","27,791.0","29,632.0","30,876.0","31,813.0","32,274.0","33,057.0","33,411.0","33,439.0","33,187.0","32,931.0","30,196.0","29,977.0","30,005.0","30,462.0","31,412.0","32,429.0","33,364.0","34,231.0","35,367.0","36,239.0","36,901.0","37,857.0","38,578.0","38,965.0","39,197.0","38,804.0","38,178.0","37,696.0","38,945.0","39,376.0","40,758.0","41,986.0","42,679.0","43,733.0","45,292.0","46,028.0","46,528.0","46,424.0","46,511.0","46,944.0","47,402.0","48,143.0","49,402.0","50,924.0","52,319.0","53,575.0","54,101.0","54,311.0","54,593.0","55,203.0","53,755.0","49,723.0","51,575.0","53,223.0","56,964.0","58,415.0","57,005.0","58,272.0","61,526.0","65,567.0","67,854.0","70,565.0","71,175.0","70,942.0","73,833.0","75,894.0","78,564.0","81,665.0","91,861.0","95,858.0","102,602.0","105,660.0"
"23","4","  Taxes on production and imports","W056RC1","17,679.0","17,740.0","18,031.0","18,974.0","18,963.0","19,665.0","20,006.0","20,270.0","20,369.0","20,822.0","21,253.0","21,172.0","21,554.0","22,462.0","24,380.0","23,404.0","25,094.0","24,069.0","24,481.0","25,336.0","26,087.0","26,918.0","27,334.0","28,145.0","28,746.0","29,178.0","29,319.0","29,161.0","28,681.0","28,812.0","28,744.0","29,319.0","30,248.0","31,228.0","31,941.0","32,451.0","33,031.0","33,596.0","34,597.0","35,724.0","36,144.0","36,561.0","37,012.0","36,746.0","36,823.0","37,331.0","37,795.0","38,929.0","39,770.0","40,292.0","41,722.0","42,424.0","43,696.0","44,347.0","44,861.0","45,284.0","45,776.0","46,463.0","47,256.0","48,377.0","49,396.0","49,906.0","50,888.0","51,338.0","52,005.0","52,938.0","53,919.0","54,682.0","55,671.0","56,746.0","57,881.0","58,778.0","60,184.0","60,340.0","60,516.0","61,796.0","61,365.0","62,827.0","63,748.0","64,904.0","65,564.0","66,832.0","68,746.0","70,606.0","73,367.0","75,424.0","77,693.0","79,144.0","80,589.0","82,901.0"
"24","5","  Taxes on corporate income","W025RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,424.0","25,648.0","23,032.0","22,480.0","25,024.0","22,984.0","21,940.0","20,836.0","20,556.0","21,984.0","23,284.0","25,300.0","23,784.0","23,540.0","24,244.0","24,320.0","24,424.0","26,124.0","26,868.0","27,508.0","27,744.0","27,796.0","28,416.0","27,984.0","29,372.0","30,316.0","30,900.0","32,916.0","33,960.0","33,988.0","33,648.0","33,036.0","32,256.0","31,956.0","32,240.0","34,152.0","38,472.0","39,240.0","39,396.0","40,352.0","41,184.0","40,136.0"
"25","6","  Taxes from the rest of the world","W008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","84.0","84.0","84.0","88.0","100.0","96.0","96.0","104.0","108.0","112.0","124.0","128.0","144.0","148.0","160.0","176.0","192.0","196.0","188.0","180.0","180.0","180.0","192.0","196.0","204.0","212.0","212.0","216.0","216.0","240.0","240.0","236.0","240.0","248.0","268.0","284.0","304.0","332.0","356.0","380.0","392.0"
"26","7","Contributions for government social insurance","W782RC1","6,348.0","5,964.0","5,160.0","4,784.0","4,848.0","4,552.0","4,580.0","4,484.0","5,176.0","5,072.0","4,796.0","4,516.0","5,312.0","5,312.0","5,496.0","5,808.0","6,624.0","6,708.0","6,580.0","6,696.0","6,964.0","6,848.0","6,896.0","7,072.0","7,088.0","7,160.0","7,196.0","7,072.0","8,092.0","8,056.0","8,080.0","8,172.0","8,900.0","9,068.0","9,220.0","9,280.0","9,884.0","9,996.0","10,024.0","10,164.0","11,428.0","11,460.0","11,532.0","11,356.0","11,364.0","11,288.0","11,456.0","11,576.0","13,700.0","13,944.0","13,900.0","13,952.0","16,456.0","16,488.0","16,544.0","16,424.0","16,788.0","16,956.0","17,116.0","17,368.0","18,940.0","19,164.0","19,252.0","19,340.0","21,396.0","21,620.0","21,820.0","22,104.0","22,104.0","22,348.0","22,600.0","22,804.0","22,976.0","23,280.0","23,636.0","24,108.0","30,484.0","30,948.0","32,028.0","32,304.0","33,744.0","34,688.0","35,348.0","36,136.0","37,720.0","38,560.0","39,220.0","39,856.0","43,100.0","43,904.0"
"27","8","Income receipts on assets","W058RC1","128.0","126.0","123.0","124.0","157.0","169.0","185.0","195.0","214.0","211.0","202.0","197.0","233.0","235.0","242.0","248.0","267.0","271.0","273.0","275.0","295.0","295.0","294.0","294.0","315.0","317.0","320.0","323.0","372.0","374.0","376.0","377.0","373.0","374.0","375.0","376.0","401.0","403.0","406.0","408.0","428.0","432.0","435.0","437.0","476.0","477.0","476.0","477.0","397.0","399.0","405.0","411.0","2,736.0","2,790.0","2,883.0","2,803.0","2,939.0","3,007.0","2,965.0","3,123.0","3,167.0","3,417.0","3,376.0","3,364.0","3,405.0","3,476.0","3,600.0","3,644.0","3,810.0","3,928.0","3,988.0","3,709.0","4,188.0","4,331.0","4,265.0","4,105.0","4,652.0","4,724.0","4,921.0","5,127.0","5,251.0","5,455.0","5,787.0","6,079.0","6,392.0","6,459.0","6,717.0","6,646.0","6,686.0","6,998.0"
"28","9","  Interest and miscellaneous receipts \1\","W059RC1","128.0","126.0","123.0","124.0","157.0","169.0","185.0","195.0","214.0","211.0","202.0","197.0","233.0","235.0","242.0","248.0","267.0","271.0","273.0","275.0","295.0","295.0","294.0","294.0","315.0","317.0","320.0","323.0","372.0","374.0","376.0","377.0","373.0","374.0","375.0","376.0","401.0","403.0","406.0","408.0","428.0","432.0","435.0","437.0","476.0","477.0","476.0","477.0","397.0","399.0","405.0","411.0","2,736.0","2,790.0","2,883.0","2,803.0","2,939.0","3,007.0","2,965.0","3,123.0","3,167.0","3,417.0","3,376.0","3,364.0","3,405.0","3,476.0","3,600.0","3,644.0","3,810.0","3,928.0","3,988.0","3,709.0","4,188.0","4,331.0","4,265.0","4,105.0","4,652.0","4,724.0","4,921.0","5,127.0","5,251.0","5,455.0","5,787.0","6,079.0","6,392.0","6,459.0","6,717.0","6,646.0","6,686.0","6,998.0"
"29","10","  Dividends","W065RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","11","Current transfer receipts","W060RC1","517.0","530.0","551.0","570.0","602.0","609.0","618.0","623.0","630.0","645.0","665.0","668.0","575.0","580.0","587.0","590.0","627.0","629.0","641.0","647.0","660.0","668.0","684.0","700.0","703.0","719.0","728.0","738.0","779.0","789.0","786.0","786.0","794.0","788.0","799.0","807.0","878.0","896.0","912.0","930.0","967.0","985.0","1,003.0","1,025.0","1,071.0","1,064.0","1,032.0","981.0","667.0","661.0","645.0","651.0","711.0","747.0","791.0","839.0","961.0","994.0","1,039.0","1,070.0","1,091.0","1,105.0","1,121.0","1,127.0","1,161.0","1,206.0","1,185.0","1,212.0","1,247.0","1,218.0","1,571.0","1,640.0","1,726.0","1,763.0","1,823.0","1,880.0","1,959.0","2,021.0","2,087.0","2,161.0","2,233.0","2,318.0","2,396.0","2,445.0","2,441.0","2,446.0","2,424.0","2,425.0","2,531.0","2,577.0"
"31","12","  From business (net)","W061RC1","315.0","319.0","327.0","331.0","350.0","342.0","332.0","324.0","319.0","326.0","342.0","349.0","267.0","272.0","269.0","268.0","287.0","284.0","287.0","290.0","304.0","307.0","310.0","315.0","305.0","313.0","314.0","316.0","342.0","348.0","350.0","352.0","369.0","369.0","366.0","364.0","415.0","415.0","418.0","416.0","422.0","422.0","428.0","440.0","485.0","482.0","459.0","426.0","332.0","341.0","332.0","339.0","399.0","420.0","439.0","462.0","531.0","530.0","547.0","552.0","554.0","559.0","574.0","585.0","642.0","684.0","653.0","665.0","648.0","612.0","966.0","1,042.0","1,171.0","1,205.0","1,243.0","1,261.0","1,268.0","1,272.0","1,278.0","1,298.0","1,312.0","1,351.0","1,392.0","1,409.0","1,409.0","1,408.0","1,384.0","1,379.0","1,456.0","1,471.0"
"32","13","  From persons","W062RC1","202.0","211.0","224.0","239.0","252.0","267.0","286.0","299.0","311.0","319.0","323.0","319.0","308.0","308.0","318.0","322.0","340.0","345.0","354.0","357.0","356.0","361.0","374.0","385.0","398.0","406.0","414.0","422.0","437.0","441.0","436.0","434.0","425.0","419.0","433.0","443.0","463.0","481.0","494.0","514.0","545.0","563.0","575.0","585.0","586.0","582.0","573.0","555.0","335.0","320.0","313.0","312.0","312.0","327.0","352.0","377.0","430.0","464.0","492.0","518.0","537.0","546.0","547.0","542.0","519.0","522.0","532.0","547.0","599.0","606.0","605.0","598.0","555.0","558.0","580.0","619.0","691.0","749.0","809.0","863.0","921.0","967.0","1,004.0","1,036.0","1,032.0","1,038.0","1,040.0","1,046.0","1,075.0","1,106.0"
"33","14","Current surplus of government enterprises \2\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","494.0","514.0","527.0","642.0","529.0","557.0","393.0","374.0","299.0","261.0","283.0","497.0","363.0","337.0","413.0","401.0","723.0","754.0","824.0","896.0","865.0","842.0","591.0","757.0","737.0","797.0","660.0","526.0","472.0","338.0","87.0","193.0","141.0","248.0","272.0","-43.0","323.0","344.0","344.0","206.0","13.0","-4.0"
"34","15","    Current expenditures","W022RC1","52,482.0","52,493.0","55,008.0","51,785.0","53,270.0","54,150.0","57,305.0","58,408.0","60,708.0","62,176.0","62,164.0","61,463.0","69,539.0","63,356.0","59,221.0","63,625.0","68,949.0","73,770.0","79,131.0","81,798.0","81,724.0","86,352.0","88,725.0","90,012.0","91,684.0","93,037.0","92,278.0","93,636.0","91,892.0","91,204.0","91,697.0","92,815.0","94,278.0","94,043.0","96,084.0","95,689.0","96,406.0","99,806.0","99,737.0","103,141.0","106,645.0","109,019.0","109,706.0","113,700.0","114,036.0","119,254.0","120,682.0","122,266.0","122,452.0","123,369.0","124,629.0","126,541.0","127,112.0","130,197.0","131,879.0","135,478.0","136,544.0","141,177.0","141,940.0","144,303.0","148,666.0","151,015.0","152,802.0","155,436.0","157,382.0","158,120.0","160,614.0","163,945.0","166,434.0","168,674.0","169,141.0","170,021.0","173,352.0","177,337.0","184,313.0","189,167.0","193,541.0","200,851.0","207,067.0","214,072.0","224,628.0","228,467.0","233,454.0","240,200.0","250,224.0","257,978.0","264,043.0","270,495.0","271,170.0","280,157.0"
"35","16","Consumption expenditures","A955RC1","35,107.0","35,194.0","33,689.0","33,395.0","33,631.0","34,835.0","36,046.0","37,396.0","38,547.0","39,299.0","38,670.0","38,347.0","38,515.0","38,762.0","38,231.0","41,629.0","47,377.0","51,850.0","57,171.0","59,487.0","61,168.0","64,973.0","66,319.0","68,366.0","69,480.0","71,021.0","69,850.0","71,084.0","68,706.0","66,877.0","66,706.0","67,145.0","68,028.0","68,098.0","70,145.0","69,339.0","69,586.0","71,997.0","70,882.0","73,063.0","75,933.0","76,476.0","77,199.0","79,614.0","78,942.0","82,021.0","82,578.0","84,100.0","81,406.0","82,818.0","83,786.0","84,090.0","82,332.0","83,657.0","86,110.0","88,002.0","87,175.0","89,341.0","90,714.0","92,552.0","95,814.0","97,198.0","99,591.0","100,725.0","101,137.0","101,247.0","104,788.0","106,588.0","107,523.0","108,575.0","110,250.0","110,200.0","111,611.0","113,725.0","118,756.0","123,995.0","126,007.0","130,630.0","136,243.0","138,421.0","145,708.0","148,291.0","151,532.0","156,088.0","162,530.0","165,304.0","169,119.0","173,141.0","173,531.0","178,513.0"
