"","Table 1#9#6# Real Net Value Added by Sector, Chained Dollars    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2013 3:44:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","    Net domestic product","A362RX1","10,428,973.0","10,818,969.0","10,847,951.0","11,008,921.0","11,310,468.0","11,745,901.0","12,129,088.0","12,424,634.0","12,604,874.0","12,496,087.0","12,049,562.0","12,396,633.0","12,639,785.0","13,015,820.0"
"20","2","Business \1\","A363RX1","7,719,189.0","8,031,634.0","8,019,215.0","8,140,781.0","8,493,067.0","8,895,276.0","9,232,632.0","9,491,165.0","9,642,128.0","9,491,217.0","9,021,849.0","9,350,475.0","9,591,952.0","9,964,667.0"
"21","3","  Nonfarm \2\","A364RX1","7,681,790.0","7,980,016.0","7,974,463.0","8,092,853.0","8,436,390.0","8,832,860.0","9,165,423.0","9,424,183.0","9,594,616.0","9,432,543.0","8,946,226.0","9,274,214.0","9,525,578.0","9,903,505.0"
"22","4","  Farm","A365RX1","43,636.0","56,081.0","50,239.0","53,109.0","61,082.0","66,148.0","70,548.0","70,594.0","54,757.0","61,786.0","75,623.0","76,426.0","70,466.0","68,841.0"
"23","5","Households and institutions","W503RX1","1,373,081.0","1,423,543.0","1,448,707.0","1,461,777.0","1,381,921.0","1,405,755.0","1,442,412.0","1,473,800.0","1,488,691.0","1,508,438.0","1,510,348.0","1,527,023.0","1,544,445.0","1,553,613.0"
"24","6","  Households","W504RX1","662,453.0","693,311.0","715,706.0","714,134.0","728,623.0","753,873.0","790,513.0","803,153.0","785,812.0","816,133.0","812,705.0","820,662.0","826,196.0","823,897.0"
"25","7","  Nonprofit institutions serving households \3\","W505RX1","719,543.0","737,752.0","738,110.0","754,737.0","653,316.0","651,844.0","652,398.0","670,965.0","702,915.0","692,345.0","697,643.0","706,358.0","718,233.0","729,681.0"
"26","8","General government \4\","A194RX1","1,357,861.0","1,379,372.0","1,403,641.0","1,429,746.0","1,443,649.0","1,446,632.0","1,452,314.0","1,455,765.0","1,469,202.0","1,494,645.0","1,517,365.0","1,519,385.0","1,504,236.0","1,498,375.0"
"27","9","  Federal","B568RX1","319,902.0","322,600.0","323,714.0","331,208.0","341,353.0","343,830.0","344,315.0","341,190.0","341,289.0","354,082.0","375,491.0","389,196.0","389,849.0","385,916.0"
"28","10","  State and local","B251RX1","1,038,331.0","1,056,902.0","1,079,563.0","1,098,297.0","1,102,328.0","1,102,863.0","1,108,059.0","1,114,694.0","1,128,094.0","1,140,637.0","1,141,874.0","1,130,146.0","1,114,301.0","1,112,395.0"
"29","11","Residual","A966RX1","-36,600.0","-27,700.0","-33,800.0","-35,400.0","-12,600.0","-5,500.0","-2,100.0","-300.0","-2,600.0","-1,300.0","100.0","-400.0","-4,800.0","-8,400.0"
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Equals net domestic product excluding net value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","3. Equals gross value added of nonprofit institutions excluding consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","capital on fixed assets owned and used by nonprofit instututions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","quantity index and the 2009 current-dollar value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","100. Because the formula for the chain-type quantity indexes uses weights of more than",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","one period, the corresponding chained-dollar estimates are usually not additive. The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
