"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Personal current taxes","W055RC1","1,729.0","1,571.0","1,003.0","728.0","812.0","900.0","1,067.0","1,295.0","1,922.0","1,858.0","1,487.0","1,686.0","2,310.0","4,888.0","16,737.0","17,663.0","19,442.0","17,210.0","19,790.0","19,205.0","16,733.0","18,912.0","27,055.0","32,005.0","33,242.0","30,160.0","32,859.0","36,591.0","38,886.0","38,548.0","42,289.0","46,068.0","47,250.0","51,555.0","54,552.0","52,069.0","57,664.0","66,378.0","72,961.0","86,987.0","104,506.0"
"22","4","  Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0"
"23","5","  Taxes on corporate income","W025RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,646.0","22,696.0","22,781.0","23,972.0","26,231.0","27,985.0","30,876.0","33,658.0","32,651.0","39,365.0","39,674.0"
"24","6","  Taxes from the rest of the world","W008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","95.0","112.0","145.0","188.0","183.0","206.0","228.0","248.0","319.0","394.0"
"25","7","Contributions for government social insurance","W782RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,652.0","6,945.0","7,129.0","8,100.0","9,117.0","10,017.0","11,444.0","11,421.0","13,874.0","16,478.0","17,057.0","19,174.0","21,735.0","22,464.0","23,500.0","31,441.0","34,979.0","38,839.0","44,340.0"
"26","8","Income receipts on assets","W058RC1","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","112.0","125.0","176.0","206.0","239.0","272.0","296.0","319.0","375.0","374.0","405.0","433.0","476.0","403.0","2,803.0","3,008.0","3,331.0","3,531.0","3,859.0","4,222.0","4,856.0","5,643.0","6,554.0","7,153.0"
"27","9","  Interest and miscellaneous receipts \1\","W059RC1","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","112.0","125.0","176.0","206.0","239.0","272.0","296.0","319.0","375.0","374.0","405.0","433.0","476.0","403.0","2,803.0","3,008.0","3,331.0","3,531.0","3,859.0","4,222.0","4,856.0","5,643.0","6,554.0","7,153.0"
"28","10","  Dividends","W065RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","11","Current transfer receipts","W060RC1","448.0","416.0","339.0","306.0","262.0","257.0","272.0","298.0","311.0","317.0","305.0","314.0","333.0","383.0","471.0","627.0","660.0","511.0","542.0","613.0","652.0","583.0","636.0","678.0","722.0","785.0","797.0","904.0","995.0","1,037.0","656.0","772.0","1,016.0","1,111.0","1,191.0","1,419.0","1,798.0","2,057.0","2,348.0","2,434.0","2,595.0"
"30","12","  From business (net)","W061RC1","113.0","115.0","111.0","108.0","98.0","97.0","114.0","139.0","149.0","153.0","154.0","164.0","177.0","203.0","255.0","379.0","391.0","264.0","323.0","337.0","334.0","269.0","287.0","309.0","312.0","348.0","367.0","416.0","428.0","463.0","336.0","430.0","540.0","568.0","661.0","817.0","1,220.0","1,279.0","1,366.0","1,395.0","1,467.0"
"31","13","  From persons","W062RC1","335.0","301.0","228.0","198.0","164.0","160.0","158.0","159.0","162.0","164.0","151.0","150.0","156.0","180.0","216.0","248.0","269.0","247.0","219.0","276.0","318.0","314.0","349.0","369.0","410.0","437.0","430.0","488.0","567.0","574.0","320.0","342.0","476.0","543.0","530.0","602.0","578.0","778.0","982.0","1,039.0","1,128.0"
"32","14","Current surplus of government enterprises \2\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","544.0","463.0","335.0","379.0","799.0","763.0","680.0","272.0","155.0","304.0","5.0"
"33","15","    Current expenditures","W022RC1","8,414.0","8,849.0","10,264.0","9,274.0","9,575.0","11,185.0","11,763.0","13,408.0","12,673.0","13,961.0","15,083.0","16,016.0","21,583.0","41,493.0","63,625.0","77,752.0","82,341.0","57,767.0","52,942.0","55,783.0","61,629.0","63,935.0","75,913.0","86,704.0","92,660.0","91,902.0","95,023.0","99,773.0","109,768.0","119,059.0","124,248.0","131,166.0","140,990.0","151,980.0","160,015.0","168,567.0","181,042.0","203,882.0","231,687.0","260,685.0","283,525.0"
"34","16","Consumption expenditures","A955RC1","6,723.0","7,027.0","7,099.0","6,699.0","6,861.0","8,064.0","8,319.0","9,197.0","9,250.0","9,916.0","10,609.0","11,170.0","17,086.0","36,497.0","58,176.0","70,597.0","71,251.0","38,490.0","34,346.0","35,477.0","38,716.0","39,284.0","53,972.0","65,207.0","70,359.0","67,359.0","68,902.0","71,382.0","77,306.0","81,910.0","83,025.0","85,025.0","89,945.0","98,332.0","103,440.0","109,137.0","117,022.0","132,825.0","150,405.0","167,524.0","180,861.0"
"35","17","Current transfer payments","A084RC1","825.0","905.0","1,961.0","1,295.0","1,291.0","1,356.0","1,603.0","2,718.0","1,658.0","2,169.0","2,262.0","2,424.0","2,290.0","2,411.0","2,047.0","2,584.0","5,491.0","12,378.0","12,393.0","13,729.0","15,987.0","17,000.0","13,695.0","13,163.0","13,742.0","15,625.0","16,914.0","17,593.0","20,071.0","24,192.0","26,918.0","28,137.0","31,862.0","32,763.0","34,268.0","35,063.0","37,955.0","41,954.0","50,306.0","58,409.0","64,104.0"
"36","18","  Government social benefits","W063RC1","791.0","869.0","1,921.0","1,274.0","1,274.0","1,347.0","1,584.0","2,687.0","1,600.0","2,142.0","2,237.0","2,394.0","2,306.0","2,322.0","2,102.0","2,674.0","5,142.0","10,122.0","10,428.0","9,881.0","10,857.0","13,417.0","10,538.0","10,994.0","11,674.0","13,747.0","14,754.0","15,592.0","18,132.0","22,226.0","22,917.0","24,674.0","28,365.0","29,142.0","30,665.0","31,663.0","34,366.0","37,968.0","46,307.0","53,863.0","59,558.0"
"37","19","    To persons","A063RC1","791.0","869.0","1,921.0","1,274.0","1,274.0","1,347.0","1,584.0","2,687.0","1,600.0","2,142.0","2,237.0","2,394.0","2,306.0","2,322.0","2,102.0","2,674.0","5,142.0","10,122.0","10,428.0","9,881.0","10,857.0","13,417.0","10,538.0","10,994.0","11,674.0","13,747.0","14,754.0","15,592.0","18,132.0","22,226.0","22,917.0","24,428.0","28,089.0","28,843.0","30,341.0","31,317.0","33,913.0","37,504.0","45,752.0","53,306.0","58,973.0"
"38","20","    To the rest of the world \3\","W016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","246.0","276.0","299.0","324.0","346.0","453.0","464.0","555.0","557.0","585.0"
"39","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","34.0","36.0","40.0","21.0","17.0","9.0","19.0","31.0","58.0","27.0","25.0","30.0","-16.0","89.0","-55.0","-90.0","349.0","2,256.0","1,965.0","3,848.0","5,130.0","3,583.0","3,157.0","2,169.0","2,068.0","1,878.0","2,160.0","2,001.0","1,939.0","1,966.0","4,001.0","3,463.0","3,497.0","3,621.0","3,603.0","3,400.0","3,589.0","3,986.0","3,999.0","4,546.0","4,546.0"
"40","22","Interest payments \1\","A180RC1","820.0","843.0","1,059.0","1,162.0","1,257.0","1,298.0","1,242.0","1,205.0","1,418.0","1,396.0","1,415.0","1,672.0","1,749.0","2,062.0","2,817.0","3,526.0","4,451.0","5,537.0","5,808.0","6,040.0","6,431.0","6,812.0","7,202.0","7,564.0","8,049.0","8,596.0","9,011.0","10,062.0","11,266.0","11,597.0","13,247.0","16,858.0","17,169.0","18,612.0","20,073.0","21,638.0","23,058.0","25,154.0","27,165.0","30,578.0","34,026.0"
"41","23","  To persons and business \1\","A204RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,526.0","16,891.0","18,273.0","19,672.0","21,185.0","22,569.0","24,605.0","26,567.0","29,876.0","33,249.0"
"42","24","  To the rest of the world","B093RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","6.0","7.0","9.0","12.0","17.0","15.0","16.0","17.0","25.0","31.0","47.0","64.0","86.0","59.0","94.0","154.0","201.0","139.0","281.0","332.0","278.0","339.0","401.0","453.0","489.0","549.0","598.0","702.0","777.0"
"43","25","Subsidies \2\","A107RC1","46.0","74.0","145.0","118.0","166.0","467.0","599.0","288.0","347.0","480.0","797.0","750.0","458.0","523.0","585.0","1,045.0","1,148.0","1,362.0","395.0","537.0","495.0","839.0","1,044.0","770.0","510.0","322.0","196.0","736.0","1,125.0","1,360.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"44","26","    Net government saving","A922RC1","2,130.0","1,126.0","-1,579.0","-1,103.0","-947.0","-1,485.0","-1,301.0","-1,522.0","1,593.0","-88.0","-834.0","606.0","2,181.0","-10,269.0","-16,006.0","-28,320.0","-30,975.0","-7,380.0","2,453.0","974.0","-8,041.0","2,156.0","6,006.0","-260.0","-1,860.0","-5,969.0","1,632.0","4,374.0","29.0","-10,893.0","-1,700.0","2,756.0","-2,463.0","-1,931.0","1,598.0","-2,556.0","-1,387.0","-1,781.0","-14,765.0","-9,476.0","-1,002.0"
"45","27","Social insurance funds","A221RC1","61.0","64.0","56.0","42.0","39.0","39.0","45.0","247.0","1,387.0","990.0","1,031.0","1,036.0","1,611.0","2,179.0","3,289.0","3,881.0","4,256.0","3,289.0","3,248.0","2,481.0","1,570.0","-186.0","2,695.0","2,746.0","2,184.0","1,289.0","1,640.0","1,813.0","1,204.0","-2,636.0","-658.0","412.0","-2,325.0","-568.0","861.0","1,296.0","523.0","6,117.0","4,237.0","3,312.0","5,856.0"
"46","28","Other","A391RC1","2,069.0","1,062.0","-1,635.0","-1,145.0","-985.0","-1,524.0","-1,346.0","-1,770.0","205.0","-1,078.0","-1,865.0","-429.0","570.0","-12,448.0","-19,296.0","-32,201.0","-35,231.0","-10,669.0","-795.0","-1,506.0","-9,610.0","2,342.0","3,311.0","-3,005.0","-4,043.0","-7,259.0","-8.0","2,562.0","-1,175.0","-8,257.0","-1,041.0","2,344.0","-138.0","-1,363.0","737.0","-3,852.0","-1,910.0","-7,899.0","-19,003.0","-12,788.0","-6,858.0"
"47",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","29","  Total receipts","W066RC1","10,769.0","10,217.0","8,908.0","8,338.0","8,806.0","9,924.0","10,816.0","12,383.0","14,792.0","14,395.0","14,737.0","17,073.0","24,276.0","31,800.0","48,185.0","50,114.0","52,161.0","51,265.0","56,391.0","57,825.0","54,503.0","66,916.0","82,859.0","87,499.0","91,948.0","87,096.0","97,908.0","105,751.0","111,584.0","109,861.0","124,353.0","136,164.0","141,036.0","152,687.0","164,498.0","169,316.0","183,263.0","205,987.0","220,900.0","255,297.0","287,148.0"
"49","30","    Current receipts","W021RC1","10,544.0","9,975.0","8,685.0","8,171.0","8,628.0","9,700.0","10,462.0","11,886.0","14,266.0","13,873.0","14,249.0","16,622.0","23,764.0","31,224.0","47,619.0","49,432.0","51,366.0","50,387.0","55,395.0","56,757.0","53,588.0","66,091.0","81,919.0","86,444.0","90,800.0","85,933.0","96,655.0","104,147.0","109,797.0","108,166.0","122,548.0","133,922.0","138,527.0","150,049.0","161,613.0","166,011.0","179,655.0","202,101.0","216,922.0","251,209.0","282,523.0"
"50","31","    Capital transfer receipts","W067RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","526.0","522.0","488.0","451.0","512.0","576.0","566.0","682.0","795.0","878.0","996.0","1,068.0","915.0","825.0","940.0","1,055.0","1,148.0","1,163.0","1,253.0","1,604.0","1,787.0","1,695.0","1,805.0","2,242.0","2,509.0","2,638.0","2,885.0","3,305.0","3,608.0","3,886.0","3,978.0","4,088.0","4,625.0"
"51","32","  Total expenditures","W068RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","148,889.0","161,672.0","174,047.0","182,373.0","191,817.0","204,337.0","231,422.0","260,390.0","287,809.0","308,800.0"
"52","33","    Current expenditures","W022RC1","8,414.0","8,849.0","10,264.0","9,274.0","9,575.0","11,185.0","11,763.0","13,408.0","12,673.0","13,961.0","15,083.0","16,016.0","21,583.0","41,493.0","63,625.0","77,752.0","82,341.0","57,767.0","52,942.0","55,783.0","61,629.0","63,935.0","75,913.0","86,704.0","92,660.0","91,902.0","95,023.0","99,773.0","109,768.0","119,059.0","124,248.0","131,166.0","140,990.0","151,980.0","160,015.0","168,567.0","181,042.0","203,882.0","231,687.0","260,685.0","283,525.0"
"53","34","    Gross government investment","A782RC1","2,902.0","3,253.0","3,085.0","2,260.0","2,029.0","2,670.0","2,851.0","4,226.0","3,898.0","4,293.0","4,594.0","4,437.0","10,796.0","28,985.0","39,892.0","38,149.0","25,308.0","4,708.0","5,683.0","8,488.0","11,309.0","11,452.0","19,571.0","24,619.0","26,655.0","25,391.0","24,356.0","27,136.0","30,231.0","32,621.0","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"54","35","    Capital transfer payments","W069RC1",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","79.0"
"55","36","    Net purchases of nonproduced assets","AD07RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,316.0","1,485.0","1,651.0","1,676.0","1,884.0","1,765.0","2,013.0","1,150.0","500.0","1,085.0"
"56","37","    Less: Consumption of fixed capital","A264RC1","968.0","967.0","941.0","850.0","951.0","1,119.0","1,137.0","1,275.0","1,379.0","1,450.0","1,498.0","1,593.0","2,104.0","3,648.0","6,475.0","9,340.0","10,686.0","11,523.0","11,465.0","10,571.0","9,746.0","9,098.0","10,012.0","11,076.0","12,134.0","13,023.0","13,893.0","15,316.0","16,656.0","17,514.0","18,620.0","19,685.0","20,825.0","22,309.0","23,845.0","25,104.0","26,414.0","28,123.0","30,193.0","32,722.0","35,430.0"
"57","38","  Net lending or net borrowing (-)","AD01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-12,725.0","-20,636.0","-21,360.0","-17,875.0","-22,501.0","-21,074.0","-25,435.0","-39,490.0","-32,512.0","-21,652.0"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","of interest receipts. Interest payments to persons and business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","includes interest accrued on the actuarial liabilities of defined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","benefit pension plans for government employees. Miscellaneous receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","on line 9 includes rents and royalties received by governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Prior to 1959, subsidies (line 25) and the current surplus of government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","(line 14) are not shown separately; subsidies are presented net of the current surplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Prior to 1960, government social benefits to the rest of the world are included in line 21,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","""other current transfer payments to the rest of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
