"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Index numbers, 2000=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 30, 2006  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/27/2006 11:44:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","S1 PN04472AMG       Retail and food services","T070013",92.511,94.317,95.777,97.218,98.401,98.688,97.591,98.179,100,100.083,99.027,98.751,100.075,101.878
"9","2","S1 PN44ZZZZMG Retail trade","T070023",93.516,95.355,96.825,98.212,99.281,99.323,97.854,98.253,100,99.772,98.34,97.827,98.965,100.611
"10","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",87.07,90.573,94.08,98.138,99.584,99.248,98.674,99.034,100,100.911,99.697,97.561,96.333,98.43
"11","4","S4 PN4411ZZMG     Automobile dealers","T070043",85.355,89.516,93.492,98.017,99.628,99.282,98.679,99.041,100,100.732,99.177,96.607,95.02,97.092
"12","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",89.279,90.592,93.206,95.825,96.947,96.711,96.891,98.454,100,101.163,100.706,100.172,100.786,102.225
"13","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",100.988,99.865,99.737,100.428,100.592,100.297,99.599,99.299,100,102.482,104.188,105.36,106.48,109.347
"14","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",141.088,139.391,139.064,135.851,129.589,121.602,113.584,105.495,100,92.69,86.144,79.55,75.325,71.297
