"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","                                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:43:30 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Gross domestic product","A191RC1","103,608.0","91,213.0","76,490.0","58,721.0","56,402.0","65,980.0","73,304.0","83,766.0","91,867.0","86,124.0","92,170.0","101,430.0","126,741.0","161,909.0","198,607.0","219,759.0","223,049.0","222,228.0","244,095.0","269,118.0","267,232.0","293,744.0","339,260.0","358,298.0","379,327.0","380,354.0","414,720.0","437,428.0","461,055.0","467,169.0","506,627.0","526,438.0","544,758.0","585,656.0","617,760.0","663,639.0","719,115.0","787,692.0","832,445.0","909,843.0","984,431.0"
"21","2","    Gross domestic income","A261RC1","102,843.0","91,627.0","75,719.0","58,420.0","55,858.0","65,581.0","73,515.0","82,566.0","91,897.0","85,439.0","90,870.0","100,341.0","126,402.0","162,784.0","200,404.0","217,180.0","219,180.0","221,059.0","241,827.0","269,611.0","265,412.0","292,370.0","335,684.0","355,551.0","375,361.0","377,240.0","412,340.0","439,195.0","461,129.0","466,213.0","506,148.0","527,390.0","545,347.0","585,338.0","618,584.0","662,865.0","717,616.0","781,519.0","827,939.0","905,528.0","981,560.0"
"22","3","    Net domestic product \1\","A362RC1","93,941.0","81,762.0","67,695.0","51,035.0","48,997.0","58,206.0","65,492.0","75,680.0","82,891.0","76,891.0","82,910.0","91,750.0","115,691.0","148,228.0","182,108.0","200,215.0","201,940.0","199,132.0","217,446.0","240,653.0","238,052.0","263,802.0","305,468.0","322,013.0","340,690.0","339,758.0","371,934.0","390,324.0","410,211.0","413,914.0","451,214.0","469,854.0","486,576.0","525,098.0","554,428.0","597,273.0","648,396.0","711,238.0","749,510.0","819,425.0","885,240.0"
"23","4","    Net domestic income \1\","W256RC1","93,176.0","82,176.0","66,924.0","50,734.0","48,453.0","57,807.0","65,703.0","74,480.0","82,921.0","76,206.0","81,610.0","90,661.0","115,352.0","149,103.0","183,905.0","197,636.0","198,071.0","197,963.0","215,178.0","241,146.0","236,232.0","262,428.0","301,892.0","319,266.0","336,724.0","336,644.0","369,554.0","392,091.0","410,285.0","412,958.0","450,735.0","470,806.0","487,165.0","524,780.0","555,252.0","596,499.0","646,897.0","705,065.0","745,004.0","815,110.0","882,369.0"
"24",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","5","    Gross national product","A001RC1","104,374.0","91,922.0","77,005.0","59,085.0","56,702.0","66,259.0","73,645.0","84,028.0","92,236.0","86,503.0","92,543.0","101,710.0","127,157.0","162,320.0","198,938.0","220,083.0","223,314.0","222,880.0","245,205.0","270,574.0","268,512.0","295,184.0","341,152.0","360,283.0","381,226.0","382,449.0","417,169.0","440,224.0","464,110.0","469,797.0","509,388.0","529,551.0","548,277.0","589,749.0","622,237.0","668,559.0","724,394.0","792,762.0","837,838.0","915,928.0","990,546.0"
"26","6","    Gross national income","A023RC1","103,609.0","92,336.0","76,234.0","58,784.0","56,158.0","65,860.0","73,856.0","82,828.0","92,266.0","85,818.0","91,243.0","100,621.0","126,818.0","163,195.0","200,735.0","217,504.0","219,445.0","221,711.0","242,937.0","271,067.0","266,692.0","293,810.0","337,576.0","357,536.0","377,260.0","379,335.0","414,789.0","441,991.0","464,184.0","468,841.0","508,909.0","530,503.0","548,866.0","589,431.0","623,061.0","667,785.0","722,895.0","786,589.0","833,332.0","911,613.0","987,675.0"
"27","7","    Net national product \1\","A027RC1","94,707.0","82,471.0","68,210.0","51,399.0","49,297.0","58,485.0","65,833.0","75,942.0","83,260.0","77,270.0","83,283.0","92,030.0","116,107.0","148,639.0","182,439.0","200,539.0","202,205.0","199,784.0","218,556.0","242,109.0","239,332.0","265,242.0","307,360.0","323,998.0","342,589.0","341,853.0","374,383.0","393,120.0","413,266.0","416,542.0","453,975.0","472,967.0","490,095.0","529,191.0","558,905.0","602,193.0","653,675.0","716,308.0","754,903.0","825,510.0","891,355.0"
"28","8","    National income \2\","A032RC1","93,942.0","82,885.0","67,439.0","51,098.0","48,753.0","58,086.0","66,044.0","74,742.0","83,290.0","76,585.0","81,983.0","90,941.0","115,768.0","149,514.0","184,236.0","197,960.0","198,336.0","198,615.0","216,288.0","242,602.0","237,512.0","263,868.0","303,784.0","321,251.0","338,623.0","338,739.0","372,003.0","394,887.0","413,340.0","415,586.0","453,496.0","473,919.0","490,684.0","528,873.0","559,729.0","601,419.0","652,176.0","710,135.0","750,397.0","821,195.0","888,484.0"
"29",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","9","    Gross domestic purchases","A712RC1","103,225.0","90,890.0","76,489.0","58,678.0","56,344.0","65,658.0","73,517.0","83,913.0","91,789.0","85,158.0","91,337.0","99,959.0","125,708.0","162,161.0","200,853.0","221,783.0","223,815.0","215,046.0","233,288.0","263,631.0","261,997.0","293,006.0","336,747.0","357,134.0","380,028.0","379,950.0","414,242.0","435,067.0","456,980.0","466,631.0","506,231.0","522,234.0","539,844.0","581,556.0","612,820.0","656,725.0","713,498.0","783,829.0","828,890.0","908,492.0","982,999.0"
"31","10","    Final sales to domestic purchasers \3\","A713RC1","101,685.0","91,113.0","77,601.0","61,029.0","57,747.0","66,238.0","72,377.0","82,752.0","89,164.0","85,733.0","91,130.0","97,566.0","121,378.0","160,255.0","201,599.0","222,707.0","225,291.0","209,035.0","233,838.0","257,973.0","264,689.0","287,236.0","326,838.0","353,620.0","378,080.0","381,887.0","409,254.0","431,117.0","456,203.0","466,997.0","502,314.0","519,002.0","536,870.0","575,455.0","607,199.0","651,904.0","704,251.0","770,193.0","819,024.0","899,439.0","973,826.0"
"32",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
