"","Table 5#6#6BM# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144"
"11","3","E Manufacturing industries","KC300",19296,15372,9780,34668,22452,12492,17832,28788,18048,34020,5292,30876,28320,41328,31176,20184,18876,19104,11712,12900,9048,25404,20472,-14880,-15552,17112,39612,2796,27288,-5748,25236,-1596,24168,9336,40524,40248,-13632,14988,-9516,27048,-4476,37584,11940,5268,-6492,19164,20844,-8136,29148,-12516,-42096,-4392,-25584,-41448,-24576,-27360,-34044,-13632,-27576,-31812,-20316,-16848,-7332,-10092,-17484,-6696,1944,2580,5664,-4056,-14916,17172,-21552,43380,-28452,-2748,-13404,-28668,-23940,-5496,-20664,5124,-15576,-1080,-11880,8040,1716,-5748,7080,16848,14916,8484,-26892,4812,25356,-12108,58644,31572,21012,1632,-2556,13212,37764,-10740,-11268,19248,3888,19740,36888,-20196,26412,24684,6852,18216,14700,5664,18264,12516,5964,-7968,1740,-6372,-16824,-7356,-1344,-14364,-12264,-17400,23040,-10716,7764,11676,36444,-1608,6408,-45072,-26196,-6672,-26844,-4296,-45744
"12","4","E   Durable goods industries","KC30D0",14664,15792,-408,25836,15276,8124,22104,16116,7044,19380,-4032,23532,28464,32748,26376,22332,17640,18564,5112,19704,13224,22068,7512,1320,-22908,17832,31080,-7368,13368,-6168,20844,-7896,14724,-2556,24504,27132,-18504,11184,-8472,21696,-5880,28716,4512,13572,-8040,20232,24336,3732,28392,-2208,-39276,-648,-19608,-28476,-22896,-23028,-34848,-12612,-26124,-37116,-14880,-10716,-27108,-10368,-12276,-11868,-6012,-2940,-3360,-2376,-8100,28140,-21024,27852,-19716,-6300,-8460,-32544,-18384,-9684,-13500,14256,-14892,25128,-9492,-3840,-132,-3900,-408,12648,10968,5964,-10236,5340,14964,-2196,36168,28308,15888,5196,16632,1908,36036,-252,-2532,11352,17796,120,7272,-15372,13752,16512,828,4056,17016,-2280,18180,16020,1656,2400,14304,-2028,-13896,-7812,-10656,-15084,-9252,-7740,10308,6468,12132,22668,4788,-2808,7164,-8460,-18828,-15948,-9432,-2676,-5004
"13","5","E   Nondurable goods industries","KC30N0",4464,-852,10632,8532,7104,4356,-4968,12780,11280,14736,9780,7080,-756,8160,4392,-2748,888,144,6756,-7500,-4596,2988,13260,-16800,8148,-1164,8124,10704,14112,552,4092,6648,9444,12192,15996,13020,5088,3696,-1056,5232,1380,8808,7380,-8340,1476,-1044,-3384,-11736,1044,-10128,-3180,-3672,-6072,-13032,-1860,-4428,648,-1068,-1440,5580,-5484,-6240,20184,264,-5292,5172,7896,5412,8892,-1812,-6924,-10704,-816,15564,-8892,3288,-5004,3168,-5736,3876,-7224,-8640,-996,-24792,-2532,11412,1788,-1896,7248,4320,4056,2568,-16320,-396,10344,-9576,22548,3912,5400,-3180,-17580,10764,3108,-9732,-8172,7860,-11868,18072,27768,-5136,12468,8388,5712,13476,-1404,7416,804,-2724,4248,-9720,-11520,-4284,-3324,72,8304,24,-3288,-9420,12192,-15528,-3300,-8352,28440,852,-156,-32964,-7836,6948,-15960,-1644,-36384
"14","6","E Wholesale trade industries","KCWT0",44796,8460,13656,15972,22284,59952,-720,19584,28596,23568,30264,34284,13068,45324,28140,180,29004,1356,11772,43752,35208,21360,29520,11784,7368,33180,19356,7332,9936,10140,34524,19176,18288,33396,36444,7380,29532,14148,14664,28092,12948,33336,17040,20292,6384,22944,20076,-8184,4236,-456,-1068,16920,15504,-24072,-32244,-2340,-19968,-24936,-36888,-23412,-16296,-37140,7104,-16248,5484,10776,28584,264,8508,-14268,2808,36228,-12624,7584,-636,7812,-19896,-6600,876,-3756,8940,21060,-2172,9552,-6912,27072,3864,-22176,31860,27780,48492,35064,1704,31488,36072,1464,54600,16164,11292,31404,-6252,19932,9828,5892,-8748,15312,11940,29424,10392,33696,-8304,32304,12564,13740,16812,39372,26712,23460,33216,-55176,-5976,6420,-5292,-5004,636,8628,312,5952,36648,-28032,9504,14004,7872,3444,-26544,996,-15912,18036,7884,17064,-12300
"15",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","E     Durable goods industries","KCWTD0",23952,9456,12444,18012,20700,42744,-11892,8256,25152,6360,10932,29340,18036,30780,24756,4260,15024,-5616,6552,32568,21696,21228,11004,19716,6780,19116,13188,-3732,19536,14292,13440,5028,16164,20076,28680,7620,12804,14772,10488,26256,11628,31356,8208,13152,-3732,14424,12588,-8448,17280,-6012,-10968,-4524,-7272,-39684,-23496,-16704,-23592,-7200,-46428,-26556,-22188,-26328,-660,-6156,-840,-324,19860,10392,6924,-5256,8292,11280,-6672,18000,-1644,6528,-14460,-7404,-10464,-6840,-1956,7392,2316,30696,9756,20076,14904,-7428,26160,25884,20028,39936,16608,13284,20676,8232,27024,21480,10668,10596,3168,17712,14628,5124,-19044,30732,19656,8124,4092,14436,-10068,35436,5676,7608,19824,22032,35724,13056,10092,-34212,12336,4104,-4956,-29712,2448,-7596,-27396,2484,19728,-20328,11664,19200,8076,7188,1596,7320,2484,-2808,18108,23652,17292
"17","8","E     Nondurable goods industries","KCWTN0",21228,-1440,804,-2880,840,16584,12408,11700,2652,18024,20076,4164,-5928,14280,2700,-4452,14256,7584,5292,10668,13524,-636,19152,-9000,432,14184,6084,11640,-10536,-4692,21552,14508,1860,13368,7512,-348,16896,-768,4152,1800,1308,1968,8856,7140,10140,8556,7512,216,-12516,5460,9624,21012,22320,14928,-8772,14016,3408,-17532,9192,3024,5700,-10920,7608,-10056,6180,10896,8748,-9744,1632,-8880,-5160,24324,-5928,-9456,876,1392,-5628,528,10560,2760,10344,13200,-4272,-19056,-15456,7344,-9924,-14256,6336,2724,27732,-3324,-13680,17736,15264,-6204,27072,-4332,936,19932,-8772,2784,-3768,1008,8496,-12504,-6072,19920,6012,18468,1116,-996,6624,6060,-1632,17076,-6420,10236,21792,-21096,-16020,2304,-660,20160,-1572,13872,22716,3132,16320,-8496,-1092,-2904,540,-2460,-23424,-4440,-15000,16992,-6444,-2904,-23004
"18",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","E     Merchant wholesale industries","KC42W0",33312,5520,17280,7368,17976,60516,-540,17652,29076,17748,28836,32628,12540,40776,24036,576,28284,1728,12180,41556,31500,15192,21324,14412,8304,30960,14124,3204,7836,6888,35532,9840,19308,30972,37440,6132,26112,12468,15936,22584,17916,25500,10824,16020,6852,16104,18240,-7752,-2520,336,3912,13728,19224,-22848,-25416,-912,-10692,-21192,-31392,-22980,-5424,-33660,1644,-15492,5844,14676,22536,3684,4596,-15504,5580,33672,-7488,6876,6480,6492,-18372,-9012,-240,-8628,15048,20424,36,4104,-12936,30480,3696,-17184,23352,23304,54600,29268,-5268,39468,29508,6528,39036,8688,2052,26880,-2352,16008,6528,4344,3768,12276,6216,37812,-5964,28980,228,38100,12648,10692,19212,29304,19152,16092,26748,-40824,-8928,4968,-2028,204,1848,12096,6408,15132,26760,-12420,4776,13680,17520,12348,-31428,21636,828,6408,28692,20160,-348
"20","10","E       Durable goods industries","KC42WD0",13716,5904,17640,10164,16968,45432,-12240,8292,26280,1764,12096,28080,15132,27144,22452,5784,14712,-5400,7020,30708,17628,17304,4308,21084,8172,15516,10032,-8376,18552,11256,16368,-1404,17628,19128,30300,6444,9840,14256,11376,21444,17088,25284,2916,8364,-1968,7884,10524,-6912,11136,-5904,-5832,-6504,-4032,-39564,-18744,-15096,-15828,-3744,-42072,-25284,-12684,-25200,-5040,-6696,-2328,4464,15372,13044,4572,-5448,7884,12312,-6888,19104,5196,6852,-13788,-8244,-12060,-9756,3840,6144,3048,25188,2244,23148,14244,-3936,27288,21144,25752,35304,6156,19884,18696,9312,22572,12204,696,8160,1104,20160,12324,-2568,-7068,28284,10584,20328,-6276,13200,3456,38364,7080,4980,19812,10824,26760,9504,2028,-18816,2760,-984,-3684,-21660,5148,-4572,-18360,8904,11148,-9840,7404,11208,20940,15624,1788,20124,10032,-804,31140,27012,14112
"21","11","E       Nondurable goods industries","KC42WN0",20220,-612,-960,-3276,540,14400,12744,9600,2076,16716,17184,3948,-3132,13512,1080,-5556,13776,7572,5208,10512,14028,-2676,17628,-7416,-36,15660,4020,12072,-11388,-4704,19416,11556,1452,11856,6912,-408,16464,-1944,4548,1116,828,204,7932,7668,8832,8220,7728,-888,-13212,6132,9528,19752,22776,15960,-6708,13800,4908,-17160,10176,2076,6984,-8628,6480,-8748,7956,10032,7164,-8880,96,-9840,-2100,20832,-768,-11208,1344,-156,-4800,-972,10980,792,10788,13740,-2820,-19176,-14340,7716,-9528,-12732,-2808,2700,28284,-4788,-10824,19260,10788,-2496,16368,-3084,1308,18012,-3288,-3300,-5028,6408,9888,-13872,-3720,17160,72,15348,-2880,1260,5532,5568,276,17760,-6096,6540,23184,-21300,-10764,5352,1248,18720,-2844,14808,21372,6036,14664,-3048,-1944,2892,-1284,-1488,-28248,3156,-6876,6072,840,-3360,-11208
"22","12","E     Nonmerchant wholesale industries","KC42N0",11616,3012,-3756,8856,4368,-900,-168,1896,-648,5928,1344,1524,456,4452,4104,-408,504,-384,-540,1968,3636,6360,8424,-2892,-1056,2040,5388,4272,2124,3312,-1248,9540,-1152,2364,-1164,1260,3408,1692,-1296,5532,-5016,7872,6228,4260,-444,6828,1836,-432,6732,-780,-4992,3180,-3744,-1236,-6840,-1452,-9360,-3768,-5520,-348,-11172,-3396,5616,-732,-396,-4032,6108,-3504,3984,1272,-2808,2508,-5184,684,-7032,1296,-1536,2436,1104,4896,-6156,600,-2220,5484,6000,-3432,144,-5016,8472,4440,-5904,5796,6804,-7536,6456,-4860,15108,7164,8736,4452,-3792,3792,3048,1380,-11556,2880,5268,-7248,14928,4704,-7836,-4800,120,2928,-1884,9528,7152,7044,6324,-13848,2700,1416,-3084,-4848,-1104,-3048,-5532,-8256,9420,-14448,4392,552,-8424,-7836,3924,-18036,-14748,10464,-17616,-2412,-10620
"23","13","E       Durable goods industries","KC42ND0",10104,3516,-5076,7764,3732,-2568,324,12,-1080,4548,-1116,1272,2904,3636,2316,-1500,300,-204,-456,1860,4068,3912,6672,-1344,-1392,3600,3156,4620,996,3036,-2904,6432,-1476,948,-1608,1176,2976,504,-888,4812,-5460,6072,5292,4800,-1776,6540,2076,-1548,6144,-96,-5148,1992,-3252,-108,-4752,-1596,-7788,-3480,-4344,-1260,-9516,-1140,4404,540,1512,-4812,4488,-2664,2364,204,396,-1044,204,-1104,-6900,-336,-660,852,1620,2952,-5844,1248,-744,5508,7596,-3144,660,-3516,-1188,4752,-5844,4632,10560,-6732,1980,-1116,4464,9372,10116,2448,2112,-2532,2292,7800,-12108,2436,9180,-12432,10548,1224,-13752,-3084,-1440,2640,-48,11400,9072,3588,8232,-15660,9756,5196,-1284,-8148,-2772,-3072,-9180,-6576,8724,-10692,4332,8124,-13236,-8700,-216,-13200,-7776,-2052,-13500,-3540,3216
"24","14","E       Nondurable goods industries","KC42NN0",828,-876,1896,492,336,2136,-588,2136,600,1128,2868,168,-3048,552,1800,1404,192,-180,-36,-84,-900,2364,1320,-1608,540,-2088,2244,-732,1188,120,2028,3000,432,1464,588,60,384,1200,-408,684,504,1764,924,-516,1308,348,-180,1056,660,-672,72,1200,-540,-1104,-2112,144,-1584,-276,-1128,972,-1464,-2340,1140,-1296,-1908,816,1608,-828,1608,1056,-3120,3456,-5136,1704,-420,1524,-840,1548,-456,1968,-480,-576,-1464,192,-1140,-420,-444,-1572,8952,-36,-384,1320,-2796,-1200,4176,-3432,9936,-1236,-348,2016,-4968,5340,972,-4548,-936,684,-2052,2772,4944,3036,3240,-1836,1092,564,-1572,-12,-480,3324,-708,-276,-4776,-2520,-1584,1704,1020,-396,1704,-2244,1788,-4656,636,-4632,1440,-840,3108,-6012,-6660,8904,-5640,204,-9720
"25","15","E Retail trade industries","KC440",-7572,28128,-26256,46404,17676,348,34008,-9804,32760,22872,22164,15012,26460,38052,53556,48012,-16824,2088,16248,-4392,18648,2244,21888,1596,45960,18996,36912,13260,5568,19152,15936,10416,23532,39348,42624,60192,-11040,9084,26460,26208,47472,35424,27456,35640,6156,33960,18924,3648,-7620,-35616,-8052,16140,9876,-8352,1116,18576,-3744,-109368,-55572,52752,38688,16080,8268,10272,42576,32664,15192,-11340,52176,18300,53316,15144,20820,23820,25992,16764,-5604,17484,26136,-29568,61644,10920,29244,-7356,9936,23076,40860,54360,16344,15216,16020,36672,-2088,28932,17448,9000,9912,24840,-7560,-20400,-5292,-13644,-82260,30672,47340,27876,12828,18576,17508,-19752,58956,-37320,45564,23124,-4164,21348,6120,-34020,-684,41964,-26832,16740,-26580,13524,-11952,-672,43752,5028,-20112,16392,-39492,-37392,8652,-17784,-46392,-19884,-22500,-5736,51324,-47724,7032
"26","16","E   Motor vehicle dealers","KC4410",-7344,8064,-12516,23760,-1896,-8496,20244,948,492,21540,17664,-1524,8628,15444,21276,33876,672,-35448,-5244,-15780,9684,2856,4056,-12804,27264,14340,22212,-2616,72,3816,11592,-552,12084,25692,17448,25368,4608,-5880,13908,27720,18504,26832,26580,11856,9540,11856,2304,-180,-14496,-35100,-13656,16008,11892,624,16440,-3156,7620,-117408,-33108,58404,32964,18816,13944,8184,24756,27252,-5160,-10416,27684,33408,48984,636,26424,12144,18396,17880,12780,16476,8784,-18408,34380,168,23208,-408,16224,10680,17928,37428,3624,4284,12096,17496,-6780,14484,-11388,-23148,-8496,17040,-13164,-20964,-14628,-26916,-73992,16548,48828,37884,2136,2808,5532,-13968,31356,-33768,31308,13320,-10596,-3060,-132,-48420,-11028,35196,-23484,-8004,-12672,18468,-25596,-4296,44736,9876,-22608,-5352,-11904,-62640,2784,-10608,-23172,-35112,-7512,3660,46260,-32184,1248
"27","17","E   Food and beverage stores","KC4450",-516,396,960,-1248,1164,204,552,4008,1128,-2064,1524,-1800,3408,324,3168,3552,-252,2640,2628,-1260,-1344,60,3180,-1152,3996,492,816,-1740,3132,1248,1872,2904,3660,1704,996,3060,-360,660,324,180,1572,-6852,-912,792,2328,-156,-2040,2628,2472,2028,132,1548,-672,1212,-240,324,-1476,3420,1260,-1272,-1680,-204,-1764,156,468,396,-1596,2340,3300,-6216,1992,4728,-1692,1296,828,-1620,-1860,-1788,2232,-888,2808,-6240,-3024,-1620,1200,-1200,852,300,1704,540,1020,12,456,-228,1032,-1248,1860,-672,-1308,156,-660,252,-1740,816,-4692,3012,1176,-60,2088,2076,1344,1296,1752,468,312,-180,852,-72,-468,-540,-1584,-1824,1008,-3612,3948,3084,672,3180,1128,2532,-996,924,-612,804,840,1908,72,-72,216,192,2244
"28","18","E   General merchandise stores","KC4520",-7392,3252,-4560,7536,924,1176,-1848,-4212,2400,-3564,792,7548,3852,792,1200,768,-9684,10332,4908,12,3144,-1260,-1860,-1716,-648,1344,5640,4284,-264,-1212,1656,4140,1476,-1836,12432,5352,3852,3036,-4776,-1020,2736,4296,-4296,1116,96,5904,-408,2232,4968,1128,12552,-4584,4812,720,-9576,10536,-6528,-972,-7824,-6804,-4536,132,-5940,-1560,7236,-4164,10404,444,1368,504,10248,504,-2208,-2508,2220,9888,-10080,24,3780,-8568,11304,8340,-5064,2928,3096,4404,8052,2448,1776,6264,-1944,4296,1044,1584,12168,7452,2232,2532,14820,-936,1884,-432,-4152,9792,252,-4992,-204,3504,-6960,-7140,3960,-14808,8076,1116,10164,8016,2148,9696,5268,2304,1920,4368,-840,-12,492,-648,-5352,-3120,1392,5112,-14832,6648,4176,468,-12972,5028,-2400,-2208,588,-9552,6768
